"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","39,370,221","22%","249,589,329","",""
"BAC","BANK AMER CORP","COM","060505104","22,081,569","12%","896,167,600","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","19,665,511","11%","426,768,902","",""
"KO","COCA COLA CO","COM","191216100","18,939,999","10%","400,000,000","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","14,451,533","7.9%","151,610,700","",""
"KHC","KRAFT HEINZ CO","COM","500754106","14,015,323","7.7%","325,634,818","",""
"USB","US BANCORP DEL","COM NEW","902973304","5,909,415","3.2%","129,308,831","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","4,892,364","2.7%","50,116,394","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","3,809,716","2.1%","80,937,250","",""
"MCO","MOODYS CORP","COM","615369105","3,454,756","1.9%","24,669,778","",""
"DAL","DELTA AIR LINES INC DEL","COM NEW","247361702","3,270,197","1.8%","65,535,000","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","3,065,974","1.7%","18,353,635","",""
"LUV","SOUTHWEST AIRLS CO","COM","844741108","2,549,307","1.4%","54,847,399","",""
"GM","GENERAL MTRS CO","COM","37045V100","2,417,421","1.3%","72,269,696","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","2,004,336","1.1%","7,033,499","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","1,984,584","1.1%","38,565,570","",""
"VRSN","VERISIGN INC","COM","92343E102","1,920,763","1.0%","12,952,745","",""
"UAL","UNITED CONTL HLDGS INC","COM","910047109","1,836,922","1.0%","21,938,642","",""
"USG","U S G CORP","COM NEW","903293405","1,663,826","0.9%","39,002,016","",""
"AAL","AMERICAN AIRLS GROUP INC","COM","02376R102","1,403,208","0.8%","43,700,000","",""
"V","VISA INC","COM CL A","92826C839","1,393,611","0.8%","10,562,460","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,149,744","0.6%","31,090,985","",""
"PSX","PHILLIPS 66","COM","718546104","1,024,826","0.6%","11,895,842","",""
"PNC","PNC FINL SVCS GROUP INC","COM","693475105","966,034","0.5%","8,263,062","",""
"MA","MASTERCARD INC","CL A","57636Q104","930,942","0.5%","4,934,756","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","882,749","0.5%","4,333,363","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","787,499","0.4%","137,915,729","",""
"MTB","M & T BK CORP","COM","55261F104","770,331","0.4%","5,382,040","",""
"RHT","RED HAT INC","COM","756577102","733,436","0.4%","4,175,792","",""
"TRV","TRAVELERS COMPANIES INC","COM","89417E109","713,517","0.4%","5,958,391","",""
"TEVA","TEVA PHARMACEUTICAL INDS LTD","SPONSORED ADR","881624209","666,905","0.4%","43,249,295","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","568,263","0.3%","24,264,000","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","546,862","0.3%","14,860,360","",""
"STOR","STORE CAP CORP","COM","862121100","527,180","0.3%","18,621,674","",""
"SYF","SYNCHRONY FINL","COM","87165B103","488,038","0.3%","20,803,000","",""
"GL","TORCHMARK CORP","COM","891027104","473,544","0.3%","6,353,727","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","441,319","0.2%","8,438,225","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","422,340","0.2%","19,791,000","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","300,901","0.2%","10,758,000","",""
"STNE","STONECO LTD","COM CL A","G85158106","261,235","0.1%","14,166,748","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","151,641","0.1%","7,346,968","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","42,212","0.0%","327,100","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","39,311","0.0%","2,714,854","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","28,992","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","23,137","0.0%","578,000","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","18,708","0.0%","1,284,020","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","5,793","0.0%","59,400","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","52","0.0%","928","",""
