Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
VWO,VANGUARD INTL EQUITY INDEX F,FTSE EMR MKT ETF,922042858,"2,423,656",23%,"51,589,111",,
SPY,SPDR S&P 500 ETF TR,TR UNIT,78462F103,"2,349,409",22%,"8,928,023",,
EEM,ISHARES TR,MSCI EMG MKT ETF,464287234,"554,778",5.30%,"11,490,853",,
IEMG,ISHARES INC,CORE MSCI EMKT,46434G103,"522,274",5.00%,"8,943,047",,
GLD,SPDR GOLD TRUST,GOLD SHS,78463V107,"491,713",4.70%,"3,908,999",,
EWZ,ISHARES INC,MSCI BRAZIL ETF,464286400,"374,853",3.60%,"8,352,350",,
LQD,ISHARES TR,IBOXX INV CP ETF,464287242,"293,726",2.80%,"2,502,134",,
TLT,ISHARES TR,20 YR TR BD ETF,464287432,"240,612",2.30%,"1,973,849",,
HYG,ISHARES TR,IBOXX HI YD ETF,464288513,"215,655",2.10%,"2,518,163",,
IVV,ISHARES TR,CORE S&P500 ETF,464287200,"213,621",2.00%,"804,993",,
EMB,ISHARES TR,JPMORGAN USD EMG,464288281,"198,791",1.90%,"1,762,022",,
VEA,VANGUARD TAX MANAGED INTL FD,FTSE DEV MKT ETF,921943858,"171,070",1.60%,"3,865,979",,
EFA,ISHARES TR,MSCI EAFE ETF,464287465,"170,584",1.60%,"2,448,104",,
IEFA,ISHARES TR,CORE MSCI EAFE,46432F842,"157,218",1.50%,"2,386,437",,
IAU,ISHARES GOLD TRUST,ISHARES,464285105,"144,050",1.40%,"11,315,785",,
TIP,ISHARES TR,TIPS BD ETF,464287176,"126,637",1.20%,"1,120,184",,
NFX,NEWFIELD EXPL CO,COM,651290108,"44,127",0.40%,"1,806,996",,
CVS,CVS HEALTH CORP,COM,126650100,"41,692",0.40%,"670,184",,
CELG,CELGENE CORP,COM,151020104,"40,355",0.40%,"452,364",,
PCG,PG&E CORP,COM,69331C108,"40,086",0.40%,"912,491",,
SWN,SOUTHWESTERN ENERGY CO,COM,845467109,"40,036",0.40%,"9,246,099",,
GME,GAMESTOP CORP NEW,CL A,36467W109,"39,682",0.40%,"3,144,377",,
CAH,CARDINAL HEALTH INC,COM,14149Y108,"38,033",0.40%,"606,782",,
EWT,ISHARES INC,MSCI TAIWAN ETF,46434G772,"37,594",0.40%,"980,538",,
T,AT&T INC,COM,00206R102,"37,443",0.40%,"1,050,303",,
CLF,CLEVELAND CLIFFS INC,COM,185899101,"36,233",0.30%,"5,213,414",,
ORCL,ORACLE CORP,COM,68389X105,"35,074",0.30%,"766,634",,
KMB,KIMBERLY CLARK CORP,COM,494368103,"34,039",0.30%,"309,077",,
META,FACEBOOK INC,CL A,30303M102,"32,756",0.30%,"204,996",,
BFH,ALLIANCE DATA SYSTEMS CORP,COM,18581108,"32,252",0.30%,"151,517",,
BBBY,BED BATH & BEYOND INC,COM,75896100,"31,403",0.30%,"1,496,117",,
PG,PROCTER AND GAMBLE CO,COM,742718109,"30,922",0.30%,"390,041",,
XEC,CIMAREX ENERGY CO,COM,171798101,"30,075",0.30%,"321,653",,
BIIB,BIOGEN INC,COM,09062X103,"21,138",0.20%,"77,197",,
WBA,WALGREENS BOOTS ALLIANCE INC,COM,931427108,"20,596",0.20%,"314,587",,
GE,GENERAL ELECTRIC CO,COM,369604103,"19,823",0.20%,"1,470,532",,
BEN,FRANKLIN RES INC,COM,354613101,"19,388",0.20%,"559,059",,
PPL,PPL CORP,COM,69351T106,"18,790",0.20%,"664,181",,
UTHR,UNITED THERAPEUTICS CORP DEL,COM,91307C102,"18,129",0.20%,"161,349",,
LLY,LILLY ELI & CO,COM,532457108,"17,470",0.20%,"225,798",,
ABC,AMERISOURCEBERGEN CORP,COM,3.07E+108,"16,995",0.20%,"197,132",,
GIS,GENERAL MLS INC,COM,370334104,"16,126",0.20%,"357,886",,
X,UNITED STATES STL CORP NEW,COM,912909108,"15,900",0.20%,"451,835",,
EWY,ISHARES INC,MSCI STH KOR ETF,464286772,"15,423",0.10%,"204,411",,
CMCSA,COMCAST CORP NEW,CL A,20030N101,"14,834",0.10%,"434,111",,
MU,MICRON TECHNOLOGY INC,COM,595112103,"14,770",0.10%,"283,278",,
DVA,DAVITA INC,COM,23918K108,"14,713",0.10%,"223,124",,
DISH,DISH NETWORK CORP,CL A,25470M109,"13,278",0.10%,"350,428",,
RIG,TRANSOCEAN LTD,REG SHS,H8817H100,"13,072",0.10%,"1,320,394",,
RY.TO,ROYAL BK CDA MONTREAL QUE,COM,780087102,"13,024",0.10%,"168,721",,
IP,INTL PAPER CO,COM,460146103,"12,129",0.10%,"226,999",,
HFC,HOLLYFRONTIER CORP,COM,436106108,"12,082",0.10%,"247,274",,
,TORONTO DOMINION BK ONT,COM NEW,891160509,"12,061",0.10%,"212,697",,
DGX,QUEST DIAGNOSTICS INC,COM,74834L100,"11,949",0.10%,"119,129",,
DIS,DISNEY WALT CO,COM DISNEY,254687106,"11,293",0.10%,"112,431",,
VZ,VERIZON COMMUNICATIONS INC,COM,92343V104,"11,112",0.10%,"232,367",,
PEP,PEPSICO INC,COM,713448108,"10,950",0.10%,"100,321",,
CPB,CAMPBELL SOUP CO,COM,134429109,"10,846",0.10%,"250,416",,
WELL,WELLTOWER INC,COM,95040Q104,"10,808",0.10%,"198,571",,
MRK,MERCK & CO INC,COM,58933Y105,"10,677",0.10%,"196,010",,
AMGN,AMGEN INC,COM,31162100,"10,655",0.10%,"62,499",,
LYB,LYONDELLBASELL INDUSTRIES N,SHS - A -,N53745100,"10,214",0.10%,"96,646",,
KO,COCA COLA CO,COM,191216100,"10,069",0.10%,"231,852",,
CA,CA INC,COM,12673P105,"9,966",0.10%,"293,972",,
CPRI,MICHAEL KORS HLDGS LTD,SHS,G60754101,"9,905",0.10%,"159,547",,
TOL,TOLL BROTHERS INC,COM,889478103,"9,880",0.10%,"228,431",,
TSN,TYSON FOODS INC,CL A,902494103,"9,870",0.10%,"134,853",,
FFIV,F5 NETWORKS INC,COM,315616102,"9,847",0.10%,"68,094",,
IVZ,INVESCO LTD,SHS,G491BT108,"9,705",0.10%,"303,193",,
WHR,WHIRLPOOL CORP,COM,963320106,"9,636",0.10%,"62,933",,
VIAC,CBS CORP NEW,CL B,124857202,"9,553",0.10%,"185,895",,
AZO,AUTOZONE INC,COM,53332102,"9,475",0.10%,"14,607",,
FCX,FREEPORT-MCMORAN INC,CL B,35671D857,"9,395",0.10%,"534,699",,
BNS.TO,BANK N S HALIFAX,COM,64149107,"9,328",0.10%,"151,531",,
XOM,EXXON MOBIL CORP,COM,30231G102,"9,219",0.10%,"123,568",,
CAT,CATERPILLAR INC DEL,COM,149123101,"8,866",0.10%,"60,157",,
SU.TO,SUNCOR ENERGY INC NEW,COM,867224107,"8,460",0.10%,"245,151",,
DRI,DARDEN RESTAURANTS INC,COM,237194105,"8,352",0.10%,"97,969",,
MAS,MASCO CORP,COM,574599106,"8,239",0.10%,"203,738",,
CCL,CARNIVAL CORP,UNIT 99/99/9999,143658300,"8,200",0.10%,"125,041",,
JNPR,JUNIPER NETWORKS INC,COM,48203R104,"8,145",0.10%,"334,776",,
GPS,GAP INC DEL,COM,364760108,"7,995",0.10%,"256,264",,
VLO,VALERO ENERGY CORP NEW,COM,91913Y100,"7,807",0.10%,"84,155",,
REGN,REGENERON PHARMACEUTICALS,COM,75886F107,"7,532",0.10%,"21,872",,
WU,WESTERN UN CO,COM,959802109,"7,431",0.10%,"386,407",,
D,DOMINION ENERGY INC,COM,25746U109,"7,344",0.10%,"108,916",,
SWKS,SKYWORKS SOLUTIONS INC,COM,83088M102,"7,211",0.10%,"71,920",,
PFE,PFIZER INC,COM,717081103,"6,896",0.10%,"194,322",,
,ANDEAVOR,COM,03349M105,"6,848",0.10%,"68,095",,
LUV,SOUTHWEST AIRLS CO,COM,844741108,"6,574",0.10%,"114,762",,
AAPL,APPLE INC,COM,37833100,"6,561",0.10%,"39,105",,
RCL,ROYAL CARIBBEAN CRUISES LTD,COM,V7780T103,"6,428",0.10%,"54,598",,
CNQ.TO,CANADIAN NAT RES LTD,COM,136385101,"6,423",0.10%,"204,475",,
ORLY,O REILLY AUTOMOTIVE INC NEW,COM,67103H107,"6,423",0.10%,"25,963",,
PCAR,PACCAR INC,COM,693718108,"6,371",0.10%,"96,288",,
TXN,TEXAS INSTRS INC,COM,882508104,"6,203",0.10%,"59,711",,
RL,RALPH LAUREN CORP,CL A,751212101,"6,200",0.10%,"55,456",,
CNR.TO,CANADIAN NATL RY CO,COM,136375102,"5,924",0.10%,"81,112",,
CERN,CERNER CORP,COM,156782104,"5,609",0.10%,"96,707",,
ADP,AUTOMATIC DATA PROCESSING IN,COM,53015103,"5,545",0.10%,"48,862",,
