"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"VWO","VANGUARD INTL EQUITY INDEX F","FTSE EMR MKT ETF","922042858","2,466,142","31%","70,001,189","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","2,141,086","27%","10,221,200","",""
"EEM","ISHARES TR","MSCI EMG MKT ETF","464287234","1,312,271","17%","38,191,833","",""
"EWZ","ISHARES","MSCI BRZ CAP ETF","464286400","125,444","1.6%","4,157,211","",""
"LQD","ISHARES TR","IBOXX INV CP ETF","464287242","110,161","1.4%","897,555","",""
"ABX.TO","BARRICK GOLD CORP","COM","067901108","45,112","0.6%","2,112,956","",""
"IVV","ISHARES TR","CORE S&P500 ETF","464287200","36,838","0.5%","175,000","",""
"GG","GOLDCORP INC NEW","COM","380956409","32,891","0.4%","1,719,325","",""
"BFH","ALLIANCE DATA SYSTEMS CORP","COM","018581108","32,768","0.4%","167,251","",""
"INTC","INTEL CORP","COM","458140100","32,408","0.4%","988,043","",""
"GILD","GILEAD SCIENCES INC","COM","375558103","31,255","0.4%","374,672","",""
"LYB","LYONDELLBASELL INDUSTRIES N","SHS - A -","N53745100","26,279","0.3%","353,116","",""
"ABC","AMERISOURCEBERGEN CORP","COM","03073E105","25,310","0.3%","319,092","",""
"AEM","AGNICO EAGLE MINES LTD","COM","008474108","24,558","0.3%","459,027","",""
"ESRX","EXPRESS SCRIPTS HLDG CO","COM","30219G108","23,621","0.3%","311,618","",""
"SPLS","STAPLES INC","COM","855030102","22,736","0.3%","2,637,617","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","22,320","0.3%","808,800","",""
"WPM","SILVER WHEATON CORP","COM","828336107","19,888","0.2%","845,201","",""
"PFE","PFIZER INC","COM","717081103","19,740","0.2%","560,639","",""
"BBBY","BED BATH & BEYOND INC","COM","075896100","19,687","0.2%","455,501","",""
"JNPR","JUNIPER NETWORKS INC","COM","48203R104","19,589","0.2%","871,009","",""
"LUMN","CENTURYLINK INC","COM","156700106","18,809","0.2%","648,370","",""
"","NOBLE CORP PLC","SHS USD","G65431101","18,574","0.2%","2,254,112","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","16,565","0.2%","539,719","",""
"MET","METLIFE INC","COM","59156R108","16,531","0.2%","415,045","",""
"RIO","RIO TINTO PLC","SPONSORED ADR","767204100","16,304","0.2%","520,900","",""
"TOL","TOLL BROTHERS INC","COM","889478103","16,271","0.2%","604,652","",""
"BP","BP PLC","SPONSORED ADR","055622104","16,114","0.2%","453,800","",""
"FDX","FEDEX CORP","COM","31428X106","16,018","0.2%","105,536","",""
"BHP","BHP BILLITON LTD","SPONSORED ADR","088606108","15,763","0.2%","551,911","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","15,733","0.2%","129,700","",""
"CVX","CHEVRON CORP NEW","COM","166764100","15,305","0.2%","146,000","",""
"MSFT","MICROSOFT CORP","COM","594918104","15,302","0.2%","299,048","",""
"XOM","EXXON MOBIL CORP","COM","30231G102","15,298","0.2%","163,200","",""
"OXY","OCCIDENTAL PETE CORP DEL","COM","674599105","15,180","0.2%","200,900","",""
"COP","CONOCOPHILLIPS","COM","20825C104","14,979","0.2%","343,544","",""
"MRK","MERCK & CO INC","COM","58933Y105","14,492","0.2%","251,546","",""
"PH","PARKER HANNIFIN CORP","COM","701094104","14,446","0.2%","133,700","",""
"DISCA","DISCOVERY COMMUNICATNS NEW","COM SER A","25470F104","14,335","0.2%","568,164","",""
"CVS","CVS HEALTH CORP","COM","126650100","14,332","0.2%","149,700","",""
"URI","UNITED RENTALS INC","COM","911363109","14,177","0.2%","211,276","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","13,821","0.2%","303,700","",""
"BMY","BRISTOL MYERS SQUIBB CO","COM","110122108","13,714","0.2%","186,454","",""
"EOG","EOG RES INC","COM","26875P101","13,603","0.2%","163,065","",""
"KSS","KOHLS CORP","COM","500255104","13,405","0.2%","353,509","",""
"IMO.TO","IMPERIAL OIL LTD","COM NEW","453038408","13,236","0.2%","420,500","",""
"MSI","MOTOROLA SOLUTIONS INC","COM NEW","620076307","13,077","0.2%","198,230","",""
"MCD","MCDONALDS CORP","COM","580135101","12,875","0.2%","106,987","",""
"PBR","PETROLEO BRASILEIRO SA PETRO","SPONSORED ADR","71654V408","12,873","0.2%","1,797,900","",""
"VALPQ","ENSCO PLC","SHS CLASS A","G3157S106","12,812","0.2%","1,319,514","",""
"BIIB","BIOGEN INC","COM","09062X103","12,444","0.2%","51,461","",""
"M","MACYS INC","COM","55616P104","12,176","0.2%","362,280","",""
"TXN","TEXAS INSTRS INC","COM","882508104","12,053","0.2%","192,381","",""
"ANDV","TESORO CORP","COM","881609101","11,950","0.1%","159,508","",""
"AAPL","APPLE INC","COM","037833100","11,587","0.1%","121,200","",""
"DISH","DISH NETWORK CORP","CL A","25470M109","11,381","0.1%","217,195","",""
"SBUX","STARBUCKS CORP","COM","855244109","11,377","0.1%","199,175","",""
"NEM","NEWMONT MINING CORP","COM","651639106","11,352","0.1%","290,179","",""
"AMAT","APPLIED MATLS INC","COM","038222105","11,256","0.1%","469,583","",""
"CAH","CARDINAL HEALTH INC","COM","14149Y108","11,201","0.1%","143,581","",""
"FL","FOOT LOCKER INC","COM","344849104","11,063","0.1%","201,656","",""
"PEP","PEPSICO INC","COM","713448108","10,965","0.1%","103,500","",""
"LNC","LINCOLN NATL CORP IND","COM","534187109","10,941","0.1%","282,200","",""
"NTAP","NETAPP INC","COM","64110D104","10,934","0.1%","444,638","",""
"CSCO","CISCO SYS INC","COM","17275R102","10,558","0.1%","367,990","",""
"TGT","TARGET CORP","COM","87612E106","10,290","0.1%","147,382","",""
"YRI.TO","YAMANA GOLD INC","COM","98462Y100","10,191","0.1%","1,959,868","",""
"NUE","NUCOR CORP","COM","670346105","10,178","0.1%","205,983","",""
"WU","WESTERN UN CO","COM","959802109","10,032","0.1%","523,041","",""
"FFIV","F5 NETWORKS INC","COM","315616102","9,956","0.1%","87,460","",""
"VFC","V F CORP","COM","918204108","9,955","0.1%","161,900","",""
"RCL","ROYAL CARIBBEAN CRUISES LTD","COM","V7780T103","9,688","0.1%","144,274","",""
"MXIM","MAXIM INTEGRATED PRODS INC","COM","57772K101","9,595","0.1%","268,844","",""
"EMN","EASTMAN CHEM CO","COM","277432100","9,425","0.1%","138,800","",""
"FNV.TO","FRANCO NEVADA CORP","COM","351858105","9,390","0.1%","124,128","",""
"DHI","D R HORTON INC","COM","23331A109","9,089","0.1%","288,718","",""
"","CITRIX SYS INC","COM","177376100","8,997","0.1%","112,338","",""
