,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,4329000000.0,1153000000.0,3176000000.0,1237000000.0,1305000000.0,968000000.0,0.6000000000000001,1532000000.0,1305000000.0,1588000000.0,7479000000.0,4299000000.0,1037000000.0,14923000000.0,12246000000.0,27169000000.0,436000000.0,6766000000.0,14601000000.0,17446000000.0,24212000000.0,2957000000.0,227000000.0,1187000000.0,-88000000.0,1487000000.0,-636000000.0,-1582000000.0,40.78
2013-06-30,4692000000.0,1054000000.0,3638000000.0,1406000000.0,1453000000.0,1068000000.0,0.66,1689000000.0,1453000000.0,1589000000.0,8754000000.0,3755000000.0,1085000000.0,15662000000.0,12248000000.0,27910000000.0,432000000.0,6805000000.0,14326000000.0,17547000000.0,24352000000.0,3558000000.0,236000000.0,2037000000.0,-119000000.0,233000000.0,-638000000.0,-500000000.0,41.34
2013-09-30,4658000000.0,1092000000.0,3566000000.0,1261000000.0,1371000000.0,964000000.0,0.6000000000000001,1605000000.0,1371000000.0,1590000000.0,9596000000.0,3798000000.0,1172000000.0,16543000000.0,11709000000.0,28252000000.0,434000000.0,6875000000.0,14375000000.0,17800000000.0,24675000000.0,3577000000.0,234000000.0,1798000000.0,-133000000.0,-964000000.0,-640000000.0,-613000000.0,44.73
2013-12-31,5111000000.0,1282000000.0,3829000000.0,1448000000.0,1535000000.0,1128000000.0,0.7000000000000001,1735000000.0,1535000000.0,1589000000.0,9895000000.0,4803000000.0,1150000000.0,17848000000.0,11350000000.0,29198000000.0,431000000.0,6879000000.0,14292000000.0,17827000000.0,24706000000.0,4492000000.0,200000000.0,1245000000.0,-151000000.0,123000000.0,-641000000.0,-747000000.0,52.81
2014-03-31,4563000000.0,1100000000.0,3463000000.0,1340000000.0,1351000000.0,980000000.0,0.61,1550000000.0,1351000000.0,1595000000.0,9100000000.0,4590000000.0,1104000000.0,17329000000.0,11328000000.0,28657000000.0,20000000.0,6216000000.0,14386000000.0,17744000000.0,23960000000.0,4697000000.0,199000000.0,624000000.0,-137000000.0,-797000000.0,-641000000.0,-1277000000.0,51.4
2014-06-30,4926000000.0,1113000000.0,3813000000.0,1448000000.0,1515000000.0,1098000000.0,0.68,1717000000.0,1515000000.0,1594000000.0,10246000000.0,3811000000.0,1048000000.0,17794000000.0,11251000000.0,29045000000.0,271000000.0,6317000000.0,14470000000.0,17510000000.0,23827000000.0,5218000000.0,202000000.0,1717000000.0,-142000000.0,-359000000.0,-673000000.0,-415000000.0,56.44
2014-09-30,5019000000.0,1094000000.0,3925000000.0,1595000000.0,960000000.0,506000000.0,0.31,1152000000.0,960000000.0,1595000000.0,10323000000.0,3995000000.0,1008000000.0,17555000000.0,10899000000.0,28454000000.0,323000000.0,6635000000.0,14469000000.0,17174000000.0,23809000000.0,4645000000.0,192000000.0,1786000000.0,-180000000.0,-2284000000.0,-673000000.0,-719000000.0,57.76
2014-12-31,5452000000.0,1119000000.0,4333000000.0,3341000000.0,-415000000.0,-810000000.0,-0.51,-222000000.0,-415000000.0,1595000000.0,8374000000.0,3735000000.0,1124000000.0,16081000000.0,11432000000.0,27513000000.0,4439000000.0,11393000000.0,10538000000.0,14378000000.0,25771000000.0,1742000000.0,193000000.0,-578000000.0,-153000000.0,2514000000.0,-674000000.0,-882000000.0,65.44
2015-03-31,5040000000.0,942000000.0,4098000000.0,1473000000.0,1687000000.0,1022000000.0,0.63,1845000000.0,1687000000.0,1595000000.0,7924000000.0,4356000000.0,1022000000.0,15408000000.0,11291000000.0,26699000000.0,4590000000.0,11050000000.0,10683000000.0,14272000000.0,25322000000.0,1377000000.0,158000000.0,1585000000.0,-145000000.0,-873000000.0,-786000000.0,-930000000.0,58.54
2015-06-30,5475000000.0,916000000.0,4559000000.0,1703000000.0,1852000000.0,1366000000.0,0.8300000000000001,2042000000.0,1852000000.0,1620000000.0,8279000000.0,4367000000.0,1623000000.0,16877000000.0,36978000000.0,53855000000.0,4007000000.0,11258000000.0,27116000000.0,37093000000.0,48351000000.0,5504000000.0,190000000.0,1832000000.0,-115000000.0,-12511000000.0,-818000000.0,10169000000.0,67.19
