,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,16070000000.0,11801000000.0,4269000000.0,2674000000.0,181000000.0,82000000.0,0.009000000000000001,881000000.0,181000000.0,9100000000.0,7895000000.0,2516000000.0,5395000000.0,16313000000.0,12064000000.0,28377000000.0,0.0,14332000000.0,3040000000.0,5613000000.0,19945000000.0,8432000000.0,700000000.0,-2372000000.0,-670000000.0,-950000000.0,0.0,-157000000.0,13.32
2013-06-30,15704000000.0,11209000000.0,4495000000.0,2798000000.0,79000000.0,-7000000.0,-0.001,836000000.0,79000000.0,9120000000.0,7463000000.0,2861000000.0,5420000000.0,16285000000.0,13338000000.0,29623000000.0,0.0,14735000000.0,3042000000.0,6155000000.0,20890000000.0,8733000000.0,757000000.0,880000000.0,-856000000.0,-1419000000.0,0.0,-209000000.0,13.88
2013-09-30,17092000000.0,12366000000.0,4726000000.0,3006000000.0,-25000000.0,-41000000.0,-0.0045000000000000005,809000000.0,-25000000.0,9140000000.0,7689000000.0,3057000000.0,6068000000.0,17334000000.0,14527000000.0,31861000000.0,0.0,16135000000.0,3043000000.0,6639000000.0,22774000000.0,9087000000.0,834000000.0,1389000000.0,-1039000000.0,-1063000000.0,0.0,-230000000.0,15.63
2013-12-31,25586000000.0,18805000000.0,6781000000.0,4369000000.0,510000000.0,240000000.0,0.026000000000000002,1472000000.0,510000000.0,9140000000.0,12447000000.0,4767000000.0,7411000000.0,24625000000.0,15534000000.0,40159000000.0,0.0,22980000000.0,3191000000.0,7433000000.0,30413000000.0,9746000000.0,962000000.0,5578000000.0,-879000000.0,-844000000.0,0.0,57000000.0,19.94
2014-03-31,19741000000.0,14055000000.0,5686000000.0,3514000000.0,146000000.0,108000000.0,0.0115,1156000000.0,146000000.0,9200000000.0,8666000000.0,3945000000.0,6716000000.0,19327000000.0,17037000000.0,36364000000.0,0.0,18357000000.0,3147000000.0,7679000000.0,26036000000.0,10328000000.0,1010000000.0,-2502000000.0,-1080000000.0,-924000000.0,0.0,-175000000.0,16.82
2014-06-30,19340000000.0,13399000000.0,5941000000.0,3702000000.0,-15000000.0,-126000000.0,-0.0135,1094000000.0,-15000000.0,9220000000.0,7986000000.0,4125000000.0,6644000000.0,18755000000.0,19143000000.0,37898000000.0,0.0,18751000000.0,3119000000.0,8545000000.0,27296000000.0,10602000000.0,1109000000.0,862000000.0,-1290000000.0,-730000000.0,0.0,-189000000.0,16.24
2014-09-30,20579000000.0,14627000000.0,5952000000.0,4042000000.0,-544000000.0,-437000000.0,-0.0475,703000000.0,-544000000.0,9260000000.0,6883000000.0,4373000000.0,7316000000.0,18572000000.0,21847000000.0,40419000000.0,0.0,20842000000.0,3099000000.0,9241000000.0,30083000000.0,10336000000.0,1247000000.0,1767000000.0,-1378000000.0,-946000000.0,0.0,-413000000.0,16.12
2014-12-31,29328000000.0,20671000000.0,8657000000.0,5392000000.0,591000000.0,214000000.0,0.023,1971000000.0,591000000.0,9240000000.0,17416000000.0,5612000000.0,8299000000.0,31327000000.0,23178000000.0,54505000000.0,0.0,28089000000.0,8265000000.0,15675000000.0,43764000000.0,10741000000.0,1380000000.0,6715000000.0,-1145000000.0,-2465000000.0,0.0,5209000000.0,15.52
2015-03-31,22717000000.0,15395000000.0,7322000000.0,4269000000.0,255000000.0,-57000000.0,-0.006,1681000000.0,255000000.0,9300000000.0,13781000000.0,4772000000.0,7369000000.0,25922000000.0,24153000000.0,50075000000.0,0.0,23177000000.0,8257000000.0,16025000000.0,39202000000.0,10873000000.0,1426000000.0,-1499000000.0,-871000000.0,-1847000000.0,0.0,-652000000.0,18.6
2015-06-30,23185000000.0,15160000000.0,8025000000.0,4493000000.0,464000000.0,92000000.0,0.01,1968000000.0,464000000.0,9340000000.0,14001000000.0,4920000000.0,7470000000.0,26391000000.0,26049000000.0,52440000000.0,0.0,23912000000.0,8250000000.0,16760000000.0,40672000000.0,11768000000.0,1504000000.0,1997000000.0,-1213000000.0,-1376000000.0,0.0,-692000000.0,21.7
