,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1324000000.0,416000000.0,908000000.0,196000000.0,587000000.0,456000000.0,0.4,694000000.0,587000000.0,1113000000.0,4618000000.0,237000000.0,159000000.0,5803000000.0,7922000000.0,13725000000.0,0.0,1899000000.0,0.0,291000000.0,2190000000.0,11535000000.0,107000000.0,325000000.0,-17000000.0,80000000.0,0.0,23000000.0,14.57
2013-06-30,1050000000.0,285000000.0,765000000.0,212000000.0,430000000.0,318000000.0,0.28,496000000.0,430000000.0,1118000000.0,4546000000.0,117000000.0,131000000.0,5629000000.0,7782000000.0,13411000000.0,0.0,1193000000.0,0.0,283000000.0,1476000000.0,11935000000.0,66000000.0,109000000.0,-19000000.0,96000000.0,-216000000.0,-199000000.0,14.26
2013-09-30,691000000.0,175000000.0,516000000.0,306000000.0,70000000.0,56000000.0,0.05,181000000.0,70000000.0,1122000000.0,6821000000.0,205000000.0,313000000.0,8251000000.0,7809000000.0,16060000000.0,0.0,1433000000.0,2211000000.0,2488000000.0,3921000000.0,12139000000.0,111000000.0,-50000000.0,-22000000.0,15000000.0,0.0,47000000.0,16.68
2013-12-31,1518000000.0,655000000.0,863000000.0,382000000.0,285000000.0,157000000.0,0.23,317000000.0,285000000.0,1024000000.0,4443000000.0,510000000.0,171000000.0,6241000000.0,7771000000.0,14012000000.0,25000000.0,2405000000.0,4668000000.0,4985000000.0,7390000000.0,6622000000.0,32000000.0,880000000.0,-16000000.0,117000000.0,0.0,-1094000000.0,17.83
2014-03-31,1111000000.0,342000000.0,769000000.0,199000000.0,427000000.0,293000000.0,0.4,499000000.0,427000000.0,709000000.0,4287000000.0,219000000.0,158000000.0,5694000000.0,7834000000.0,13528000000.0,0.0,1893000000.0,4320000000.0,4711000000.0,6604000000.0,6924000000.0,72000000.0,136000000.0,-37000000.0,-12000000.0,0.0,-252000000.0,20.44
2014-06-30,970000000.0,300000000.0,670000000.0,248000000.0,310000000.0,200000000.0,0.28,376000000.0,310000000.0,716000000.0,4204000000.0,107000000.0,151000000.0,5474000000.0,7886000000.0,13360000000.0,0.0,1443000000.0,4321000000.0,4746000000.0,6189000000.0,7171000000.0,66000000.0,106000000.0,-25000000.0,-22000000.0,-147000000.0,-144000000.0,22.3
2014-09-30,753000000.0,253000000.0,500000000.0,361000000.0,8000000.0,-23000000.0,-0.03,67000000.0,8000000.0,718000000.0,3828000000.0,689000000.0,222000000.0,5957000000.0,7898000000.0,13855000000.0,0.0,2112000000.0,4322000000.0,4751000000.0,6863000000.0,6992000000.0,59000000.0,-145000000.0,-28000000.0,-46000000.0,0.0,22000000.0,20.79
2014-12-31,1574000000.0,630000000.0,944000000.0,321000000.0,438000000.0,347000000.0,0.49,594000000.0,438000000.0,716000000.0,4858000000.0,659000000.0,123000000.0,6541000000.0,8101000000.0,14642000000.0,0.0,2714000000.0,4324000000.0,4695000000.0,7409000000.0,7233000000.0,156000000.0,1234000000.0,-17000000.0,-4000000.0,0.0,-39000000.0,20.15
2015-03-31,1278000000.0,413000000.0,865000000.0,178000000.0,542000000.0,394000000.0,0.54,706000000.0,542000000.0,723000000.0,4470000000.0,208000000.0,102000000.0,5863000000.0,7914000000.0,13777000000.0,0.0,1899000000.0,4075000000.0,4640000000.0,6539000000.0,7238000000.0,164000000.0,209000000.0,-21000000.0,-16000000.0,0.0,-212000000.0,22.73
2015-06-30,1044000000.0,297000000.0,747000000.0,266000000.0,332000000.0,212000000.0,0.29,437000000.0,332000000.0,727000000.0,4521000000.0,201000000.0,117000000.0,6051000000.0,7964000000.0,14015000000.0,0.0,1545000000.0,4077000000.0,4669000000.0,6214000000.0,7801000000.0,105000000.0,135000000.0,-28000000.0,-128000000.0,-170000000.0,-148000000.0,24.21
