,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,8400000000.0,519000000.0,7881000000.0,5972000000.0,1909000000.0,1269000000.0,1.15,1099000000.0,27964000000.0,135528000000.0,21327000000.0,156855000000.0,0.0,63122000000.0,56366000000.0,74443000000.0,137565000000.0,19290000000.0,245000000.0,7547000000.0,-204000000.0,32000000.0,-222000000.0,-1830000000.0,67.46
2013-06-30,8737000000.0,492000000.0,8245000000.0,6250000000.0,1995000000.0,1392000000.0,1.28,1090000000.0,23129000000.0,132308000000.0,19625000000.0,151933000000.0,0.0,61914000000.0,52675000000.0,70985000000.0,132899000000.0,19034000000.0,252000000.0,2682000000.0,-271000000.0,-1962000000.0,-221000000.0,-5444000000.0,74.76
2013-09-30,8785000000.0,484000000.0,8301000000.0,6297000000.0,2004000000.0,1354000000.0,1.26,1074000000.0,22286000000.0,130998000000.0,19105000000.0,150103000000.0,0.0,61183000000.0,52529000000.0,69704000000.0,130887000000.0,19216000000.0,266000000.0,-2026000000.0,-160000000.0,463000000.0,-250000000.0,682000000.0,75.52
2013-12-31,8906000000.0,463000000.0,8443000000.0,6463000000.0,1980000000.0,1297000000.0,1.22,1082000000.0,19486000000.0,133256000000.0,20119000000.0,153375000000.0,0.0,61639000000.0,55330000000.0,72240000000.0,133879000000.0,19496000000.0,257000000.0,344000000.0,-371000000.0,-5802000000.0,-246000000.0,2701000000.0,90.73
2014-03-31,8612000000.0,439000000.0,8173000000.0,5965000000.0,2208000000.0,1432000000.0,1.34,1060000000.0,20740000000.0,131590000000.0,19907000000.0,151497000000.0,0.0,61179000000.0,54095000000.0,70341000000.0,131520000000.0,19977000000.0,249000000.0,3285000000.0,-226000000.0,1557000000.0,-246000000.0,-3561000000.0,90.03
2014-06-30,9074000000.0,443000000.0,8631000000.0,6319000000.0,2312000000.0,1517000000.0,1.44,1052000000.0,18430000000.0,132947000000.0,19437000000.0,152384000000.0,0.0,60935000000.0,54836000000.0,71236000000.0,132171000000.0,20213000000.0,266000000.0,1600000000.0,-320000000.0,-3133000000.0,-243000000.0,-815000000.0,94.87
2014-09-30,8723000000.0,420000000.0,8303000000.0,6057000000.0,2246000000.0,1466000000.0,1.4100000000000001,1041000000.0,21264000000.0,134346000000.0,19516000000.0,153862000000.0,0.0,61134000000.0,55712000000.0,72512000000.0,133646000000.0,20216000000.0,249000000.0,3701000000.0,-308000000.0,-1404000000.0,-281000000.0,644000000.0,87.54
2014-12-31,9486000000.0,405000000.0,9081000000.0,6856000000.0,2225000000.0,1424000000.0,1.4,1045000000.0,22288000000.0,139392000000.0,19711000000.0,159103000000.0,0.0,62624000000.0,57955000000.0,75806000000.0,138430000000.0,20673000000.0,248000000.0,2404000000.0,-341000000.0,-4987000000.0,-271000000.0,3743000000.0,93.04
2015-03-31,8360000000.0,410000000.0,7950000000.0,5634000000.0,2316000000.0,1514000000.0,1.49,1019000000.0,23572000000.0,135856000000.0,18828000000.0,154684000000.0,0.0,61296000000.0,54712000000.0,71558000000.0,132854000000.0,21830000000.0,251000000.0,2126000000.0,-256000000.0,2821000000.0,-268000000.0,-3542000000.0,78.12
2015-06-30,8698000000.0,414000000.0,8284000000.0,6054000000.0,2230000000.0,1442000000.0,1.43,1009000000.0,21071000000.0,137170000000.0,19982000000.0,157152000000.0,0.0,65933000000.0,52740000000.0,69334000000.0,135267000000.0,21885000000.0,263000000.0,2109000000.0,-281000000.0,-5751000000.0,-265000000.0,1119000000.0,77.72
