,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2014-12-31,1087000000.0,723100100.0,363899800.0,244800000.0,85899900.0,-2200000.0,-0.01,170799900.0,85899900.0,229300000.0,386800000.0,820400000.0,538300000.0,1872900000.0,4297800000.0,6170700000.0,40100000.0,946700000.0,3574200000.0,4112000000.0,5058700000.0,1112000000.0,84900000.0,192000000.0,-32800000.0,-24800000.0,-600000.0,-2700000.0,26.02
2015-03-31,997500000.0,649800000.0,347700000.0,213000000.0,101800000.0,45100000.0,0.2,179400000.0,101800000.0,229800000.0,225700000.0,833000000.0,541300000.0,1750800000.0,4147600000.0,5898400000.0,41600000.0,798000000.0,3566700000.0,4052200000.0,4850200000.0,1048200000.0,77600000.0,-98700000.0,-31500000.0,-30200000.0,-3500000.0,-19700000.0,27.62
2015-06-30,1101100000.0,679700000.0,421400000.0,245500000.0,143000000.0,-25100000.0,-0.11,225700000.0,143000000.0,232300000.0,310600000.0,869500000.0,555000000.0,1863800000.0,4067000000.0,5930800000.0,50700000.0,837100000.0,3508600000.0,3981500000.0,4818600000.0,1112200000.0,82700000.0,103700000.0,-25100000.0,-26700000.0,-600000.0,43100000.0,33.08
2015-09-30,1005100000.0,628600000.0,376500000.0,219200000.0,123900000.0,35100000.0,0.15,204600000.0,123900000.0,235900000.0,414500000.0,833300000.0,540700000.0,1915200000.0,3983700000.0,5898900000.0,48800000.0,829900000.0,3504700000.0,3964700000.0,4794600000.0,1104300000.0,80700000.0,158800000.0,-37200000.0,-54200000.0,-300000.0,6700000.0,25.34
2015-12-31,1006300000.0,639200000.0,367099900.0,237100000.0,96899700.0,36500000.0,0.16,184199700.0,96899900.0,233800000.0,487700000.0,765800000.0,530700000.0,1847800000.0,3982300000.0,5830100000.0,50100000.0,875000000.0,3391400000.0,3813900000.0,4688900000.0,1141200000.0,87300000.0,246000000.0,-44300000.0,-55100000.0,-300000.0,-114800000.0,26.65
2016-03-31,961600000.0,606400000.0,355200000.0,219100000.0,103299900.0,30900000.0,0.13,184399900.0,103299900.0,237100000.0,422300000.0,792700000.0,543400000.0,1878000000.0,3955100000.0,5833100000.0,53700000.0,781200000.0,3405100000.0,3850900000.0,4632100000.0,1201000000.0,81100000.0,-13300000.0,-40300000.0,-43200000.0,-1500000.0,-7000000.0,29.2
2016-06-30,1070600000.0,649000000.0,421600000.0,237700000.0,149500000.0,50700000.0,0.2,233100000.0,149500000.0,237700000.0,483200000.0,838600000.0,519700000.0,1961800000.0,3874000000.0,5835800000.0,55100000.0,850100000.0,3298100000.0,3730900000.0,4581000000.0,1254800000.0,83600000.0,199300000.0,-24500000.0,-24000000.0,0.0,-108000000.0,26.53
2016-09-30,1026300000.0,630400000.0,395900000.0,242300000.0,117400000.0,-6600000.0,-0.04,203100000.0,117400000.0,238500000.0,531100000.0,871300000.0,545600000.0,2072600000.0,4069900000.0,6142500000.0,54200000.0,916100000.0,3428100000.0,3895600000.0,4811700000.0,1330800000.0,85700000.0,145300000.0,-30500000.0,-137900000.0,-1500000.0,42200000.0,28.27
2016-12-31,1034200000.0,643000000.0,391200000.0,260700000.0,34900300.0,-36200000.0,-0.15,124400300.0,34900200.0,238100000.0,538100000.0,801900000.0,529700000.0,1920000000.0,3946200000.0,5866200000.0,27900000.0,942100000.0,3236000000.0,3677500000.0,4619600000.0,1246600000.0,89500000.0,228000000.0,-40900000.0,-51900000.0,0.0,-159800000.0,27.2
2017-03-31,1013700000.0,641400000.0,372300000.0,224600000.0,110400000.0,64100000.0,0.27,194900000.0,110400000.0,239800000.0,442000000.0,872200000.0,559100000.0,1935400000.0,4025000000.0,5960400000.0,29000000.0,851500000.0,3278300000.0,3725100000.0,4576600000.0,1383800000.0,84500000.0,-4700000.0,-32300000.0,-89400000.0,-400000.0,-4600000.0,32.2
2017-06-30,1094600000.0,690000000.0,404600000.0,246000000.0,47500000.0,-20800000.0,-0.09,134500000.0,47500000.0,240900000.0,485000000.0,961400000.0,580100000.0,2095000000.0,4562100000.0,6657100000.0,35500000.0,981600000.0,3823400000.0,4284000000.0,5265600000.0,1391500000.0,87000000.0,98800000.0,-25100000.0,-505900000.0,-500000.0,441900000.0,32.04
2017-09-30,1096300000.0,702500000.0,393800000.0,246500000.0,103900100.0,54900000.0,0.23,194400100.0,103900100.0,240700000.0,592000000.0,889000000.0,624400000.0,2174100000.0,4638500000.0,6812600000.0,37800000.0,1030400000.0,3865200000.0,4347900000.0,5378300000.0,1434300000.0,90500000.0,212300000.0,-29800000.0,-51400000.0,-1800000.0,-56600000.0,28.92
2017-12-31,1172400000.0,746600000.0,425800200.0,217600000.0,101900000.0,-61500000.0,-0.26,195400000.0,101899900.0,240400000.0,772900000.0,870200000.0,608600000.0,2315600000.0,4516600000.0,6832200000.0,37700000.0,1082200000.0,3877900000.0,4342200000.0,5424400000.0,1407800000.0,93500000.0,233600000.0,-37800000.0,-42900000.0,-300000.0,-13400000.0,32.36
2018-03-31,1172000000.0,776000000.0,396000000.0,227800000.0,120000000.0,69900000.0,0.29,213800000.0,120000000.0,240900000.0,603300000.0,940900000.0,641800000.0,2302900000.0,4644500000.0,6947400000.0,41800000.0,1019500000.0,3919500000.0,4403500000.0,5423000000.0,1524400000.0,93800000.0,-21000000.0,-39500000.0,-117700000.0,-1000000.0,-41200000.0,30.19
2018-06-30,1212200000.0,793800000.0,418400000.0,224600000.0,146500000.0,74900000.0,0.31,238700000.0,146500000.0,240300000.0,553800000.0,974500000.0,599900000.0,2257700000.0,4438500000.0,6696200000.0,39900000.0,993900000.0,3842200000.0,4296400000.0,5290300000.0,1405900000.0,92200000.0,142000000.0,-35100000.0,-29800000.0,0.0,-143000000.0,30.31
2018-09-30,1146000000.0,759100000.0,386900000.0,293400000.0,47800100.0,-13100000.0,-0.05,142500000.0,47800100.0,238700000.0,590900000.0,958200000.0,618600000.0,2296200000.0,4464600000.0,6760800000.0,42500000.0,1031300000.0,3852000000.0,4383400000.0,5414700000.0,1346100000.0,94700000.0,124500000.0,-34900000.0,-30100000.0,0.0,-55200000.0,29.16
2018-12-31,1165800000.0,777400100.0,388399900.0,130600000.0,127799600.0,75400000.0,0.32,224199600.0,127799600.0,239000000.0,696400000.0,860800000.0,613000000.0,2309600000.0,4366100000.0,6675700000.0,42200000.0,1040600000.0,3821800000.0,4324600000.0,5365200000.0,1310500000.0,96400000.0,250600000.0,-33900000.0,-11600000.0,0.0,-128800000.0,23.42
2019-03-31,1119300000.0,751300000.0,368000100.0,215600000.0,98600100.0,43400000.0,0.19,192400100.0,98600100.0,234100000.0,503900000.0,920500000.0,626800000.0,2261600000.0,4411800000.0,6673400000.0,43500000.0,1021500000.0,3809000000.0,4372300000.0,5393800000.0,1279600000.0,93800000.0,-57900000.0,-20500000.0,-18800000.0,0.0,-101800000.0,25.21
2019-06-30,1157500000.0,748400000.0,409100000.0,202400000.0,157899900.0,98400000.0,0.42,248799900.0,157899900.0,233300000.0,584600000.0,980600000.0,610900000.0,2312100000.0,4380800000.0,6692900000.0,43700000.0,996800000.0,3812400000.0,4389000000.0,5385800000.0,1307100000.0,90900000.0,126700000.0,-26700000.0,-14900000.0,0.0,-46100000.0,29.77
2019-09-30,1107000000.0,707400000.0,399600000.0,199200000.0,122999900.0,65500000.0,0.28,212299900.0,122999900.0,233900000.0,770100000.0,935700000.0,597300000.0,2433100000.0,4256900000.0,6690000000.0,42400000.0,1034900000.0,3772300000.0,4315400000.0,5350300000.0,1339700000.0,89300000.0,221000000.0,-26700000.0,-25300000.0,0.0,2900000.0,30.15
2019-12-31,1098400000.0,710800000.0,387600200.0,204900000.0,108700400.0,41700000.0,0.18,196500400.0,108700500.0,233900000.0,1020500000.0,830100000.0,591600000.0,2573400000.0,4244600000.0,6818000000.0,43900000.0,1072900000.0,3790200000.0,4335500000.0,5408400000.0,1409600000.0,87800000.0,283300000.0,-38600000.0,-34900000.0,0.0,-13400000.0,30.4
