,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1917000000.0,1258000000.0,659000000.0,0.0,223000000.0,-42000000.0,-0.4645,648000000.0,223000000.0,90715700.0,92000000.0,208000000.0,374000000.0,15265000000.0,15639000000.0,0.0,1290000000.0,12816000000.0,14220000000.0,15510000000.0,129000000.0,425000000.0,541000000.0,-412000000.0,-432000000.0,0.0,-51000000.0,104.18
2013-06-30,1972000000.0,1295000000.0,677000000.0,0.0,236000000.0,-96000000.0,-1.0617,672000000.0,236000000.0,90963400.0,44000000.0,223000000.0,333000000.0,15256000000.0,15589000000.0,0.0,1280000000.0,12812000000.0,14248000000.0,15528000000.0,61000000.0,436000000.0,484000000.0,-422000000.0,-414000000.0,0.0,-91000000.0,123.85
2013-09-30,2118000000.0,1397000000.0,721000000.0,0.0,209000000.0,-70000000.0,-0.7521,702000000.0,209000000.0,93063900.0,41000000.0,235000000.0,357000000.0,16893000000.0,17250000000.0,0.0,1382000000.0,14306000000.0,15807000000.0,17189000000.0,61000000.0,493000000.0,538000000.0,-425000000.0,-1080000000.0,0.0,539000000.0,134.76
2013-12-31,2148000000.0,1395000000.0,753000000.0,0.0,241000000.0,39000000.0,0.4203,741000000.0,241000000.0,92169600.0,21000000.0,234000000.0,322000000.0,16973000000.0,17295000000.0,0.0,1467000000.0,14181000000.0,15677000000.0,17144000000.0,151000000.0,500000000.0,595000000.0,-566000000.0,-517000000.0,0.0,-98000000.0,136.76
2014-03-31,2202000000.0,1447000000.0,755000000.0,0.0,240000000.0,-37000000.0,-0.3871,745000000.0,240000000.0,96242200.0,4000000.0,217000000.0,304000000.0,16993000000.0,17297000000.0,0.0,1523000000.0,14090000000.0,15647000000.0,17170000000.0,127000000.0,505000000.0,577000000.0,-539000000.0,-499000000.0,0.0,-95000000.0,123.2
2014-06-30,2259000000.0,1479000000.0,780000000.0,0.0,236000000.0,-45000000.0,-0.4645,764000000.0,236000000.0,97631900.0,9000000.0,252000000.0,337000000.0,17032000000.0,17369000000.0,0.0,1606000000.0,14019000000.0,15644000000.0,17250000000.0,119000000.0,528000000.0,632000000.0,-570000000.0,-567000000.0,0.0,-60000000.0,158.38
2014-09-30,2287000000.0,1518000000.0,769000000.0,0.0,218000000.0,-53000000.0,-0.5419,753000000.0,218000000.0,98370600.0,10000000.0,270000000.0,370000000.0,20580000000.0,20950000000.0,0.0,1586000000.0,17595000000.0,19267000000.0,20853000000.0,97000000.0,535000000.0,520000000.0,-569000000.0,-4099000000.0,0.0,3580000000.0,151.37
2014-12-31,2360000000.0,1529000000.0,831000000.0,0.0,277000000.0,-48000000.0,-0.48660000000000003,811000000.0,277000000.0,97992000.0,3000000.0,285000000.0,345000000.0,24043000000.0,24388000000.0,0.0,1635000000.0,20887000000.0,22607000000.0,24242000000.0,146000000.0,534000000.0,630000000.0,-543000000.0,-4139000000.0,0.0,3502000000.0,166.62
2015-03-31,2362000000.0,1581000000.0,781000000.0,0.0,249000000.0,-81000000.0,-0.8073,763000000.0,249000000.0,100959400.0,7132000000.0,264000000.0,7502000000.0,16908000000.0,24410000000.0,6983000000.0,8569000000.0,13981000000.0,15764000000.0,24333000000.0,77000000.0,514000000.0,528000000.0,-351000000.0,-441000000.0,0.0,-70000000.0,193.11
2015-06-30,2430000000.0,1601000000.0,829000000.0,0.0,269000000.0,-122000000.0,-1.2055,797000000.0,269000000.0,101075000.0,30000000.0,321000000.0,456000000.0,16863000000.0,17319000000.0,0.0,1636000000.0,13896000000.0,15714000000.0,17350000000.0,-31000000.0,528000000.0,531000000.0,-432000000.0,6683000000.0,0.0,-7204000000.0,171.25
2015-09-30,2450000000.0,1620000000.0,830000000.0,0.0,273000000.0,54000000.0,0.5309,811000000.0,273000000.0,101205000.0,0.0,292000000.0,406000000.0,36467000000.0,36873000000.0,0.0,1829000000.0,33281000000.0,34984000000.0,36813000000.0,60000000.0,538000000.0,689000000.0,-509000000.0,-20107000000.0,0.0,19388000000.0,175.85
2015-12-31,2512000000.0,1624000000.0,888000000.0,0.0,323000000.0,-122000000.0,-1.2055,868000000.0,323000000.0,101153000.0,5000000.0,279000000.0,345000000.0,38971000000.0,39316000000.0,0.0,1972000000.0,35723000000.0,37390000000.0,39362000000.0,-46000000.0,545000000.0,611000000.0,-548000000.0,-3167000000.0,0.0,2561000000.0,183.1
2016-03-31,2530000000.0,1671000000.0,859000000.0,0.0,302000000.0,-188000000.0,-1.858,841000000.0,302000000.0,101552000.0,1278000000.0,253000000.0,1612000000.0,38912000000.0,40524000000.0,0.0,1925000000.0,37124000000.0,38818000000.0,40743000000.0,-219000000.0,539000000.0,424000000.0,-429000000.0,-536000000.0,0.0,1385000000.0,202.43
2016-06-30,6161000000.0,4004000000.0,2157000000.0,0.0,170000000.0,3067000000.0,16.73,1606000000.0,170000000.0,183363000.0,555000000.0,1340000000.0,2325000000.0,146870000000.0,149195000000.0,2071000000.0,8807000000.0,60132000000.0,89356000000.0,98163000000.0,51032000000.0,1436000000.0,1590000000.0,-1260000000.0,-7567000000.0,-18000000.0,5254000000.0,228.64
2016-09-30,10037000000.0,6482000000.0,3555000000.0,0.0,911000000.0,189000000.0,0.7000000000000001,3348000000.0,911000000.0,271263000.0,1165000000.0,1242000000.0,2781000000.0,146116000000.0,148897000000.0,2050000000.0,8647000000.0,59946000000.0,89175000000.0,97822000000.0,51075000000.0,2437000000.0,2801000000.0,-1748000000.0,-1802000000.0,-37000000.0,-389000000.0,269.97
2016-12-31,10275000000.0,6498000000.0,3777000000.0,0.0,1073000000.0,454000000.0,1.69,3568000000.0,1073000000.0,206539000.0,1535000000.0,1432000000.0,3300000000.0,145767000000.0,149067000000.0,2028000000.0,9572000000.0,59719000000.0,89129000000.0,98701000000.0,50366000000.0,2495000000.0,3226000000.0,-1888000000.0,-23649000000.0,-41000000.0,-1471000000.0,287.92
2017-03-31,10164000000.0,6579000000.0,3585000000.0,0.0,941000000.0,155000000.0,0.58,3491000000.0,941000000.0,269005000.0,2920000000.0,1311000000.0,4666000000.0,144778000000.0,149444000000.0,2007000000.0,9520000000.0,60837000000.0,90020000000.0,99540000000.0,49904000000.0,2550000000.0,2843000000.0,-1555000000.0,-1712000000.0,-38000000.0,254000000.0,327.32
2017-06-30,10357000000.0,6575000000.0,3782000000.0,0.0,1052000000.0,139000000.0,0.53,3647000000.0,1052000000.0,263461000.0,694000000.0,1489000000.0,2564000000.0,144396000000.0,146960000000.0,0.0,8123000000.0,63248000000.0,92404000000.0,100527000000.0,46433000000.0,2595000000.0,2945000000.0,-2148000000.0,-1843000000.0,-37000000.0,-3328000000.0,336.85
2017-09-30,10458000000.0,6703000000.0,3755000000.0,0.0,909000000.0,48000000.0,0.19,3610000000.0,909000000.0,253924000.0,2164000000.0,1652000000.0,4132000000.0,144096000000.0,148228000000.0,2068000000.0,10419000000.0,66064000000.0,95231000000.0,105650000000.0,42578000000.0,2701000000.0,2908000000.0,-2393000000.0,-2328000000.0,-40000000.0,890000000.0,363.42
