,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2014-09-30,1184000000.0,397000000.0,787000000.0,209000000.0,249000000.0,33000000.0,0.1,339000000.0,249000000.0,341000000.0,673000000.0,243000000.0,2171000000.0,31674000000.0,33845000000.0,754000000.0,3231000000.0,5320000000.0,8020000000.0,11251000000.0,22594000000.0,90000000.0,237000000.0,-42000000.0,-132000000.0,0.0,-294000000.0,26.0
2014-12-31,1095000000.0,413000000.0,682000000.0,233000000.0,206000000.0,73000000.0,0.21,293000000.0,206000000.0,342000000.0,880000000.0,235000000.0,1385000000.0,28884000000.0,30269000000.0,257000000.0,2650000000.0,5588000000.0,7443000000.0,10093000000.0,20176000000.0,87000000.0,327000000.0,206000000.0,-10000000.0,0.0,-13000000.0,25.65
2015-03-31,1081000000.0,398000000.0,683000000.0,202000000.0,245000000.0,-19000000.0,-0.06,329000000.0,245000000.0,342000000.0,1245000000.0,228000000.0,2737000000.0,28693000000.0,31430000000.0,258000000.0,2684000000.0,6213000000.0,9106000000.0,11790000000.0,19640000000.0,84000000.0,315000000.0,-64000000.0,144000000.0,0.0,32000000.0,27.97
2015-06-30,1222000000.0,520000000.0,702000000.0,199000000.0,171000000.0,61000000.0,0.18,263000000.0,171000000.0,339000000.0,841000000.0,332000000.0,2478000000.0,28633000000.0,31111000000.0,258000000.0,2970000000.0,6299000000.0,9182000000.0,12152000000.0,18959000000.0,92000000.0,367000000.0,-75000000.0,-27000000.0,0.0,-722000000.0,26.28
2015-09-30,1284000000.0,434000000.0,850000000.0,207000000.0,321000000.0,-22000000.0,-0.07,417000000.0,321000000.0,335000000.0,607000000.0,278000000.0,2110000000.0,28570000000.0,30680000000.0,256000000.0,2761000000.0,6546000000.0,9477000000.0,12238000000.0,18442000000.0,96000000.0,211000000.0,-37000000.0,-66000000.0,0.0,-347000000.0,25.23
2015-12-31,1208000000.0,471000000.0,737000000.0,253000000.0,217000000.0,44000000.0,0.13,307000000.0,217000000.0,338000000.0,201000000.0,247000000.0,691000000.0,29107000000.0,29798000000.0,255000000.0,2813000000.0,6626000000.0,8854000000.0,11667000000.0,18131000000.0,90000000.0,339000000.0,-120000000.0,-337000000.0,0.0,-389000000.0,27.88
2016-03-31,1204000000.0,467000000.0,737000000.0,201000000.0,781000000.0,364000000.0,1.09,868000000.0,781000000.0,335000000.0,663000000.0,244000000.0,1164000000.0,29162000000.0,30326000000.0,256000000.0,2965000000.0,6862000000.0,9276000000.0,12241000000.0,18085000000.0,87000000.0,887000000.0,-67000000.0,-125000000.0,0.0,-361000000.0,27.89
2016-06-30,1366000000.0,486000000.0,880000000.0,208000000.0,328000000.0,82000000.0,0.04,421000000.0,328000000.0,789000000.0,1229000000.0,276000000.0,1768000000.0,29121000000.0,30889000000.0,256000000.0,2995000000.0,7275000000.0,9843000000.0,12838000000.0,18051000000.0,93000000.0,375000000.0,-93000000.0,39000000.0,0.0,213000000.0,18.97
2016-09-30,1385000000.0,489000000.0,896000000.0,235000000.0,352000000.0,115000000.0,0.49,444000000.0,352000000.0,468000000.0,940000000.0,274000000.0,1472000000.0,30091000000.0,31563000000.0,609000000.0,3286000000.0,7510000000.0,10284000000.0,13570000000.0,17993000000.0,92000000.0,389000000.0,-158000000.0,-924000000.0,0.0,246000000.0,28.14
2016-12-31,1321000000.0,552000000.0,769000000.0,242000000.0,273000000.0,119000000.0,0.48,355000000.0,273000000.0,800000000.0,562000000.0,240000000.0,1029000000.0,30348000000.0,31377000000.0,5000000.0,2872000000.0,8013000000.0,10789000000.0,13661000000.0,17716000000.0,82000000.0,520000000.0,-250000000.0,-254000000.0,-16000000.0,-644000000.0,31.33
2017-03-31,1395000000.0,565000000.0,830000000.0,239000000.0,259000000.0,-21000000.0,-0.55,423000000.0,259000000.0,557000000.0,1071000000.0,280000000.0,1708000000.0,39294000000.0,41002000000.0,48000000.0,3512000000.0,13306000000.0,16714000000.0,20226000000.0,20776000000.0,164000000.0,403000000.0,-156000000.0,-1797000000.0,-15000000.0,1902000000.0,34.15
2017-06-30,2140000000.0,928000000.0,1212000000.0,288000000.0,422000000.0,94000000.0,-0.13,645000000.0,422000000.0,591000000.0,744000000.0,363000000.0,1433000000.0,39951000000.0,41384000000.0,5000000.0,3311000000.0,13519000000.0,16989000000.0,20300000000.0,21084000000.0,223000000.0,336000000.0,-110000000.0,-671000000.0,-15000000.0,4000000.0,36.62
2017-09-30,2065000000.0,873000000.0,1192000000.0,324000000.0,382000000.0,168000000.0,-0.17,610000000.0,382000000.0,601000000.0,783000000.0,353000000.0,1435000000.0,40418000000.0,41853000000.0,47000000.0,3354000000.0,13445000000.0,17045000000.0,20399000000.0,21454000000.0,228000000.0,575000000.0,-141000000.0,-446000000.0,-15000000.0,-91000000.0,38.09
2017-12-31,1994000000.0,955000000.0,1039000000.0,296000000.0,331000000.0,1113000000.0,1.8,540000000.0,331000000.0,592000000.0,1029000000.0,358000000.0,1743000000.0,40253000000.0,41996000000.0,768000000.0,3979000000.0,13186000000.0,15443000000.0,19422000000.0,22574000000.0,209000000.0,418000000.0,-89000000.0,-223000000.0,-15000000.0,61000000.0,34.16
2018-03-31,1517000000.0,615000000.0,902000000.0,265000000.0,227000000.0,131000000.0,-0.07,443000000.0,227000000.0,618000000.0,1042000000.0,394000000.0,1919000000.0,40621000000.0,42540000000.0,36000000.0,3587000000.0,14077000000.0,16478000000.0,20065000000.0,22475000000.0,216000000.0,624000000.0,-89000000.0,-424000000.0,-15000000.0,-170000000.0,30.85
2018-06-30,2199000000.0,1051000000.0,1148000000.0,300000000.0,374000000.0,172000000.0,0.04,605000000.0,374000000.0,615000000.0,485000000.0,428000000.0,1327000000.0,40480000000.0,41807000000.0,18000000.0,3655000000.0,13252000000.0,15687000000.0,19342000000.0,22465000000.0,231000000.0,644000000.0,-102000000.0,124000000.0,-14000000.0,-1281000000.0,37.13
2018-09-30,2315000000.0,1015000000.0,1300000000.0,288000000.0,531000000.0,268000000.0,0.18,765000000.0,531000000.0,612000000.0,355000000.0,440000000.0,1241000000.0,40383000000.0,41624000000.0,18000000.0,3379000000.0,13380000000.0,15876000000.0,19255000000.0,22369000000.0,234000000.0,367000000.0,-74000000.0,-82000000.0,-15000000.0,-398000000.0,37.19
2018-12-31,2009000000.0,900000000.0,1109000000.0,326000000.0,379000000.0,-40000000.0,-0.8,603000000.0,379000000.0,624000000.0,358000000.0,364000000.0,1082000000.0,39746000000.0,40828000000.0,17000000.0,3244000000.0,13371000000.0,15886000000.0,19130000000.0,21698000000.0,224000000.0,521000000.0,-138000000.0,12000000.0,-15000000.0,-531000000.0,30.7
2019-03-31,2012000000.0,896000000.0,1116000000.0,399000000.0,200000000.0,-158000000.0,-0.64,448000000.0,200000000.0,605000000.0,633000000.0,728000000.0,1732000000.0,42178000000.0,43910000000.0,13000000.0,3961000000.0,14026000000.0,16754000000.0,20715000000.0,23195000000.0,248000000.0,649000000.0,-113000000.0,254000000.0,-19000000.0,-685000000.0,35.05
2019-06-30,2805000000.0,1323000000.0,1482000000.0,436000000.0,461000000.0,116000000.0,-0.33,732000000.0,461000000.0,611000000.0,697000000.0,849000000.0,1931000000.0,41769000000.0,43700000000.0,13000000.0,3973000000.0,14411000000.0,17246000000.0,21219000000.0,22481000000.0,271000000.0,523000000.0,-108000000.0,258000000.0,-17000000.0,-700000000.0,37.41
2019-09-30,2856000000.0,1314000000.0,1542000000.0,440000000.0,507000000.0,193000000.0,0.18,778000000.0,507000000.0,609000000.0,694000000.0,778000000.0,1936000000.0,41709000000.0,43645000000.0,0.0,3882000000.0,14707000000.0,17585000000.0,21467000000.0,22178000000.0,271000000.0,598000000.0,-117000000.0,-102000000.0,-16000000.0,-469000000.0,41.59
2019-12-31,2619000000.0,1288000000.0,1331000000.0,530000000.0,302000000.0,-45000000.0,-0.55,573000000.0,302000000.0,611000000.0,1222000000.0,767000000.0,2405000000.0,41784000000.0,44189000000.0,60000000.0,3888000000.0,15416000000.0,18376000000.0,22264000000.0,21925000000.0,271000000.0,543000000.0,-172000000.0,-96000000.0,-16000000.0,81000000.0,45.97
