,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,820592000.0,376545000.0,444047000.0,334224000.0,47147000.0,4718000.0,0.64,116837000.0,47147000.0,7227000.0,808132000.0,372466000.0,3929000.0,1275981000.0,3600525000.0,4876506000.0,3169000.0,870050000.0,453726000.0,1390912000.0,2260962000.0,2615544000.0,69690000.0,74018000.0,-36462000.0,-42167000.0,-222000.0,-241228000.0,270.09
2013-06-30,870504000.0,394841000.0,475663000.0,319170000.0,96301000.0,44675000.0,6.02,163489000.0,96301000.0,7229000.0,912137000.0,364963000.0,4541000.0,1365868000.0,3558152000.0,4924020000.0,3129000.0,863516000.0,446904000.0,1375393000.0,2238909000.0,2685111000.0,67188000.0,123493000.0,-45849000.0,-52087000.0,-215000.0,16575000.0,292.31
2013-09-30,856101000.0,393010000.0,463091000.0,327062000.0,78889000.0,30144000.0,4.17,143266000.0,78889000.0,7231000.0,985677000.0,375223000.0,2484000.0,1510680000.0,3585201000.0,5095881000.0,3022000.0,993962000.0,448067000.0,1369906000.0,2363868000.0,2732013000.0,64377000.0,150115000.0,-60987000.0,-75203000.0,-212000.0,-22892000.0,369.4
2013-12-31,53405000.0,46467000.0,6938000.0,143508900.0,-72903000.0,156473000.0,21.2,-6048000.0,-72902900.0,7238000.0,1175806000.0,446644000.0,2924000.0,1702387000.0,4108659000.0,5811046000.0,3168000.0,934109000.0,447608000.0,1576649000.0,2510758000.0,3300288000.0,66855000.0,-37398000.0,-63159000.0,161692000.0,-214000.0,4115000.0,400.8
2014-03-31,836541000.0,376463000.0,460078000.0,325275000.0,78869000.0,132098000.0,17.85,136074000.0,78869000.0,7275000.0,1340462000.0,406293000.0,3234000.0,1830817000.0,4089745000.0,5920562000.0,49389000.0,981416000.0,403160000.0,1526682000.0,2508098000.0,3412464000.0,57205000.0,99621000.0,-59128000.0,-8663000.0,-19051000.0,-19032000.0,425.23
2014-06-30,874411000.0,395627000.0,478784000.0,322240000.0,101560000.0,750137000.0,100.8,165392000.0,101560000.0,7284000.0,610058000.0,404989000.0,8922000.0,1135586000.0,4154120000.0,5289706000.0,53740000.0,915766000.0,398202000.0,1541741000.0,2457507000.0,2832199000.0,63832000.0,108357000.0,111040000.0,-84237000.0,-19097000.0,-342811000.0,433.9
2014-09-30,703205000.0,326395000.0,376810000.0,309583000.0,41209100.0,76351000.0,13.18,93936100.0,41209100.0,5671000.0,687219000.0,460600000.0,10774000.0,1264117000.0,4224319000.0,5488436000.0,50460000.0,1014549000.0,398298000.0,1573893000.0,2588442000.0,2899994000.0,52727000.0,138892000.0,-224346000.0,-1358000.0,-14983000.0,-14293000.0,422.71
2014-12-31,322874900.0,163268000.0,159606900.0,175059000.0,11081800.0,334410000.0,57.71,86774800.0,11081900.0,6470000.0,1024401000.0,571357000.0,11309000.0,1690703000.0,4061616000.0,5752319000.0,46375000.0,1050792000.0,399545000.0,1560752000.0,2611544000.0,3140775000.0,75693000.0,-33371000.0,579484000.0,323273000.0,-14983000.0,-12480000.0,521.88
2015-03-31,647425000.0,309223000.0,338202000.0,302405000.0,8862000.0,20606000.0,3.51,72176000.0,8862000.0,5704000.0,865906000.0,495631000.0,11634000.0,1486086000.0,4039304000.0,5525390000.0,5171000.0,848180000.0,399645000.0,1555845000.0,2404025000.0,3121365000.0,63314000.0,-45871000.0,-51926000.0,-52831000.0,-15645000.0,-50382000.0,634.22
2015-06-30,680890000.0,311121000.0,369769000.0,276412000.0,56225000.0,57782000.0,9.92,128792000.0,56225000.0,5720000.0,1446032000.0,533144000.0,12019000.0,2113034000.0,4068906000.0,6181940000.0,7537000.0,903744000.0,947219000.0,2099336000.0,3003080000.0,3178860000.0,72567000.0,123161000.0,-45295000.0,-61224000.0,-15671000.0,536392000.0,649.58
2015-09-30,641432000.0,302029000.0,339403000.0,285563000.0,-213723000.0,-230843000.0,-40.25,53840000.0,-213723000.0,5738000.0,1346414000.0,539745000.0,12206000.0,1956131000.0,2568198000.0,4524329000.0,3000000.0,764745000.0,399822000.0,1197161000.0,1961906000.0,2562423000.0,267563000.0,38817000.0,-23604000.0,-160872000.0,-15690000.0,-112248000.0,577.0
2015-12-31,616367000.0,283779900.0,332587100.0,239783000.0,67811100.0,51169000.0,8.78,92804100.0,67811000.0,5727000.0,1154397000.0,620818000.0,32068000.0,1860722000.0,2492103000.0,4352825000.0,0.0,725149000.0,399800000.0,1136978000.0,1862127000.0,2490698000.0,24993000.0,-45456000.0,25649000.0,-150643000.0,-6715000.0,-31611000.0,484.97
2016-03-31,601740000.0,291632000.0,310108000.0,235213000.0,51872000.0,24022000.0,6.63,74895000.0,51872000.0,5623000.0,949395000.0,565400000.0,31729000.0,1605489000.0,2707036000.0,4312525000.0,0.0,735832000.0,399914000.0,1136560000.0,1872392000.0,2440133000.0,23023000.0,60882000.0,10595000.0,-196852000.0,-6938000.0,-74857000.0,480.0
2016-06-30,628933000.0,296033000.0,332900000.0,236437000.0,74140000.0,60766000.0,10.82,96463000.0,74140000.0,5544000.0,999802000.0,531188000.0,32281000.0,1627413000.0,2701226000.0,4328639000.0,0.0,744343000.0,400028000.0,1111816000.0,1856159000.0,2472480000.0,22323000.0,85719000.0,-32797000.0,13261000.0,-6798000.0,-29045000.0,489.54
2016-09-30,621638000.0,293194000.0,328444000.0,237694000.0,68033000.0,33126000.0,5.9,90750000.0,68033000.0,5544000.0,1029864000.0,587268000.0,35283000.0,1715577000.0,2723068000.0,4438645000.0,6498000.0,754057000.0,490910000.0,1175789000.0,1929846000.0,2508799000.0,22717000.0,4854000.0,17606000.0,-101185000.0,-6796000.0,86612000.0,481.37
2016-12-31,629579000.0,389171100.0,240407900.0,186752900.0,28823900.0,50676000.0,6.6,53654900.0,28823900.0,5559000.0,1119057000.0,656736000.0,34818000.0,1871346000.0,2561324000.0,4432670000.0,6128000.0,818961000.0,485719000.0,1160768000.0,1979729000.0,2452941000.0,24831000.0,109801000.0,-22526000.0,-26510000.0,-6793000.0,-25787000.0,511.95
2017-03-31,582717000.0,325687000.0,257030000.0,225289000.0,10253000.0,21086000.0,3.77,31741000.0,10253000.0,5535000.0,1113900000.0,541538000.0,35736000.0,1759891000.0,2656214000.0,4416105000.0,6158000.0,778993000.0,487186000.0,1156534000.0,1935527000.0,2480578000.0,21488000.0,91901000.0,-13916000.0,-99996000.0,-7102000.0,-9589000.0,599.55
2017-06-30,676087000.0,381747000.0,294340000.0,208973000.0,49741000.0,41996000.0,7.51,85366000.0,49741000.0,5539000.0,925139000.0,545511000.0,58760000.0,1597425000.0,2911014000.0,4508439000.0,6492000.0,755224000.0,489717000.0,1216843000.0,1972067000.0,2536372000.0,35625000.0,39667000.0,-16031000.0,-235129000.0,-7099000.0,-9550000.0,599.65
2017-09-30,657225000.0,374987000.0,282238000.0,228051000.0,26950000.0,24784000.0,4.45,54188000.0,26950000.0,5518000.0,935998000.0,553887000.0,62531000.0,1617859000.0,3002056000.0,4619915000.0,6713000.0,813181000.0,486242000.0,1246057000.0,2059238000.0,2560677000.0,27238000.0,89289000.0,-11244000.0,-75345000.0,-7103000.0,-55420000.0,585.1
2017-12-31,675817000.0,371921900.0,303895000.0,225477000.0,49458900.0,214178000.0,38.76,78417900.0,49458900.0,5516000.0,964719000.0,644220000.0,60612000.0,1735804000.0,3202019000.0,4937823000.0,6726000.0,878612000.0,486561000.0,1144066000.0,2022678000.0,2915145000.0,28959000.0,47198000.0,-19167000.0,-31549000.0,-7025000.0,-25547000.0,558.35
2018-03-31,659436000.0,365151000.0,294285000.0,225045000.0,44214000.0,42891000.0,7.84,69240000.0,44214000.0,5436000.0,819634000.0,545897000.0,66949000.0,1521436000.0,3239522000.0,4760958000.0,406654000.0,1152583000.0,91079000.0,723462000.0,1876045000.0,2884913000.0,25026000.0,18951000.0,-35396000.0,-11530000.0,-7319000.0,-90973000.0,602.25
2018-06-30,672677000.0,440655000.0,232022000.0,141378000.0,65626000.0,46566000.0,8.69,90644000.0,65626000.0,5325000.0,776851000.0,563580000.0,76005000.0,1495157000.0,3235776000.0,4730933000.0,6553000.0,746387000.0,478774000.0,1107156000.0,1853543000.0,2877390000.0,25018000.0,51587000.0,-5110000.0,-32599000.0,-7134000.0,-35909000.0,586.1
2018-09-30,674766000.0,448920000.0,225846000.0,131081000.0,60739000.0,125064000.0,23.43,94765000.0,60739000.0,5302000.0,794662000.0,589645000.0,73696000.0,1535867000.0,3337876000.0,4873743000.0,6568000.0,804200000.0,473060000.0,1094186000.0,1898386000.0,2975357000.0,34026000.0,121320000.0,-31827000.0,-107133000.0,-7111000.0,-40329000.0,579.3
