,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,23408000000.0,12730000000.0,10678000000.0,5577000000.0,3457000000.0,3032000000.0,2.7199999999999998,4610000000.0,3457000000.0,1113700000.0,11992000000.0,12055000000.0,2421000000.0,48949000000.0,68310000000.0,117258000000.0,8725000000.0,42122000000.0,24672000000.0,55921000000.0,98044000000.0,19214000000.0,1153000000.0,4023000000.0,-591000000.0,-1012000000.0,-948000000.0,-2716000000.0,203.92
2013-06-30,24924000000.0,12792000000.0,12132000000.0,6680000000.0,3904000000.0,3226000000.0,2.93,5040000000.0,3904000000.0,1100900000.0,10357000000.0,12175000000.0,2389000000.0,47911000000.0,67241000000.0,115153000000.0,7830000000.0,41037000000.0,26292000000.0,56232000000.0,97269000000.0,17883000000.0,1136000000.0,3174000000.0,-802000000.0,-864000000.0,-1048000000.0,-3327000000.0,182.71
2013-09-30,23338000000.0,11908000000.0,11430000000.0,5260000000.0,4814000000.0,4041000000.0,3.7,5989000000.0,4814000000.0,1090900000.0,10232000000.0,11548000000.0,2492000000.0,47533000000.0,70313000000.0,117845000000.0,7702000000.0,39222000000.0,28478000000.0,58616000000.0,97837000000.0,20008000000.0,1175000000.0,3760000000.0,-910000000.0,-2547000000.0,-1037000000.0,-827000000.0,177.04
2013-12-31,26697000000.0,12253000000.0,14444000000.0,5934000000.0,7315000000.0,6184000000.0,5.77,8529000000.0,7315000000.0,1094487000.0,11066000000.0,12049000000.0,2310000000.0,51350000000.0,74872000000.0,126223000000.0,6862000000.0,40154000000.0,32856000000.0,63140000000.0,103294000000.0,22929000000.0,1214000000.0,6528000000.0,-948000000.0,-2903000000.0,-1025000000.0,-3013000000.0,179.32
2014-03-31,22236000000.0,11608000000.0,10628000000.0,6272000000.0,2954000000.0,2384000000.0,2.3,4095000000.0,2954000000.0,1035200000.0,9704000000.0,11332000000.0,2456000000.0,47959000000.0,74687000000.0,122646000000.0,9312000000.0,41058000000.0,34668000000.0,64847000000.0,105906000000.0,16740000000.0,1141000000.0,3326000000.0,-775000000.0,35000000.0,-990000000.0,-4673000000.0,184.02
2014-06-30,24047000000.0,12004000000.0,12043000000.0,5593000000.0,5089000000.0,4137000000.0,4.14,6255000000.0,5089000000.0,999600000.0,9720000000.0,11457000000.0,2338000000.0,48182000000.0,76132000000.0,124314000000.0,12462000000.0,42433000000.0,34008000000.0,64368000000.0,106801000000.0,17513000000.0,1166000000.0,3579000000.0,-799000000.0,-1000000000.0,-1096000000.0,-2260000000.0,173.3
2014-09-30,22397000000.0,11523000000.0,10874000000.0,5281000000.0,4239000000.0,18000000.0,0.02,5378000000.0,4239000000.0,991800000.0,9565000000.0,10591000000.0,2356000000.0,47163000000.0,71745000000.0,118911000000.0,12876000000.0,42306000000.0,32821000000.0,62210000000.0,104515000000.0,14395000000.0,1139000000.0,3904000000.0,-894000000.0,-800000000.0,-1090000000.0,-2820000000.0,181.48
2014-12-31,24113000000.0,11251000000.0,12862000000.0,6034000000.0,5508000000.0,5483000000.0,5.54,6554000000.0,5508000000.0,1004273000.0,8476000000.0,11996000000.0,2103000000.0,47377000000.0,69895000000.0,117271000000.0,5731000000.0,39581000000.0,34991000000.0,65676000000.0,105257000000.0,12014000000.0,1046000000.0,6059000000.0,-868000000.0,-1236000000.0,-1089000000.0,-5699000000.0,153.38
2015-03-31,19590000000.0,10138000000.0,9452000000.0,5362000000.0,2792000000.0,2328000000.0,2.36,3760000000.0,2792000000.0,988100000.0,8804000000.0,11546000000.0,1970000000.0,46316000000.0,65721000000.0,112037000000.0,4532000000.0,35640000000.0,34295000000.0,64108000000.0,99747000000.0,12289000000.0,968000000.0,3610000000.0,-810000000.0,560000000.0,-1088000000.0,-3402000000.0,153.44
2015-06-30,20813000000.0,10423000000.0,10390000000.0,5179000000.0,3911000000.0,3449000000.0,3.51,4872000000.0,3911000000.0,982300000.0,8760000000.0,11022000000.0,1912000000.0,45186000000.0,67542000000.0,112729000000.0,5329000000.0,35535000000.0,33339000000.0,63356000000.0,98892000000.0,13837000000.0,961000000.0,3884000000.0,-730000000.0,-1931000000.0,-1278000000.0,-2568000000.0,155.51
2015-09-30,19280000000.0,9844000000.0,9436000000.0,4731000000.0,3418000000.0,2950000000.0,3.03,4354000000.0,3418000000.0,975100000.0,9568000000.0,8918000000.0,1613000000.0,42112000000.0,66537000000.0,108649000000.0,7538000000.0,33732000000.0,32122000000.0,61466000000.0,95198000000.0,13450000000.0,936000000.0,4235000000.0,-816000000.0,-1343000000.0,-1270000000.0,-1848000000.0,138.59
2015-12-31,22058000000.0,10652000000.0,11406000000.0,5158000000.0,4886000000.0,4463000000.0,4.6,5876000000.0,4886000000.0,978745000.0,8194000000.0,9534000000.0,1551000000.0,42504000000.0,67991000000.0,110495000000.0,6461000000.0,34269000000.0,33428000000.0,61802000000.0,96071000000.0,14424000000.0,990000000.0,5526000000.0,-853000000.0,-5445000000.0,-1261000000.0,-1595000000.0,131.57
2016-03-31,18684000000.0,9998000000.0,8686000000.0,6012000000.0,1216000000.0,2014000000.0,2.09,2240000000.0,1216000000.0,961700000.0,14869000000.0,10084000000.0,1690000000.0,47623000000.0,71235000000.0,118856000000.0,5303000000.0,34664000000.0,40254000000.0,69119000000.0,103784000000.0,15072000000.0,1024000000.0,5530000000.0,-827000000.0,-1886000000.0,-1250000000.0,2806000000.0,144.79
2016-06-30,20238000000.0,10536000000.0,9702000000.0,5349000000.0,2888000000.0,2504000000.0,2.62,3991000000.0,2888000000.0,957400000.0,10617000000.0,9912000000.0,1685000000.0,43524000000.0,74532000000.0,118056000000.0,4887000000.0,33585000000.0,39638000000.0,68583000000.0,102167000000.0,15889000000.0,1103000000.0,3458000000.0,-827000000.0,-4452000000.0,-1340000000.0,-3240000000.0,145.11
