,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2297613000.0,1830463000.0,467150000.0,95218000.0,323115000.0,305103000.0,0.0,275728000.0,344434000.0,275735000.0,6869163000.0,0.0,6869163000.0,40480130000.0,47349290000.0,0.0,17157730000.0,9656635000.0,19793610000.0,36951340000.0,10397960000.0,-133861000.0,-808436000.0,61483000.0,3127299000.0,37215000.0,698747000.0,24.55
2013-06-30,2675725000.0,1921651000.0,754074100.0,604952000.0,81937000.0,52612000.0,0.0,137104000.0,103145000.0,367752000.0,6664927000.0,0.0,6664927000.0,39514350000.0,46179280000.0,0.0,18533610000.0,10238670000.0,17612600000.0,36146210000.0,10033070000.0,33959000.0,610513000.0,-44876000.0,646674000.0,-329801000.0,-839866000.0,23.47
2013-09-30,2532052000.0,1902163000.0,629889000.0,498263000.0,67343000.0,2971000.0,0.0,189535000.0,84577000.0,367641000.0,7868019000.0,0.0,7868019000.0,37673050000.0,45541070000.0,0.0,18256060000.0,9928960000.0,17157400000.0,35413460000.0,10127620000.0,34747000.0,491217000.0,-33790000.0,638243000.0,-24216000.0,-273864000.0,24.38
2013-12-31,2920356000.0,1913430000.0,1006926000.0,828409000.0,104923600.0,8554000.0,0.0,198879600.0,130126300.0,339673000.0,7524197000.0,16699540000.0,24223740000.0,23643040000.0,47866780000.0,0.0,10791840000.0,10686990000.0,26901880000.0,37693730000.0,10173050000.0,138964000.0,702340000.0,-141729000.0,3323622000.0,-446421000.0,-270507000.0,25.37
2014-03-31,2942524000.0,1945675000.0,996848900.0,740156000.0,186629900.0,94316000.0,0.0,148131900.0,215205900.0,368487000.0,7392044000.0,18443850000.0,25835890000.0,25294120000.0,51130020000.0,0.0,19513650000.0,11413300000.0,21425100000.0,40938760000.0,10191260000.0,-109893000.0,-1736819000.0,69353000.0,-2756135000.0,422457000.0,416425000.0,25.06
2014-06-30,2851963000.0,2041331000.0,810631800.0,600198000.0,136646700.0,65074000.0,0.0,195570700.0,165790700.0,371979000.0,7475242000.0,17942870000.0,25418110000.0,25989630000.0,51407730000.0,0.0,20441310000.0,11699210000.0,20602700000.0,41044010000.0,10363720000.0,29780000.0,-77707000.0,-87350000.0,159024000.0,-23988000.0,514013000.0,23.47
2014-09-30,3003643000.0,2001779000.0,1001864000.0,780629000.0,145272000.0,54679000.0,0.0,270916000.0,174771000.0,373347000.0,7549063000.0,19241660000.0,26790720000.0,25937080000.0,52727800000.0,0.0,20374080000.0,11087710000.0,21904700000.0,42278780000.0,10449020000.0,37294000.0,-152088000.0,-261427000.0,-224069000.0,-23985000.0,439821000.0,21.34
2014-12-31,2688355000.0,2035501000.0,652854500.0,516569000.0,-10523900.0,-9763000.0,0.0,104085100.0,23191900.0,371889000.0,7721449000.0,0.0,7721449000.0,44902460000.0,52623910000.0,0.0,10684160000.0,11126420000.0,31569730000.0,42253890000.0,10370020000.0,139744000.0,-987160000.0,-548826000.0,449083000.0,-100868000.0,917782000.0,20.07
2015-03-31,3184683000.0,1922223000.0,1262460000.0,576862000.0,601736100.0,380759000.0,0.0,544472000.0,633158100.0,373541000.0,6710843000.0,4354707000.0,11065550000.0,41257140000.0,52322690000.0,0.0,11735370000.0,11732290000.0,29866960000.0,41602320000.0,10720370000.0,-99416000.0,-740227000.0,489108000.0,-181163000.0,77509000.0,-209469000.0,19.95
2015-06-30,2839463000.0,2050367000.0,789095900.0,672754000.0,29369100.0,16406000.0,0.0,103675100.0,61102100.0,373654000.0,5887146000.0,20545450000.0,26432600000.0,26123360000.0,52555960000.0,0.0,11490440000.0,12149100000.0,30341030000.0,41831470000.0,10724480000.0,42573000.0,33470000.0,-72756000.0,142473000.0,-23170000.0,-208170000.0,21.73
