,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,11035000000.0,4324000000.0,6711000000.0,4182000000.0,2408000000.0,1751000000.0,0.39,2881000000.0,2408000000.0,4455000000.0,18428000000.0,5007000000.0,3607000000.0,31519000000.0,56931000000.0,88450000000.0,4505000000.0,31102000000.0,14291000000.0,24454000000.0,55556000000.0,32894000000.0,473000000.0,478000000.0,-463000000.0,-1218000000.0,0.0,1435000000.0,40.44
2013-06-30,12749000000.0,4989000000.0,7760000000.0,4385000000.0,3243000000.0,2676000000.0,0.6000000000000001,3717000000.0,3243000000.0,4446000000.0,19213000000.0,5516000000.0,3643000000.0,32572000000.0,56939000000.0,89511000000.0,3193000000.0,32469000000.0,14179000000.0,24411000000.0,56880000000.0,32631000000.0,474000000.0,3478000000.0,-549000000.0,-1490000000.0,-1249000000.0,-1299000000.0,40.11
2013-09-30,12030000000.0,4793000000.0,7237000000.0,4424000000.0,2472000000.0,2447000000.0,0.55,2969000000.0,2472000000.0,4426000000.0,20459000000.0,5116000000.0,3321000000.0,31576000000.0,57856000000.0,89432000000.0,3194000000.0,33042000000.0,14173000000.0,23925000000.0,56967000000.0,32465000000.0,497000000.0,3756000000.0,-549000000.0,-275000000.0,-1245000000.0,-1519000000.0,37.88
2013-12-31,11040000000.0,4315000000.0,6725000000.0,4319000000.0,2105000000.0,1710000000.0,0.39,2638000000.0,2105000000.0,4434000000.0,20268000000.0,4873000000.0,3277000000.0,31304000000.0,58751000000.0,90055000000.0,1024000000.0,27811000000.0,19154000000.0,28804000000.0,56615000000.0,33440000000.0,533000000.0,2830000000.0,-878000000.0,-1231000000.0,-2475000000.0,-2362000000.0,41.31
2014-03-31,10576000000.0,4083000000.0,6493000000.0,3989000000.0,2376000000.0,1619000000.0,0.36,2849000000.0,2376000000.0,4401000000.0,19433000000.0,5233000000.0,3357000000.0,31052000000.0,60237000000.0,91289000000.0,1551000000.0,30056000000.0,18640000000.0,28311000000.0,58367000000.0,32922000000.0,473000000.0,1066000000.0,-381000000.0,-2213000000.0,0.0,205000000.0,38.66
2014-06-30,12574000000.0,4819000000.0,7755000000.0,4384000000.0,3170000000.0,2595000000.0,0.59,3664000000.0,3170000000.0,4391000000.0,21609000000.0,5870000000.0,3536000000.0,33871000000.0,61618000000.0,95489000000.0,1519000000.0,32629000000.0,18643000000.0,28559000000.0,61188000000.0,34301000000.0,494000000.0,3404000000.0,-515000000.0,-915000000.0,-1342000000.0,-143000000.0,42.36
2014-09-30,11976000000.0,4630000000.0,7346000000.0,4507000000.0,2711000000.0,2114000000.0,0.48,3221000000.0,2711000000.0,4383000000.0,23714000000.0,5081000000.0,3277000000.0,35452000000.0,60862000000.0,96314000000.0,2524000000.0,32760000000.0,20111000000.0,29885000000.0,62645000000.0,33669000000.0,510000000.0,3509000000.0,-572000000.0,-3430000000.0,-1338000000.0,-258000000.0,42.66
2014-12-31,10872000000.0,4357000000.0,6515000000.0,4338000000.0,1451000000.0,770000000.0,0.17,1950000000.0,1451000000.0,4387000000.0,21675000000.0,4466000000.0,3100000000.0,32986000000.0,59037000000.0,92023000000.0,3552000000.0,32374000000.0,19063000000.0,29088000000.0,61462000000.0,30561000000.0,499000000.0,2636000000.0,-715000000.0,-948000000.0,-2670000000.0,-3435000000.0,42.22
2015-03-31,10711000000.0,4103000000.0,6608000000.0,4079000000.0,2296000000.0,1557000000.0,0.35000000000000003,2769000000.0,2296000000.0,4365000000.0,20049000000.0,4461000000.0,3219000000.0,32119000000.0,58897000000.0,91016000000.0,2040000000.0,26123000000.0,26087000000.0,35815000000.0,61938000000.0,29078000000.0,473000000.0,1574000000.0,-495000000.0,-812000000.0,-1441000000.0,-1177000000.0,40.55
2015-06-30,12156000000.0,4748000000.0,7408000000.0,4204000000.0,2535000000.0,3108000000.0,0.71,3023000000.0,2535000000.0,4355000000.0,20947000000.0,4976000000.0,3224000000.0,32803000000.0,60735000000.0,93538000000.0,2031000000.0,28852000000.0,25977000000.0,36045000000.0,64897000000.0,28641000000.0,488000000.0,3544000000.0,-586000000.0,-2944000000.0,-1436000000.0,47000000.0,39.23
