,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,160603000.0,74921000.0,85682000.0,0.0,18661000.0,-5995000.0,-1.2,34865000.0,18661000.0,5179600.0,22446000.0,61745000.0,6798000.0,96646000.0,914176000.0,1010822000.0,9003000.0,103575000.0,867088000.0,1012136000.0,1115711000.0,-104889000.0,16204000.0,26707000.0,-2615000.0,-2034000.0,0.0,-23950000.0,12.7
2013-06-30,167019000.0,72811000.0,94208000.0,0.0,26826000.0,1795000.0,0.30000000000000004,42912000.0,26826000.0,5182500.0,11630000.0,63881000.0,6277000.0,88796000.0,900234000.0,989030000.0,11988000.0,100671000.0,847385000.0,990988000.0,1091659000.0,-102629000.0,16086000.0,10764000.0,-1752000.0,-1429000.0,0.0,-20151000.0,20.4
2013-09-30,165496000.0,72451000.0,93045000.0,0.0,-142323000.0,-88697000.0,-17.1,40835000.0,-142323000.0,5183300.0,17562000.0,69849000.0,6409000.0,104325000.0,723380100.0,827705000.0,14371000.0,106991000.0,820187000.0,890404000.0,997395000.0,-169690000.0,183158000.0,34015000.0,-2718000.0,-1912000.0,0.0,-26223000.0,26.4
2013-12-31,177385000.0,72704000.0,104681000.0,0.0,40202000.0,11892000.0,2.3,53424000.0,40202000.0,5288600.0,12655000.0,76850000.0,6093000.0,105763000.0,714473000.0,820236000.0,9146000.0,95879000.0,812109000.0,881749000.0,977628000.0,-157392000.0,13222000.0,11993000.0,-2163000.0,-2637000.0,0.0,-14263000.0,34.7
2014-03-31,154093000.0,68405000.0,85688000.0,0.0,23720000.0,1486000.0,0.30000000000000004,37108000.0,23720000.0,5222300.0,14878000.0,61319000.0,7428000.0,93540000.0,703742100.0,797282000.0,11112000.0,92732000.0,791339000.0,860129900.0,952862000.0,-155580000.0,13388000.0,22752000.0,-562000.0,-599000.0,0.0,-19930000.0,44.7
2014-06-30,163125000.0,69554000.0,93571000.0,0.0,28609000.0,-9746000.0,-1.9,41139000.0,28609000.0,5234400.0,17758000.0,61577000.0,6325000.0,96914000.0,731256000.0,828170000.0,29400000.0,122899000.0,785600000.0,870265000.0,993164000.0,-164994000.0,12530000.0,34838000.0,-3287000.0,-2987000.0,0.0,-28971000.0,44.5
2014-09-30,166274000.0,70385000.0,95889000.0,0.0,20668000.0,3163000.0,0.6000000000000001,35413000.0,20668100.0,5227300.0,16704000.0,62963000.0,6655000.0,96135000.0,715140000.0,811275000.0,31400000.0,118708000.0,773350000.0,870111000.0,988819000.0,-177544000.0,14745000.0,12492000.0,-3164000.0,-3061000.0,0.0,-10485000.0,33.8
2014-12-31,177210000.0,70783000.0,106427000.0,0.0,37497000.0,9753000.0,1.9,48993000.0,37497000.0,5247100.0,15943000.0,72570000.0,5753000.0,103610000.0,705717000.0,809327000.0,28200000.0,115993000.0,756300000.0,860812000.0,976805000.0,-167478000.0,11496000.0,22290000.0,-3232000.0,-2832000.0,0.0,-20219000.0,36.8
2015-03-31,156557000.0,68897000.0,87660000.0,0.0,20235000.0,1800000.0,0.30000000000000004,31800000.0,20235000.0,5249400.0,11350000.0,59697000.0,5438000.0,85777000.0,693860000.0,779637000.0,27400000.0,105960000.0,736850000.0,838822000.0,944782000.0,-165145000.0,11565000.0,17175000.0,-1575000.0,-1496000.0,0.0,-20272000.0,31.7
2015-06-30,158678000.0,65863000.0,92815000.0,0.0,24845000.0,1882000.0,0.4,36241000.0,24845000.0,5259700.0,18904000.0,57760000.0,4737000.0,91905000.0,680693000.0,772598000.0,32900000.0,120045000.0,712100000.0,815048000.0,935093000.0,-162495000.0,11396000.0,26684000.0,462000.0,401000.0,0.0,-19531000.0,33.3
