,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2015-09-30,308800000.0,0.0,308800000.0,0.0,308800000.0,30400000.0,0.6900000000000001,308800000.0,308800000.0,43906000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.75
2015-12-31,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220700000.0,310200000.0,-227200000.0,-490600000.0,0.0,360000000.0,38.99
2016-03-31,303900000.0,0.0,303900000.0,0.0,303900000.0,-38500000.0,-0.88,303900000.0,303900000.0,43934000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.04
2016-06-30,602900000.0,0.0,602900000.0,0.0,602900000.0,-102800000.0,-2.04,602900000.0,602900000.0,50358000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.41
2016-09-30,894100000.0,0.0,894100000.0,0.0,894100000.0,-81800000.0,-0.47000000000000003,894100000.0,894100000.0,174075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
2016-12-31,922900000.0,0.0,922900000.0,0.0,922900000.0,-12700000.0,-0.07,922900000.0,922900000.0,181429000.0,552600000.0,531600000.0,1509200000.0,14456000000.0,14143900000.0,0.0,1348000000.0,5897100000.0,7135500000.0,8483500000.0,5660400000.0,579000000.0,468200000.0,-490400000.0,-424200000.0,0.0,258600000.0,20.7
2017-03-31,910900000.0,392400000.0,518500000.0,176400000.0,134800000.0,-5800000.0,-0.16,324900000.0,134800000.0,172744000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190100000.0,75000000.0,-124400000.0,-127000000.0,0.0,34500000.0,20.96
2017-06-30,920900000.0,389500000.0,531400000.0,172700000.0,155400000.0,-28200000.0,-0.22,344400000.0,155400000.0,172074000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189000000.0,223600000.0,-123900000.0,-124300000.0,0.0,-21100000.0,20.52
2017-09-30,908100000.0,382400000.0,525700000.0,176800000.0,-205700000.0,-343300000.0,-1.9300000000000002,-10399900.0,-205700000.0,171305000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195300000.0,93700000.0,-199200000.0,-202800000.0,0.0,34600000.0,22.39
2017-12-31,850100000.0,376600000.0,473500000.0,513700000.0,-247400000.0,-400800000.0,-2.34,-40600000.0,-247400000.0,171199000.0,529900000.0,556500000.0,1374800000.0,12242100000.0,13616900000.0,0.0,1586900000.0,6108200000.0,7339400000.0,8926300000.0,4690600000.0,206800000.0,181600000.0,-191800000.0,-186000000.0,0.0,-6200000.0,18.99
2018-03-31,909900000.0,384100000.0,525800000.0,191500000.0,98300000.0,-44500000.0,-0.26,300100000.0,98300000.0,171231000.0,510600000.0,581200000.0,1402300000.0,12296700000.0,13699000000.0,0.0,1595300000.0,6207100000.0,7506800000.0,9102100000.0,4596900000.0,201800000.0,163200000.0,-188200000.0,-187800000.0,0.0,-11800000.0,18.33
2018-06-30,922100000.0,387100000.0,535000000.0,190300000.0,124200000.0,-42200000.0,-0.25,331200000.0,124200000.0,171279000.0,738000000.0,562400000.0,1632800000.0,12398300000.0,14031100000.0,0.0,1786300000.0,6257600000.0,7683400000.0,9469700000.0,4561400000.0,207000000.0,234800000.0,-236900000.0,-236700000.0,0.0,235100000.0,18.02
2018-09-30,925200000.0,383800000.0,541400000.0,189000000.0,138800000.0,-25500000.0,-0.15,342800000.0,138800000.0,171379000.0,786900000.0,571500000.0,1701400000.0,12250000000.0,13951400000.0,0.0,1792500000.0,6248100000.0,7673600000.0,9466100000.0,4485300000.0,204000000.0,210700000.0,-167900000.0,-167000000.0,0.0,-6200000.0,19.64
2018-12-31,948500000.0,1163500000.0,-215000000.0,0.0,-384899900.0,-233000000.0,-1.3,-168199900.0,-384900100.0,176001000.0,631000000.0,607300000.0,1644800000.0,11801800000.0,13446600000.0,0.0,1608700000.0,6379600000.0,7714500000.0,9323200000.0,4123400000.0,216700000.0,208100000.0,-183400000.0,-389000000.0,0.0,39000000.0,13.65
2019-03-31,942700000.0,398200000.0,544500000.0,193400000.0,113300000.0,-41700000.0,-0.23,331200000.0,113300000.0,181037000.0,568800000.0,660700000.0,1548900000.0,12094800000.0,13643700000.0,0.0,1751700000.0,6382400000.0,7773700000.0,9525400000.0,4118300000.0,217900000.0,187800000.0,-159600000.0,-285500000.0,0.0,39300000.0,18.23
2019-06-30,982900000.0,610900000.0,372000000.0,0.0,143500000.0,-116000000.0,-0.64,366900000.0,143500000.0,181504000.0,957400000.0,699800000.0,1979200000.0,11927800000.0,13907000000.0,0.0,1625300000.0,6860600000.0,8277800000.0,9903100000.0,4003900000.0,223400000.0,243600000.0,-135800000.0,-135900000.0,0.0,281100000.0,16.24
2019-09-30,966800000.0,602200000.0,364600000.0,0.0,-69700000.0,35300000.0,0.19,163100000.0,-69700000.0,184452000.0,1004100000.0,629000000.0,1932500000.0,11609800000.0,13542300000.0,0.0,1523300000.0,6906300000.0,8087300000.0,9610600000.0,3931700000.0,232800000.0,159000000.0,-136600000.0,-135500000.0,0.0,30000000.0,16.09
2019-12-31,974599900.0,771800100.0,202799800.0,191000000.0,138700000.0,16300000.0,0.23,371300000.0,138700100.0,184369000.0,1183800000.0,585200000.0,2055200000.0,12882300000.0,14937500000.0,180000000.0,1576000000.0,8189800000.0,9381600000.0,10957600000.0,3979900000.0,232600000.0,327800000.0,-157100000.0,-78400000.0,0.0,1189400000.0,18.19
2020-03-31,931000000.0,590900000.0,340100000.0,195000000.0,107800000.0,-180700000.0,-0.99,329200000.0,107800000.0,184950000.0,1593300000.0,572000000.0,2455300000.0,12743200000.0,15198500000.0,281000000.0,1548400000.0,8548700000.0,9840700000.0,11389100000.0,3809400000.0,221400000.0,114900000.0,-149200000.0,-147100000.0,0.0,455400000.0,9.92
2020-06-30,848900000.0,539800000.0,309100000.0,297000000.0,-205999900.0,-393000000.0,-2.15,17000100.0,-205999900.0,185425000.0,1752400000.0,516200000.0,2541300000.0,12233200000.0,14774500000.0,187000000.0,1517200000.0,8654500000.0,9977400000.0,11494600000.0,3279900000.0,223000000.0,238700000.0,-122200000.0,-116000000.0,0.0,132000000.0,9.16
2020-09-30,887500000.0,555300000.0,332200000.0,299000000.0,86600000.0,-84600000.0,-0.46,325700000.0,86600000.0,185381000.0,1611900000.0,505900000.0,2405600000.0,12192300000.0,14597900000.0,284000000.0,1585100000.0,8175400000.0,9485101000.0,11070200000.0,3527700000.0,239100000.0,137400000.0,-146900000.0,-155800000.0,0.0,-122500000.0,8.25
2020-12-31,1097200000.0,691399800.0,405800300.0,357000000.0,104800000.0,-23900000.0,-0.12,370400000.0,104800100.0,195535000.0,894200000.0,558600000.0,1947600000.0,13128700000.0,15076300000.0,162000000.0,1699000000.0,8195300000.0,10036900000.0,11735900000.0,3340400000.0,265600000.0,149100000.0,-147500000.0,-2031900000.0,0.0,-193800000.0,11.13
2021-03-31,1165200000.0,738900000.0,426299900.0,376000000.0,180999900.0,89100000.0,0.38,430900000.0,180999900.0,232411000.0,1305600000.0,563400000.0,2408600000.0,13140500000.0,15549100000.0,163000000.0,1666300000.0,8620100000.0,10346500000.0,12012800000.0,3536300000.0,249900000.0,203500000.0,-135600000.0,-126400000.0,0.0,333000000.0,12.83
2021-06-30,1173200000.0,742000000.0,431200000.0,381000000.0,172999900.0,12700000.0,0.02,423299900.0,172999900.0,233961000.0,1311100000.0,591600000.0,2520900000.0,12977000000.0,15497900000.0,165000000.0,1690000000.0,8629700000.0,10271900000.0,11961900000.0,3536000000.0,250300000.0,240200000.0,-198600000.0,-214500000.0,0.0,-29600000.0,13.86
2021-09-30,1196300000.0,786200000.0,410100000.0,403000000.0,136000100.0,76100000.0,0.34,396500200.0,136000100.0,232802000.0,917000000.0,527500000.0,2024700000.0,13971900000.0,15996600000.0,155000000.0,1355900000.0,7443100000.0,10916300000.0,12272200000.0,3724400000.0,260500000.0,274100000.0,-210500000.0,-734400000.0,0.0,227200000.0,13.08
2021-12-31,1264300000.0,821000100.0,443299900.0,0.0,-408800000.0,-618000000.0,-2.62,-171300000.0,-408799800.0,232610000.0,956700000.0,526600000.0,2051900000.0,13313800000.0,15365700000.0,188000000.0,1514500000.0,7459600000.0,10953800000.0,12468300000.0,2897400000.0,237500000.0,298400000.0,-191600000.0,-193300000.0,0.0,-104000000.0,11.66
2022-03-31,1218700000.0,808500000.0,410200000.0,0.0,188299900.0,83600000.0,0.37,411899900.0,188299900.0,228274000.0,856600000.0,548600000.0,2023800000.0,13207000000.0,15230800000.0,197000000.0,1360000000.0,7476000000.0,10915900000.0,12275900000.0,2954900000.0,223600000.0,122300000.0,-164700000.0,-189000000.0,0.0,-78200000.0,9.7
2022-06-30,1217600000.0,785900000.0,431700000.0,0.0,-350200100.0,-473000000.0,-2.1,-127900100.0,-350200100.0,224871000.0,1030700000.0,610800000.0,2353200000.0,12616900000.0,14970100000.0,236000000.0,1519800000.0,7628800000.0,10981400000.0,12501200000.0,2468900000.0,222300000.0,224800000.0,-155200000.0,-153900000.0,0.0,109300000.0,7.8
2022-09-30,1222000000.0,827800000.0,394200000.0,0.0,152900000.0,84100000.0,0.38,396500000.0,152900000.0,220187000.0,769200000.0,590400000.0,2108600000.0,12954300000.0,15062900000.0,284000000.0,1590800000.0,7643500000.0,10946200000.0,12537000000.0,2525900000.0,243600000.0,144700000.0,-177800000.0,-401700000.0,0.0,-9200000.0,6.19
