,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1162857000.0,73925000.0,1088932000.0,660253000.0,415335900.0,255079000.0,2.0,127669000.0,3550981000.0,72934520000.0,9877445000.0,82811950000.0,0.0,66994440000.0,5394563000.0,5394563000.0,72389000000.0,10422960000.0,50578000.0,698398000.0,-16671000.0,-371773000.0,-90788000.0,-487173000.0,103.16
2013-06-30,1258896000.0,72620000.0,1186276000.0,643089000.0,530685000.0,328538000.0,2.56,128252000.0,4408091000.0,73808410000.0,9420605000.0,83229010000.0,0.0,67390280000.0,5122398000.0,5122398000.0,72512670000.0,10716330000.0,49274000.0,-81902000.0,-26992000.0,-419729000.0,-91054000.0,150066000.0,111.75
2013-09-30,1220074000.0,69578000.0,1150496000.0,695998000.0,443869900.0,275336000.0,2.13,129171000.0,4356934000.0,71899010000.0,12528480000.0,84427480000.0,0.0,68289950000.0,5121326000.0,5121326000.0,73411280000.0,11016200000.0,50134000.0,-112819000.0,-42301000.0,229368000.0,-91676000.0,468702000.0,111.92
2013-12-31,1180712000.0,67982000.0,1112730000.0,726614000.0,375677100.0,203476000.0,1.56,128654000.0,3700203000.0,72138900000.0,13023490000.0,85162390000.0,0.0,68747980000.0,5108870000.0,5108870000.0,73856860000.0,11305530000.0,53749000.0,428647000.0,-43599000.0,-1641444000.0,-91831000.0,825978000.0,116.42
2014-03-31,1143059000.0,66519000.0,1076540000.0,712172000.0,354306100.0,211720000.0,1.63,130212000.0,5377110000.0,73954730000.0,14575630000.0,88530360000.0,0.0,70392300000.0,6251197000.0,6251197000.0,76643500000.0,11886860000.0,52562000.0,561098000.0,-16725000.0,-3441038000.0,-92406000.0,2970124000.0,121.3
2014-06-30,1190702000.0,65176000.0,1125526000.0,688426000.0,427865800.0,260680000.0,1.99,130856000.0,5263291000.0,74515620000.0,16319380000.0,90835000000.0,0.0,71274320000.0,7391931000.0,7391931000.0,78666250000.0,12168750000.0,50735000.0,-91594000.0,-21022000.0,-1871898000.0,-92728000.0,2117810000.0,124.05
2014-09-30,1194134000.0,73964000.0,1120170000.0,687001000.0,425811000.0,251905000.0,1.92,131265000.0,9496620000.0,79701070000.0,17527270000.0,97228340000.0,0.0,75833630000.0,9061391000.0,9061391000.0,84895020000.0,12333320000.0,49445000.0,305006000.0,-12653000.0,-6816534000.0,-92984000.0,6117736000.0,123.29
2014-12-31,1208255000.0,74772000.0,1133483000.0,692050900.0,434262000.0,254226000.0,1.9300000000000002,130950000.0,8152399000.0,79519350000.0,17166180000.0,96685530000.0,0.0,75342690000.0,9006959000.0,9006959000.0,84349640000.0,12335900000.0,45988000.0,324531000.0,-22761000.0,419100000.0,-93081000.0,-893920000.0,125.62
2015-03-31,1178290000.0,78499000.0,1099791000.0,717582000.0,375416000.0,218830000.0,1.6600000000000001,132049000.0,8021429000.0,79829560000.0,18548220000.0,98377780000.0,0.0,75340340000.0,10509140000.0,10509140000.0,85849480000.0,12528300000.0,43170000.0,458366000.0,-9598000.0,-1802336000.0,-93631000.0,1337466000.0,127.0
2015-06-30,1257381000.0,77226000.0,1180155000.0,720663000.0,453527000.0,263471000.0,1.99,132356000.0,5673719000.0,78202280000.0,18877800000.0,97080080000.0,0.0,74236160000.0,10175910000.0,10175910000.0,84412080000.0,12668000000.0,42359000.0,99717000.0,-13797000.0,1247755000.0,-93647000.0,-1363467000.0,124.93
