,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,5307000000.0,4043000000.0,1264000000.0,513000000.0,751000000.0,502000000.0,1.18,925000000.0,751000000.0,426000000.0,2441000000.0,4279000000.0,6135000000.0,14994000000.0,18562000000.0,33556000000.0,0.0,5546000000.0,4349000000.0,7331000000.0,12877000000.0,20679000000.0,174000000.0,506000000.0,-168000000.0,-2535000000.0,-56000000.0,1162000000.0,63.8
2013-06-30,4680000000.0,3507000000.0,1173000000.0,460000000.0,713000000.0,531000000.0,1.25,895000000.0,713000000.0,426000000.0,2327000000.0,4424000000.0,6083000000.0,15221000000.0,18372000000.0,33593000000.0,0.0,5619000000.0,4120000000.0,7023000000.0,12642000000.0,20951000000.0,182000000.0,364000000.0,-116000000.0,-129000000.0,-111000000.0,-334000000.0,62.13
2013-09-30,4863000000.0,3503000000.0,1360000000.0,476000000.0,884000000.0,636000000.0,1.49,1071000000.0,884000000.0,426000000.0,2741000000.0,4801000000.0,6078000000.0,16255000000.0,18418000000.0,34673000000.0,0.0,6317000000.0,3749000000.0,6631000000.0,12948000000.0,21725000000.0,187000000.0,1009000000.0,-150000000.0,-148000000.0,-111000000.0,-465000000.0,70.43
2013-12-31,5302000000.0,3895000000.0,1407000000.0,482000000.0,909000000.0,658000000.0,1.54,1104000000.0,909000000.0,427000000.0,3436000000.0,4896000000.0,5603000000.0,16423000000.0,18389000000.0,34812000000.0,1000000.0,6678000000.0,3149000000.0,5804000000.0,12482000000.0,22330000000.0,195000000.0,1518000000.0,-180000000.0,-152000000.0,-111000000.0,-668000000.0,71.71
2014-03-31,4889000000.0,3599000000.0,1290000000.0,491000000.0,799000000.0,589000000.0,1.38,990000000.0,799000000.0,428000000.0,3688000000.0,5310000000.0,5659000000.0,17211000000.0,18269000000.0,35480000000.0,0.0,7098000000.0,3149000000.0,5590000000.0,12688000000.0,22792000000.0,191000000.0,488000000.0,-125000000.0,-126000000.0,-111000000.0,-105000000.0,70.22
2014-06-30,5255000000.0,3800000000.0,1455000000.0,542000000.0,913000000.0,619000000.0,1.45,1103000000.0,913000000.0,428000000.0,3885000000.0,4427000000.0,5198000000.0,16003000000.0,17824000000.0,33827000000.0,0.0,6915000000.0,3148000000.0,5494000000.0,12409000000.0,21418000000.0,190000000.0,871000000.0,-175000000.0,-528000000.0,-198000000.0,-158000000.0,82.35
2014-09-30,5587000000.0,4059000000.0,1528000000.0,540000000.0,988000000.0,699000000.0,1.63,1186000000.0,988000000.0,429000000.0,4091000000.0,4482000000.0,5464000000.0,16670000000.0,17600000000.0,34270000000.0,151000000.0,7201000000.0,2995000000.0,5450000000.0,12651000000.0,21619000000.0,198000000.0,519000000.0,-168000000.0,-143000000.0,-198000000.0,-130000000.0,76.1
2014-12-31,5709000000.0,4163000000.0,1546000000.0,528000000.0,855000000.0,595000000.0,1.3900000000000001,1158000000.0,855000000.0,427000000.0,3536000000.0,4416000000.0,5281000000.0,16162000000.0,17400000000.0,33562000000.0,152000000.0,7374000000.0,3014000000.0,5416000000.0,12790000000.0,20772000000.0,303000000.0,736000000.0,-231000000.0,-307000000.0,-196000000.0,-950000000.0,65.53
2015-03-31,4820000000.0,3643000000.0,1177000000.0,607000000.0,570000000.0,310000000.0,0.76,760000000.0,570000000.0,407000000.0,3024000000.0,4024000000.0,5378000000.0,15299000000.0,17125000000.0,32424000000.0,151000000.0,6667000000.0,4094000000.0,6635000000.0,13302000000.0,19122000000.0,190000000.0,114000000.0,-130000000.0,-149000000.0,-185000000.0,-436000000.0,49.99
2015-06-30,3909000000.0,3054000000.0,855000000.0,417000000.0,438000000.0,289000000.0,0.75,628000000.0,438000000.0,387000000.0,2544000000.0,3476000000.0,5394000000.0,14167000000.0,17058000000.0,31225000000.0,151000000.0,5672000000.0,4154000000.0,6548000000.0,12220000000.0,19005000000.0,190000000.0,194000000.0,-104000000.0,-123000000.0,-178000000.0,-561000000.0,48.28
2015-09-30,3306000000.0,2634000000.0,672000000.0,383000000.0,234000000.0,155000000.0,0.41000000000000003,473000000.0,234000000.0,380000000.0,1846000000.0,3325000000.0,5172000000.0,12933000000.0,16695000000.0,29628000000.0,2000000.0,5193000000.0,3981000000.0,6229000000.0,11422000000.0,18206000000.0,239000000.0,410000000.0,-98000000.0,-106000000.0,-174000000.0,-942000000.0,37.65
2015-12-31,2722000000.0,2202000000.0,520000000.0,379000000.0,-1632000000.0,-1523000000.0,-4.06,185000000.0,-1632000000.0,375000000.0,2080000000.0,2926000000.0,4678000000.0,11425000000.0,14545000000.0,25970000000.0,2000000.0,3958000000.0,3907000000.0,5552000000.0,9510000000.0,16460000000.0,1817000000.0,614000000.0,-121000000.0,-136000000.0,-173000000.0,-224000000.0,33.49
2016-03-31,2189000000.0,1945000000.0,244000000.0,433000000.0,-189000000.0,-119000000.0,-0.32,-14000000.0,-189000000.0,375000000.0,1759000000.0,2212000000.0,4534000000.0,10048000000.0,14706000000.0,24754000000.0,7000000.0,3435000000.0,3372000000.0,4886000000.0,8321000000.0,16433000000.0,175000000.0,621000000.0,-84000000.0,-103000000.0,-173000000.0,-861000000.0,31.1
2016-06-30,1724000000.0,1689000000.0,35000000.0,305000000.0,-270000000.0,-217000000.0,-0.58,-92000000.0,-270000000.0,375000000.0,1661000000.0,2044000000.0,4287000000.0,9204000000.0,14580000000.0,23784000000.0,12000000.0,2947000000.0,3268000000.0,4651000000.0,7598000000.0,16186000000.0,178000000.0,128000000.0,-77000000.0,-91000000.0,-19000000.0,-129000000.0,33.65
2016-09-30,1646000000.0,1567000000.0,79000000.0,293000000.0,-1186000000.0,-1362000000.0,-3.62,-38000000.0,-1186000000.0,376000000.0,1510000000.0,1808000000.0,4161000000.0,8711000000.0,13483000000.0,22194000000.0,6000000.0,2615000000.0,3210000000.0,4691000000.0,7306000000.0,14888000000.0,1148000000.0,58000000.0,-60000000.0,-83000000.0,-19000000.0,-126000000.0,36.74
2016-12-31,1692000000.0,2151000000.0,-459000000.0,307000000.0,-766000000.0,-714000000.0,-1.9,-592000000.0,-766000000.0,376000000.0,1408000000.0,2083000000.0,3325000000.0,7876000000.0,13264000000.0,21140000000.0,506000000.0,3047000000.0,2708000000.0,4090000000.0,7137000000.0,14003000000.0,174000000.0,153000000.0,-63000000.0,-211000000.0,-19000000.0,-25000000.0,37.44
