,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2014-12-31,416300000.0,173200000.0,243100000.0,339800000.0,-96700000.0,46000000.0,-1.6099999999999999,-55800000.0,-96700000.0,319100000.0,1887700000.0,441200000.0,97800000.0,2640800000.0,18702200000.0,21343000000.0,1128800000.0,1945800000.0,9070200000.0,11760800000.0,13706600000.0,7636400000.0,44600000.0,-116300000.0,-20200000.0,-7781000000.0,-28200000.0,8700000000.0,39.04
2015-03-31,933300000.0,562300000.0,371000000.0,111000000.0,224100000.0,-8300000.0,-0.04,281600000.0,225800000.0,202200000.0,1021900000.0,361500000.0,98300000.0,1723300000.0,17652100000.0,19375400000.0,39100000.0,939800000.0,9122500000.0,11621900000.0,12561700000.0,6813700000.0,55800000.0,261700000.0,-29400000.0,32700000.0,0.0,-1016700000.0,38.41
2015-06-30,1042200000.0,596500000.0,445700000.0,102000000.0,302099900.0,11000000.0,0.05,349799900.0,295699900.0,202400000.0,688900000.0,360200000.0,91700000.0,1404300000.0,17623400000.0,19027700000.0,46300000.0,1002600000.0,8813200000.0,11183800000.0,12186400000.0,6841300000.0,54100000.0,246500000.0,-27600000.0,-57200000.0,-124500000.0,-528500000.0,38.21
2015-09-30,1019700000.0,561000000.0,458700000.0,104300000.0,344000000.0,49600000.0,0.25,395900000.0,343000000.0,202400000.0,975500000.0,371500000.0,98800000.0,1641600000.0,17393100000.0,19034700000.0,56500000.0,1215700000.0,8679601000.0,11217200000.0,12432900000.0,6601800000.0,52900000.0,442200000.0,-25900000.0,-15500000.0,-114300000.0,-135700000.0,35.92
2015-12-31,1057000000.0,592900000.0,464100000.0,120400000.0,322000000.0,51600000.0,0.25,377700000.0,323600000.0,203500000.0,757800000.0,422000000.0,81300000.0,1369500000.0,17041600000.0,18411100000.0,56100000.0,1121000000.0,8665700000.0,11080400000.0,12201400000.0,6209700000.0,54100000.0,254400000.0,-32400000.0,-21500000.0,-123600000.0,-434300000.0,37.36
2016-03-31,918500000.0,492400000.0,426100000.0,73200000.0,330600000.0,50000000.0,0.22,400900000.0,349100000.0,230000000.0,825900000.0,366400000.0,88800000.0,1473000000.0,17483500000.0,18956500000.0,57600000.0,1109700000.0,8679199000.0,11211100000.0,12320800000.0,6635700000.0,51800000.0,183300000.0,-5600000.0,6800000.0,-128300000.0,-135900000.0,38.83
2016-06-30,1040200000.0,549900000.0,490299900.0,73100000.0,423999900.0,90900000.0,0.39,472700000.0,419499900.0,233500000.0,998100000.0,380200000.0,86700000.0,1640500000.0,17481300000.0,19121800000.0,94900000.0,1146700000.0,8636800000.0,11159700000.0,12306400000.0,6815400000.0,53200000.0,322000000.0,-7200000.0,5000000.0,-131900000.0,-147100000.0,41.6
2016-09-30,1075700000.0,566900000.0,508799900.0,82200000.0,420499900.0,86300000.0,0.37,476199900.0,423099900.0,233900000.0,1274400000.0,374300000.0,85200000.0,1877200000.0,17316200000.0,19193400000.0,94100000.0,1189900000.0,8635200000.0,11187400000.0,12377300000.0,6816100000.0,53100000.0,413700000.0,-5400000.0,7500000.0,-136700000.0,-153300000.0,44.58
2016-12-31,1111400000.0,572200100.0,539199800.0,90100000.0,491599700.0,118400000.0,0.5,548099700.0,495199600.0,232900000.0,1460400000.0,403500000.0,71800000.0,2097000000.0,17027900000.0,19124900000.0,93900000.0,1210700000.0,8628601000.0,11128600000.0,12339300000.0,6785600000.0,52900000.0,350000000.0,-15500000.0,7600000.0,-141200000.0,-154600000.0,47.66
2017-03-31,1000600000.0,534400000.0,466200000.0,121900000.0,336200000.0,50200000.0,0.21,393800000.0,341900000.0,234700000.0,923900000.0,362000000.0,83300000.0,1577100000.0,19245300000.0,20822400000.0,110100000.0,1274900000.0,9758000000.0,12653200000.0,13928100000.0,6894300000.0,51900000.0,288900000.0,-4100000.0,-1624700000.0,-145900000.0,809300000.0,55.74
