,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,398055000.0,252881000.0,145174000.0,233769000.0,-88595000.0,-28362000.0,-0.75,-80469000.0,-88595000.0,9429000.0,8354000.0,17040000.0,353329000.0,492758000.0,296855000.0,789613000.0,0.0,219424000.0,82501000.0,118578000.0,338002000.0,451611000.0,8126000.0,16155000.0,-23427000.0,-23427000.0,0.0,64000.0,36.0
2013-04-30,301337000.0,199460000.0,101877000.0,101366000.0,511000.0,-161000.0,0.0,7141000.0,511000.0,38076000.0,9669000.0,17712000.0,365716000.0,551438000.0,308184000.0,859622000.0,0.0,255181000.0,113994000.0,149391000.0,404572000.0,455050000.0,6630000.0,-19623000.0,-9737000.0,-9737000.0,0.0,30653000.0,38.95
2013-07-31,382098000.0,242872000.0,139226000.0,167006000.0,-27780000.0,-17835000.0,-0.46,-20847000.0,-27780000.0,38712000.0,15012000.0,22605000.0,406676000.0,577403000.0,351961000.0,929364000.0,0.0,297006000.0,87575000.0,132985000.0,429991000.0,499373000.0,6933000.0,51052000.0,-20879000.0,-20879000.0,0.0,-24790000.0,66.82
2013-10-31,395832000.0,255032000.0,140800000.0,116940000.0,23860000.0,9549000.0,0.25,31153000.0,23860000.0,38888000.0,8197000.0,22041000.0,448150000.0,603562000.0,388536000.0,992098000.0,0.0,310943000.0,108245000.0,172246000.0,483189000.0,508909000.0,7293000.0,-974000.0,-27006000.0,-27006000.0,0.0,21161000.0,69.74
2014-01-31,471694000.0,296717000.0,174977000.0,116717000.0,58260000.0,26642000.0,0.68,65058000.0,58260000.0,38672000.0,13389000.0,22028000.0,453845000.0,613815000.0,411288000.0,1025103000.0,0.0,317448000.0,118590000.0,162383000.0,479831000.0,545272000.0,6798000.0,57066000.0,-36246000.0,-36246000.0,0.0,-15519000.0,56.74
2014-04-30,366254000.0,241905000.0,124349000.0,119571000.0,4778000.0,1795000.0,0.05,12418000.0,4778000.0,39153000.0,10942000.0,18922000.0,483530000.0,661666000.0,438290000.0,1099956000.0,0.0,302684000.0,149146000.0,255045000.0,557729000.0,542227000.0,7640000.0,-57219000.0,-16515000.0,-16515000.0,0.0,71283000.0,62.39
2014-07-31,433766000.0,265857000.0,167909000.0,118974000.0,48935000.0,27253000.0,0.6900000000000001,58849000.0,48935000.0,39436000.0,181493000.0,24136000.0,547103000.0,901933000.0,464795000.0,1366728000.0,0.0,362686000.0,277678000.0,389789000.0,752475000.0,614253000.0,9914000.0,27494000.0,-22285000.0,-22537000.0,0.0,165606000.0,81.79
2014-10-31,484675000.0,304302000.0,180373000.0,143685000.0,36688000.0,19429000.0,0.49,48883000.0,36688000.0,39507000.0,157127000.0,27646000.0,610497000.0,918262000.0,534061000.0,1452323000.0,0.0,377003000.0,281014000.0,436965000.0,813968000.0,638355000.0,12195000.0,6967000.0,-30890000.0,-31061000.0,0.0,-247000.0,80.32
2015-01-31,582727100.0,364584000.0,218143100.0,142818000.0,75325100.0,42525000.0,1.07,88008100.0,75325100.0,39457000.0,211102000.0,25965000.0,559297000.0,884340000.0,641659100.0,1525999000.0,0.0,344296000.0,409158000.0,478787000.0,823083000.0,702916000.0,12683000.0,102001000.0,-40669000.0,-130435000.0,0.0,17158000.0,87.53
2015-04-30,422445000.0,279027000.0,143418000.0,126389000.0,17029000.0,7156000.0,0.18,30258000.0,17029000.0,39914000.0,179274000.0,25509000.0,601739000.0,934382000.0,667920000.0,1602302000.0,0.0,353072000.0,459973000.0,530721000.0,883793000.0,718509000.0,13229000.0,-14379000.0,-29227000.0,-33698000.0,0.0,2837000.0,86.17
2015-07-31,506942000.0,312679000.0,194263000.0,137840000.0,56423000.0,29935000.0,0.75,72356000.0,56423000.0,40046000.0,454640000.0,22834000.0,707516000.0,1294760000.0,702228000.0,1996988000.0,0.0,426686000.0,691691000.0,768024000.0,1194710000.0,802278000.0,15933000.0,27999000.0,-26909000.0,-92213000.0,0.0,265490000.0,101.46
2015-10-31,532411000.0,341661000.0,190750000.0,145874000.0,44876000.0,20710000.0,0.51,62972000.0,44876000.0,40283000.0,387649000.0,32366000.0,760854000.0,1297713000.0,761397000.0,2059110000.0,0.0,429131000.0,718693000.0,790669000.0,1219800000.0,839310000.0,18096000.0,-31250000.0,-34664000.0,-56930000.0,0.0,10213000.0,103.09
2016-01-31,647208100.0,422947000.0,224261100.0,157028000.0,67233200.0,33302000.0,0.8200000000000001,87850200.0,67233200.0,40190000.0,462268000.0,28567000.0,725392000.0,1295247000.0,772697000.0,2067944000.0,0.0,434125000.0,664324000.0,747659000.0,1181784000.0,886160000.0,20617000.0,144334000.0,-42660000.0,-44556000.0,0.0,8242000.0,61.62
2016-04-30,455456000.0,327981000.0,127475000.0,138950000.0,-11475000.0,-13470000.0,-0.33,8136000.0,-11475000.0,40588000.0,337251000.0,32080000.0,763055000.0,1244435000.0,806573100.0,2051008000.0,0.0,406937000.0,680159000.0,764543000.0,1171480000.0,879528000.0,19611000.0,-90350000.0,-45276000.0,-7331000.0,0.0,-6000.0,43.27
2016-07-31,543381000.0,363542000.0,179839000.0,157824000.0,22015000.0,6918000.0,0.17,42829000.0,22015000.0,40646000.0,208531000.0,34962000.0,807389000.0,1149164000.0,939477000.0,2088641000.0,0.0,405249000.0,689743000.0,790434000.0,1195683000.0,892958000.0,20814000.0,16701000.0,-25723000.0,-211183000.0,0.0,-2587000.0,30.81
2016-10-31,549328000.0,373509000.0,175819000.0,160433000.0,15386000.0,2517000.0,0.06,37676000.0,15386000.0,40730000.0,225579000.0,35974000.0,776586000.0,1151804000.0,1004497000.0,2156301000.0,0.0,419421000.0,733801900.0,834701900.0,1254123000.0,902178000.0,22290000.0,54664000.0,-33153000.0,-44864000.0,0.0,282000.0,28.97
2017-01-31,586706100.0,390052000.0,196654100.0,169544000.0,27110100.0,9436000.0,0.21,51234100.0,27110100.0,40691000.0,229700000.0,34191000.0,752304000.0,1138257000.0,1054263000.0,2192520000.0,0.0,416169000.0,751359000.0,856482100.0,1272651000.0,919869000.0,24124000.0,99497000.0,-65879000.0,-47126000.0,0.0,70000.0,27.02
2017-04-30,562080000.0,391824000.0,170256000.0,163360000.0,6896000.0,-3370000.0,-0.09,30374000.0,6896000.0,37610000.0,80150000.0,34116000.0,683984000.0,914670000.0,1033716000.0,1948386000.0,0.0,443921000.0,776292000.0,881687000.0,1325608000.0,622778000.0,23478000.0,123948000.0,-16273000.0,159528000.0,0.0,-299087000.0,47.97
2017-07-31,615326000.0,409513000.0,205813000.0,193690000.0,12123000.0,-7862000.0,-0.28,36209000.0,12123000.0,28398000.0,21637000.0,34752000.0,608048000.0,742116000.0,1077293000.0,1819409000.0,0.0,495749000.0,1249905000.0,1370444000.0,1866193000.0,-46784000.0,24086000.0,190408000.0,-25301000.0,-25301000.0,0.0,-228990000.0,65.13
2017-10-31,592473000.0,378148000.0,214325000.0,171163000.0,43162000.0,13151000.0,0.62,69375000.0,43162000.0,21222000.0,22162000.0,34447000.0,557345000.0,688995000.0,1112571000.0,1801566000.0,0.0,469757000.0,1223191000.0,1357085000.0,1826842000.0,-25276000.0,26213000.0,75732000.0,-47536000.0,-47536000.0,0.0,-27892000.0,89.92
2018-01-31,670295000.0,421391000.0,248904000.0,193970000.0,54934000.0,-4518000.0,0.01,204198900.0,54934000.0,27054000.0,17907000.0,31412000.0,527026000.0,644930000.0,1087936000.0,1732866000.0,0.0,519335000.0,1089517000.0,1220867000.0,1740202000.0,-7336000.0,149265000.0,84417000.0,35840000.0,35840000.0,0.0,-130972000.0,93.99
2018-04-30,557406000.0,348073000.0,209333000.0,161186000.0,48147000.0,25461000.0,1.3,95813000.0,48147000.0,21545000.0,20796000.0,38614000.0,530657000.0,650131000.0,1098830000.0,1748961000.0,0.0,496496000.0,1115610000.0,1243823000.0,1740319000.0,8642000.0,47666000.0,-3234000.0,-17674000.0,-17674000.0,0.0,18335000.0,95.45
2018-07-31,640798000.0,372454000.0,268344000.0,186521000.0,81823000.0,62906000.0,2.92,127859000.0,81823000.0,21926000.0,22199000.0,40706000.0,551343000.0,692502000.0,1121605000.0,1814107000.0,335670000.0,836945000.0,728433000.0,831101000.0,1668046000.0,146061000.0,46036000.0,52254000.0,-25242000.0,-25242000.0,0.0,-24685000.0,135.86
2018-10-31,636558000.0,386537000.0,250021000.0,207793000.0,42228000.0,20114000.0,1.01,99561000.0,42228000.0,22082000.0,7755000.0,42748000.0,566117000.0,694038000.0,1149287000.0,1843325000.0,339707000.0,865073000.0,839658000.0,946232000.0,1811305000.0,32020000.0,57333000.0,47696000.0,-30362000.0,-30362000.0,0.0,-33518000.0,115.71
2019-01-31,670891100.0,413012100.0,257879000.0,168341000.0,89538100.0,27250000.0,1.73,172441100.0,89538100.0,21614000.0,5803000.0,40224000.0,531947000.0,703967000.0,1719051000.0,2423018000.0,343789000.0,992586000.0,999053000.0,1469122000.0,2461708000.0,-38690000.0,82903000.0,152887000.0,-6714000.0,-6714000.0,0.0,-149124000.0,135.87
2019-04-30,598421000.0,365607000.0,232814000.0,164181000.0,68633100.0,35722000.0,1.79,124478100.0,68633100.0,19977000.0,102550000.0,48882000.0,530190000.0,822065000.0,1723767000.0,2545832000.0,347918000.0,1011610000.0,1321949000.0,1781595000.0,2793205000.0,-247373000.0,55845000.0,38824000.0,-7916000.0,-7916000.0,0.0,65833000.0,106.71
2019-07-31,706514000.0,411556000.0,294958000.0,190977000.0,103981000.0,63757000.0,3.45,53126000.0,103981000.0,18466000.0,11555000.0,44287000.0,480688000.0,657622000.0,1730186000.0,2387808000.0,280688000.0,924957000.0,1194818000.0,1640769000.0,2565726000.0,-177918000.0,-50855000.0,58309000.0,-17367000.0,-17367000.0,0.0,-131856000.0,139.4
2019-10-31,677526000.0,393360000.0,284166000.0,194929000.0,89237000.0,52463000.0,2.8,173753000.0,89237000.0,18766000.0,38253000.0,45312000.0,429189000.0,559479000.0,1802534000.0,2362013000.0,285570000.0,903706000.0,1080587000.0,1521527000.0,2425233000.0,-63220000.0,84516000.0,113864000.0,-15253000.0,-45253000.0,0.0,-41985000.0,181.7
2020-01-31,664976000.0,381903000.0,283072900.0,182093000.0,100980000.0,68433000.0,3.58,153171000.0,100980000.0,19082000.0,47658000.0,48979000.0,438696000.0,596952000.0,1848742000.0,2445694000.0,290532000.0,982912000.0,1005681000.0,1444131000.0,2427043000.0,18651000.0,52191000.0,128191000.0,-29009000.0,-52009000.0,0.0,-66796000.0,208.75
2020-04-30,482895000.0,283241000.0,199654000.0,164201000.0,35453000.0,-3212000.0,-0.17,89146000.0,35453000.0,19243000.0,17208000.0,49099000.0,494260000.0,625721000.0,1804172000.0,2429893000.0,295574000.0,968935000.0,1018168000.0,1441826000.0,2410761000.0,19132000.0,53693000.0,-16868000.0,-16632000.0,-16632000.0,0.0,3182000.0,143.78
2020-07-31,709282000.0,376863000.0,332419000.0,195851000.0,136568000.0,98423000.0,5.08,105817000.0,136568000.0,19386000.0,17387000.0,55916000.0,487639000.0,621439000.0,1884970000.0,2506409000.0,153000000.0,784980000.0,1158720000.0,1592938000.0,2377918000.0,128491000.0,-30751000.0,145143000.0,-5893000.0,-8943000.0,0.0,-136170000.0,287.43
2020-10-31,844013000.0,435683000.0,408330000.0,297109000.0,111221000.0,46411000.0,2.37,166626000.0,111221000.0,19553000.0,89884000.0,59065000.0,497076000.0,734900000.0,1944350000.0,2679250000.0,155000000.0,882585000.0,1066806000.0,1499796000.0,2382381000.0,296869000.0,55405000.0,218988000.0,-24224000.0,-41726000.0,0.0,-97838000.0,335.23
2021-01-31,812436000.0,427308000.0,385128100.0,201511900.0,183616000.0,130193000.0,6.35,227810000.0,183615900.0,19669000.0,100446000.0,59474000.0,544227000.0,801484000.0,2096829000.0,2898313000.0,2354000.0,921632000.0,1049891000.0,1529655000.0,2451287000.0,447026000.0,44194000.0,153507000.0,-57271000.0,-130299000.0,0.0,-13088000.0,475.36
2021-04-30,860792000.0,453815000.0,406977000.0,219089000.0,187888000.0,130656000.0,6.22,236728000.0,187888000.0,21003000.0,229527000.0,60212000.0,593946000.0,989408000.0,2247909000.0,3237317000.0,116000000.0,1016172000.0,1078714000.0,1626683000.0,2642855000.0,594462000.0,48840000.0,190875000.0,-50251000.0,-51423000.0,0.0,-11032000.0,688.02
