,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2020-06-30,510932000.0,510932000.0,42799000.0,409346000.0,442074000.0,0.73,416941000.0,409346000.0,353979000.0,2815609000.0,35454000.0,3390789000.0,12294770000.0,15685560000.0,182226000.0,450973000.0,5729622000.0,5839622000.0,6290595000.0,9394961000.0,7595000.0,489004000.0,-475330000.0,-244966000.0,-294793000.0,1579432000.0,48.55
2020-09-30,538399000.0,538399000.0,50732000.0,510567000.0,290632000.0,0.48,518892000.0,510567000.0,369999000.0,2175836000.0,36761000.0,2783851000.0,13206830000.0,15990680000.0,0.0,269983000.0,5812047000.0,5922047000.0,6192030000.0,9798648000.0,8325000.0,508848000.0,-802465000.0,-920198000.0,-217406000.0,-357391000.0,42.07
2020-12-31,572143100.0,572143100.0,50119000.0,314056100.0,171094000.0,0.28,324698100.0,314056000.0,375444000.0,2061943000.0,39166000.0,2696898000.0,13323390000.0,16020290000.0,0.0,307887000.0,5816584000.0,5816584000.0,6124471000.0,9895815000.0,10642000.0,565673000.0,-805161000.0,-832402000.0,-307568000.0,-277393000.0,50.05
2021-03-31,573027000.0,573027000.0,43156000.0,229297000.0,69119000.0,0.11,239758000.0,229297000.0,389760000.0,1846984000.0,39995000.0,2416024000.0,13498060000.0,15914090000.0,0.0,255983000.0,5821072000.0,5821072000.0,6077055000.0,9837033000.0,10461000.0,526100000.0,-503070000.0,-599300000.0,-228887000.0,-226670000.0,43.62
2021-06-30,554963000.0,554963000.0,44921000.0,744949000.0,440776000.0,0.73,755475000.0,744949000.0,409344000.0,2053668000.0,44837000.0,2707454000.0,13807460000.0,16514910000.0,0.0,283989000.0,5825559000.0,5825559000.0,6109548000.0,10405370000.0,10526000.0,531720000.0,-180671000.0,126166000.0,-234852000.0,-224415000.0,40.99
2021-09-30,585773000.0,585773000.0,48588000.0,303052000.0,101929000.0,0.17,314087000.0,303052000.0,428230000.0,2113569000.0,73501000.0,2775761000.0,14956600000.0,17732360000.0,0.0,255055000.0,7090669000.0,7090669000.0,7345724000.0,10386630000.0,11035000.0,469759000.0,-1336027000.0,-845500000.0,-230973000.0,1034268000.0,36.14
2021-12-31,575700000.0,575700000.0,46161000.0,153416900.0,7904000.0,0.01,164552900.0,153416900.0,414794000.0,2188920000.0,68309000.0,2878211000.0,14637650000.0,17515870000.0,0.0,171250000.0,7096070000.0,7096070000.0,7267320000.0,10248540000.0,11136000.0,489957000.0,-171734000.0,-551646000.0,-223876000.0,-198071000.0,39.85
2022-03-31,562049000.0,562049000.0,51540000.0,219718000.0,51761000.0,0.09,230731000.0,219718000.0,433956000.0,2340538000.0,65808000.0,2982418000.0,14396470000.0,17378890000.0,0.0,135871000.0,7101138000.0,7101138000.0,7237009000.0,10141880000.0,11013000.0,460270000.0,-85000.0,11165000.0,-223163000.0,-220966000.0,38.96
2022-06-30,535955000.0,535955000.0,51843000.0,377792000.0,304504000.0,0.5,383132000.0,377792000.0,436318000.0,2762139000.0,35347000.0,3503849000.0,14236560000.0,17740410000.0,0.0,182327000.0,7106199000.0,7149899000.0,7332226000.0,10408190000.0,5340000.0,574952000.0,-175008000.0,-30178000.0,-230035000.0,-228254000.0,42.04
2022-09-30,573463000.0,573463000.0,50692000.0,192210000.0,142651000.0,0.24,197553000.0,192210000.0,439293000.0,1540901000.0,34843000.0,2342116000.0,15330490000.0,17672610000.0,996583000.0,1131625000.0,6114677000.0,6124577000.0,7256202000.0,10416400000.0,5343000.0,538827000.0,-1316306000.0,-1425150000.0,-231948000.0,-230086000.0,40.18
