,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-06-30,10559510000.0,3493282000.0,7066226000.0,3015323000.0,1544881000.0,579819600.0,0.22,1544881000.0,1544881000.0,2690909000.0,5567052000.0,9943123000.0,8948026000.0,27171860000.0,99483470000.0,126655300000.0,5185729000.0,17798110000.0,13958760000.0,35472160000.0,53270270000.0,73385050000.0,3405787000.0,2644448000.0,-548478000.0,-855364500.0,-4750864000.0,-4603297000.0,51.51
2014-06-30,11174680000.0,3577654000.0,7597028000.0,3093409000.0,1976764000.0,1065889000.0,0.4,1976764000.0,1976764000.0,2633898000.0,6000253000.0,9790536000.0,9306291000.0,27942190000.0,96507510000.0,124449700000.0,6424139000.0,19479560000.0,13873010000.0,33956160000.0,53435730000.0,71013970000.0,2717536000.0,3476141000.0,-624169000.0,-2952114000.0,-5042737000.0,-5952240000.0,53.17
2015-06-30,10465760000.0,3250016000.0,7215742000.0,2929218000.0,2130541000.0,1440272000.0,0.55,2130541000.0,2130541000.0,2611800000.0,5450247000.0,8589643000.0,7906011000.0,24346360000.0,83976050000.0,108322400000.0,4382764000.0,18025530000.0,11913770000.0,27493500000.0,45519020000.0,62803400000.0,2192488000.0,3766611000.0,-932526600.0,-1136067000.0,-4086303000.0,-5597372000.0,49.53
2015-09-30,10769970000.0,3335575000.0,7434393000.0,2738109000.0,2307532000.0,1811313000.0,0.6900000000000001,2307532000.0,2307532000.0,2611000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4086303000.0,0.0,47.47
2016-03-31,8746170000.0,2699531000.0,6046640000.0,2440278000.0,1305086000.0,1199178000.0,0.47000000000000003,1305086000.0,1305086000.0,2576800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.16
2016-06-30,9384717000.0,2849981000.0,6534736000.0,2707651000.0,1723770000.0,1308077000.0,0.51,1723770000.0,1723770000.0,2573600000.0,7010298000.0,8234784000.0,7982883000.0,25229620000.0,86728440000.0,111958000000.0,2741539000.0,17219620000.0,16774560000.0,33348050000.0,50567670000.0,61390370000.0,1775731000.0,2703133000.0,-1057306000.0,-1597254000.0,-4246167000.0,-4624583000.0,41.85
2016-09-30,10373220000.0,3098016000.0,7275204000.0,2537784000.0,2721923000.0,1868184000.0,0.73,2721923000.0,2721923000.0,2577000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4246167000.0,0.0,38.19
2016-12-31,9903766000.0,3195305000.0,6708460000.0,2811494000.0,1841605000.0,835540300.0,0.33,1841605000.0,1841604000.0,2573200000.0,11368100000.0,8090353000.0,7626687000.0,29531830000.0,86298200000.0,115830000000.0,1952042000.0,18185870000.0,18607480000.0,33766790000.0,51952660000.0,63877380000.0,3652887000.0,8673531000.0,-2073769000.0,-2778673000.0,-4159709000.0,-4538167000.0,40.44
2017-03-31,9481533000.0,2967975000.0,6513559000.0,2640805000.0,1851121000.0,6075556000.0,2.41,1851121000.0,1851121000.0,2524800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.25
2017-06-30,9828087000.0,3174077000.0,6654010000.0,2825314000.0,1596391000.0,1140907000.0,0.45,1596391000.0,1596391000.0,2516400000.0,11966880000.0,7544071000.0,7972049000.0,29783510000.0,82293850000.0,112077400000.0,3565748000.0,18763910000.0,16707640000.0,29730710000.0,48494610000.0,63582760000.0,1938552000.0,2812111000.0,-613911600.0,-1168412000.0,-4081742000.0,-5712238000.0,47.91
2017-09-30,11039590000.0,3353131000.0,7686462000.0,2719644000.0,2434047000.0,1841695000.0,0.73,2434047000.0,2434047000.0,2508600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4081742000.0,0.0,49.79
2017-12-31,10572170000.0,3628730000.0,6943439000.0,3182795000.0,1188469000.0,474792000.0,0.06,1188469000.0,1188469000.0,2513800000.0,11659040000.0,8156245000.0,7704125000.0,29785670000.0,83047660000.0,112833300000.0,1441132000.0,17471050000.0,16192680000.0,29513260000.0,46984310000.0,65849020000.0,4166286000.0,8340483000.0,-1606156000.0,-3273349000.0,-4193413000.0,-8931631000.0,43.0
2018-03-31,9988479000.0,3128314000.0,6860166000.0,2841910000.0,1548792000.0,1248867000.0,0.5,1548792000.0,1548792000.0,2496400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.08
2018-12-31,21054499656.5148,8417678039.8443,12636821616.6705,5770551866.2698,0.0,2909319899.2443,2.3243,6147240668.6512,0.0,1251697241.8553112,7928784062.2853,10699564918.7085,8560796885.7339,28141744904.9691,0.0,127556675062.9723,3014655369.8191,19894664529.4252,25196931531.9441,0.0,59964506526.2194,67410121364.7813,1901763224.1814,4321044195.0996,0.0,201511335.0126,0.0,-5184337073.5058,43.41
2019-03-31,9896226000.0,2973524000.0,6922701000.0,2698661000.0,1537873000.0,1291405000.0,0.52,1537873000.0,1537873000.0,2497881000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.28
2019-06-30,19339772727.2727,7401136363.6364,11938636363.6364,5494318181.8182,0.0,1193181818.1818,0.9545,7375000000.0,0.0,2499077831.8848,7661363636.3636,8214772727.2727,9571590909.0909,28765909090.9091,95799640000.0,125619318181.8182,5285227272.7273,21825000000.0,25051136363.6364,39138800000.0,61394318181.8182,64037500000.0,4294318181.8182,3612500000.0,29224000.0,-187500000.0,-4309416000.0,-3646590909.0909,43.27
2019-09-30,11032150000.0,3485008000.0,7547145000.0,2569832000.0,2516456000.0,1963792000.0,0.8300000000000001,2516456000.0,2516456000.0,2504400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.33
2019-12-31,21468539325.8427,8577528089.8876,12891011235.9551,5671910112.3596,0.0,2086516853.9326,1.573,7938202247.191,0.0,2502875785.7047,10946067415.7303,11329213483.1461,8982022471.9101,32147191011.236,0.0,126669662921.3483,5410112359.5506,22900000000.0,23728089887.6405,0.0,60256179775.2809,66217977528.0899,-66292134.8315,5129213483.1461,0.0,-1011235955.0562,0.0,-1097752808.9888,50.2
2020-03-31,10277410000.0,3160668000.0,7116743000.0,2583694000.0,2337681000.0,1856686000.0,0.74,2337681000.0,2337681000.0,2502600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.72
2020-06-30,19303370786.5169,7226966292.1348,12076404494.382,5176404494.382,0.0,10428089887.6405,8.3258,6143820224.7191,0.0,2539036064.1536,17942696629.2135,8093258426.9663,9994382022.4719,39094382022.4719,89216630000.0,130133707865.1685,4019101123.5955,21124719101.1236,23989887640.4494,36922090000.0,58801123595.5056,71128089887.6404,2261797752.809,4411235955.0562,29729700.0,9073033707.8652,-4335031000.0,-6069662921.3483,51.05
2020-09-30,11547560000.0,3712427000.0,7835136000.0,2550540000.0,2926924000.0,2281693000.0,0.91,2926924000.0,2926924000.0,2511400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.17
2020-12-31,23285185185.1852,9156790123.4568,14128395061.7284,5904938271.6049,0.0,3744444444.4444,3.0,6790123456.7901,0.0,2537008080.0768,17179012345.679,12287654320.9877,10311111111.1111,41608641975.3086,0.0,141393827160.4938,3702469135.8025,23762962962.963,25525925925.9259,0.0,63434567901.2346,77779012345.679,1518518518.5185,4349382716.0494,0.0,-5539506172.8395,0.0,-1337037037.037,48.59
2021-03-31,10712960000.0,3235830000.0,7477132000.0,2645086000.0,2526938000.0,1887970000.0,0.75,2526938000.0,2526938000.0,2498600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.46
2021-06-30,20636904761.9048,7525000000.0,13111904761.9048,5392857142.8571,0.0,3304761904.7619,2.6429,6609523809.5238,0.0,2534980096.0,11714040000.0,8946382000.0,11158580000.0,35546960000.0,99788620000.0,135335600000.0,2680903000.0,23046120000.0,21609880000.0,35942160000.0,58988290000.0,76347280000.0,2079657000.0,5728095000.0,-866323100.0,-2818261000.0,-4829239000.0,-7971618000.0,52.66
2021-09-30,12769560000.0,3818250000.0,8951307000.0,2673246000.0,3580051000.0,2732206000.0,1.09,3580051000.0,3580051000.0,2509000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4829239000.0,0.0,48.21
2021-12-31,23211363636.3636,8551136363.6364,14660227272.7273,5710227272.7273,0.0,3917045454.5455,3.125,7361363636.3636,0.0,2541064048.2304,11475000000.0,11121590909.0909,9903409090.9091,34731818181.8182,0.0,136638636363.6364,3922727272.7273,24198863636.3636,21547727272.7273,0.0,58194318181.8182,78046590909.0909,1584090909.0909,6554545454.5455,0.0,-5635227272.7273,0.0,-500000000.0,50.1
2022-03-31,11281480000.0,3231936000.0,8049541000.0,2669714000.0,2691035000.0,2254500000.0,0.9,2691035000.0,2691035000.0,2498400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.34
2022-06-30,11431640000.0,3458650000.0,7972987000.0,2739251000.0,1633548000.0,1250435000.0,0.5,1633548000.0,1633548000.0,2501600000.0,7341916000.0,572539600.0,22266260000.0,30180710000.0,99466520000.0,129647200000.0,3259645000.0,23476250000.0,16965480000.0,30289260000.0,53765510000.0,75881720000.0,1895833333.3333,3984375000.0,0.0,-1519791666.6667,0.0,-5838541666.6667,50.03
2022-09-30,13232590000.0,3858583000.0,9374011000.0,2663037000.0,4308802000.0,2090947000.0,0.84,4308802000.0,4308802000.0,2507000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.02
