,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,4901000000.0,2311000000.0,2590000000.0,1302000000.0,932000000.0,630000000.0,0.74,1319000000.0,932000000.0,855000000.0,1394000000.0,5416000000.0,5385000000.0,14416000000.0,33653000000.0,48069000000.0,2720000000.0,12356000000.0,9938000000.0,12899000000.0,25255000000.0,22814000000.0,387000000.0,1102000000.0,-121000000.0,-266000000.0,-281000000.0,-2260000000.0,39.68
2013-06-30,4924000000.0,2331000000.0,2593000000.0,1301000000.0,-482000000.0,-452000000.0,-0.53,-82000000.0,-482000000.0,849000000.0,1245000000.0,5305000000.0,5326000000.0,14091000000.0,33412000000.0,47503000000.0,2534000000.0,12835000000.0,9925000000.0,13058000000.0,25893000000.0,21610000000.0,400000000.0,875000000.0,-218000000.0,-266000000.0,-268000000.0,-748000000.0,39.2
2013-09-30,5059000000.0,2429000000.0,2630000000.0,1268000000.0,967000000.0,711000000.0,0.84,1386000000.0,967000000.0,845000000.0,1148000000.0,5191000000.0,5244000000.0,13906000000.0,33944000000.0,47850000000.0,2536000000.0,12160000000.0,10061000000.0,13302000000.0,25462000000.0,22388000000.0,419000000.0,444000000.0,-205000000.0,-299000000.0,-264000000.0,-256000000.0,37.78
2013-12-31,5430000000.0,2536000000.0,2894000000.0,1448000000.0,1020000000.0,380000000.0,0.45,1456000000.0,1020000000.0,849000000.0,1038000000.0,5338000000.0,5053000000.0,13720000000.0,33788000000.0,47508000000.0,1804000000.0,11965000000.0,10387000000.0,12907000000.0,24872000000.0,22636000000.0,436000000.0,816000000.0,-300000000.0,-316000000.0,-276000000.0,-619000000.0,40.08
2014-03-31,5001000000.0,2304000000.0,2697000000.0,1286000000.0,1029000000.0,744000000.0,0.88,1433000000.0,1029000000.0,850000000.0,901000000.0,5275000000.0,4976000000.0,13448000000.0,33444000000.0,46892000000.0,1552000000.0,11402000000.0,10244000000.0,12460000000.0,23862000000.0,23030000000.0,404000000.0,898000000.0,-207000000.0,-388000000.0,-291000000.0,-634000000.0,52.84
2014-06-30,5045000000.0,2384000000.0,2661000000.0,1223000000.0,1068000000.0,748000000.0,0.88,1442000000.0,1068000000.0,852000000.0,949000000.0,5389000000.0,4940000000.0,13546000000.0,33188000000.0,46734000000.0,2048000000.0,11854000000.0,9122000000.0,11291000000.0,23145000000.0,23589000000.0,374000000.0,1053000000.0,-68000000.0,-187000000.0,-299000000.0,-819000000.0,52.42
2014-09-30,5058000000.0,2249000000.0,2809000000.0,1243000000.0,1276000000.0,876000000.0,1.02,1637000000.0,1276000000.0,855000000.0,1473000000.0,5410000000.0,4591000000.0,13922000000.0,32686000000.0,46608000000.0,1832000000.0,11669000000.0,8818000000.0,11269000000.0,22938000000.0,23670000000.0,361000000.0,1424000000.0,-197000000.0,-528000000.0,-294000000.0,-329000000.0,53.75
2014-12-31,5168000000.0,2279000000.0,2889000000.0,1326000000.0,1228000000.0,687000000.0,0.8,1597000000.0,1228000000.0,853000000.0,2226000000.0,5408000000.0,4371000000.0,14396000000.0,32024000000.0,46420000000.0,1761000000.0,12289000000.0,8566000000.0,10776000000.0,23065000000.0,23355000000.0,369000000.0,1752000000.0,-261000000.0,-347000000.0,-272000000.0,-593000000.0,57.51
2015-03-31,4982000000.0,2146000000.0,2836000000.0,1229000000.0,1048000000.0,446000000.0,0.52,1383000000.0,1048000000.0,851000000.0,3396000000.0,5508000000.0,4174000000.0,15711000000.0,31240000000.0,46951000000.0,1626000000.0,12467000000.0,9391000000.0,11807000000.0,24274000000.0,22677000000.0,335000000.0,1354000000.0,-103000000.0,-219000000.0,-290000000.0,93000000.0,62.3
2015-06-30,4966000000.0,2064000000.0,2902000000.0,1185000000.0,947000000.0,539000000.0,0.64,1270000000.0,947000000.0,849000000.0,1068000000.0,5568000000.0,4226000000.0,13299000000.0,37072000000.0,50371000000.0,3022000000.0,14473000000.0,9496000000.0,12813000000.0,27286000000.0,23085000000.0,323000000.0,1480000000.0,184000000.0,-4917000000.0,-288000000.0,1087000000.0,59.1
2015-09-30,4823000000.0,2052000000.0,2771000000.0,1096000000.0,1394000000.0,103000000.0,0.12,1709000000.0,1394000000.0,851000000.0,928000000.0,5275000000.0,4092000000.0,12500000000.0,36125000000.0,48625000000.0,2148000000.0,12978000000.0,9516000000.0,12747000000.0,25725000000.0,22900000000.0,315000000.0,1093000000.0,-97000000.0,-136000000.0,-287000000.0,-1090000000.0,56.46
2015-12-31,4881000000.0,2034000000.0,2847000000.0,1328000000.0,-37000000.0,485000000.0,0.56,298000000.0,-37000000.0,855000000.0,6946000000.0,5350000000.0,3966000000.0,18398000000.0,35835000000.0,54233000000.0,1585000000.0,13005000000.0,8358000000.0,11301000000.0,24306000000.0,29927000000.0,335000000.0,1615000000.0,-232000000.0,-293000000.0,-290000000.0,4715000000.0,65.64
2016-03-31,4810000000.0,2019000000.0,2791000000.0,1143000000.0,1284000000.0,570000000.0,0.62,1589000000.0,1284000000.0,913000000.0,5964000000.0,5188000000.0,3963000000.0,16994000000.0,38132000000.0,55126000000.0,1581000000.0,12905000000.0,8619000000.0,11630000000.0,24535000000.0,30591000000.0,305000000.0,1376000000.0,-170000000.0,-2417000000.0,-307000000.0,267000000.0,53.51
2016-06-30,5038000000.0,2161000000.0,2877000000.0,1263000000.0,1073000000.0,188000000.0,0.21,1383000000.0,1073000000.0,914000000.0,6984000000.0,5374000000.0,3921000000.0,18344000000.0,39576000000.0,57920000000.0,2882000000.0,14411000000.0,8036000000.0,11486000000.0,25897000000.0,32023000000.0,310000000.0,963000000.0,-138000000.0,-225000000.0,-310000000.0,279000000.0,50.23
2016-09-30,5563000000.0,2762000000.0,2801000000.0,1250000000.0,355000000.0,348000000.0,0.35000000000000003,932000000.0,355000000.0,979000000.0,2614000000.0,8071000000.0,5349000000.0,17386000000.0,81361000000.0,98747000000.0,4003000000.0,19286000000.0,33179000000.0,42433000000.0,61719000000.0,37028000000.0,577000000.0,1461000000.0,1540000000.0,-32301000000.0,-340000000.0,25372000000.0,46.01
2016-12-31,6492000000.0,3102000000.0,3390000000.0,1489000000.0,-558000000.0,-1038000000.0,-1.11,-226000000.0,-558000000.0,955000000.0,988000000.0,7523000000.0,4954000000.0,17228000000.0,75829000000.0,93057000000.0,3276000000.0,18488000000.0,32524000000.0,39576000000.0,58064000000.0,34993000000.0,332000000.0,1425000000.0,-131000000.0,-797000000.0,-346000000.0,-701000000.0,36.25
2017-03-31,5650000000.0,2811000000.0,2839000000.0,1324000000.0,895000000.0,580000000.0,0.5700000000000001,1375000000.0,895000000.0,1016000000.0,900000000.0,7264000000.0,4999000000.0,14835000000.0,76441000000.0,91276000000.0,1942000000.0,15903000000.0,32694000000.0,39628000000.0,55531000000.0,35745000000.0,480000000.0,136000000.0,1210000000.0,1516000000.0,-346000000.0,-1768000000.0,32.09
2017-06-30,5720000000.0,2865000000.0,2855000000.0,1307000000.0,-5740000000.0,-6035000000.0,-5.94,-5163000000.0,-5740000000.0,1017000000.0,599000000.0,7320000000.0,5132000000.0,14595000000.0,71760000000.0,86355000000.0,1246000000.0,15457000000.0,33806000000.0,41290000000.0,56747000000.0,29608000000.0,577000000.0,435000000.0,-120000000.0,-86000000.0,-345000000.0,-651000000.0,33.22
2017-09-30,5617000000.0,2967000000.0,2650000000.0,1215000000.0,378000000.0,530000000.0,0.52,905000000.0,378000000.0,1017000000.0,680000000.0,7424000000.0,5060000000.0,16226000000.0,69856000000.0,86082000000.0,2731000000.0,16943000000.0,31971000000.0,38844000000.0,55787000000.0,30295000000.0,527000000.0,795000000.0,-90000000.0,104000000.0,-123000000.0,-825000000.0,17.6
2017-12-31,5398000000.0,3127000000.0,2271000000.0,1000000000.0,-13017000000.0,-11600000000.0,-11.41,-12489000000.0,-13017000000.0,1016000000.0,963000000.0,7128000000.0,4924000000.0,15382000000.0,55233000000.0,70615000000.0,3646000000.0,17921000000.0,28829000000.0,33949000000.0,51870000000.0,18745000000.0,528000000.0,859000000.0,1603000000.0,1912000000.0,-87000000.0,-2506000000.0,18.95
2018-03-31,5065000000.0,2750000000.0,2315000000.0,1067000000.0,1525000000.0,1055000000.0,1.04,2032000000.0,1525000000.0,1017000000.0,1418000000.0,6289000000.0,5113000000.0,14687000000.0,54494000000.0,69181000000.0,1302000000.0,14756000000.0,29450000000.0,34323000000.0,49079000000.0,20102000000.0,507000000.0,1496000000.0,661000000.0,1039000000.0,-22000000.0,-2091000000.0,17.09
2018-06-30,4701000000.0,2668000000.0,2033000000.0,998000000.0,106000000.0,-241000000.0,-0.24,585000000.0,106000000.0,1018000000.0,1861000000.0,6061000000.0,4971000000.0,14711000000.0,52319000000.0,67030000000.0,1272000000.0,14215000000.0,28965000000.0,33447000000.0,47662000000.0,19368000000.0,479000000.0,162000000.0,-119000000.0,406000000.0,22000000.0,-56000000.0,24.32
2018-09-30,4529000000.0,2552000000.0,1977000000.0,1008000000.0,16000000.0,-273000000.0,-0.27,490000000.0,16000000.0,1018000000.0,1875000000.0,5665000000.0,4866000000.0,13881000000.0,51180000000.0,65061000000.0,2673000000.0,14830000000.0,26816000000.0,31097000000.0,45927000000.0,19134000000.0,474000000.0,421000000.0,-980000000.0,347000000.0,0.0,-705000000.0,21.54
