,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,4527066000.0,2454816000.0,2072250000.0,195233400.0,1514995000.0,1349571000.0,0.26,2759515000.0,1514995000.0,5173448000.0,6495887000.0,20821600.0,1290121000.0,10153320000.0,26048260000.0,36201570000.0,1226715000.0,5394835000.0,4333903000.0,4595805000.0,9990640000.0,26210930000.0,1244520000.0,2508726000.0,-2741843000.0,-2626822000.0,0.0,1532431000.0,17.19
2013-06-30,5222305000.0,2662162000.0,2560143000.0,229483800.0,1930574000.0,1735559000.0,0.33,3184847000.0,1930574000.0,5180773000.0,7649206000.0,101536800.0,1293600000.0,11807490000.0,27383680000.0,39191160000.0,1054124000.0,8161654000.0,5713809000.0,6030594000.0,14192250000.0,24998920000.0,1254273000.0,2476353000.0,-2574871000.0,-2520935000.0,0.0,1349544000.0,18.32
2013-09-30,5444664000.0,2801822000.0,2642842000.0,197755800.0,1997205000.0,1740390000.0,0.34,3351926000.0,1997205000.0,5195194000.0,7326023000.0,34233300.0,1236704000.0,11330060000.0,28117530000.0,39447600000.0,604778700.0,4967521000.0,7075708000.0,7540222000.0,12507740000.0,26939860000.0,1354721000.0,3209370000.0,-1836964000.0,-1752797000.0,-2605406000.0,-1725210000.0,16.96
2013-12-31,4819465000.0,2662601000.0,2156864000.0,161527100.0,1599426000.0,1341980000.0,0.29,2981611000.0,1599426000.0,5185580000.0,8241500000.0,17200000.0,1257000000.0,12017700000.0,30315500000.0,42333200000.0,524500000.0,6837900000.0,7092900000.0,7533100000.0,14371000000.0,27962200000.0,1382186000.0,3451051000.0,-2481622000.0,-2521346000.0,-1794000.0,-80465000.0,17.44
2014-03-31,4891794000.0,2568591000.0,2323203000.0,191676300.0,1733238000.0,1579735000.0,0.31,3106777000.0,1733238000.0,5175216000.0,7772565000.0,23806700.0,1434882000.0,11744380000.0,31114010000.0,42858390000.0,819840300.0,5755106000.0,7016505000.0,7469353000.0,13224460000.0,29633940000.0,1373538000.0,3130411000.0,-3790052000.0,-3823366000.0,0.0,262357400.0,20.02
2014-06-30,6076135000.0,3048530000.0,3027605000.0,220537200.0,2347702000.0,1982116000.0,0.38,3882533000.0,2347702000.0,5191503000.0,10476290000.0,110840700.0,1691682000.0,15245420000.0,29410060000.0,44655480000.0,1152213000.0,8188285000.0,7026928000.0,7352120000.0,15540400000.0,29115080000.0,1534831000.0,2733034000.0,-2455477000.0,-2230792000.0,0.0,345102300.0,21.39
2014-09-30,6961250000.0,3445490000.0,3515760000.0,197637700.0,2811585000.0,2541963000.0,0.49,4692891000.0,2811585000.0,5192873000.0,9768043000.0,23134500.0,2175722000.0,15858470000.0,29096360000.0,44954830000.0,1194916000.0,5735864000.0,7079931000.0,7365574000.0,13101440000.0,31853390000.0,1881305000.0,3056122000.0,-1611665000.0,-1504252000.0,-2590269000.0,-2604271700.0,20.18
2014-12-31,6211122000.0,3124488000.0,3086634000.0,150248800.0,2470475000.0,1943686000.0,0.5,4017900000.0,2470475000.0,5185800000.0,13936700000.0,15600000.0,2099300000.0,19828000000.0,27477500000.0,47305500000.0,1144300000.0,7113500000.0,6788500000.0,7838799000.0,14952300000.0,32353200000.0,1547426000.0,4419833000.0,-1267506000.0,-1378990000.0,128669000.0,973812000.0,22.38
2015-03-31,7037863000.0,3568955000.0,3468908000.0,182498500.0,2746048000.0,2503980000.0,0.48,4504701000.0,2746048000.0,5186002000.0,16576600000.0,23931300.0,2047809000.0,21888650000.0,27464930000.0,49353570000.0,592270000.0,5945815000.0,6785334000.0,7779629000.0,13725440000.0,35628130000.0,1758652000.0,4945221000.0,-1548403000.0,-1812226000.0,0.0,-576039400.0,23.48
2015-06-30,6676825000.0,3436414000.0,3240411000.0,193147500.0,2504745000.0,2581069000.0,0.5,4324378000.0,2504745000.0,5186075000.0,18159670000.0,140076600.0,2154054000.0,23769490000.0,28518240000.0,52287730000.0,534980000.0,10054840000.0,6586487000.0,7567488000.0,17622330000.0,34665390000.0,1819634000.0,3734483000.0,-1788021000.0,-179313000.0,0.0,-450119600.0,22.71
