,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,13434000000.0,3095000000.0,10339000000.0,6968000000.0,1580000000.0,1037000000.0,1.09,2054000000.0,1580000000.0,952000000.0,7332000000.0,5617000000.0,0.0,14481000000.0,23524000000.0,38005000000.0,1615000000.0,8034000000.0,11051000000.0,25928000000.0,33962000000.0,4043000000.0,474000000.0,1758000000.0,-441000000.0,-753000000.0,-572000000.0,-1846000000.0,85.9
2013-06-30,13507000000.0,3032000000.0,10475000000.0,6981000000.0,1742000000.0,1071000000.0,1.1400000000000001,2208000000.0,1742000000.0,943000000.0,6192000000.0,5438000000.0,0.0,13226000000.0,23477000000.0,36703000000.0,1086000000.0,7183000000.0,10837000000.0,25890000000.0,33073000000.0,3630000000.0,466000000.0,1673000000.0,-525000000.0,-1100000000.0,-568000000.0,-2195000000.0,86.48
2013-09-30,13521000000.0,3060000000.0,10461000000.0,6961000000.0,1804000000.0,1097000000.0,1.17,2264000000.0,1804000000.0,935000000.0,6649000000.0,5592000000.0,0.0,13758000000.0,23718000000.0,37476000000.0,1703000000.0,7821000000.0,10897000000.0,26000000000.0,33821000000.0,3655000000.0,460000000.0,1629000000.0,-549000000.0,-610000000.0,-562000000.0,-675000000.0,91.37
2013-12-31,14976000000.0,3566000000.0,11410000000.0,7647000000.0,1908000000.0,1167000000.0,1.26,2375000000.0,1908000000.0,940000000.0,5245000000.0,6502000000.0,0.0,13387000000.0,22825000000.0,36212000000.0,48000000.0,7131000000.0,10824000000.0,22593000000.0,29724000000.0,6488000000.0,467000000.0,2244000000.0,-446000000.0,349000000.0,-558000000.0,-3091000000.0,105.08
2014-03-31,13779000000.0,3209000000.0,10570000000.0,7265000000.0,1513000000.0,911000000.0,0.99,1981000000.0,1513000000.0,921000000.0,7035000000.0,5804000000.0,0.0,14620000000.0,22465000000.0,37085000000.0,2222000000.0,9193000000.0,9860000000.0,21630000000.0,30823000000.0,6262000000.0,468000000.0,2267000000.0,-318000000.0,-845000000.0,-596000000.0,-120000000.0,97.38
2014-06-30,14268000000.0,3309000000.0,10959000000.0,8375000000.0,747000000.0,454000000.0,0.49,1220000000.0,747000000.0,918000000.0,4599000000.0,5845000000.0,0.0,12341000000.0,22520000000.0,34861000000.0,1902000000.0,8337000000.0,9940000000.0,20939000000.0,29276000000.0,5585000000.0,473000000.0,-435000000.0,-485000000.0,-957000000.0,-596000000.0,-1512000000.0,102.66
2014-09-30,14290000000.0,3368000000.0,10922000000.0,7217000000.0,1954000000.0,1214000000.0,1.33,2439000000.0,1954000000.0,913000000.0,5571000000.0,5822000000.0,0.0,13318000000.0,22588000000.0,35906000000.0,2393000000.0,9096000000.0,9858000000.0,21166000000.0,30262000000.0,5644000000.0,485000000.0,2359000000.0,-613000000.0,-337000000.0,-588000000.0,-781000000.0,98.29
2014-12-31,15895000000.0,3828000000.0,12067000000.0,9188000000.0,754000000.0,453000000.0,0.5,1251000000.0,754000000.0,916000000.0,3283000000.0,6661000000.0,0.0,11218000000.0,24222000000.0,35440000000.0,923000000.0,8621000000.0,9856000000.0,24661000000.0,33282000000.0,2158000000.0,497000000.0,1535000000.0,-859000000.0,-662000000.0,-586000000.0,-2748000000.0,111.17
2015-03-31,13977000000.0,2848000000.0,11129000000.0,7564000000.0,1673000000.0,1026000000.0,1.13,2179000000.0,1673000000.0,903000000.0,6417000000.0,5724000000.0,0.0,13915000000.0,23417000000.0,37332000000.0,3163000000.0,10610000000.0,9941000000.0,24875000000.0,35485000000.0,1847000000.0,506000000.0,2751000000.0,-363000000.0,-1357000000.0,-636000000.0,899000000.0,96.94
2015-06-30,14095000000.0,2773000000.0,11322000000.0,7502000000.0,1960000000.0,1230000000.0,1.37,2470000000.0,1960000000.0,901000000.0,6222000000.0,5618000000.0,0.0,13768000000.0,23483000000.0,37251000000.0,3252000000.0,10303000000.0,9900000000.0,24980000000.0,35283000000.0,1968000000.0,510000000.0,1488000000.0,-587000000.0,-1419000000.0,-634000000.0,-1151000000.0,96.91
2015-09-30,14237000000.0,2905000000.0,11332000000.0,7458000000.0,1984000000.0,1257000000.0,1.4,2511000000.0,1984000000.0,895000000.0,5689000000.0,6055000000.0,0.0,13581000000.0,25421000000.0,39002000000.0,4557000000.0,11869000000.0,10044000000.0,25185000000.0,37054000000.0,1948000000.0,527000000.0,2176000000.0,-684000000.0,-2183000000.0,-629000000.0,92000000.0,98.69
2015-12-31,16054000000.0,3399000000.0,12655000000.0,8504000000.0,2051000000.0,1331000000.0,1.49,2592000000.0,2051000000.0,901000000.0,4726000000.0,7134000000.0,0.0,13208000000.0,25103000000.0,38311000000.0,3018000000.0,10696000000.0,11316000000.0,25124000000.0,35820000000.0,2491000000.0,541000000.0,1015000000.0,-719000000.0,-350000000.0,-626000000.0,-1405000000.0,96.23
2016-03-31,14418000000.0,2839000000.0,11579000000.0,7853000000.0,1823000000.0,1131000000.0,1.27,2375000000.0,1823000000.0,889000000.0,6267000000.0,6241000000.0,0.0,13912000000.0,25256000000.0,39168000000.0,3869000000.0,11098000000.0,11569000000.0,25590000000.0,36688000000.0,2480000000.0,552000000.0,2670000000.0,-424000000.0,-1108000000.0,-666000000.0,-440000000.0,105.47
2016-06-30,14629000000.0,2958000000.0,11671000000.0,7738000000.0,2038000000.0,1269000000.0,1.43,2593000000.0,2038000000.0,886000000.0,5672000000.0,6111000000.0,0.0,13123000000.0,25216000000.0,38339000000.0,2816000000.0,9961000000.0,11550000000.0,25728000000.0,35689000000.0,2650000000.0,555000000.0,2023000000.0,-528000000.0,-686000000.0,-661000000.0,-2144000000.0,107.72
2016-09-30,14928000000.0,3139000000.0,11789000000.0,7857000000.0,2034000000.0,1270000000.0,1.44,2588000000.0,2034000000.0,876000000.0,5358000000.0,6272000000.0,0.0,12853000000.0,25489000000.0,38342000000.0,3820000000.0,10889000000.0,11506000000.0,24686000000.0,35575000000.0,2767000000.0,554000000.0,670000000.0,-809000000.0,-233000000.0,-660000000.0,-197000000.0,109.36
