,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,236447000.0,47254000.0,189193000.0,37753000.0,133264000.0,84513000.0,0.55,148382000.0,133264000.0,152543000.0,1562447000.0,13617000.0,1615199000.0,455914000.0,2071113000.0,606142000.0,1706407000.0,100000000.0,403842000.0,2110249000.0,-39136000.0,15118000.0,150637000.0,-17115000.0,-78565000.0,0.0,-122351000.0,47.27
2013-06-30,239332000.0,46630000.0,192702000.0,43722000.0,132081000.0,86890000.0,0.58,147489000.0,132081000.0,148576000.0,1997462000.0,13556000.0,2053291000.0,471550000.0,2524841000.0,606282000.0,1740634000.0,750000000.0,1058139000.0,2798773000.0,-273932000.0,15408000.0,146836000.0,-20435000.0,44529000.0,0.0,309972000.0,44.66
2013-09-30,243678000.0,46554000.0,197124000.0,46955000.0,132713000.0,80898000.0,0.5700000000000001,147602000.0,132713000.0,141701000.0,1806814000.0,14823000.0,1861743000.0,468208000.0,2329951000.0,613751000.0,1764070000.0,750000000.0,1059698000.0,2823768000.0,-493817000.0,14889000.0,134484000.0,-12651000.0,-283049000.0,0.0,-312635000.0,50.89
2013-12-31,245630000.0,46575000.0,199055000.0,51115000.0,130174000.0,292149000.0,2.15,155162000.0,130174000.0,144591000.0,1723285000.0,13631000.0,1803199000.0,857568000.0,2660767000.0,624056000.0,2029186000.0,750000000.0,1055139000.0,3084325000.0,-423558000.0,24988000.0,147440000.0,-15393000.0,306023000.0,0.0,-232319000.0,59.78
2014-03-31,248796000.0,48026000.0,200770000.0,42746000.0,139585000.0,94423000.0,0.71,155593000.0,139585000.0,133417000.0,1717208000.0,72990000.0,1790198000.0,819151000.0,2609349000.0,621061000.0,2043797000.0,750000000.0,1023171000.0,3066968000.0,-457619000.0,16008000.0,141629000.0,-11262000.0,-77141000.0,0.0,-136888000.0,53.91
2014-06-30,250382000.0,45989000.0,204393000.0,45578000.0,143121000.0,100176000.0,0.77,159228000.0,143121000.0,129350000.0,1545471000.0,51572000.0,1597043000.0,725591000.0,2322634000.0,618136000.0,1843070000.0,750000000.0,1112416000.0,2955486000.0,-632852000.0,16107000.0,121109000.0,-7485000.0,134672000.0,0.0,-285509000.0,48.81
2014-09-30,255022000.0,46933000.0,208089000.0,52269000.0,139500000.0,95189000.0,0.77,155309000.0,139500000.0,124109000.0,1474718000.0,48269000.0,1522987000.0,684435100.0,2207422000.0,627068000.0,1849266000.0,750000000.0,1106910000.0,2956176000.0,-748754000.0,15809000.0,167738000.0,-11311000.0,56498000.0,0.0,-226761000.0,55.12
2014-12-31,255916900.0,47477000.0,208439900.0,48895000.0,142220900.0,65472000.0,0.54,168864900.0,142221000.0,126710000.0,1424684000.0,13448000.0,1479790000.0,421360000.0,1901150000.0,620620000.0,1432205000.0,740175000.0,1352411000.0,2784616000.0,-883466000.0,26644000.0,170473000.0,-9269000.0,-1341000.0,0.0,-210594000.0,57.0
2015-03-31,258422000.0,48353000.0,210069000.0,48680000.0,144237000.0,88238000.0,0.75,162829000.0,144237000.0,117139000.0,1871322000.0,14656000.0,1939984000.0,667726000.0,2607710000.0,635453000.0,1922191000.0,1250000000.0,1633396000.0,3555587000.0,-947877000.0,18592000.0,132669000.0,-13042000.0,51155000.0,0.0,330263000.0,66.97
2015-06-30,262539000.0,48221000.0,214318000.0,49006000.0,148965000.0,93011000.0,0.8,167934000.0,148965000.0,115656000.0,1884809000.0,14418000.0,1930507000.0,640157000.0,2570664000.0,624767000.0,1945531000.0,1234368000.0,1619449000.0,3564980000.0,-994316000.0,18969000.0,174956000.0,-8849000.0,-540440000.0,0.0,-153531000.0,61.72
2015-09-30,265780000.0,47218000.0,218562000.0,49081000.0,154462000.0,92457000.0,0.8200000000000001,172577000.0,154462000.0,112955000.0,1890958000.0,14714000.0,1941140000.0,636165000.0,2577305000.0,626590000.0,1979892000.0,1234890000.0,1628823000.0,3608715000.0,-1031410000.0,18115000.0,155322000.0,-6768000.0,-21138000.0,0.0,-142960000.0,70.56
