,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2958000000.0,0.0,2958000000.0,880000000.0,1860000000.0,1270000000.0,0.48250000000000004,2525000000.0,1860000000.0,3188000000.0,2768000000.0,2453000000.0,6914000000.0,28145000000.0,35059000000.0,0.0,3539000000.0,0.0,4625000000.0,8164000000.0,26895000000.0,665000000.0,1644000000.0,-111000000.0,416000000.0,-217000000.0,-2017000000.0,42.46
2013-06-30,3001000000.0,0.0,3001000000.0,956000000.0,1828000000.0,1225000000.0,0.47000000000000003,2450000000.0,1828000000.0,3152000000.0,3397000000.0,1838000000.0,6941000000.0,28344000000.0,35285000000.0,0.0,3671000000.0,0.0,4611000000.0,8282000000.0,27003000000.0,622000000.0,2157000000.0,-122000000.0,-905000000.0,-216000000.0,-1176000000.0,45.69
2013-09-30,2973000000.0,0.0,2973000000.0,994000000.0,1751000000.0,1192000000.0,0.585,2537000000.0,1751000000.0,2353000000.0,4304000000.0,1702000000.0,7822000000.0,28134000000.0,35956000000.0,0.0,4335000000.0,0.0,4751000000.0,9086000000.0,26870000000.0,786000000.0,2045000000.0,-138000000.0,190000000.0,-211000000.0,-1502000000.0,47.78
2013-12-31,3155000000.0,0.0,3155000000.0,839000000.0,2077000000.0,1407000000.0,0.55,2783000000.0,2077000000.0,3108000000.0,4139000000.0,1748000000.0,7765000000.0,28483000000.0,36248000000.0,0.0,4385000000.0,0.0,4849000000.0,9234000000.0,27014000000.0,706000000.0,1541000000.0,-120000000.0,-276000000.0,-254000000.0,-1330000000.0,55.67
2014-03-31,3163000000.0,0.0,3163000000.0,888000000.0,2048000000.0,1598000000.0,0.6325000000000001,2742000000.0,2048000000.0,2274000000.0,4599000000.0,1617000000.0,8507000000.0,28756000000.0,37263000000.0,0.0,4961000000.0,0.0,5007000000.0,9968000000.0,27295000000.0,694000000.0,1929000000.0,-97000000.0,170000000.0,-253000000.0,-2400000000.0,53.97
2014-06-30,3155000000.0,0.0,3155000000.0,899000000.0,2020000000.0,1360000000.0,0.5425,2767000000.0,2020000000.0,2253000000.0,5169000000.0,1625000000.0,9025000000.0,28650000000.0,37675000000.0,0.0,5314000000.0,0.0,5075000000.0,10389000000.0,27286000000.0,747000000.0,1942000000.0,-109000000.0,-336000000.0,-251000000.0,-1368000000.0,52.68
2014-09-30,3229000000.0,0.0,3229000000.0,984000000.0,1552000000.0,1073000000.0,0.4325,2432000000.0,1552000000.0,2264000000.0,5448000000.0,1608000000.0,9562000000.0,29007000000.0,38569000000.0,0.0,6006000000.0,0.0,5150000000.0,11156000000.0,27413000000.0,880000000.0,1793000000.0,-227000000.0,-499000000.0,-248000000.0,-1380000000.0,53.34
2014-12-31,3382000000.0,0.0,3382000000.0,910000000.0,2238000000.0,1569000000.0,0.635,3071000000.0,2238000000.0,2241000000.0,5978000000.0,1400000000.0,9864000000.0,29020000000.0,38884000000.0,0.0,5798000000.0,0.0,5144000000.0,10942000000.0,27942000000.0,833000000.0,1761000000.0,-104000000.0,-636000000.0,-297000000.0,-1012000000.0,65.55
2015-03-31,3409000000.0,0.0,3409000000.0,891000000.0,2281000000.0,1550000000.0,0.63,3082000000.0,2281000000.0,2228000000.0,5784000000.0,1575000000.0,10105000000.0,28730000000.0,38835000000.0,0.0,5443000000.0,0.0,5155000000.0,10598000000.0,28237000000.0,801000000.0,978000000.0,-88000000.0,79000000.0,-294000000.0,-1103000000.0,65.41
2015-06-30,3518000000.0,0.0,3518000000.0,1009000000.0,2262000000.0,1697000000.0,0.6900000000000001,3062000000.0,2262000000.0,2220000000.0,5865000000.0,1596000000.0,10068000000.0,29361000000.0,39429000000.0,0.0,5789000000.0,0.0,5013000000.0,10802000000.0,28627000000.0,800000000.0,2111000000.0,-74000000.0,-719000000.0,-294000000.0,-1284000000.0,67.15
