,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,20523670000.0,19806680000.0,716988300.0,323237000.0,350123000.0,45634000.0,0.2,392213000.0,350123000.0,230422000.0,1347297000.0,4180449000.0,5662556000.0,11724780000.0,4386647000.0,16111430000.0,0.0,12042650000.0,1396272000.0,1722500000.0,13765150000.0,2346280000.0,42090000.0,985362000.0,-32091000.0,-36560000.0,-48608000.0,-18909000.0,51.45
2013-06-30,21906650000.0,21344200000.0,562451200.0,350851000.0,134646500.0,168439000.0,0.73,177644500.0,134646500.0,231002000.0,1567585000.0,4585488000.0,5895089000.0,12139070000.0,4440259000.0,16579330000.0,0.0,12441650000.0,1396439000.0,1719490000.0,14161140000.0,2418194000.0,42998000.0,75409000.0,-49550000.0,280493000.0,-48802000.0,-135614000.0,55.83
2013-09-30,24469040000.0,23901490000.0,567543000.0,360387100.0,114179700.0,51023000.0,0.22,158327700.0,114179700.0,231067000.0,1231006000.0,6051920000.0,6981494000.0,14393650000.0,4524987000.0,18918640000.0,0.0,14870630000.0,1396606000.0,1728258000.0,16598890000.0,2319745000.0,44148000.0,-30939000.0,-64523000.0,-65294000.0,-48711000.0,-240346000.0,61.1
2013-12-31,29176360000.0,28488140000.0,688224600.0,368362000.0,159617200.0,41385000.0,0.18,205327200.0,159617200.0,230277000.0,347465000.0,6214193000.0,8602809000.0,15228340000.0,4567750000.0,19796100000.0,423000000.0,15828900000.0,1396776000.0,1719395000.0,17548290000.0,2247802000.0,45710000.0,-1003643000.0,-59183000.0,-68203000.0,-54367000.0,188305000.0,70.31
2014-03-31,28455900000.0,27726310000.0,729591800.0,378308000.0,301127000.0,180077000.0,0.78,347368000.0,301127000.0,229409000.0,696730000.0,6506412000.0,8493269000.0,15760030000.0,4601220000.0,20361250000.0,0.0,16499930000.0,1396948000.0,1715801000.0,18215730000.0,2145515000.0,46241000.0,1116296000.0,-66209000.0,-59932000.0,-54030000.0,-707099000.0,65.59
2014-06-30,30348150000.0,29656150000.0,692003900.0,388753000.0,110877000.0,-12780000.0,-0.06,160144000.0,110877000.0,225727000.0,1261864000.0,6133228000.0,8421977000.0,15891390000.0,4739220000.0,20630610000.0,0.0,16339360000.0,1995482000.0,2304892000.0,18644250000.0,1986355000.0,49267000.0,519842000.0,-73278000.0,-191066000.0,-53161000.0,236358000.0,72.66
2014-09-30,31588710000.0,30716160000.0,872544900.0,453433000.0,210425800.0,65548000.0,0.30000000000000004,265824800.0,210425800.0,227367000.0,1808513000.0,6312883000.0,8593852000.0,16800210000.0,4731978000.0,21532180000.0,0.0,17250160000.0,1995632000.0,2325124000.0,19575280000.0,1956899000.0,55399000.0,832159000.0,-65787000.0,-64954000.0,-52911000.0,-220556000.0,77.3
2014-12-31,33588600000.0,32836300000.0,752296900.0,419994000.0,-88398400.0,-199947000.0,-0.91,-37228400.0,-88398400.0,219456000.0,2298756000.0,7144031000.0,10628340000.0,20144710000.0,4760206000.0,24904920000.0,0.0,20805030000.0,1995885000.0,2331537000.0,23136570000.0,1768346000.0,51170000.0,896964000.0,-52557000.0,-77156000.0,-64025000.0,-329565000.0,90.16
2015-03-31,32669270000.0,31757290000.0,911976600.0,467314000.0,-364248000.0,-513390000.0,-2.33,-307588000.0,-364248000.0,220243000.0,2336979000.0,7560122000.0,9517312000.0,19556820000.0,7448708000.0,27005530000.0,64205000.0,20225910000.0,3942517000.0,4863369000.0,25089280000.0,1916255000.0,56660000.0,741720000.0,-52644000.0,-2612297000.0,-64094000.0,1908800000.0,113.67
2015-06-30,34233550000.0,33342090000.0,891460900.0,505369000.0,332562500.0,214163000.0,0.98,402545500.0,332562500.0,219359000.0,2555183000.0,7596558000.0,9639961000.0,19902030000.0,7431470000.0,27333500000.0,7370000.0,21117290000.0,3742781000.0,4640589000.0,25757880000.0,1575624000.0,69983000.0,1121581000.0,-51888000.0,-55186000.0,-63935000.0,-848191000.0,106.34
