,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,890141000.0,526995000.0,363146000.0,0.0,242963000.0,250992000.0,0.64,242963000.0,242963000.0,392724000.0,356767000.0,4322367000.0,4679134000.0,14077930000.0,18757060000.0,11789850000.0,1087896000.0,1631684000.0,13421530000.0,5335530000.0,0.0,205659000.0,-3742000.0,-210432000.0,0.0,-3065000.0,17.52,0
2013-06-30,851790000.0,550330000.0,301460000.0,0.0,174051900.0,171455000.0,0.4333,174051900.0,174051900.0,394131800.0,375119000.0,4453166000.0,4828285000.0,14089400000.0,18917680000.0,11888440000.0,1302291000.0,1794922000.0,13683370000.0,5234318000.0,0.0,182695000.0,-3350000.0,-95280000.0,0.0,-63063000.0,17.14,0
2013-09-30,861148000.0,574358000.0,286790000.0,0.0,168720000.0,109341000.0,0.2767,168720000.0,168720000.0,394485000.0,436141000.0,4294106000.0,4730247000.0,14200580000.0,18930820000.0,12022320000.0,969093000.0,1465218000.0,13487540000.0,5443285000.0,0.0,238694000.0,-3861000.0,-179960000.0,0.0,-5375000.0,18.04,0
2013-12-31,923078000.0,591843900.0,331234100.0,0.0,196165200.0,156005000.0,0.3967,196165200.0,196165200.0,394065000.0,434057000.0,4001398000.0,4435455000.0,15130640000.0,19566090000.0,11981470000.0,1059317000.0,1937124000.0,13918600000.0,5647496000.0,0.0,223820000.0,-6546000.0,-821841000.0,0.0,595521000.0,19.9,0
2014-03-31,946231000.0,596582000.0,349649000.0,0.0,203850000.0,177016000.0,0.44670000000000004,203850000.0,203850000.0,395573700.0,1569605000.0,4692899000.0,6262504000.0,15537850000.0,21800360000.0,12408220000.0,1502803000.0,2706511000.0,15114730000.0,6685629000.0,0.0,198169000.0,-5382000.0,-41226000.0,0.0,978364000.0,19.18,0
2014-06-30,1035660000.0,643676000.0,391984000.0,0.0,235634000.0,202531000.0,0.51,235634000.0,235634000.0,397953000.0,926443000.0,4821370000.0,5747813000.0,16825700000.0,22573520000.0,12816420000.0,1541373000.0,2735356000.0,15551780000.0,7021739000.0,0.0,254894000.0,-4978000.0,-910841000.0,-4816000.0,10513000.0,19.15,0
2014-09-30,992531000.0,665220000.0,327311000.0,0.0,177831100.0,223191000.0,0.5633,177831100.0,177831100.0,395838000.0,663726000.0,5205113000.0,5868839000.0,16741850000.0,22610690000.0,12793160000.0,1751689000.0,2954460000.0,15747620000.0,6863066000.0,0.0,346596000.0,-4215000.0,-359033000.0,-4816000.0,-238201000.0,18.24,0
2014-12-31,1014451000.0,671034100.0,343416900.0,0.0,188822100.0,209679000.0,0.55,188822100.0,188822100.0,392454000.0,485702000.0,4525980000.0,5011683000.0,16994400000.0,22006080000.0,12796530000.0,1070083000.0,2310417000.0,15106950000.0,6899134000.0,0.0,237471000.0,-5308000.0,-194321000.0,-4816000.0,-210733000.0,19.7,0
2015-03-31,1082344000.0,656792000.0,425552000.0,0.0,267670000.0,277852000.0,0.7467,267670000.0,267670000.0,372627000.0,471012000.0,5066462000.0,5537474000.0,17312210000.0,22849680000.0,12869660000.0,1717841000.0,2901723000.0,15771380000.0,7078296000.0,0.0,85461000.0,-3272000.0,44619000.0,-4816000.0,-138302000.0,20.53,0
2015-06-30,1019652000.0,694851000.0,324801000.0,0.0,156193000.0,110305000.0,0.3033,156193000.0,156193000.0,365157000.0,525074000.0,5302199000.0,5827272000.0,17257650000.0,23084930000.0,13170800000.0,1743202000.0,2981726000.0,16152530000.0,6932395000.0,0.0,299738000.0,0.0,-83773000.0,-4497000.0,-168332000.0,22.32,0
