,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-02-28,1007873000.0,156684000.0,851189000.0,530886000.0,98224000.0,65117000.0,0.13,174976000.0,98224000.0,498607000.0,3660689000.0,485801000.0,4373083000.0,5792627000.0,10165710000.0,0.0,1264323000.0,1509003000.0,2096050000.0,3360373000.0,6805338000.0,76752000.0,322031000.0,-60190000.0,-446114000.0,0.0,11405000.0,39.31
2013-05-31,1010549000.0,135281000.0,875268000.0,523078000.0,111309000.0,76546000.0,0.15,192259000.0,111309000.0,503384000.0,3865708000.0,470052000.0,4557657000.0,5722712000.0,10280370000.0,0.0,1264855000.0,1505560000.0,2088212000.0,3353067000.0,6927302000.0,80950000.0,299148000.0,-46249000.0,-334439000.0,0.0,-22642000.0,42.91
2013-08-31,995119000.0,147076000.0,848043000.0,516716000.0,110354000.0,83002000.0,0.16,192529000.0,110354000.0,504116000.0,3163937000.0,522409000.0,3886124000.0,6348032000.0,10234160000.0,0.0,1329117000.0,1502369000.0,2070280000.0,3399397000.0,6834759000.0,82175000.0,215525000.0,-46798000.0,-397235000.0,0.0,-247371000.0,45.75
2013-11-30,1041699000.0,147516000.0,894183000.0,569897800.0,102836000.0,65320000.0,0.13,184186000.0,102835900.0,501372000.0,3173752000.0,599820000.0,4045929000.0,6334369000.0,10380300000.0,14676000.0,1525648000.0,1499297000.0,2130016000.0,3655664000.0,6724634000.0,81350000.0,314982000.0,-10861000.0,-15000.0,0.0,-300530000.0,56.78
2014-02-28,1000120000.0,148509000.0,851611000.0,549125000.0,78746000.0,47046000.0,0.09,156382000.0,78746000.0,496948000.0,3132092000.0,510507000.0,3942391000.0,6303491000.0,10245880000.0,0.0,2112347000.0,896418000.0,1522652000.0,3634999000.0,6610883000.0,77636000.0,251673000.0,-29393000.0,-94422000.0,0.0,-258209000.0,68.63
2014-05-31,1068208000.0,154904000.0,913304000.0,555968000.0,135258100.0,88527000.0,0.18,212911100.0,135258100.0,497931000.0,3330211000.0,531557000.0,4114343000.0,6257855000.0,10372200000.0,0.0,2217972000.0,896551000.0,1517339000.0,3735311000.0,6636888000.0,77653000.0,367536000.0,-27198000.0,-147932000.0,0.0,-135927000.0,64.54
2014-08-31,1005409000.0,157724000.0,847685000.0,548151000.0,74176000.0,44686000.0,0.09,154330000.0,74176000.0,498468000.0,3520197000.0,528331000.0,4279468000.0,6214211000.0,10493680000.0,0.0,2245248000.0,901830000.0,1517172000.0,3762420000.0,6731260000.0,80154000.0,268520000.0,-54966000.0,-170394000.0,0.0,-9794000.0,71.9
2014-11-30,1073328000.0,160943000.0,912385000.0,542396000.0,124504800.0,88136000.0,0.15,202651800.0,124504800.0,497867000.0,3739491000.0,591800000.0,4602328000.0,6183501000.0,10785830000.0,603229000.0,2494435000.0,911086000.0,1515489000.0,4009924000.0,6775905000.0,78147000.0,399753000.0,-36775000.0,-77959000.0,0.0,-103353000.0,73.68
2015-02-28,1109181000.0,166798000.0,942383100.0,537822000.0,173025000.0,84888000.0,0.17,252660000.0,173025000.0,498754000.0,3176820000.0,532427000.0,3972159000.0,7036263000.0,11008420000.0,64000.0,1788160000.0,1901554000.0,2631242000.0,4419402000.0,6589020000.0,79635000.0,183015000.0,-35546000.0,-698371000.0,0.0,119275000.0,79.1
2015-05-31,1162158000.0,185173000.0,976985000.0,557206000.0,193617000.0,147493000.0,0.30000000000000004,279546000.0,193617000.0,499290000.0,3413248000.0,502617000.0,4178397000.0,6986986000.0,11165380000.0,0.0,1937033000.0,1904376000.0,2618247000.0,4555280000.0,6610103000.0,85929000.0,471484000.0,-35730000.0,-38909000.0,0.0,-186102000.0,79.09
2015-08-31,1217768000.0,190985000.0,1026783000.0,544609000.0,246018900.0,174465000.0,0.35000000000000003,333568900.0,246018900.0,498630000.0,3668733000.0,593554000.0,4525888000.0,6982507000.0,11508390000.0,0.0,2060814000.0,1906094000.0,2606249000.0,4667063000.0,6841332000.0,87550000.0,360488000.0,-48984000.0,-465091000.0,0.0,-18710000.0,78.57
2015-11-30,1306404000.0,201361100.0,1105043000.0,577083000.0,290434200.0,222705000.0,0.45,376793200.0,290434300.0,498764000.0,3988084000.0,672006000.0,4821892000.0,6904580000.0,11726470000.0,0.0,2213556000.0,1907231000.0,2511336000.0,4724892000.0,7001580000.0,86359000.0,454515000.0,-6897000.0,-285987000.0,0.0,-115150000.0,91.46
2016-02-29,1383335000.0,198572000.0,1184763000.0,621407000.0,307758100.0,254307000.0,0.51,388958100.0,307758100.0,499125000.0,4097888000.0,599207000.0,4935390000.0,6961292000.0,11896680000.0,0.0,2231806000.0,1916831000.0,2583674000.0,4815480000.0,7081202000.0,81200000.0,497527000.0,-46200000.0,-258842000.0,0.0,-284392000.0,85.15
2016-05-31,1398709000.0,202079000.0,1196630000.0,600919000.0,344239000.0,244074000.0,0.49,428700000.0,344239000.0,499974000.0,4318408000.0,666736000.0,5238564000.0,6978219000.0,12216780000.0,0.0,2385590000.0,1918389000.0,2582582000.0,4968172000.0,7248611000.0,84461000.0,488715000.0,-53759000.0,-251505000.0,0.0,-180888000.0,99.47
2016-08-31,1463967000.0,202701000.0,1261266000.0,620839000.0,369325100.0,270788000.0,0.54,453339100.0,369325100.0,498584000.0,4446398000.0,731166000.0,5418710000.0,6948731000.0,12367440000.0,0.0,2505666000.0,1916591000.0,2583829000.0,5089495000.0,7277946000.0,84014000.0,517885000.0,-55213000.0,-306588000.0,0.0,-324957000.0,102.31
2016-11-30,1608419000.0,216556100.0,1391863000.0,643233900.0,472279800.0,399613000.0,0.81,554139800.0,472279900.0,498345000.0,4761300000.0,833033000.0,5839774000.0,6857472000.0,12697250000.0,0.0,2811635000.0,1892200000.0,2460776000.0,5272411000.0,7424835000.0,81860000.0,695601000.0,-48633000.0,-143098000.0,0.0,-300469000.0,102.81
2017-02-28,1681646000.0,237337000.0,1444309000.0,671105000.0,468999000.0,398446000.0,0.81,549808000.0,468999000.0,494612000.0,4647617000.0,850840000.0,5755562000.0,7289221000.0,13044780000.0,0.0,2954069000.0,1884074000.0,2502024000.0,5456093000.0,7588690000.0,80809000.0,730370000.0,-30903000.0,-338882000.0,0.0,-331495000.0,118.34
2017-05-31,1772190000.0,239360000.0,1532830000.0,710027000.0,504081900.0,374390000.0,0.76,585716900.0,504081900.0,494371000.0,4931513000.0,901452000.0,6052197000.0,7312703000.0,13364900000.0,0.0,3047896000.0,1888398000.0,2513006000.0,5560902000.0,7803998000.0,81635000.0,644827000.0,-55297000.0,-87547000.0,0.0,-314432000.0,141.86
2017-08-31,1841074000.0,262922000.0,1578152000.0,697495000.0,545674000.0,419569000.0,0.85,627992900.0,545674000.0,493426000.0,5368486000.0,1006187000.0,6581057000.0,7325758000.0,13906820000.0,0.0,3216144000.0,1889218000.0,2520237000.0,5736381000.0,8170434000.0,82319000.0,704436000.0,-54238000.0,-36814000.0,0.0,-218299000.0,155.16
2017-11-30,2006595000.0,270872000.0,1735723000.0,743671100.0,649339400.0,501549000.0,1.02,730573400.0,649339800.0,493632000.0,5819774000.0,1217968000.0,7247813000.0,7287743000.0,14535560000.0,0.0,3527457000.0,1881421000.0,2548230000.0,6075687000.0,8459869000.0,81234000.0,833220000.0,-37684000.0,20366000.0,0.0,-319509000.0,181.47
2018-02-28,2078947000.0,258902000.0,1820045000.0,751397000.0,702733000.0,583076000.0,1.18,779255000.0,702733000.0,492061000.0,6147970000.0,1062690000.0,7480814000.0,7492670000.0,14973490000.0,0.0,3536469000.0,1874794000.0,2802988000.0,6339457000.0,8634028000.0,76522000.0,989601000.0,-95142000.0,-93762000.0,0.0,-541273000.0,209.13
2018-05-31,2195360000.0,281344000.0,1914016000.0,824255000.0,698484100.0,663167000.0,1.35,774844100.0,698484100.0,491914000.0,6334064000.0,1074877000.0,7741444000.0,7421960000.0,15163400000.0,0.0,3728956000.0,1874057000.0,2728865000.0,6457821000.0,8705583000.0,76360000.0,976406000.0,-45316000.0,67679000.0,0.0,-717365000.0,249.28
2018-08-31,2291076000.0,295492000.0,1995584000.0,854147000.0,718606000.0,666291000.0,1.3599999999999999,805496000.0,718606000.0,490025000.0,4944470000.0,1044507000.0,6300913000.0,9094707000.0,15395620000.0,0.0,3792027000.0,1874654000.0,2741668000.0,6533695000.0,8861925000.0,86890000.0,955304000.0,-63558000.0,-1520334000.0,0.0,-671661000.0,263.51
