,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,21727000000.0,20971000000.0,756000000.0,436000000.0,320000000.0,269000000.0,0.41000000000000003,547000000.0,320000000.0,661000000.0,5489000000.0,3553000000.0,12408000000.0,27865000000.0,15361000000.0,43226000000.0,1131000000.0,16142000000.0,5374000000.0,8108000000.0,24250000000.0,18976000000.0,227000000.0,357000000.0,-238000000.0,169000000.0,-125000000.0,-792000000.0,33.73
2013-06-30,22541000000.0,21734000000.0,807000000.0,452000000.0,355000000.0,223000000.0,0.34,582000000.0,355000000.0,661000000.0,5783000000.0,3520000000.0,10194000000.0,25036000000.0,15202000000.0,40238000000.0,1142000000.0,13123000000.0,5366000000.0,8102000000.0,21225000000.0,19013000000.0,227000000.0,1991000000.0,-178000000.0,-111000000.0,-125000000.0,-1480000000.0,33.91
2013-09-30,21393000000.0,20237000000.0,1156000000.0,429000000.0,727000000.0,476000000.0,0.72,954000000.0,727000000.0,661000000.0,7486000000.0,3447000000.0,9278000000.0,26090000000.0,15358000000.0,41448000000.0,1156000000.0,13753000000.0,5364000000.0,8129000000.0,21882000000.0,19566000000.0,227000000.0,2521000000.0,-207000000.0,-232000000.0,-126000000.0,-885000000.0,36.84
2013-12-31,24143000000.0,22973000000.0,1170000000.0,442000000.0,728000000.0,374000000.0,0.56,956000000.0,728000000.0,661000000.0,7515000000.0,3224000000.0,11441000000.0,28530000000.0,15222000000.0,43752000000.0,1165000000.0,15658000000.0,5347000000.0,7900000000.0,23558000000.0,20194000000.0,228000000.0,357000000.0,-290000000.0,-403000000.0,-125000000.0,-85000000.0,43.4
2014-03-31,20696000000.0,20021000000.0,675000000.0,393000000.0,282000000.0,267000000.0,0.4,501000000.0,282000000.0,660000000.0,5746000000.0,2779000000.0,11394000000.0,26226000000.0,15218000000.0,41444000000.0,20000000.0,13456000000.0,5353000000.0,7926000000.0,21382000000.0,20062000000.0,219000000.0,-358000000.0,-182000000.0,-145000000.0,-158000000.0,-1535000000.0,43.39
2014-06-30,21494000000.0,20322000000.0,1172000000.0,426000000.0,746000000.0,533000000.0,0.81,959000000.0,746000000.0,656000000.0,6359000000.0,4089000000.0,9024000000.0,24658000000.0,15272000000.0,39930000000.0,20000000.0,11891000000.0,5369000000.0,7820000000.0,19711000000.0,20219000000.0,213000000.0,1341000000.0,-197000000.0,-112000000.0,-157000000.0,-682000000.0,44.11
2014-09-30,18117000000.0,16647000000.0,1470000000.0,451000000.0,1019000000.0,747000000.0,1.1400000000000001,1233000000.0,1019000000.0,650000000.0,9638000000.0,2121000000.0,8034000000.0,26639000000.0,15182000000.0,41821000000.0,18000000.0,13751000000.0,5346000000.0,7809000000.0,21560000000.0,20261000000.0,214000000.0,3441000000.0,-226000000.0,-163000000.0,-155000000.0,-369000000.0,51.1
2014-12-31,20894000000.0,19443000000.0,1451000000.0,663000000.0,788000000.0,701000000.0,1.08,1036000000.0,788000000.0,653000000.0,6491000000.0,2704000000.0,9374000000.0,26028000000.0,17969000000.0,43997000000.0,24000000.0,15602000000.0,5528000000.0,8765000000.0,24367000000.0,19630000000.0,248000000.0,519000000.0,-289000000.0,-2987000000.0,-154000000.0,-991000000.0,52.0
2015-03-31,17506000000.0,16404000000.0,1102000000.0,498000000.0,604000000.0,493000000.0,0.77,820000000.0,604000000.0,636000000.0,6021000000.0,2036000000.0,8372000000.0,23896000000.0,17819000000.0,41715000000.0,18000000.0,14235000000.0,5575000000.0,8723000000.0,22958000000.0,18757000000.0,216000000.0,45000000.0,-238000000.0,-261000000.0,-177000000.0,7000000.0,47.4
2015-06-30,17186000000.0,16222000000.0,964000000.0,525000000.0,439000000.0,386000000.0,0.62,664000000.0,439000000.0,624000000.0,5908000000.0,2224000000.0,7845000000.0,22588000000.0,17980000000.0,40568000000.0,801000000.0,12859000000.0,5965000000.0,9151000000.0,22010000000.0,18558000000.0,225000000.0,362000000.0,-167000000.0,-146000000.0,-173000000.0,-239000000.0,48.22
