,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3109300000.0,1743200000.0,1366100000.0,653600000.0,712500200.0,482700000.0,1.0,813200200.0,712500200.0,482700000.0,1680300000.0,1723600000.0,34433200000.0,5733100000.0,40166300000.0,0.0,32118500000.0,15300000.0,1486700000.0,33605200000.0,6561100000.0,100700000.0,618300000.0,-47000000.0,-6775600000.0,-210400000.0,6426700000.0,57.09
2013-06-30,947400100.0,620100100.0,327300000.0,310699900.0,-26100300.0,226900100.0,0.47000000000000003,10199700.0,-26100600.0,482700000.0,1727100000.0,1595300000.0,26214500000.0,6053600000.0,32268100000.0,0.0,24732800000.0,14700000.0,1345400000.0,26078200000.0,6189900000.0,36300000.0,575500000.0,-8000000.0,7341000000.0,-210800000.0,-7862700000.0,60.46
2013-09-30,2362000000.0,1440800000.0,921200000.0,537700000.0,383500000.0,328600000.0,0.68,470300000.0,383500000.0,480100000.0,1690900000.0,1585800000.0,21035800000.0,8445500000.0,29481300000.0,0.0,21899400000.0,14200000.0,1389100000.0,23288500000.0,6192800000.0,86800000.0,81300000.0,-34400000.0,2504100000.0,-210600000.0,-3137500000.0,63.55
2013-12-31,2493700000.0,1478600000.0,1015100000.0,578800000.0,436299800.0,377000000.0,0.79,526699800.0,436299800.0,478400000.0,1289600000.0,1730400000.0,32301100000.0,6020700000.0,38321800000.0,0.0,30645000000.0,12600000.0,1418300000.0,32063300000.0,6258500000.0,90400000.0,391700000.0,-34400000.0,-8727900000.0,-210200000.0,8454600000.0,70.94
2014-03-31,2825100000.0,1585700000.0,1239400000.0,585300000.0,654100100.0,521600000.0,1.09,742600100.0,654100100.0,478900000.0,1693900000.0,1835200000.0,30532600000.0,6063900000.0,36596500000.0,0.0,28578200000.0,12100000.0,1402200000.0,29980400000.0,6616100000.0,88500000.0,743900000.0,-49200000.0,2045300000.0,-231200000.0,-2381300000.0,67.83
2014-06-30,2545601000.0,1535900000.0,1009701000.0,668499900.0,341201200.0,288700000.0,0.6000000000000001,436501200.0,341200700.0,478900000.0,3616200000.0,1498800000.0,27493000000.0,4566800000.0,32059800000.0,0.0,24167600000.0,11500000.0,1222000000.0,25389600000.0,6670200000.0,95300000.0,604500000.0,-41400000.0,4991800000.0,-231100000.0,-5294000000.0,69.6
2014-09-30,2566100000.0,1558300000.0,1007800000.0,576000000.0,431800300.0,295200000.0,0.62,524800300.0,431800300.0,478400000.0,4437300000.0,1390300000.0,25793400000.0,4414700000.0,30208100000.0,0.0,23159300000.0,10900000.0,1221500000.0,24380800000.0,5827300000.0,93000000.0,378200000.0,-12500000.0,267100000.0,-229800000.0,-418000000.0,72.94
2014-12-31,2653600000.0,1583300000.0,1070300000.0,588500000.0,481800000.0,331500000.0,0.7000000000000001,576200100.0,481800000.0,476600000.0,1952700000.0,1595600000.0,39116000000.0,4387100000.0,43503100000.0,0.0,36770200000.0,10300000.0,1240700000.0,38010900000.0,5492200000.0,94400000.0,228900000.0,-44300000.0,-13646900000.0,-231500000.0,13120600000.0,83.37
2015-03-31,3024300000.0,1684300000.0,1340000000.0,607200000.0,732800000.0,489600000.0,1.04,827900000.0,732800000.0,470300000.0,1835500000.0,1580700000.0,32792800000.0,4314500000.0,37107300000.0,0.0,30714700000.0,9700000.0,1214500000.0,31929200000.0,5178100000.0,95100000.0,857100000.0,-27100000.0,5903300000.0,-234900000.0,-6752800000.0,85.64
2015-06-30,2694500000.0,1601700000.0,1092800000.0,725200000.0,367599600.0,336200000.0,0.72,463299600.0,367599600.0,472600000.0,1665900000.0,1546900000.0,28809200000.0,4301300000.0,33110500000.0,0.0,27113700000.0,9200000.0,1188300000.0,28302000000.0,4808500000.0,95700000.0,509800000.0,-51300000.0,3716200000.0,-231400000.0,-4401500000.0,80.23
