,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,606900000.0,62000000.0,544900000.0,261600100.0,84600000.0,74500000.0,0.33,119300000.0,84599900.0,226400000.0,1954300000.0,495100000.0,2552400000.0,1756000000.0,4308400000.0,0.0,1043700000.0,745600000.0,1221500000.0,2265200000.0,2043200000.0,34700000.0,155600000.0,-11700000.0,83300000.0,0.0,544900000.0,38.88
2013-04-30,570400000.0,67500000.0,502900000.0,270300000.0,81400100.0,55600000.0,0.25,114500100.0,81400100.0,223800000.0,2087900000.0,285800000.0,2511100000.0,1778600000.0,4289700000.0,0.0,979800000.0,745800000.0,1225400000.0,2205200000.0,2084500000.0,33100000.0,224100000.0,-25800000.0,-131700000.0,0.0,-50200000.0,39.38
2013-07-31,561700000.0,67800000.0,493900000.0,250400000.0,83600000.0,61700000.0,0.28,115600000.0,83600000.0,223100000.0,1997900000.0,303900000.0,2436500000.0,1786800000.0,4223300000.0,0.0,955900000.0,746000000.0,1216300000.0,2172200000.0,2051100000.0,32000000.0,65300000.0,-16800000.0,-213800000.0,0.0,-106600000.0,35.39
2013-10-31,555200000.0,67100000.0,488100000.0,259200000.0,68100000.0,57600000.0,0.26,98700000.0,68100000.0,223100000.0,2060500000.0,304100000.0,2517900000.0,1803600000.0,4321500000.0,0.0,948100000.0,746200000.0,1211500000.0,2159600000.0,2161900000.0,30600000.0,90600000.0,-12400000.0,-38000000.0,0.0,20700000.0,39.9
2014-01-31,586600000.0,71900000.0,514700000.0,274500100.0,51699800.0,53900000.0,0.24,84899800.0,51699700.0,224000000.0,2267100000.0,423700000.0,2835000000.0,1760000000.0,4595000000.0,0.0,1071500000.0,746400000.0,1262000000.0,2333500000.0,2261500000.0,33200000.0,183500000.0,-9200000.0,189500000.0,0.0,9600000.0,51.25
2014-04-30,592500000.0,78700000.0,513800000.0,287900000.0,42200000.0,28300000.0,0.12,78300000.0,42200000.0,227000000.0,2119700000.0,323300000.0,2590300000.0,2058300000.0,4648600000.0,0.0,1118700000.0,746600000.0,1241200000.0,2359900000.0,2288700000.0,36100000.0,218700000.0,-14500000.0,-421700000.0,0.0,-40300000.0,48.02
2014-07-31,637100000.0,87900000.0,549200000.0,309100000.0,49900000.0,31300000.0,0.14,87100000.0,49900000.0,227300000.0,1906400000.0,365300000.0,2450000000.0,2253400000.0,4703400000.0,0.0,1157300000.0,746800000.0,1262700000.0,2420000000.0,2283400000.0,37200000.0,96200000.0,-17100000.0,-308700000.0,0.0,-74400000.0,53.35
2014-10-31,618000000.0,86000000.0,532000000.0,324000000.0,14600000.0,10700000.0,0.05,51200000.0,14600000.0,226900000.0,1901400000.0,375700000.0,2458700000.0,2278100000.0,4736800000.0,0.0,1193300000.0,747000000.0,1275000000.0,2468300000.0,2268500000.0,36600000.0,136000000.0,-28400000.0,-47300000.0,0.0,-65000000.0,57.54
2015-01-31,664600000.0,89500000.0,575100000.0,360300100.0,14000100.0,11500000.0,0.05,50000100.0,14000000.0,227100000.0,2026400000.0,458900000.0,2671300000.0,2238400000.0,4909700000.0,0.0,1400100000.0,743100000.0,1290400000.0,2690500000.0,2219200000.0,36000000.0,257700000.0,-15500000.0,-127900000.0,0.0,-60700000.0,54.01
2015-04-30,646500000.0,91800000.0,554700000.0,329800000.0,21500000.0,19100000.0,0.08,59300000.0,21500000.0,227200000.0,1830900000.0,316000000.0,2341000000.0,2434900000.0,4775900000.0,0.0,1270300000.0,747400000.0,1281200000.0,2551500000.0,2224400000.0,37800000.0,86500000.0,-12500000.0,-252900000.0,0.0,-61300000.0,56.83
