,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1475000000.0,594000000.0,881000000.0,521000000.0,185000000.0,-145000000.0,-0.6000000000000001,377000000.0,185000000.0,242600000.0,161000000.0,549000000.0,461000000.0,3296000000.0,18656000000.0,21952000000.0,355000000.0,2577000000.0,5803000000.0,12859000000.0,15436000000.0,6516000000.0,192000000.0,379000000.0,-286000000.0,-303000000.0,-99000000.0,-99000000.0,35.02
2013-06-30,1403000000.0,406000000.0,997000000.0,558000000.0,261000000.0,95000000.0,0.39,444000000.0,261000000.0,242600000.0,150000000.0,500000000.0,511000000.0,3408000000.0,18868000000.0,22276000000.0,884000000.0,3286000000.0,5274000000.0,12465000000.0,15751000000.0,6525000000.0,183000000.0,389000000.0,-314000000.0,-334000000.0,-98000000.0,-66000000.0,34.44
2013-09-30,1638000000.0,392000000.0,1246000000.0,504000000.0,567000000.0,302000000.0,1.25,756000000.0,567000000.0,242600000.0,169000000.0,578000000.0,581000000.0,3273000000.0,19112000000.0,22385000000.0,884000000.0,3228000000.0,5274000000.0,12432000000.0,15660000000.0,6725000000.0,189000000.0,546000000.0,-377000000.0,-396000000.0,-99000000.0,-131000000.0,34.84
2013-12-31,1322000000.0,487000000.0,835000000.0,486000000.0,171000000.0,37000000.0,0.15,368000000.0,171000000.0,242600000.0,30000000.0,600000000.0,526000000.0,1972000000.0,19070000000.0,21042000000.0,534000000.0,2461000000.0,5504000000.0,11895000000.0,14356000000.0,6686000000.0,197000000.0,379000000.0,-447000000.0,-690000000.0,-98000000.0,147000000.0,36.16
2014-03-31,1594000000.0,622000000.0,972000000.0,545000000.0,246000000.0,96000000.0,0.4,451000000.0,246000000.0,242600000.0,26000000.0,754000000.0,424000000.0,1840000000.0,19326000000.0,21166000000.0,648000000.0,2725000000.0,5226000000.0,11786000000.0,14511000000.0,6655000000.0,205000000.0,239000000.0,-452000000.0,-313000000.0,-99000000.0,70000000.0,41.2
2014-06-30,1419000000.0,389000000.0,1030000000.0,525000000.0,322000000.0,149000000.0,0.61,524000000.0,322000000.0,242600000.0,46000000.0,667000000.0,491000000.0,1965000000.0,19623000000.0,21588000000.0,119000000.0,2312000000.0,5825000000.0,12562000000.0,14874000000.0,6714000000.0,202000000.0,415000000.0,-457000000.0,-457000000.0,-98000000.0,62000000.0,40.88
2014-09-30,1670000000.0,399000000.0,1271000000.0,523000000.0,561000000.0,293000000.0,1.21,766000000.0,561000000.0,242600000.0,13000000.0,584000000.0,561000000.0,1942000000.0,19934000000.0,21876000000.0,119000000.0,2119000000.0,5825000000.0,12841000000.0,14960000000.0,6916000000.0,205000000.0,549000000.0,-429000000.0,-442000000.0,-99000000.0,-140000000.0,38.33
2014-12-31,1370000000.0,492000000.0,878000000.0,559000000.0,125000000.0,48000000.0,0.2,326000000.0,125000000.0,242600000.0,5000000.0,504000000.0,524000000.0,1694000000.0,20595000000.0,22289000000.0,120000000.0,2249000000.0,6085000000.0,13185000000.0,15434000000.0,6855000000.0,201000000.0,362000000.0,-521000000.0,-505000000.0,-100000000.0,135000000.0,46.13
2015-03-31,1556000000.0,581000000.0,975000000.0,526000000.0,256000000.0,108000000.0,0.45,479000000.0,256000000.0,242600000.0,6000000.0,624000000.0,449000000.0,1993000000.0,20891000000.0,22884000000.0,380000000.0,2520000000.0,5860000000.0,13518000000.0,16038000000.0,6846000000.0,223000000.0,312000000.0,-434000000.0,-439000000.0,-101000000.0,128000000.0,42.2
2015-06-30,1401000000.0,352000000.0,1049000000.0,543000000.0,237000000.0,150000000.0,0.62,459000000.0,237000000.0,242600000.0,2000000.0,568000000.0,500000000.0,1991000000.0,21161000000.0,23152000000.0,395000000.0,2556000000.0,5981000000.0,13690000000.0,16246000000.0,6906000000.0,222000000.0,469000000.0,-440000000.0,-436000000.0,-101000000.0,-37000000.0,37.68
