,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,4150000000.0,3401000000.0,749000000.0,54000000.0,310000000.0,82000000.0,0.11,639000000.0,310000000.0,745000000.0,3912000000.0,2633000000.0,755000000.0,9258000000.0,33460000000.0,42718000000.0,3615000000.0,9286000000.0,18269000000.0,25691000000.0,34977000000.0,7741000000.0,329000000.0,618000000.0,-395000000.0,-581000000.0,-61000000.0,310000000.0,12.57
2013-06-30,3945000000.0,3044000000.0,901000000.0,53000000.0,407000000.0,167000000.0,0.22,739000000.0,407000000.0,747000000.0,3079000000.0,2417000000.0,763000000.0,7810000000.0,33026000000.0,40836000000.0,3041000000.0,8273000000.0,18029000000.0,24756000000.0,33029000000.0,7807000000.0,332000000.0,567000000.0,-428000000.0,-125000000.0,-210000000.0,-1109000000.0,11.99
2013-09-30,3996000000.0,3069000000.0,927000000.0,53000000.0,572000000.0,71000000.0,0.09,893000000.0,572000000.0,742000000.0,3549000000.0,2326000000.0,711000000.0,8251000000.0,32999000000.0,41250000000.0,2503000000.0,8009000000.0,18533000000.0,25275000000.0,33284000000.0,7966000000.0,321000000.0,855000000.0,-455000000.0,-561000000.0,-203000000.0,164000000.0,13.29
2013-12-31,3800000000.0,3130000000.0,670000000.0,60000000.0,-112000000.0,-206000000.0,-0.28,200000000.0,-112000000.0,743000000.0,2907000000.0,2363000000.0,684000000.0,7739000000.0,32672000000.0,40411000000.0,2180000000.0,7653000000.0,18869000000.0,25107000000.0,32760000000.0,7651000000.0,312000000.0,675000000.0,-710000000.0,-507000000.0,-202000000.0,-501000000.0,14.51
2014-03-31,4262000000.0,3468000000.0,794000000.0,51000000.0,118000000.0,-58000000.0,-0.08,424000000.0,118000000.0,724000000.0,2623000000.0,2586000000.0,687000000.0,7989000000.0,32984000000.0,40973000000.0,2075000000.0,7840000000.0,19410000000.0,25492000000.0,33332000000.0,7641000000.0,306000000.0,221000000.0,-399000000.0,-326000000.0,-62000000.0,-132000000.0,14.28
2014-06-30,4311000000.0,3492000000.0,819000000.0,52000000.0,462000000.0,133000000.0,0.18,781000000.0,462000000.0,725000000.0,2421000000.0,2689000000.0,710000000.0,7407000000.0,32026000000.0,39433000000.0,2095000000.0,6667000000.0,19628000000.0,25258000000.0,31925000000.0,7508000000.0,319000000.0,232000000.0,-493000000.0,-65000000.0,-207000000.0,-118000000.0,15.55
2014-09-30,4441000000.0,3674000000.0,767000000.0,45000000.0,622000000.0,488000000.0,0.67,934000000.0,622000000.0,721000000.0,2843000000.0,2755000000.0,741000000.0,7887000000.0,31096000000.0,38983000000.0,2347000000.0,7073000000.0,18719000000.0,24344000000.0,31417000000.0,7566000000.0,312000000.0,763000000.0,-468000000.0,27000000.0,-216000000.0,-594000000.0,14.18
2014-12-31,3110000000.0,2510000000.0,600000000.0,39000000.0,369000000.0,206000000.0,0.29,677000000.0,369000000.0,720000000.0,2531000000.0,2709000000.0,702000000.0,7826000000.0,31140000000.0,38966000000.0,2133000000.0,6997000000.0,18725000000.0,24644000000.0,31641000000.0,7325000000.0,308000000.0,575000000.0,-656000000.0,-292000000.0,-144000000.0,-418000000.0,13.77
2015-03-31,3984000000.0,3263000000.0,721000000.0,55000000.0,335000000.0,142000000.0,0.2,633000000.0,335000000.0,704000000.0,2237000000.0,2807000000.0,707000000.0,7642000000.0,30355000000.0,37997000000.0,1831000000.0,6582000000.0,18570000000.0,24380000000.0,30962000000.0,7035000000.0,298000000.0,437000000.0,-619000000.0,-720000000.0,-89000000.0,113000000.0,12.85
2015-06-30,3656000000.0,2901000000.0,755000000.0,50000000.0,396000000.0,69000000.0,0.1,695000000.0,396000000.0,693000000.0,1769000000.0,2877000000.0,734000000.0,7515000000.0,31069000000.0,38584000000.0,1999000000.0,6563000000.0,18764000000.0,24937000000.0,31500000000.0,7084000000.0,299000000.0,153000000.0,-549000000.0,-350000000.0,-165000000.0,-124000000.0,13.26
