,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,16962000000.0,9983000000.0,6979000000.0,1286000000.0,4085000000.0,2206000000.0,1.49,5865000000.0,4662000000.0,1476471000.0,1227000000.0,42914000000.0,44141000000.0,504739000000.0001,548880000000.0001,278001000000.0,45266000000.0,170696000000.0,448697000000.0,100183000000.0,1203000000.0,-149000000.0,3964000000.0,0.0,-3718000000.0,38.82,0
2013-06-30,18426000000.0,11307000000.0,7119000000.0,1353000000.0,4091000000.0,2731000000.0,1.85,5923000000.0,4626000000.0,1476513000.0,1762000000.0,40709000000.0,42471000000.0,494967000000.0001,537438000000.0001,274315000000.0,42614000000.0,164968000000.0,439283000000.0,98155000000.0,1297000000.0,1823000000.0,2107000000.0,0.0,-3337000000.0,44.7,0
2013-09-30,15944000000.0,10591000000.0,5353000000.0,1220000000.0,2498000000.0,2170000000.0,1.47,4072000000.0,3014000000.0,1475053000.0,2058000000.0,39979000000.0,42037000000.0,498707000000.0001,540744000000.0001,273501000000.0,42231000000.0,167794000000.0,441295000000.0,99449000000.0,1058000000.0,2274000000.0,447000000.0,-147000000.0,-2417000000.0,48.63,0
2013-12-31,17542000000.0,15078000000.0,2464000000.0,1298000000.0,-607000000.0,1978000000.0,1.35,1062000000.0,-93000000.0,1474172000.0,2241000000.0,36768000000.0,39009000000.0,502320000000.0001,541329000000.0001,271252000000.0,41693000000.0,168996000000.0,440248000000.0,101081000000.0,1155000000.0,1917000000.0,581000000.0,-147000000.0,-2286000000.0,51.05,0
2014-03-31,16163000000.0,7752000000.0,8411000000.0,1305000000.0,5531000000.0,1609000000.0,1.1,7131000000.0,6010000000.0,1459249000.0,2490000000.0,39615000000.0,42105000000.0,505006000000.0001,547111000000.0001,273598000000.0,39508000000.0,169120000000.0,442718000000.0,104393000000.0,1121000000.0,763000000.0,3783000000.0,-182000000.0,-4289000000.0,50.01,0
2014-06-30,16136000000.0,11448000000.0,4688000000.0,1396000000.0,2340000000.0,3073000000.0,2.13,4025000000.0,2803000000.0,1442397000.0,1827000000.0,38708000000.0,40535000000.0,488574000000.0001,529109000000.0001,274370000000.0,38414000000.0,146158000000.0,420528000000.0,108581000000.0,1222000000.0,878000000.0,-121000000.0,-179000000.0,-1513000000.0,54.58,0
2014-09-30,16697000000.0,11236000000.0,5461000000.0,1288000000.0,3743000000.0,2192000000.0,1.54,5202000000.0,4173000000.0,1419240000.0,1933000000.0,37100000000.0,39033000000.0,488157000000.0001,527190000000.0001,273262000000.0,36223000000.0,144945000000.0,418207000000.0,108983000000.0,1029000000.0,2716000000.0,1205000000.0,-178000000.0,-3799000000.0,54.02,0
2014-12-31,15410000000.0,14751000000.0,659000000.0,1341000000.0,-1028000000.0,655000000.0,0.47000000000000003,394000000.0,-682000000.0,1427960000.0,1758000000.0,33990000000.0,35748000000.0,479833000000.0001,515581000000.0001,270615000000.0,31217000000.0,137694000000.0,408309000000.0,107272000000.0,1076000000.0,650000000.0,9417000000.0,-173000000.0,-10187000000.0,56.01,0
2015-03-31,15975000000.0,7486000000.0,8489000000.0,1350000000.0,6799000000.0,2468000000.0,1.81,8365000000.0,7139000000.0,1365952000.0,1823000000.0,35658000000.0,37481000000.0,483220000000.0001,520701000000.0001,269521000000.0,31999000000.0,142813000000.0,412334000000.0,108367000000.0,1226000000.0,388000000.0,314000000.0,-170000000.0,-604000000.0,54.79,0
2015-06-30,15699000000.0,11132000000.0,4567000000.0,1356000000.0,2895000000.0,1800000000.0,1.35,4866000000.0,3211000000.0,1329157000.0,1937000000.0,34619000000.0,36556000000.0,473431000000.0001,509987000000.0001,267370000000.0,30360000000.0,137975000000.0,405345000000.0,104642000000.0,1655000000.0,105000000.0,4972000000.0,-165000000.0,-4962000000.0,61.82,0
2015-09-30,12822000000.0,10992000000.0,1830000000.0,1275000000.0,234000000.0,-231000000.0,-0.18,1176000000.0,555000000.0,1279073000.0,1569000000.0,32620000000.0,34189000000.0,467796000000.0001,501985000000.0001,267946000000.0,30719000000.0,134420000000.0,402366000000.0,99619000000.0,621000000.0,1741000000.0,1394000000.0,-352000000.0,-3498000000.0,56.82,0
2015-12-31,13831000000.0,18152000000.0,-4321000000.0,1255000000.0,-5880000000.0,-1841000000.0,-1.5,-4449000000.0,-5576000000.0,1299825000.0,1629000000.0,31864000000.0,33493000000.0,463349000000.0001,496842000000.0001,271645000000.0,29249000000.0,134987000000.0,406632000000.0,90210000000.0,1127000000.0,643000000.0,1782000000.0,-341000000.0,-2365000000.0,61.97,0
2016-03-31,11779000000.0,7337000000.0,4442000000.0,1262000000.0,2874000000.0,-183000000.0,-0.16,4827000000.0,3180000000.0,1156548000.0,1499000000.0,33746000000.0,35245000000.0,467532000000.0001,502777000000.0001,274789000000.0,31952000000.0,138907000000.0,413696000000.0,89081000000.0,1647000000.0,-968000000.0,385000000.0,-363000000.0,453000000.0,54.05,0
2016-06-30,14724000000.0,10419000000.0,4305000000.0,1345000000.0,2640000000.0,1913000000.0,1.72,3583000000.0,2960000000.0,1113588000.0,1784000000.0,33519000000.0,35303000000.0,475046000000.0001,510349000000.0001,278518000000.0,33329000000.0,141294000000.0,419812000000.0,90537000000.0,623000000.0,1539000000.0,-649000000.0,-350000000.0,-643000000.0,52.89,0
2016-09-30,12854000000.0,10912000000.0,1942000000.0,1018000000.0,595000000.0,462000000.0,0.43,1468000000.0,924000000.0,1071296000.0,2498000000.0,33312000000.0,35810000000.0,478758000000.0001,514568000000.0001,278608000000.0,32277000000.0,146795000000.0,425403000000.0,89165000000.0,544000000.0,1182000000.0,589000000.0,-338000000.0,-1107000000.0,59.34,0
2016-12-31,13010000000.0,21049000000.0,-8039000000.0,896000000.0,-6654000000.0,-3041000000.0,-2.9699999999999998,-5073000000.0,-6349000000.0,1091085000.0,1868000000.0,32366000000.0,34234000000.0,464030000000.0001,498264000000.0001,275120000000.0,30912000000.0,146286000000.0,421406000000.0,76858000000.0,1276000000.0,1749000000.0,2927000000.0,-321000000.0,-5536000000.0,65.31,0
2017-03-31,12632000000.0,9400000000.0,3232000000.0,1108000000.0,1726000000.0,1185000000.0,1.21,3036000000.0,2024000000.0,980778000.0,1918000000.0,45270000000.0,47188000000.0,452974000000.0001,500162000000.0001,274967000000.0,30747000000.0,150528000000.0,425495000000.0,74667000000.0,1012000000.0,-10336000000.0,14499000000.0,-307000000.0,-4048000000.0,62.43,0
2017-06-30,12502000000.0,9372000000.0,3130000000.0,1115000000.0,1723000000.0,1130000000.0,1.22,3005000000.0,2015000000.0,925751000.0,2517000000.0,45431000000.0,47948000000.0,451814000000.0001,499762000000.0001,277574000000.0,31812000000.0,147864000000.0,425438000000.0,74324000000.0,990000000.0,1300000000.0,226000000.0,-290000000.0,-979000000.0,62.52,0
2017-09-30,11751000000.0,13338000000.0,-1587000000.0,912000000.0,-2789000000.0,-1739000000.0,-1.9100000000000001,-1695000000.0,-2499000000.0,908667000.0,2433000000.0,45585000000.0,48018000000.0,455055000000.0001,503073000000.0001,282469000000.0,31039000000.0,147592000000.0,430061000000.0,73012000000.0,804000000.0,174000000.0,-250000000.0,-287000000.0,-99000000.0,61.39,0
2017-12-31,12635000000.0,10561000000.0,2074000000.0,1153000000.0,733000000.0,-6660000000.0,-7.33,2089000000.0,1021000000.0,930561000.0,2362000000.0,43272000000.0,45634000000.0,452667000000.0001,498301000000.0001,282105000000.0,31640000000.0,150488000000.0,432593000000.0,65708000000.0,1068000000.0,1044000000.0,-434000000.0,-288000000.0,-571000000.0,59.58,0
2018-03-31,11712000000.0,8854000000.0,2858000000.0,1358000000.0,1231000000.0,938000000.0,1.03,2890000000.0,1508000000.0,907952000.0,2103000000.0,45851000000.0,47954000000.0,451189000000.0001,499143000000.0001,284657000000.0,33619000000.0,151129000000.0,435786000000.0,63357000000.0,1382000000.0,-938000000.0,-1972000000.0,-289000000.0,2486000000.0,54.42,0
2018-06-30,11631000000.0,8763000000.0,2868000000.0,1337000000.0,1257000000.0,937000000.0,1.04,2958000000.0,1556000000.0,903215000.0,2135000000.0,45357000000.0,47492000000.0,449337000000.0,496829000000.0001,283443000000.0,33784000000.0,151589000000.0,435032000000.0,61797000000.0,1402000000.0,598000000.0,502000000.0,-286000000.0,-1063000000.0,53.02,0
2018-09-30,11486000000.0,11570000000.0,-84000000.0,1118000000.0,-1526000000.0,-1259000000.0,-1.4100000000000001,-171000000.0,-1200000000.0,895237000.0,2741000000.0,49416000000.0,52157000000.0,452703000000.0001,504860000000.0001,291391000000.0,34594000000.0,154292000000.0,445683000000.0,59177000000.0,1029000000.0,302000000.0,553000000.0,-283000000.0,-90000000.0,53.24,0
2018-12-31,12560000000.0,11281000000.0,1279000000.0,1573000000.0,-736000000.0,-622000000.0,-0.7000000000000001,1220000000.0,-329000000.0,898406000.0,2873000000.0,49183000000.0,52056000000.0,439928000000.0,491984000000.0001,293652000000.0,34540000000.0,141023000000.0,434675000000.0,57309000000.0,1549000000.0,-356000000.0,694000000.0,-280000000.0,-84000000.0,39.41,0
2019-03-31,12456000000.0,9672000000.0,2784000000.0,1289000000.0,1146000000.0,654000000.0,0.75,2794000000.0,1495000000.0,875383000.0,2565000000.0,53213000000.0,55778000000.0,457144000000.0001,512922000000.0001,298689000000.0,35776000000.0,152140000000.0,450829000000.0001,62093000000.0,1299000000.0,-976000000.0,-1979000000.0,-278000000.0,2764000000.0,43.06,0
2019-06-30,12561000000.0,8909000000.0,3652000000.0,1439000000.0,1852000000.0,1102000000.0,1.26,3570000000.0,2212000000.0,876383000.0,2935000000.0,53134000000.0,56069000000.0,466200000000.0001,522269000000.0001,301226000000.0,36291000000.0,154938000000.0,456164000000.0001,66105000000.0,1358000000.0,-296000000.0,-2168000000.0,-279000000.0,2454000000.0,53.28,0
2019-09-30,12914000000.0,10045000000.0,2869000000.0,1252000000.0,1260000000.0,648000000.0,0.74,2784000000.0,1608000000.0,877009000.0,3361000000.0,51269000000.0,54630000000.0,470492000000.0001,525122000000.0001,305993000000.0,35262000000.0,151684000000.0,457677000000.0001,67445000000.0,1176000000.0,483000000.0,-646000000.0,557000000.0,737000000.0,55.7,0
2019-12-31,11815000000.0,9145000000.0,2670000000.0,1184000000.0,1136000000.0,922000000.0,1.05,2669000000.0,1496000000.0,876750000.0,2856000000.0,48251000000.0,51107000000.0,473957000000.0001,525064000000.0001,302406000000.0,35350000000.0,155231000000.0,457637000000.0001,67427000000.0,1173000000.0,-1018000000.0,-682000000.0,-1114000000.0,1303000000.0,51.33,0
2020-03-31,14443000000.0,9435000000.0,5008000000.0,1862000000.0,2791000000.0,1742000000.0,1.99,5024000000.0,3146000000.0,874214000.0,2738000000.0,51999000000.0,54737000000.0,455740000000.0001,510477000000.0001,305205000000.0,35410000000.0,143429000000.0,448634000000.0,61843000000.0,1878000000.0,-586000000.0,-633000000.0,-276000000.0,1232000000.0,24.25,0
2020-06-30,9396000000.0,9526000000.0,-130000000.0,754000000.0,-1249000000.0,-7936000000.0,-9.15,-202000000.0,-884000000.0,866968000.0,3408000000.0,88041000000.0,91449000000.0,477939000000.0001,569388000000.0001,349924000000.0,39280000000.0,156646000000.0,506570000000.0001,62818000000.0,682000000.0,347000000.0,-2270000000.0,-275000000.0,2472000000.0,31.18,0
2020-09-30,10221000000.0,8745000000.0,1476000000.0,707000000.0,366000000.0,281000000.0,0.32,1408000000.0,745000000.0,867713000.0,3191000000.0,86871000000.0,90062000000.0,487168000000.0001,577230000000.0001,354086000000.0,38237000000.0,158537000000.0,512623000000.0001,64607000000.0,663000000.0,848000000.0,-2318000000.0,-276000000.0,1201000000.0,27.53,0
2020-12-31,9676000000.0,9118000000.0,558000000.0,888000000.0,-664000000.0,-60000000.0,-0.07,591000000.0,-306000000.0,869309000.0,2827000000.0,84874000000.0,87701000000.0,498780000000.0001,586481000000.0001,354336000000.0,37534000000.0,164946000000.0,519282000000.0001,67199000000.0,897000000.0,429000000.0,-981000000.0,-276000000.0,153000000.0,37.86,0
2021-03-31,14454000000.0,8095000000.0,6359000000.0,1304000000.0,4720000000.0,3869000000.0,4.45,6485000000.0,5062000000.0,868105000.0,2796000000.0,90082000000.0,92878000000.0,491512000000.0001,584390000000.0001,352039000000.0,35648000000.0,168791000000.0,520830000000.0001,63560000000.0,1423000000.0,640000000.0,1505000000.0,-276000000.0,-2114000000.0,46.21,0
2021-06-30,10681000000.0,9174000000.0,1507000000.0,915000000.0,254000000.0,91000000.0,0.11,1539000000.0,592000000.0,862931000.0,2760000000.0,89739000000.0,92499000000.0,505751000000.0001,598250000000.0001,358270000000.0,35727000000.0,173072000000.0,531342000000.0001,66908000000.0,947000000.0,2170000000.0,-3150000000.0,-274000000.0,814000000.0,47.6,0
2021-09-30,12835000000.0,9122000000.0,3713000000.0,1260000000.0,2125000000.0,1660000000.0,1.9500000000000002,3692000000.0,2453000000.0,852765000.0,2699000000.0,88349000000.0,91048000000.0,503752000000.0001,594800000000.0001,359349000000.0,31550000000.0,169792000000.0,529141000000.0001,65659000000.0,1239000000.0,2954000000.0,-1279000000.0,-269000000.0,-1460000000.0,54.89,0
2021-12-31,14087000000.0,12562000000.0,1525000000.0,1094000000.0,2345000000.0,3739000000.0,4.48,3666000000.0,2642000000.0,854320000.0,2198000000.0,86693000000.0,88891000000.0,507221000000.0001,596112000000.0001,359222000000.0,30163000000.0,167978000000.0,527200000000.0001,68912000000.0,1024000000.0,515000000.0,-356000000.0,-264000000.0,-975000000.0,56.86,0
2022-03-31,15808000000.0,8313000000.0,7495000000.0,1437000000.0,5835000000.0,4253000000.0,5.21,7545000000.0,6098000000.0,816314000.0,2537000000.0,90429000000.0,92966000000.0,480547000000.0001,573513000000.0001,355322000000.0,29938000000.0,160088000000.0,515410000000.0001,58103000000.0,1447000000.0,57000000.0,853000000.0,-258000000.0,-595000000.0,62.77,0
2022-06-30,14441000000.0,8256000000.0,6185000000.0,1298000000.0,4621000000.0,3028000000.0,3.83,6138000000.0,4887000000.0,790897000.0,2378000000.0,89477000000.0,91855000000.0,447083000000.0,538938000000.0001,348897000000.0,28438000000.0,143217000000.0,492114000000.0001,46824000000.0,1251000000.0,574000000.0,1681000000.0,-248000000.0,-2198000000.0,51.13,0
2022-09-30,14602000000.0,9231000000.0,5371000000.0,1248000000.0,3841000000.0,2702000000.0,3.54,5355000000.0,4123000000.0,763051000.0,2294000000.0,87023000000.0,89317000000.0,433615000000.0,522932000000.0001,345120000000.0,30432000000.0,136811000000.0,481931000000.0001,41001000000.0,1232000000.0,3387000000.0,-4799000000.0,-240000000.0,1222000000.0,47.48,0
