,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,674100000.0,442000000.0,232100000.0,53500000.0,40500000.0,0.32,93900000.0,53500000.0,126100000.0,1023100000.0,1050600000.0,2301400000.0,2923700000.0,5225100000.0,0.0,2215100000.0,725000000.0,1345300000.0,3560400000.0,1664700000.0,40400000.0,51200000.0,-9300000.0,-32800000.0,-44200000.0,-92200000.0,41.31
2013-06-30,779500000.0,492100000.0,287400000.0,109300000.0,93500000.0,0.73,152100000.0,109300000.0,127300000.0,1153500000.0,1245200000.0,2602600000.0,2959500000.0,5562100000.0,0.0,2343700000.0,925000000.0,1516400000.0,3860100000.0,1702000000.0,42800000.0,22600000.0,-26600000.0,-132500000.0,-45900000.0,129400000.0,43.69
2013-09-30,835800000.0,559400000.0,276400000.0,98600000.0,74600000.0,0.5700000000000001,143700000.0,98600000.0,129800000.0,1211100000.0,1075100000.0,2546700000.0,3423500000.0,5970200000.0,0.0,2577900000.0,825000000.0,1460100000.0,4038000000.0,1932200000.0,45100000.0,204800000.0,-33900000.0,-265200000.0,-45900000.0,104100000.0,43.65
2013-12-31,890200100.0,628800000.0,261400000.0,79700000.0,60000000.0,0.45,130000000.0,79700100.0,128900000.0,1325500000.0,1288800000.0,2875600000.0,3984900000.0,6860500000.0,0.0,3284800000.0,825000000.0,1490200000.0,4775000000.0,2085500000.0,50300000.0,93900000.0,-23800000.0,-421200000.0,-46600000.0,338700000.0,46.93
2014-03-31,915000000.0,637300000.0,277700000.0,70900000.0,49300000.0,0.37,123800000.0,70900000.0,134200000.0,1655100000.0,1253400000.0,3198000000.0,4077600000.0,7275600000.0,0.0,3033600000.0,1425000000.0,2097800000.0,5131400000.0,2144200000.0,52900000.0,84100000.0,-19800000.0,-44500000.0,-49300000.0,401500000.0,47.58
2014-06-30,1179300000.0,800500000.0,378800000.0,133100100.0,109000000.0,0.71,192600100.0,133100100.0,154300000.0,2082500000.0,1997600000.0,4440300000.0,5579000000.0,10019300000.0,0.0,3875000000.0,2125000000.0,2894700000.0,6769700000.0,3249600000.0,59500000.0,138700000.0,-22300000.0,-1416900000.0,-56800000.0,1493600000.0,46.6
2014-09-30,1286800000.0,890800000.0,396000100.0,121300000.0,93600000.0,0.58,194200000.0,121300000.0,160200000.0,1632600000.0,1669000000.0,3972400000.0,6015600000.0,9988000000.0,0.0,3769800000.0,2125000000.0,2962200000.0,6732000000.0,3256000000.0,72900000.0,35400000.0,-17600000.0,-449300000.0,-58200000.0,-264300000.0,45.36
2014-12-31,1245400000.0,897900000.0,347499900.0,55199800.0,51500000.0,0.32,128799800.0,55199800.0,152900000.0,1682000000.0,1462500000.0,3811200000.0,6198800000.0,10010000000.0,0.0,3642700000.0,2125000000.0,3062200000.0,6704900000.0,3305100000.0,73600000.0,178400000.0,-21800000.0,-101000000.0,-58800000.0,-67300000.0,47.08
2015-03-31,1231300000.0,884500000.0,346800000.0,56500000.0,21900000.0,0.13,132700000.0,56500000.0,165600000.0,1463400000.0,1543600000.0,3594800000.0,6136100000.0,9730900000.0,0.0,3438700000.0,2125000000.0,3072600000.0,6511300000.0,3219600000.0,76200000.0,113300000.0,-17800000.0,-40300000.0,-62700000.0,-104400000.0,46.75
2015-06-30,1371400000.0,921900000.0,449500100.0,154500100.0,139300000.0,0.8200000000000001,236800100.0,154500100.0,170600000.0,1765500000.0,1764500000.0,4261400000.0,6454700000.0,10716100000.0,0.0,3905400000.0,2125000000.0,3099200000.0,7004600000.0,3711500000.0,82300000.0,-24800000.0,-27700000.0,-75200000.0,-64000000.0,141200000.0,47.3
2015-09-30,1454800000.0,1023800000.0,431000000.0,131300000.0,133300000.0,0.76,213200000.0,131300000.0,176000000.0,1719300000.0,1600800000.0,4020100000.0,6490300000.0,10510400000.0,0.0,3729200000.0,2125000000.0,3073300000.0,6802500000.0,3707900000.0,81900000.0,238000000.0,-26300000.0,-144700000.0,-65800000.0,-35600000.0,41.28
2015-12-31,1334900000.0,950200000.0,384699700.0,54199200.0,62300000.0,0.35000000000000003,147999200.0,54199300.0,172200000.0,1892500000.0,1734000000.0,4213700000.0,6696800000.0,10910500000.0,0.0,4187100000.0,2071700000.0,3035200000.0,7222300000.0,3688200000.0,93800000.0,359600000.0,-27200000.0,-108700000.0,-65000000.0,-32900000.0,40.94
2016-03-31,1300400000.0,926500000.0,373900000.0,81500000.0,46500000.0,0.26,165500000.0,81500000.0,177000000.0,1728900000.0,1706800000.0,3939500000.0,6773100000.0,10712600000.0,0.0,4022400000.0,2071800000.0,3037900000.0,7060300000.0,3652300000.0,84000000.0,100000000.0,-61900000.0,-111200000.0,-68900000.0,-41900000.0,44.48
2016-06-30,1427100000.0,956000000.0,471100000.0,164700100.0,150000000.0,0.85,253300100.0,164700100.0,177400000.0,1842000000.0,2038400000.0,4485600000.0,6898700000.0,11384300000.0,0.0,4383700000.0,2344400000.0,3344800000.0,7728500000.0,3655800000.0,88600000.0,29400000.0,-41200000.0,-98100000.0,-67500000.0,57300000.0,47.6
2016-09-30,1482300000.0,1076300000.0,406000100.0,123400100.0,122800000.0,0.6900000000000001,212300100.0,123400100.0,177600000.0,1928900000.0,1683700000.0,4213700000.0,6986600000.0,11200300000.0,0.0,4398900000.0,2044600000.0,3060200000.0,7459100000.0,3741200000.0,88900000.0,239500000.0,-35700000.0,-91500000.0,-67900000.0,-25500000.0,50.87
2016-12-31,1470700000.0,987000000.0,483700100.0,73799800.0,77500000.0,0.53,163099800.0,73799700.0,177600000.0,1937600000.0,1844800000.0,4416100000.0,7073500000.0,11489600000.0,0.0,4611700000.0,2144600000.0,3222100000.0,7833800000.0,3655800000.0,89300000.0,280700000.0,-79000000.0,-184500000.0,-67900000.0,-1500000.0,51.96
2017-03-31,1646400000.0,1078700000.0,567700100.0,229500000.0,228800000.0,0.31,323300000.0,229500000.0,178900000.0,1822000000.0,2066800000.0,4483200000.0,7297400000.0,11780600000.0,0.0,4784700000.0,2144700000.0,3268600000.0,8053300000.0,3727300000.0,93800000.0,15500000.0,-29300000.0,-170200000.0,-71400000.0,19900000.0,56.54
2017-06-30,1489500000.0,1064000000.0,425500000.0,85700000.0,70000000.0,0.96,181000000.0,85700000.0,179900000.0,2068900000.0,2374200000.0,5107200000.0,7462400000.0,12569600000.0,0.0,4858000000.0,2644800000.0,3801600000.0,8659600000.0,3910000000.0,95300000.0,245400000.0,-36300000.0,-113200000.0,-70200000.0,99100000.0,57.25
2017-09-30,1593700000.0,1131900000.0,461799900.0,108299900.0,111000000.0,0.72,208399900.0,108299900.0,180500000.0,2180500000.0,2227300000.0,5087400000.0,7723000000.0,12810400000.0,0.0,4705200000.0,2741700000.0,3933000000.0,8638200000.0,4172200000.0,100100000.0,332300000.0,-28200000.0,-118800000.0,-70000000.0,-165600000.0,61.55
2017-12-31,1519400000.0,1108700000.0,410699800.0,60400200.0,71500000.0,0.58,157000100.0,60400500.0,180100000.0,2305000000.0,4082800000.0,7269400000.0,7640300000.0,14909700000.0,0.0,6730200000.0,2691900000.0,3879800000.0,10610000000.0,4299700000.0,96600000.0,261000000.0,-35400000.0,-108800000.0,-71100000.0,-1200000.0,63.28
2018-03-31,1837700000.0,1207000000.0,630700000.0,273599900.0,273700000.0,1.51,372399800.0,273599900.0,181500000.0,2108700000.0,5675400000.0,8533300000.0,7594200000.0,16127500000.0,0.0,7742400000.0,2792100000.0,3800600000.0,11543000000.0,4584500000.0,98800000.0,-217600000.0,-31100000.0,-86900000.0,-76100000.0,69500000.0,68.73
2018-06-30,1660400000.0,1166500000.0,493900000.0,137500100.0,114900000.0,0.62,241700100.0,137500100.0,182400000.0,2344700000.0,5142200000.0,8365000000.0,7865500000.0,16230500000.0,0.0,7568600000.0,3141000000.0,4148800000.0,11717400000.0,4513100000.0,104200000.0,530900000.0,-31600000.0,-358800000.0,-74800000.0,132100000.0,65.28
2018-09-30,1778500000.0,1274500000.0,504000000.0,127000000.0,127600000.0,0.7000000000000001,233200000.0,127000000.0,183300000.0,2260500000.0,4872000000.0,8084000000.0,8030700000.0,16114700000.0,0.0,7422600000.0,3141200000.0,4079400000.0,11502000000.0,4612700000.0,106200000.0,191300000.0,-28100000.0,-208100000.0,-75300000.0,-44800000.0,74.44
2018-12-31,1657400000.0,1194300000.0,463100300.0,79700000.0,117300000.0,0.63,189499900.0,79699800.0,182700000.0,2236800000.0,4857500000.0,8118700000.0,8215300000.0,16334000000.0,0.0,7693600000.0,3091400000.0,4070700000.0,11764300000.0,4569700000.0,109800000.0,260500000.0,-33600000.0,-256500000.0,-75600000.0,5200000.0,73.7
2019-03-31,1990600000.0,1219600000.0,771000000.0,362000000.0,334100000.0,1.81,472500000.0,362000000.0,184500000.0,2540800000.0,6253200000.0,9669500000.0,8961900000.0,18631400000.0,0.0,8637900000.0,3690300000.0,5035300000.0,13673200000.0,4958200000.0,110500000.0,-96200000.0,-39300000.0,-141300000.0,-79600000.0,507400000.0,78.1
