,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,641625000.0,442035000.0,199590000.0,64750000.0,114887000.0,83987000.0,0.9500000000000001,140131000.0,114887000.0,88719000.0,434904000.0,454956000.0,433061000.0,1403500000.0,2046945000.0,3450445000.0,9228000.0,434251000.0,686592000.0,1113954000.0,1548205000.0,1902240000.0,25244000.0,98650000.0,-55335000.0,-54514000.0,-17808000.0,-84032000.0,62.52
2013-06-30,576842000.0,385172000.0,191670000.0,61725000.0,108380000.0,82739000.0,0.98,134953000.0,108380000.0,84028000.0,314659000.0,451245000.0,451998000.0,1281878000.0,2054071000.0,3335949000.0,9355000.0,375583000.0,1067852000.0,1494973000.0,1870556000.0,1465393000.0,26573000.0,80204000.0,-47833000.0,-48136000.0,-21241000.0,-159921000.0,62.29
2013-09-30,591196000.0,381585000.0,209611000.0,61368000.0,128802000.0,90512000.0,1.11,156462000.0,128802000.0,81385000.0,401427000.0,446713000.0,485804000.0,1394706000.0,2075359000.0,3470065000.0,19602000.0,410837000.0,1060282000.0,1482079000.0,1892916000.0,1577149000.0,27660000.0,138667000.0,-31860000.0,-31414000.0,-29539000.0,-25085000.0,62.94
2013-12-31,584606900.0,335007000.0,249599900.0,-29654000.0,224606200.0,155933000.0,1.92,252499200.0,224606300.0,83839000.0,477239000.0,491958000.0,436049000.0,1482915000.0,2101882000.0,3584797000.0,24554000.0,436363000.0,1054310000.0,1405658000.0,1842021000.0,1742776000.0,27893000.0,115338000.0,-20318000.0,-23678000.0,-19533000.0,-19008000.0,63.39
2014-03-31,599843000.0,404244000.0,195599000.0,78104000.0,77923000.0,56583000.0,0.71,105732000.0,77923000.0,79735000.0,524043000.0,462898000.0,420299000.0,1477402000.0,2081326000.0,3558728000.0,18063000.0,423199000.0,1052790000.0,1407928000.0,1831127000.0,1727601000.0,27809000.0,149173000.0,-23667000.0,-21516000.0,-19582000.0,-80614000.0,66.42
2014-06-30,604721000.0,397358000.0,207363000.0,67011000.0,110240000.0,22447000.0,0.29,135145000.0,110240000.0,78662000.0,515119000.0,446711000.0,370564000.0,1525883000.0,1928649000.0,3454532000.0,377521000.0,815914000.0,685845000.0,1013528000.0,1829442000.0,1625090000.0,24905000.0,145974000.0,-23003000.0,-24512000.0,-21734000.0,-128201000.0,71.5
2014-09-30,642418000.0,436972000.0,205446000.0,66012000.0,106473000.0,72794000.0,0.93,132103000.0,106473000.0,78244000.0,653120000.0,424586000.0,367911000.0,1508307000.0,1885159000.0,3393466000.0,368268000.0,812710000.0,684107000.0,993485000.0,1806195000.0,1587271000.0,25630000.0,135395000.0,-30012000.0,67508000.0,-29123000.0,-40934000.0,58.9
2014-12-31,598566200.0,436126000.0,162440200.0,144008000.0,-23337800.0,-18508000.0,-0.24,1890200.0,-23338000.0,78696000.0,2489768000.0,434635000.0,358361000.0,3348850000.0,1874253000.0,5223103000.0,711096000.0,1139886000.0,2223035000.0,2594582000.0,3734468000.0,1488635000.0,25228000.0,62067000.0,-33894000.0,-67613000.0,-29198000.0,1859078000.0,60.13
2015-03-31,884404000.0,625938000.0,258466000.0,135765000.0,36686000.0,43115000.0,0.4,100672000.0,36686000.0,108130000.0,261421000.0,709998000.0,620177000.0,1686543000.0,8108216000.0,9794759000.0,471809000.0,1456344000.0,3541312000.0,5091085000.0,6547429000.0,3247330000.0,63986000.0,45791000.0,-56741000.0,-2092673000.0,-21730000.0,-182647000.0,52.84
2015-06-30,718290000.0,506259000.0,212031000.0,88010000.0,79264000.0,52147000.0,0.46,146747000.0,79264000.0,112189000.0,207238000.0,710580000.0,602025000.0,1654081000.0,8116728000.0,9770809000.0,428000000.0,1368078000.0,3562308000.0,5086821000.0,6454899000.0,3315910000.0,67483000.0,87392000.0,-54982000.0,-58401000.0,-40790000.0,-83685000.0,55.27
2015-09-30,693216000.0,474171000.0,219045000.0,81012000.0,86420000.0,65392000.0,0.58,155323000.0,86420000.0,112202000.0,234490000.0,694572000.0,629393000.0,1720915000.0,7954149000.0,9675064000.0,284368000.0,1322548000.0,3558964000.0,5078002000.0,6400550000.0,3274514000.0,68903000.0,183720000.0,-52845000.0,51120000.0,-47445000.0,-201665000.0,44.1
2015-12-31,530518900.0,359828000.0,170690900.0,-4347000.0,142740700.0,174252000.0,1.55,202444700.0,142740800.0,111182000.0,213734000.0,472901000.0,439513000.0,1831002000.0,7766952000.0,9597954000.0,674994000.0,1616685000.0,3142163000.0,4579956000.0,6196641000.0,3401313000.0,59704000.0,43907000.0,-63081000.0,-60598000.0,-32623000.0,-10449000.0,56.01
2016-03-31,657211000.0,414677000.0,242534000.0,82631000.0,242797000.0,228186000.0,2.03,303349000.0,242797000.0,112260000.0,252382000.0,652963000.0,531230000.0,1615391000.0,7823577000.0,9438968000.0,484754000.0,1225098000.0,3105351000.0,4518999000.0,5744097000.0,3694871000.0,60552000.0,172708000.0,-58120000.0,168248000.0,-32541000.0,-297276000.0,63.93
2016-06-30,669327000.0,421223000.0,248104000.0,86055000.0,123493000.0,-314821000.0,-2.8,191446000.0,123493000.0,112339000.0,193661000.0,490789000.0,517052000.0,1527760000.0,7784621000.0,9312381000.0,493705000.0,1159058000.0,3019478000.0,4846977000.0,6006035000.0,3306346000.0,67953000.0,80141000.0,-41389000.0,-38177000.0,-51302000.0,-97907000.0,79.31
2016-09-30,654010000.0,415038000.0,238972000.0,86302000.0,124909000.0,128220000.0,1.1400000000000001,172903000.0,124909000.0,112429000.0,233599000.0,491516000.0,504984000.0,1557703000.0,7839241000.0,9396944000.0,400892000.0,1076834000.0,3048440000.0,4868677000.0,5945511000.0,3451433000.0,47994000.0,201265000.0,-41792000.0,-41939000.0,-41091000.0,-116736000.0,85.49
2016-12-31,696654800.0,455959000.0,240695900.0,98777000.0,109781000.0,602090000.0,5.35,159451000.0,109780900.0,112379000.0,2269756000.0,528020000.0,450263000.0,3306618000.0,4854588000.0,8161207000.0,247544000.0,1140103000.0,2121718000.0,3078500000.0,4218603000.0,3942604000.0,49670000.0,281410000.0,-55353000.0,2832356000.0,-46274000.0,-1068105000.0,86.08
