,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,153580000.0,40731000.0,112849000.0,72629000.0,-38075000.0,-41983000.0,-0.52,-33131000.0,-38075000.0,81248000.0,367228000.0,108672000.0,15442000.0,527331000.0,198914000.0,726245000.0,0.0,143855000.0,0.0,21272000.0,165127000.0,561118000.0,4944000.0,10418000.0,-5608000.0,-3445000.0,0.0,15423000.0,33.51
2013-06-30,163828000.0,40137000.0,123691000.0,74874000.0,37901000.0,29320000.0,0.36,41746000.0,37901000.0,80576000.0,278946000.0,112367000.0,15704000.0,442093000.0,261801000.0,703894000.0,0.0,160654000.0,0.0,23042000.0,183696000.0,520198000.0,3845000.0,53308000.0,-3781000.0,-140327000.0,0.0,-77319000.0,37.04
2013-09-30,164506000.0,39416000.0,125090000.0,72711000.0,41464000.0,34537000.0,0.43,45322000.0,41464000.0,79967000.0,323579000.0,109179000.0,14662000.0,482259000.0,276947000.0,759206000.0,0.0,163268000.0,0.0,20254000.0,183522000.0,575684000.0,3858000.0,55138000.0,-5783000.0,-56217000.0,0.0,12994000.0,48.1
2013-12-31,178292000.0,41816000.0,136476000.0,72584000.0,52922000.0,42421000.0,0.53,57100000.0,52922000.0,80551000.0,369993000.0,113250000.0,13968000.0,544676000.0,287471000.0,832147000.0,0.0,175338000.0,0.0,22839000.0,198177000.0,633970000.0,4178000.0,67112000.0,-4240000.0,-10745000.0,0.0,10731000.0,57.14
2014-03-31,180646000.0,43395000.0,137251000.0,82067000.0,41804000.0,32444000.0,0.4,46580000.0,41804000.0,81120000.0,366443000.0,126183000.0,15840000.0,552177000.0,333464000.0,885641000.0,0.0,170855000.0,0.0,18033000.0,188888000.0,696753000.0,4776000.0,17993000.0,-4996000.0,-99347000.0,0.0,21061000.0,51.79
2014-06-30,192531000.0,47055000.0,145476000.0,83455000.0,48732000.0,35600000.0,0.44,53086000.0,48732000.0,81027000.0,365530000.0,131028000.0,13115000.0,554512000.0,330921000.0,885433000.0,0.0,187113000.0,0.0,22524000.0,209637000.0,675796000.0,4354000.0,69730000.0,-4964000.0,-18236000.0,0.0,-66928000.0,56.04
2014-09-30,189876000.0,44822000.0,145054000.0,80653000.0,51547000.0,38247000.0,0.47000000000000003,55886000.0,51547000.0,80629000.0,425496000.0,130047000.0,15983000.0,615672000.0,332617000.0,948289000.0,0.0,198560000.0,0.0,27273000.0,225833000.0,722456000.0,4339000.0,67571000.0,-6997000.0,-53790000.0,0.0,-1051000.0,51.68
2014-12-31,198600000.0,47938000.0,150662000.0,85893000.0,51493000.0,39541000.0,0.49,55880000.0,51493000.0,80754000.0,454658000.0,129751000.0,15928000.0,657160000.0,330837000.0,987997000.0,0.0,201811000.0,0.0,33415000.0,235226000.0,752771000.0,4387000.0,71605000.0,-7135000.0,-30254000.0,0.0,-19502000.0,55.91
2015-03-31,198086000.0,46996000.0,151090000.0,88281000.0,48924000.0,36177000.0,0.45,53232000.0,48924000.0,80459000.0,444801000.0,138159000.0,14572000.0,657312000.0,371093000.0,1028405000.0,0.0,200575000.0,0.0,34296000.0,234871000.0,793534000.0,4308000.0,35645000.0,-15612000.0,-36661000.0,0.0,-7097000.0,53.79
2015-06-30,209488000.0,50854000.0,158634000.0,100625000.0,42325000.0,31350000.0,0.39,46655000.0,42325000.0,80257000.0,438542000.0,146466000.0,16415000.0,657906000.0,370675000.0,1028581000.0,0.0,222925000.0,0.0,35855000.0,258780000.0,769801000.0,4330000.0,62940000.0,-10560000.0,-23661000.0,0.0,-67830000.0,62.71
2015-09-30,207636000.0,50060000.0,157576000.0,101751000.0,38046000.0,27616000.0,0.35000000000000003,42549000.0,38046000.0,79808000.0,484755000.0,148395000.0,18939000.0,711733000.0,367829000.0,1079562000.0,0.0,244511000.0,0.0,36792000.0,281303000.0,798259000.0,4503000.0,60057000.0,-10491000.0,-32303000.0,0.0,-14028000.0,56.76
2015-12-31,230276000.0,57466000.0,172810000.0,99582000.0,59339000.0,48877000.0,0.61,64202000.0,59338900.0,79998000.0,527295000.0,158550000.0,19465000.0,732010000.0,426623000.0,1158633000.0,0.0,271672000.0,0.0,39035000.0,310707000.0,847926000.0,4863000.0,79355000.0,-16788000.0,-73736000.0,0.0,-11831000.0,65.85
2016-03-31,238720000.0,58093000.0,180627000.0,112210000.0,53334000.0,40546000.0,0.51,58126000.0,53334000.0,79831000.0,548078000.0,178000000.0,22618000.0,783003000.0,424557000.0,1207560000.0,0.0,274750000.0,0.0,40780000.0,315530000.0,892030000.0,4792000.0,30680000.0,-20207000.0,-35316000.0,0.0,-9106000.0,72.69
