,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1133000000.0,0.0,1133000000.0,912000000.0,64000000.0,37000000.0,0.26,133000000.0,64000000.0,140862000.0,1265000000.0,188000000.0,61000000.0,1839000000.0,3805000000.0,5644000000.0,106000000.0,1598000000.0,840000000.0,2584000000.0,4182000000.0,1462000000.0,69000000.0,212000000.0,-110000000.0,-151000000.0,0.0,-88000000.0,31.98
2013-06-30,1256000000.0,0.0,1256000000.0,928000000.0,174000000.0,104000000.0,0.745,241000000.0,174000000.0,140504000.0,1429000000.0,195000000.0,59000000.0,1986000000.0,3866000000.0,5852000000.0,110000000.0,1756000000.0,814000000.0,2553000000.0,4309000000.0,1543000000.0,67000000.0,380000000.0,-147000000.0,-361000000.0,0.0,-57000000.0,26.0
2013-09-30,1557000000.0,0.0,1557000000.0,925000000.0,470000000.0,289000000.0,1.04,537000000.0,470000000.0,139559000.0,1445000000.0,182000000.0,60000000.0,1935000000.0,3927000000.0,5862000000.0,111000000.0,1650000000.0,782000000.0,2410000000.0,4060000000.0,1802000000.0,67000000.0,230000000.0,-141000000.0,-168000000.0,-14000000.0,-78000000.0,31.31
2013-12-31,1210000000.0,0.0,1210000000.0,855000000.0,130000000.0,78000000.0,0.56,197000000.0,130000000.0,139910000.0,1330000000.0,152000000.0,60000000.0,1762000000.0,4076000000.0,5838000000.0,117000000.0,1580000000.0,754000000.0,2229000000.0,3809000000.0,2029000000.0,67000000.0,159000000.0,-171000000.0,-18000000.0,-14000000.0,-102000000.0,36.69
2014-03-31,1222000000.0,0.0,1222000000.0,905000000.0,141000000.0,94000000.0,0.68,211000000.0,141000000.0,137334000.0,1420000000.0,212000000.0,58000000.0,1934000000.0,4127000000.0,6061000000.0,113000000.0,1755000000.0,721000000.0,2211000000.0,3966000000.0,2095000000.0,70000000.0,242000000.0,-86000000.0,-164000000.0,-17000000.0,-68000000.0,46.65
2014-06-30,1375000000.0,0.0,1375000000.0,929000000.0,263000000.0,165000000.0,1.2,336000000.0,263000000.0,137274000.0,1510000000.0,203000000.0,61000000.0,2020000000.0,4294000000.0,6314000000.0,114000000.0,1864000000.0,745000000.0,2250000000.0,4114000000.0,2200000000.0,73000000.0,393000000.0,-266000000.0,-418000000.0,-17000000.0,-43000000.0,47.53
2014-09-30,1465000000.0,0.0,1465000000.0,977000000.0,316000000.0,198000000.0,1.47,391000000.0,316000000.0,134865000.0,1343000000.0,178000000.0,64000000.0,1799000000.0,4437000000.0,6236000000.0,115000000.0,1767000000.0,710000000.0,2240000000.0,4007000000.0,2229000000.0,75000000.0,257000000.0,-211000000.0,-36000000.0,-17000000.0,-209000000.0,43.54
2014-12-31,1306000000.0,0.0,1306000000.0,849000000.0,242000000.0,148000000.0,1.12,318000000.0,242000000.0,135445000.0,1217000000.0,259000000.0,58000000.0,1639000000.0,4425000000.0,6064000000.0,117000000.0,1671000000.0,686000000.0,2266000000.0,3937000000.0,2127000000.0,76000000.0,138000000.0,-131000000.0,77000000.0,-17000000.0,-142000000.0,59.76
2015-03-31,1269000000.0,0.0,1269000000.0,831000000.0,238000000.0,149000000.0,1.13,314000000.0,238000000.0,131120000.0,1312000000.0,187000000.0,52000000.0,1776000000.0,4634000000.0,6410000000.0,118000000.0,1880000000.0,650000000.0,2364000000.0,4244000000.0,2166000000.0,76000000.0,514000000.0,-277000000.0,-421000000.0,-26000000.0,-149000000.0,66.18
2015-06-30,1437000000.0,0.0,1437000000.0,843000000.0,372000000.0,234000000.0,1.8,451000000.0,372000000.0,129236000.0,1192000000.0,194000000.0,58000000.0,1654000000.0,4826000000.0,6480000000.0,116000000.0,1927000000.0,629000000.0,2334000000.0,4261000000.0,2219000000.0,79000000.0,375000000.0,-282000000.0,-173000000.0,-26000000.0,-208000000.0,64.43
2015-09-30,1515000000.0,0.0,1515000000.0,867000000.0,433000000.0,274000000.0,2.15,514000000.0,433000000.0,127308000.0,1258000000.0,205000000.0,52000000.0,1715000000.0,4849000000.0,6564000000.0,117000000.0,1854000000.0,593000000.0,2345000000.0,4199000000.0,2365000000.0,81000000.0,340000000.0,-110000000.0,-133000000.0,-26000000.0,-164000000.0,79.45
2015-12-31,1377000000.0,0.0,1377000000.0,859000000.0,255000000.0,191000000.0,1.52,339000000.0,255000000.0,128373000.0,1328000000.0,212000000.0,51000000.0,1663000000.0,4867000000.0,6530000000.0,114000000.0,1805000000.0,569000000.0,2314000000.0,4119000000.0,2411000000.0,84000000.0,355000000.0,-109000000.0,-203000000.0,-24000000.0,-167000000.0,80.51
2016-03-31,1347000000.0,0.0,1347000000.0,820000000.0,290000000.0,184000000.0,1.47,378000000.0,290000000.0,124550000.0,1564000000.0,235000000.0,45000000.0,1923000000.0,4906000000.0,6829000000.0,116000000.0,2069000000.0,531000000.0,2305000000.0,4374000000.0,2455000000.0,88000000.0,525000000.0,-119000000.0,-336000000.0,-34000000.0,-184000000.0,82.02
2016-06-30,1494000000.0,0.0,1494000000.0,833000000.0,418000000.0,260000000.0,2.11,510000000.0,418000000.0,123250000.0,1607000000.0,254000000.0,45000000.0,2003000000.0,5032000000.0,7035000000.0,117000000.0,2061000000.0,509000000.0,2347000000.0,4408000000.0,2627000000.0,92000000.0,374000000.0,-218000000.0,-254000000.0,-34000000.0,-117000000.0,58.29
2016-09-30,1566000000.0,0.0,1566000000.0,895000000.0,400000000.0,256000000.0,2.08,501000000.0,400000000.0,123149000.0,3226000000.0,232000000.0,44000000.0,3600000000.0,5099000000.0,8699000000.0,275000000.0,2123000000.0,1861000000.0,3712000000.0,5835000000.0,2864000000.0,101000000.0,307000000.0,-172000000.0,-51000000.0,-34000000.0,1481000000.0,65.86
2016-12-31,1518000000.0,0.0,1518000000.0,1002000000.0,198000000.0,97000000.0,0.92,280000000.0,198000000.0,123557000.0,1580000000.0,302000000.0,47000000.0,2050000000.0,7912000000.0,9962000000.0,319000000.0,2535000000.0,2645000000.0,4496000000.0,7031000000.0,2931000000.0,82000000.0,180000000.0,-164000000.0,-1981000000.0,-34000000.0,311000000.0,88.73
2017-03-31,1740000000.0,0.0,1740000000.0,1265000000.0,157000000.0,93000000.0,0.8,247000000.0,157000000.0,123495000.0,1710000000.0,321000000.0,50000000.0,2213000000.0,8089000000.0,10302000000.0,332000000.0,2835000000.0,2531000000.0,4453000000.0,7288000000.0,3014000000.0,90000000.0,470000000.0,-216000000.0,-488000000.0,-37000000.0,-127000000.0,92.22
2017-06-30,2102000000.0,0.0,2102000000.0,1307000000.0,487000000.0,293000000.0,2.4,577000000.0,487000000.0,123573000.0,1922000000.0,326000000.0,52000000.0,2425000000.0,8295000000.0,10720000000.0,337000000.0,2974000000.0,2469000000.0,4482000000.0,7456000000.0,3264000000.0,90000000.0,614000000.0,-296000000.0,-483000000.0,-37000000.0,-116000000.0,89.76
2017-09-30,2110000000.0,0.0,2110000000.0,1345000000.0,427000000.0,259000000.0,2.15,522000000.0,427000000.0,123467000.0,1740000000.0,301000000.0,57000000.0,2214000000.0,8525000000.0,10739000000.0,334000000.0,2765000000.0,2367000000.0,4483000000.0,7248000000.0,3491000000.0,95000000.0,273000000.0,-329000000.0,-171000000.0,-37000000.0,-156000000.0,76.27
2017-12-31,1942000000.0,0.0,1942000000.0,1463000000.0,137000000.0,315000000.0,2.98,234000000.0,137000000.0,123211000.0,1621000000.0,341000000.0,57000000.0,2152000000.0,8594000000.0,10746000000.0,307000000.0,2686000000.0,2262000000.0,4600000000.0,7286000000.0,3460000000.0,97000000.0,233000000.0,-107000000.0,13000000.0,-37000000.0,-193000000.0,73.51
2018-03-31,1832000000.0,0.0,1832000000.0,1461000000.0,29000000.0,4000000.0,0.03,123000000.0,29000000.0,123155000.0,1528000000.0,350000000.0,62000000.0,2114000000.0,8734000000.0,10848000000.0,387000000.0,2992000000.0,2062000000.0,4417000000.0,7409000000.0,3439000000.0,94000000.0,306000000.0,-235000000.0,-164000000.0,-40000000.0,-156000000.0,61.96
2018-06-30,2156000000.0,0.0,2156000000.0,1531000000.0,271000000.0,193000000.0,1.57,368000000.0,271000000.0,123268000.0,1568000000.0,411000000.0,57000000.0,2216000000.0,8839000000.0,11055000000.0,314000000.0,3036000000.0,1998000000.0,4426000000.0,7462000000.0,3593000000.0,97000000.0,420000000.0,-188000000.0,-304000000.0,-39000000.0,-191000000.0,60.39
2018-09-30,2212000000.0,0.0,2212000000.0,1588000000.0,297000000.0,217000000.0,1.76,396000000.0,297000000.0,123224000.0,1397000000.0,422000000.0,57000000.0,2056000000.0,8837000000.0,10893000000.0,345000000.0,2888000000.0,1684000000.0,4214000000.0,7102000000.0,3791000000.0,99000000.0,260000000.0,-131000000.0,135000000.0,-39000000.0,-319000000.0,68.86
2018-12-31,2064000000.0,0.0,2064000000.0,1638000000.0,46000000.0,23000000.0,0.19,154000000.0,46000000.0,123230000.0,1236000000.0,366000000.0,60000000.0,1787000000.0,9125000000.0,10912000000.0,486000000.0,2942000000.0,1617000000.0,4219000000.0,7161000000.0,3751000000.0,108000000.0,209000000.0,-390000000.0,-298000000.0,-40000000.0,19000000.0,60.85
2019-03-31,1876000000.0,0.0,1876000000.0,1505000000.0,25000000.0,4000000.0,0.03,131000000.0,25000000.0,123291000.0,1436000000.0,358000000.0,58000000.0,2001000000.0,8924000000.0,12640000000.0,300000000.0,3386000000.0,1664000000.0,5508000000.0,8894000000.0,3746000000.0,106000000.0,468000000.0,-115000000.0,-186000000.0,-43000000.0,-171000000.0,56.12
2019-06-30,2288000000.0,0.0,2288000000.0,1589000000.0,364000000.0,262000000.0,2.12,469000000.0,364000000.0,123418000.0,1627000000.0,389000000.0,55000000.0,2218000000.0,9037000000.0,12951000000.0,288000000.0,3534000000.0,1538000000.0,5444000000.0,8978000000.0,3973000000.0,105000000.0,565000000.0,-218000000.0,-344000000.0,-43000000.0,-192000000.0,63.91
2019-09-30,2389000000.0,0.0,2389000000.0,1631000000.0,422000000.0,322000000.0,2.61,528000000.0,422000000.0,123280000.0,1619000000.0,377000000.0,63000000.0,2202000000.0,9134000000.0,12983000000.0,265000000.0,3346000000.0,1444000000.0,5385000000.0,8731000000.0,4252000000.0,106000000.0,348000000.0,-194000000.0,-178000000.0,33000000.0,-175000000.0,64.91
2019-12-31,2228000000.0,1746000000.0,2228000000.0,1638000000.0,252000000.0,181000000.0,1.47,358000000.0,252000000.0,123279000.0,1521000000.0,323000000.0,72000000.0,2037000000.0,9245000000.0,12993000000.0,235000000.0,3201000000.0,1264000000.0,5461000000.0,8662000000.0,4331000000.0,106000000.0,341000000.0,-141000000.0,-83000000.0,-120000000.0,-275000000.0,67.75
2020-03-31,1636000000.0,1581000000.0,1636000000.0,1499000000.0,-321000000.0,-232000000.0,-1.8900000000000001,-213000000.0,-321000000.0,122818000.0,2125000000.0,279000000.0,68000000.0,2572000000.0,9207000000.0,13363000000.0,1059000000.0,3730000000.0,1203000000.0,5618000000.0,9348000000.0,4015000000.0,108000000.0,33000000.0,-119000000.0,-127000000.0,-45000000.0,684000000.0,28.47
2020-06-30,421000000.0,924000000.0,421000000.0,774000000.0,-288000000.0,-214000000.0,-1.74,-181000000.0,-288000000.0,123296000.0,2803000000.0,280000000.0,56000000.0,3244000000.0,9186000000.0,13998000000.0,1087000000.0,4120000000.0,1549000000.0,6017000000.0,10137000000.0,3861000000.0,107000000.0,288000000.0,-49000000.0,3000000.0,0.0,407000000.0,36.26
2020-09-30,701000000.0,1110000000.0,701000000.0,961000000.0,-571000000.0,-431000000.0,-3.49,-466000000.0,-571000000.0,123647000.0,3759000000.0,321000000.0,57000000.0,4465000000.0,8768000000.0,14749000000.0,1150000000.0,4207000000.0,2672000000.0,7088000000.0,11295000000.0,3454000000.0,105000000.0,-205000000.0,-36000000.0,-643000000.0,0.0,1195000000.0,36.63
2020-12-31,808000000.0,1138000000.0,808000000.0,951000000.0,-595000000.0,-447000000.0,-3.47,-495000000.0,-595000000.0,123450000.0,3346000000.0,480000000.0,57000000.0,4006000000.0,8640000000.0,14046000000.0,1138000000.0,4293000000.0,2357000000.0,6765000000.0,11058000000.0,2988000000.0,100000000.0,-350000000.0,261000000.0,174000000.0,0.0,-305000000.0,52.0
2021-03-31,797000000.0,1221000000.0,797000000.0,1075000000.0,-161000000.0,-131000000.0,-1.05,-64000000.0,-161000000.0,124299000.0,3549000000.0,517000000.0,57000000.0,4284000000.0,8555000000.0,14262000000.0,1246000000.0,4762000000.0,2325000000.0,6625000000.0,11387000000.0,2875000000.0,97000000.0,167000000.0,-27000000.0,-543000000.0,0.0,82000000.0,69.21
2021-06-30,1527000000.0,1406000000.0,1527000000.0,1222000000.0,549000000.0,397000000.0,3.18,647000000.0,549000000.0,124977000.0,3951000000.0,567000000.0,52000000.0,4771000000.0,8510000000.0,14656000000.0,869000000.0,4846000000.0,2319000000.0,6486000000.0,11332000000.0,3324000000.0,98000000.0,840000000.0,-75000000.0,-527000000.0,0.0,-363000000.0,60.31
2021-09-30,1953000000.0,1550000000.0,1953000000.0,1398000000.0,258000000.0,194000000.0,1.55,357000000.0,258000000.0,125250000.0,3195000000.0,536000000.0,62000000.0,4001000000.0,8511000000.0,13882000000.0,425000000.0,4024000000.0,2225000000.0,6327000000.0,10351000000.0,3531000000.0,99000000.0,-106000000.0,-88000000.0,127000000.0,0.0,-544000000.0,58.6
2021-12-31,1899000000.0,1622000000.0,1899000000.0,1522000000.0,39000000.0,18000000.0,0.14,139000000.0,39000000.0,125063000.0,3116000000.0,546000000.0,62000000.0,3920000000.0,8578000000.0,13951000000.0,366000000.0,3991000000.0,2173000000.0,6159000000.0,10150000000.0,3801000000.0,100000000.0,129000000.0,-100000000.0,-65000000.0,0.0,-89000000.0,52.1
2022-03-31,1681000000.0,1755000000.0,1681000000.0,1476000000.0,-202000000.0,-143000000.0,-1.1400000000000001,-100000000.0,-202000000.0,125984000.0,2890000000.0,658000000.0,78000000.0,3974000000.0,8695000000.0,14210000000.0,292000000.0,4570000000.0,2078000000.0,6003000000.0,10573000000.0,3637000000.0,102000000.0,287000000.0,-288000000.0,39000000.0,0.0,-168000000.0,58.01
2022-06-30,2658000000.0,2118000000.0,2658000000.0,1938000000.0,187000000.0,139000000.0,1.1,291000000.0,187000000.0,126543000.0,3425000000.0,401000000.0,93000000.0,4232000000.0,8899000000.0,14800000000.0,342000000.0,4902000000.0,1961000000.0,6099000000.0,11001000000.0,3799000000.0,104000000.0,948000000.0,-344000000.0,-760000000.0,0.0,-38000000.0,40.05
2022-09-30,2828000000.0,2130000000.0,2828000000.0,2109000000.0,62000000.0,40000000.0,0.32,166000000.0,62000000.0,126783000.0,3150000000.0,345000000.0,94000000.0,3810000000.0,9116000000.0,14531000000.0,321000000.0,4709000000.0,1889000000.0,5996000000.0,10705000000.0,3826000000.0,104000000.0,174000000.0,-315000000.0,-167000000.0,0.0,-90000000.0,39.15
