,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-12-31,550600000.0,320100000.0,230500000.0,125100000.0,105400000.0,9600000.0,0.1,117300000.0,105400000.0,96000000.0,267600000.0,260000000.0,187500000.0,946800000.0,1053800000.0,2000600000.0,71900000.0,490500000.0,1272000000.0,1545100000.0,2035600000.0,-35000000.0,11900000.0,66300000.0,33500000.0,-31100000.0,-5200000.0,-168500000.0,44.19
2014-03-31,466600000.0,274400000.0,192200000.0,124400000.0,67800000.0,35800000.0,0.37,80000000.0,67800000.0,96300000.0,245500000.0,284100000.0,167200000.0,913900000.0,1064000000.0,1977900000.0,70500000.0,461500000.0,1264400000.0,1544700000.0,2006200000.0,-28300000.0,12200000.0,-900000.0,-9200000.0,-14300000.0,-7200000.0,-3400000.0,52.17
2014-06-30,531500000.0,305500000.0,226000000.0,136700000.0,89300000.0,43200000.0,0.45,101500000.0,89300000.0,96300000.0,193200000.0,295600000.0,174100000.0,887600000.0,1080500000.0,1968100000.0,30700000.0,437400000.0,1256900000.0,1541900000.0,1979300000.0,-11200000.0,12200000.0,64700000.0,-16800000.0,6100000.0,-7700000.0,-82400000.0,56.68
2014-09-30,546700000.0,310100000.0,236600000.0,130500000.0,106100000.0,60800000.0,0.63,118200000.0,106100000.0,95900000.0,251400000.0,287300000.0,180700000.0,934000000.0,1058200000.0,1992200000.0,30300000.0,464200000.0,1249200000.0,1522000000.0,1986200000.0,6000000.0,12100000.0,108200000.0,-13800000.0,-12700000.0,-7700000.0,-34800000.0,47.64
2014-12-31,573500100.0,374600000.0,198900100.0,135800000.0,63100100.0,35400000.0,0.37,75400100.0,63100000.0,96100000.0,290500000.0,230400000.0,169300000.0,1001700000.0,1014200000.0,2015900000.0,49600000.0,532500000.0,1215000000.0,1464900000.0,1997400000.0,18500000.0,12300000.0,83900000.0,-11200000.0,-13900000.0,-11900000.0,-29400000.0,55.46
2015-03-31,458700000.0,271600000.0,187100000.0,116100000.0,71000000.0,45400000.0,0.47000000000000003,83100000.0,71000000.0,95900000.0,229600000.0,255800000.0,184900000.0,903700000.0,1023700000.0,1927400000.0,49400000.0,482100000.0,1202700000.0,1443800000.0,1925900000.0,1500000.0,12100000.0,4400000.0,-9400000.0,-14400000.0,-9500000.0,-46700000.0,61.17
2015-06-30,519500000.0,297700000.0,221800000.0,126100000.0,95700000.0,63900000.0,0.67,108400000.0,95700000.0,95800000.0,201000000.0,274700000.0,205900000.0,923200000.0,1066400000.0,1989600000.0,61800000.0,479000000.0,1190500000.0,1437900000.0,1916900000.0,72700000.0,12700000.0,28800000.0,-9200000.0,-52100000.0,-9600000.0,-5900000.0,60.14
2015-09-30,544500000.0,304500000.0,240000000.0,129600000.0,110400000.0,-27300000.0,-0.28,123100000.0,110400000.0,95900000.0,175200000.0,273100000.0,216300000.0,875700000.0,1533300000.0,2409000000.0,59000000.0,517200000.0,1575900000.0,1863800000.0,2381000000.0,28000000.0,12700000.0,92300000.0,-8700000.0,-467900000.0,-9600000.0,353500000.0,57.66
2015-12-31,545400100.0,325200000.0,220200100.0,138700000.0,81500100.0,71900000.0,0.75,97200100.0,81500100.0,95900000.0,199700000.0,303400000.0,204100000.0,735100000.0,1527900000.0,2263000000.0,65600000.0,447100000.0,1457500000.0,1786200000.0,2233300000.0,29700000.0,15700000.0,131500000.0,-7600000.0,600000.0,-29600000.0,-105900000.0,65.92
2016-03-31,502300000.0,286000000.0,216300000.0,133800000.0,82500000.0,57700000.0,0.6000000000000001,98900000.0,82500000.0,95900000.0,125500000.0,325800000.0,216500000.0,710400000.0,1559600000.0,2270000000.0,49100000.0,406100000.0,1446900000.0,1786200000.0,2192300000.0,77700000.0,16400000.0,-800000.0,-7400000.0,-2800000.0,-11400000.0,-74800000.0,63.71
