,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,8463000000.0,5263000000.0,3200000000.0,946000000.0,1152000000.0,709000000.0,1.49,1239000000.0,1152000000.0,475400000.0,820000000.0,13382000000.0,14202000000.0,112410000000.0,126612000000.0,0.0,85469000000.0,6556000000.0,20524000000.0,105993000000.0,20619000000.0,87000000.0,740000000.0,-60000000.0,136000000.0,0.0,-862000000.0,49.07
2013-06-30,8787000000.0,5523000000.0,3264000000.0,961000000.0,1213000000.0,434000000.0,0.93,1306000000.0,1213000000.0,468300000.0,634000000.0,13462000000.0,14096000000.0,107384000000.0,121480000000.0,500000000.0,83343000000.0,5475000000.0,18268000000.0,101611000000.0,19869000000.0,93000000.0,813000000.0,17000000.0,2516000000.0,-119000000.0,-3515000000.0,48.12
2013-09-30,8465000000.0,5242000000.0,3223000000.0,1026000000.0,1260000000.0,310000000.0,0.67,1326000000.0,1260000000.0,461100000.0,1069000000.0,12279000000.0,13348000000.0,108937000000.0,122285000000.0,0.0,69767000000.0,6217000000.0,31738000000.0,101505000000.0,20780000000.0,66000000.0,1518000000.0,-73000000.0,-419000000.0,-118000000.0,-651000000.0,50.55
2013-12-31,8792000000.0,5078000000.0,3714000000.0,1069000000.0,1387000000.0,810000000.0,1.79,1509000000.0,1387000000.0,464400000.0,675000000.0,12858000000.0,13533000000.0,109987000000.0,123520000000.0,0.0,70110000000.0,6201000000.0,31930000000.0,102040000000.0,21480000000.0,122000000.0,1171000000.0,-91000000.0,-653000000.0,-115000000.0,-925000000.0,54.54
2014-03-31,8684000000.0,5554000000.0,3130000000.0,1035000000.0,1001000000.0,587000000.0,1.31,1099000000.0,1001000000.0,446400000.0,1170000000.0,12783000000.0,13953000000.0,110338000000.0,124291000000.0,0.0,70015000000.0,6200000000.0,32171000000.0,102186000000.0,22105000000.0,98000000.0,474000000.0,-55000000.0,1376000000.0,-113000000.0,-1113000000.0,56.58
2014-06-30,8860000000.0,5767000000.0,3093000000.0,1035000000.0,1035000000.0,614000000.0,1.4100000000000001,1126000000.0,1035000000.0,434300000.0,889000000.0,12884000000.0,13773000000.0,96460000000.0,110233000000.0,0.0,70545000000.0,5846000000.0,16816000000.0,87361000000.0,22872000000.0,91000000.0,727000000.0,-69000000.0,-355000000.0,-125000000.0,-895000000.0,58.72
2014-09-30,8936000000.0,5540000000.0,3396000000.0,1030000000.0,1298000000.0,750000000.0,1.77,1386000000.0,1298000000.0,424500000.0,885000000.0,13159000000.0,14044000000.0,94266000000.0,108310000000.0,0.0,70222000000.0,5195000000.0,15759000000.0,85981000000.0,22329000000.0,88000000.0,1364000000.0,-83000000.0,963000000.0,-122000000.0,-2331000000.0,61.37
2014-12-31,8759000000.0,5251000000.0,3508000000.0,1035000000.0,1317000000.0,795000000.0,1.8900000000000001,1406000000.0,1317000000.0,431400000.0,657000000.0,13955000000.0,14612000000.0,93867000000.0,108479000000.0,0.0,70271000000.0,5140000000.0,15904000000.0,86175000000.0,22304000000.0,89000000.0,671000000.0,-81000000.0,-363000000.0,-117000000.0,-536000000.0,70.25
2015-03-31,8952000000.0,5633000000.0,3319000000.0,1070000000.0,1159000000.0,648000000.0,1.56,1246000000.0,1159000000.0,415800000.0,916000000.0,13910000000.0,14826000000.0,93238000000.0,108064000000.0,0.0,69973000000.0,5194000000.0,15912000000.0,85885000000.0,22179000000.0,87000000.0,566000000.0,-59000000.0,1073000000.0,-118000000.0,-1380000000.0,71.17
2015-06-30,8982000000.0,6218000000.0,2764000000.0,1086000000.0,617000000.0,326000000.0,0.8,709000000.0,617000000.0,407000000.0,805000000.0,14119000000.0,14924000000.0,92193000000.0,107117000000.0,0.0,70575000000.0,5186000000.0,15244000000.0,85819000000.0,21298000000.0,92000000.0,737000000.0,-74000000.0,-19000000.0,-125000000.0,-829000000.0,64.87
2015-09-30,9028000000.0,5909000000.0,3119000000.0,1092000000.0,1035000000.0,621000000.0,1.56,1131000000.0,1035000000.0,397000000.0,905000000.0,14179000000.0,15084000000.0,90765000000.0,105849000000.0,0.0,70692000000.0,5175000000.0,14653000000.0,85345000000.0,20504000000.0,96000000.0,1383000000.0,-86000000.0,41000000.0,-122000000.0,-1324000000.0,58.24
