,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,1573000000.0,991000000.0,582000000.0,230000000.0,39000000.0,34000000.0,0.03,145000000.0,39000000.0,1198000000.0,1753000000.0,1109000000.0,1278000000.0,4765000000.0,6949000000.0,11714000000.0,0.0,1965000000.0,1946000000.0,2608000000.0,4573000000.0,7141000000.0,106000000.0,16000000.0,-49000000.0,253000000.0,-108000000.0,-138000000.0,12.91
2013-04-30,1973000000.0,1165000000.0,808000000.0,244000000.0,-68000000.0,-129000000.0,-0.11,316000000.0,-68000000.0,1203000000.0,1770000000.0,1275000000.0,1318000000.0,5113000000.0,6582000000.0,11695000000.0,0.0,2201000000.0,1946000000.0,2596000000.0,4797000000.0,6898000000.0,384000000.0,224000000.0,-52000000.0,-61000000.0,-108000000.0,-141000000.0,14.51
2013-07-31,1975000000.0,1169000000.0,806000000.0,208000000.0,250000000.0,168000000.0,0.14,350000000.0,250000000.0,1203000000.0,1975000000.0,1170000000.0,1358000000.0,5237000000.0,6514000000.0,11751000000.0,0.0,2202000000.0,1946000000.0,2595000000.0,4797000000.0,6954000000.0,100000000.0,364000000.0,-40000000.0,-34000000.0,-120000000.0,-130000000.0,16.32
2013-10-31,1988000000.0,1193000000.0,795000000.0,209000000.0,211000000.0,183000000.0,0.15,309000000.0,211000000.0,1202000000.0,1891000000.0,1633000000.0,1413000000.0,5642000000.0,6401000000.0,12043000000.0,0.0,2443000000.0,1946000000.0,2512000000.0,4955000000.0,7088000000.0,98000000.0,19000000.0,-56000000.0,57000000.0,-120000000.0,-110000000.0,17.86
2014-01-31,2190000000.0,1299000000.0,891000000.0,229000000.0,330000000.0,253000000.0,0.21,424000000.0,330000000.0,1206000000.0,2289000000.0,1510000000.0,1533000000.0,6014000000.0,6185000000.0,12199000000.0,0.0,2477000000.0,1946000000.0,2481000000.0,4958000000.0,7241000000.0,94000000.0,372000000.0,-48000000.0,153000000.0,-120000000.0,-92000000.0,16.82
2014-04-30,2353000000.0,1352000000.0,1001000000.0,236000000.0,387000000.0,262000000.0,0.22,481000000.0,387000000.0,1216000000.0,2599000000.0,1615000000.0,1564000000.0,6401000000.0,6154000000.0,12555000000.0,0.0,2662000000.0,1947000000.0,2418000000.0,5080000000.0,7475000000.0,94000000.0,437000000.0,-65000000.0,-69000000.0,-122000000.0,-59000000.0,19.06
2014-07-31,2265000000.0,1273000000.0,992000000.0,234000000.0,391000000.0,301000000.0,0.25,484000000.0,391000000.0,1218000000.0,2871000000.0,1622000000.0,1547000000.0,6640000000.0,6211000000.0,12851000000.0,0.0,2755000000.0,1947000000.0,2412000000.0,5167000000.0,7684000000.0,93000000.0,584000000.0,-65000000.0,-192000000.0,-121000000.0,-119000000.0,20.96
2014-10-31,2264000000.0,1305000000.0,959000000.0,226000000.0,412000000.0,256000000.0,0.24,506000000.0,412000000.0,1215000000.0,3162000000.0,1670000000.0,1567000000.0,6967000000.0,6207000000.0,13174000000.0,0.0,2823000000.0,1947000000.0,2483000000.0,5306000000.0,7868000000.0,94000000.0,407000000.0,-63000000.0,-53000000.0,-122000000.0,-78000000.0,22.09
2015-01-31,2359000000.0,1400000000.0,959000000.0,228000000.0,458000000.0,348000000.0,0.28,550000000.0,458000000.0,1224000000.0,3087000000.0,1580000000.0,1641000000.0,6933000000.0,6140000000.0,13073000000.0,0.0,2521000000.0,1947000000.0,2480000000.0,5001000000.0,8072000000.0,92000000.0,60000000.0,-49000000.0,-50000000.0,-122000000.0,-83000000.0,22.84
2015-04-30,2442000000.0,1426000000.0,1016000000.0,249000000.0,416000000.0,364000000.0,0.30000000000000004,506000000.0,416000000.0,1230000000.0,3230000000.0,1798000000.0,1713000000.0,7447000000.0,6140000000.0,13587000000.0,0.0,2696000000.0,1947000000.0,2540000000.0,5236000000.0,8351000000.0,90000000.0,298000000.0,-64000000.0,-90000000.0,-123000000.0,-69000000.0,19.79
2015-07-31,2490000000.0,1472000000.0,1018000000.0,247000000.0,396000000.0,329000000.0,0.27,489000000.0,396000000.0,1221000000.0,2743000000.0,1991000000.0,1739000000.0,7043000000.0,6110000000.0,13153000000.0,0.0,3020000000.0,1547000000.0,2156000000.0,5176000000.0,7977000000.0,93000000.0,334000000.0,-49000000.0,-84000000.0,-123000000.0,-744000000.0,17.36
2015-10-31,2368000000.0,1409000000.0,959000000.0,173000000.0,423000000.0,336000000.0,0.28,519000000.0,423000000.0,1214000000.0,4965000000.0,1739000000.0,1833000000.0,9261000000.0,6047000000.0,15308000000.0,1200000000.0,3798000000.0,3342000000.0,3897000000.0,7695000000.0,7613000000.0,96000000.0,471000000.0,-53000000.0,-57000000.0,-119000000.0,1809000000.0,16.77
2016-01-31,2257000000.0,1341000000.0,916000000.0,188000000.0,354000000.0,286000000.0,0.25,450000000.0,354000000.0,1146000000.0,3116000000.0,1625000000.0,1835000000.0,6910000000.0,6416000000.0,13326000000.0,0.0,2307000000.0,3343000000.0,3851000000.0,6158000000.0,7168000000.0,96000000.0,207000000.0,-68000000.0,-109000000.0,-115000000.0,-1933000000.0,17.65
2016-04-30,2450000000.0,1446000000.0,1004000000.0,193000000.0,425000000.0,320000000.0,0.29,521000000.0,425000000.0,1113000000.0,2640000000.0,1913000000.0,1924000000.0,6728000000.0,6347000000.0,13075000000.0,0.0,2611000000.0,3343000000.0,3899000000.0,6510000000.0,6565000000.0,96000000.0,481000000.0,-47000000.0,-5000000.0,-113000000.0,-968000000.0,20.47
2016-07-31,2821000000.0,1629000000.0,1192000000.0,210000000.0,596000000.0,505000000.0,0.47000000000000003,693000000.0,596000000.0,1083000000.0,3266000000.0,1852000000.0,2026000000.0,7399000000.0,6300000000.0,13699000000.0,0.0,2964000000.0,3343000000.0,3916000000.0,6880000000.0,6819000000.0,97000000.0,981000000.0,-50000000.0,-322000000.0,-108000000.0,-301000000.0,26.29
2016-10-31,3297000000.0,1898000000.0,1399000000.0,228000000.0,777000000.0,610000000.0,0.56,877000000.0,777000000.0,1107000000.0,3749000000.0,2279000000.0,2050000000.0,8353000000.0,6217000000.0,14570000000.0,0.0,3632000000.0,3125000000.0,3721000000.0,7353000000.0,7217000000.0,100000000.0,897000000.0,-88000000.0,11000000.0,-108000000.0,-330000000.0,29.08
2017-01-31,3278000000.0,1833000000.0,1445000000.0,221000000.0,807000000.0,703000000.0,0.65,904000000.0,807000000.0,1078000000.0,4147000000.0,2369000000.0,2281000000.0,9094000000.0,6150000000.0,15244000000.0,0.0,3808000000.0,3125000000.0,3749000000.0,7557000000.0,7687000000.0,97000000.0,792000000.0,-64000000.0,-367000000.0,-108000000.0,-340000000.0,34.25
2017-04-30,3546000000.0,1946000000.0,1600000000.0,223000000.0,940000000.0,824000000.0,0.76,1043000000.0,940000000.0,1078000000.0,6744000000.0,2381000000.0,2609000000.0,12018000000.0,6222000000.0,18240000000.0,0.0,4097000000.0,5302000000.0,5931000000.0,10028000000.0,8212000000.0,103000000.0,911000000.0,-77000000.0,-1281000000.0,-108000000.0,1823000000.0,40.61
