,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1088000000.0,643000000.0,445000000.0,179000000.0,-98000000.0,-146000000.0,-0.19,-32000000.0,-98000000.0,749000000.0,1003000000.0,645000000.0,613000000.0,2338000000.0,1459000000.0,3797000000.0,5000000.0,1321000000.0,2039000000.0,2061000000.0,3382000000.0,415000000.0,66000000.0,-155000000.0,158000000.0,47000000.0,0.0,0.0,2.55
2013-06-30,1161000000.0,702000000.0,459000000.0,171000000.0,-29000000.0,-74000000.0,-0.1,30000000.0,-29000000.0,752000000.0,968000000.0,670000000.0,711000000.0,2458000000.0,1439000000.0,3897000000.0,5000000.0,1451000000.0,2042000000.0,2087000000.0,3538000000.0,359000000.0,59000000.0,-35000000.0,-25000000.0,-74000000.0,0.0,2000000.0,4.08
2013-09-30,1461000000.0,940000000.0,521000000.0,155000000.0,95000000.0,48000000.0,0.06,152000000.0,95000000.0,757000000.0,1060000000.0,873000000.0,922000000.0,2939000000.0,1378000000.0,4317000000.0,5000000.0,1762000000.0,2044000000.0,2121000000.0,3883000000.0,434000000.0,57000000.0,21000000.0,42000000.0,186000000.0,0.0,2000000.0,3.81
2013-12-31,1589000000.0,1036000000.0,553000000.0,169000000.0,135000000.0,89000000.0,0.12,189000000.0,135000000.0,754000000.0,1097000000.0,832000000.0,884000000.0,2884000000.0,1453000000.0,4337000000.0,0.0,1618000000.0,1998000000.0,2175000000.0,3793000000.0,544000000.0,54000000.0,21000000.0,-21000000.0,296000000.0,0.0,9000000.0,3.87
2014-03-31,1397000000.0,910000000.0,487000000.0,156000000.0,49000000.0,-20000000.0,-0.03,102000000.0,49000000.0,761000000.0,902000000.0,840000000.0,869000000.0,2690000000.0,1418000000.0,4108000000.0,0.0,1384000000.0,2078000000.0,2213000000.0,3597000000.0,511000000.0,53000000.0,-204000000.0,-21000000.0,-131000000.0,0.0,20000000.0,4.01
2014-06-30,1441000000.0,943000000.0,498000000.0,154000000.0,63000000.0,-36000000.0,-0.05,116000000.0,63000000.0,764000000.0,948000000.0,872000000.0,960000000.0,2932000000.0,1314000000.0,4246000000.0,0.0,1505000000.0,2109000000.0,2240000000.0,3745000000.0,501000000.0,53000000.0,-28000000.0,-23000000.0,-43000000.0,0.0,20000000.0,4.19
2014-09-30,1429000000.0,935000000.0,494000000.0,150000000.0,63000000.0,17000000.0,0.02,112000000.0,63000000.0,770000000.0,938000000.0,973000000.0,897000000.0,3020000000.0,1305000000.0,4325000000.0,0.0,1566000000.0,2106000000.0,2224000000.0,3790000000.0,535000000.0,49000000.0,18000000.0,-29000000.0,119000000.0,0.0,0.0,3.41
2014-12-31,1239000000.0,879000000.0,360000000.0,144000000.0,-330000000.0,-364000000.0,-0.47000000000000003,-282000000.0,-330000000.0,768000000.0,1040000000.0,818000000.0,685000000.0,2736000000.0,1031000000.0,3767000000.0,0.0,1440000000.0,2035000000.0,2140000000.0,3580000000.0,187000000.0,48000000.0,116000000.0,-22000000.0,43000000.0,0.0,6000000.0,2.67
2015-03-31,1030000000.0,704000000.0,326000000.0,131000000.0,-137000000.0,-180000000.0,-0.23,-91000000.0,-137000000.0,777000000.0,906000000.0,771000000.0,688000000.0,2497000000.0,931000000.0,3428000000.0,0.0,1292000000.0,2033000000.0,2119000000.0,3411000000.0,17000000.0,46000000.0,-172000000.0,-22000000.0,-15000000.0,0.0,59000000.0,2.68
2015-06-30,942000000.0,710000000.0,232000000.0,134000000.0,-137000000.0,-181000000.0,-0.23,-92000000.0,-137000000.0,778000000.0,829000000.0,687000000.0,799000000.0,2451000000.0,930000000.0,3381000000.0,0.0,1399000000.0,2034000000.0,2123000000.0,3522000000.0,-141000000.0,45000000.0,-57000000.0,-17000000.0,211000000.0,0.0,-2000000.0,2.4
