,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,882853000.0,574074000.0,308779100.0,97608000.0,197235100.0,125146000.0,0.51,226073100.0,197235100.0,243285000.0,177335000.0,529182000.0,434044000.0,1214164000.0,3960311000.0,5174475000.0,208092000.0,799137000.0,1115603000.0,1753227000.0,2552364000.0,2622111000.0,28838000.0,156818000.0,-10921000.0,-6999000.0,-14567000.0,-126247000.0,43.36
2013-06-30,878809000.0,567598000.0,311211000.0,94912000.0,202613000.0,128321000.0,0.53,231171000.0,202613000.0,243666000.0,207614000.0,521547000.0,438912000.0,1243801000.0,3948733000.0,5192534000.0,125658000.0,679456000.0,1118086000.0,1755935000.0,2435391000.0,2757143000.0,28558000.0,128158000.0,-10692000.0,-10182000.0,-14588000.0,-87830000.0,42.3
2013-09-30,890006000.0,572125000.0,317881000.0,98969000.0,204686000.0,127864000.0,0.52,234231000.0,204686000.0,244049000.0,254878000.0,532092000.0,449133000.0,1308557000.0,4152665000.0,5461222000.0,164926000.0,732221000.0,1135164000.0,1794773000.0,2526994000.0,2934228000.0,29545000.0,166131000.0,-15534000.0,-166308000.0,-14604000.0,39394000.0,46.02
2013-12-31,942467800.0,609845100.0,332622700.0,106688000.0,210544700.0,135668000.0,0.55,242260700.0,210544700.0,243915000.0,295203000.0,536701000.0,452848000.0,1369129000.0,4508773000.0,5877902000.0,273315000.0,874545000.0,1141750000.0,1867236000.0,2741781000.0,3136121000.0,31716000.0,209552000.0,-26167000.0,-276844000.0,-14646000.0,104399000.0,52.67
2014-03-31,975292000.0,625170000.0,350122000.0,112625000.0,221631000.0,140586000.0,0.5700000000000001,254881000.0,221631000.0,244911000.0,265335000.0,592407000.0,483448000.0,1434171000.0,4654672000.0,6088843000.0,265069000.0,931805000.0,1142818000.0,1884406000.0,2816211000.0,3272632000.0,33250000.0,160961000.0,-14460000.0,-173585000.0,-14662000.0,-14914000.0,51.49
2014-06-30,990718000.0,630645000.0,360073000.0,113316000.0,231728000.0,150063000.0,0.61,264657000.0,231728000.0,245201000.0,282771000.0,594151000.0,538287000.0,1530670000.0,4954333000.0,6485003000.0,454418000.0,1121825000.0,1148248000.0,1941260000.0,3063085000.0,3421918000.0,32929000.0,155078000.0,-14828000.0,-312140000.0,-22024000.0,173045000.0,52.28
2014-09-30,1031811000.0,677739000.0,354072000.0,119205000.0,218143000.0,141811000.0,0.58,254764000.0,218143000.0,245439000.0,369613000.0,593452000.0,526674000.0,1590130000.0,4980931000.0,6571061000.0,163202000.0,831709000.0,1473482000.0,2271545000.0,3103254000.0,3467807000.0,36621000.0,196615000.0,-17991000.0,-131859000.0,-22040000.0,35804000.0,50.21
2014-12-31,1024143000.0,727187000.0,296956100.0,117491000.0,227084100.0,152000000.0,0.62,262868100.0,227084200.0,244885000.0,377615000.0,585462000.0,495896000.0,1578604000.0,4842359000.0,6420963000.0,286201000.0,936144000.0,1427825000.0,2245258000.0,3181402000.0,3239561000.0,35784000.0,213308000.0,-24048000.0,-24049000.0,-21825000.0,-169796000.0,52.63
2015-03-31,984059000.0,635965000.0,348094000.0,110884000.0,220952000.0,142107000.0,0.59,256212000.0,220952000.0,240947000.0,406587000.0,592301000.0,506086000.0,1608754000.0,4726486000.0,6335240000.0,254038000.0,898502000.0,1418638000.0,2172876000.0,3071378000.0,3263862000.0,35260000.0,121926000.0,-14372000.0,-14372000.0,-21642000.0,-53245000.0,52.54
2015-06-30,1003726000.0,633925000.0,369801000.0,112702000.0,240319000.0,155513000.0,0.64,277376000.0,240319000.0,241498000.0,326588000.0,619080000.0,541919000.0,1599342000.0,4958469000.0,6557811000.0,183903000.0,830131000.0,1481906000.0,2274346000.0,3104477000.0,3453334000.0,37057000.0,163462000.0,-11615000.0,-210426000.0,-21701000.0,-44960000.0,54.78
