,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2691000000.0,2691000000.0,1456000000.0,553000000.0,335000000.0,1.6099999999999999,809000000.0,751000000.0,208400000.0,3041000000.0,4383000000.0,7424000000.0,129872000000.0,137296000000.0,0.0,8047000000.0,7537000000.0,119632000000.0,127679000000.0,9617000000.0,58000000.0,-466000000.0,-14000000.0,389000000.0,-92000000.0,-114000000.0,73.65
2013-06-30,2749000000.0,2749000000.0,1507000000.0,462000000.0,321000000.0,1.57,718000000.0,660000000.0,204900000.0,3377000000.0,4651000000.0,8028000000.0,129230000000.0,137258000000.0,0.0,8385000000.0,7649000000.0,119891000000.0,128276000000.0,8982000000.0,58000000.0,373000000.0,-24000000.0,301000000.0,-105000000.0,-504000000.0,80.88
2013-09-30,2813000000.0,2813000000.0,1461000000.0,670000000.0,382000000.0,1.9,933000000.0,874000000.0,201300000.0,3465000000.0,4503000000.0,7968000000.0,132240000000.0,140208000000.0,0.0,8661000000.0,8189000000.0,122378000000.0,131039000000.0,9169000000.0,59000000.0,1199000000.0,-30000000.0,-833000000.0,-103000000.0,411000000.0,91.08
2013-12-31,2946000000.0,2946000000.0,1557000000.0,566000000.0,296000000.0,1.49,836000000.0,772000000.0,203200000.0,3051000000.0,4610000000.0,7661000000.0,136915000000.0,144576000000.0,0.0,8991000000.0,8456000000.0,126353000000.0,135344000000.0,9232000000.0,64000000.0,258000000.0,-37000000.0,-659000000.0,-101000000.0,-99000000.0,115.05
2014-03-31,2996000000.0,2996000000.0,1544000000.0,729000000.0,400000000.0,2.05,978000000.0,915000000.0,195500000.0,2899000000.0,4714000000.0,7613000000.0,138351000000.0,145964000000.0,0.0,8739000000.0,8866000000.0,127780000000.0,136519000000.0,9445000000.0,63000000.0,434000000.0,-20000000.0,-145000000.0,-100000000.0,-521000000.0,110.07
2014-06-30,3072000000.0,3072000000.0,1615000000.0,698000000.0,374000000.0,1.94,939000000.0,873000000.0,192700000.0,2859000000.0,4909000000.0,7768000000.0,141392000000.0,149160000000.0,0.0,8806000000.0,9195000000.0,130677000000.0,139483000000.0,9677000000.0,66000000.0,-70000000.0,-20000000.0,303000000.0,-111000000.0,-506000000.0,120.0
2014-09-30,3111000000.0,3111000000.0,1570000000.0,799000000.0,420000000.0,2.21,1031000000.0,967000000.0,190300000.0,3155000000.0,4895000000.0,8050000000.0,139143000000.0,147193000000.0,0.0,9174000000.0,9453000000.0,128679000000.0,137853000000.0,9340000000.0,64000000.0,1617000000.0,-49000000.0,-330000000.0,-108000000.0,-531000000.0,123.38
2014-12-31,3089000000.0,3089000000.0,1602000000.0,649000000.0,425000000.0,2.26,894000000.0,833000000.0,191600000.0,3028000000.0,5027000000.0,8055000000.0,140755000000.0,148810000000.0,0.0,9387000000.0,9929000000.0,130118000000.0,139505000000.0,9305000000.0,61000000.0,418000000.0,-24000000.0,-543000000.0,-107000000.0,-99000000.0,132.25
2015-03-31,3053000000.0,3053000000.0,1571000000.0,702000000.0,393000000.0,2.11,940000000.0,874000000.0,186300000.0,3147000000.0,5140000000.0,8287000000.0,143161000000.0,151448000000.0,0.0,9399000000.0,9845000000.0,132790000000.0,142189000000.0,9259000000.0,66000000.0,913000000.0,19000000.0,182000000.0,-107000000.0,-905000000.0,130.84
2015-06-30,3128000000.0,3128000000.0,1627000000.0,704000000.0,415000000.0,2.26,921000000.0,864000000.0,183800000.0,3041000000.0,5267000000.0,8308000000.0,140498000000.0,148806000000.0,0.0,9414000000.0,10408000000.0,130396000000.0,139810000000.0,8996000000.0,57000000.0,619000000.0,-86000000.0,-364000000.0,-122000000.0,-516000000.0,124.93
2015-09-30,2886000000.0,2886000000.0,1550000000.0,561000000.0,397000000.0,2.2,832000000.0,732000000.0,180400000.0,3570000000.0,5289000000.0,8859000000.0,136461000000.0,145320000000.0,0.0,9743000000.0,10945000000.0,126756000000.0,136499000000.0,8821000000.0,100000000.0,371000000.0,-42000000.0,-265000000.0,-461000000.0,119000000.0,109.13
2015-12-31,3103000000.0,3103000000.0,1610000000.0,562000000.0,357000000.0,2.02,752000000.0,727000000.0,181700000.0,2859000000.0,5274000000.0,8133000000.0,137206000000.0,145339000000.0,0.0,10486000000.0,10223000000.0,126474000000.0,136960000000.0,8379000000.0,25000000.0,788000000.0,-24000000.0,-62000000.0,225000000.0,-1094000000.0,106.42
2016-03-31,2765000000.0,2765000000.0,1497000000.0,530000000.0,364000000.0,2.11,741000000.0,676000000.0,172600000.0,2795000000.0,5295000000.0,8090000000.0,132160000000.0,140250000000.0,0.0,10330000000.0,5356000000.0,122827000000.0,133157000000.0,7093000000.0,65000000.0,616000000.0,-28000000.0,1000000.0,-115000000.0,-322000000.0,94.01
