,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,802728000.0,201766000.0,600962000.0,101153000.0,299686000.0,171407000.0,0.43,485490000.0,299686000.0,395239000.0,501443000.0,145446000.0,1129419000.0,13334320000.0,14463740000.0,57603000.0,487624000.0,8791520000.0,10194590000.0,10682220000.0,3781522000.0,185804000.0,394036000.0,-123905000.0,-376628000.0,0.0,34629000.0,76.92
2013-06-30,808830000.0,205709000.0,603121000.0,99803000.0,312812000.0,99821000.0,0.25,497420000.0,312812000.0,395420000.0,559981000.0,130861000.0,1167773000.0,13171620000.0,14339390000.0,57350000.0,531677000.0,8798604000.0,10187850000.0,10719530000.0,3619867000.0,184608000.0,390485000.0,-156700000.0,-225146000.0,-102984000.0,-129489000.0,73.17
2013-09-30,807880000.0,200829000.0,607051000.0,97781000.0,308879000.0,180123000.0,0.46,493801000.0,308879000.0,394759000.0,4199753000.0,152560000.0,4804897000.0,13376420000.0,18181320000.0,67276000.0,573960000.0,12578530000.0,13995440000.0,14569400000.0,3611917000.0,184922000.0,359922000.0,-167644000.0,-356864000.0,-106727000.0,3589619000.0,74.13
2013-12-31,941968800.0,251569000.0,690399700.0,116808000.0,292927700.0,99982000.0,0.25,545334800.0,292927900.0,395040000.0,465104000.0,151165000.0,1125442000.0,19158220000.0,20283660000.0,70132000.0,770009000.0,14408150000.0,15923620000.0,16693630000.0,3590040000.0,252407000.0,454604000.0,-276283000.0,-4214699000.0,-224976000.0,30806000.0,79.82
2014-03-31,984089000.0,260769000.0,723319900.0,110029000.0,353637000.0,202499000.0,0.51,599400000.0,353637000.0,395146000.0,529131000.0,227155000.0,1209888000.0,19207520000.0,20417410000.0,325170000.0,932290000.0,14009010000.0,15783510000.0,16715800000.0,3701605000.0,245763000.0,476582000.0,-213891000.0,-291056000.0,-554000.0,-152901000.0,81.87
2014-06-30,1031457000.0,272275000.0,759182000.0,98499000.0,402499000.0,230056000.0,0.58,647926000.0,402499000.0,395872000.0,457249000.0,174612000.0,1147036000.0,19700700000.0,20847740000.0,1225992000.0,1898972000.0,12749470000.0,14540600000.0,16439570000.0,4408164000.0,245427000.0,595800000.0,-252356000.0,-545749000.0,-126715000.0,-96331000.0,89.98
2014-09-30,1038188000.0,284202000.0,753986000.0,108909000.0,384807000.0,199893000.0,0.5,633873000.0,384807000.0,396243000.0,459857000.0,198119000.0,1186816000.0,19409800000.0,20596620000.0,960461000.0,1599617000.0,12973830000.0,14811680000.0,16411300000.0,4185314000.0,249066000.0,497224000.0,-257106000.0,-266605000.0,-134644000.0,-212605000.0,93.63
2014-12-31,1046314000.0,277019000.0,769294900.0,129105000.0,345979000.0,168574000.0,0.43,604655000.0,345978900.0,395958000.0,480000000.0,199074000.0,1254320000.0,20009240000.0,21263560000.0,897386000.0,1535853000.0,13642960000.0,15674360000.0,17210210000.0,4053352000.0,258676000.0,564983000.0,-251051000.0,-846138000.0,-142718000.0,327246000.0,98.85
2015-03-31,1079190000.0,264640000.0,814549900.0,123290000.0,419965900.0,183498000.0,0.45,683486000.0,419965900.0,405111000.0,467299000.0,175784000.0,1421198000.0,24509000000.0,25930190000.0,789152000.0,1331768000.0,14930950000.0,17166790000.0,18498550000.0,7431639000.0,263520000.0,509930000.0,-159184000.0,-5249419000.0,-152037000.0,4760127000.0,94.15
2015-06-30,1174375000.0,322458000.0,851917000.0,116338000.0,389774000.0,129274000.0,0.31,718130000.0,389774000.0,423154000.0,450238000.0,212919000.0,1399978000.0,25069750000.0,26469720000.0,38814000.0,655127000.0,16185210000.0,18441440000.0,19096570000.0,7373158000.0,328356000.0,526530000.0,-151938000.0,-830021000.0,-177729000.0,230090000.0,93.29
2015-09-30,1237910000.0,365389000.0,872521000.0,114832000.0,400925000.0,76218000.0,0.18,742021000.0,400925000.0,423375000.0,439815000.0,206154000.0,1434750000.0,25492040000.0,26926790000.0,45852000.0,969379900.0,16981560000.0,19273210000.0,20242590000.0,6684202000.0,341096000.0,507155000.0,-206896000.0,-1124837000.0,-186246000.0,642231000.0,87.98
2015-12-31,1280025000.0,356313000.0,923711900.0,143340000.0,402134800.0,205910000.0,0.49,761362900.0,402134800.0,418907000.0,462879000.0,227354000.0,1423136000.0,25481140000.0,26904270000.0,50202000.0,779001000.0,17068810000.0,19412450000.0,20191450000.0,6712818000.0,359228000.0,623285000.0,-210782000.0,-537423000.0,-194888000.0,-39348000.0,96.95
2016-03-31,1289047000.0,351445000.0,937602000.0,135315000.0,451853000.0,248378000.0,0.59,793487100.0,451853000.0,424059000.0,477268000.0,217457000.0,1448664000.0,25615650000.0,27064310000.0,137853000.0,757349000.0,16884240000.0,19306750000.0,20064100000.0,7000215000.0,341634000.0,563512000.0,-154222000.0,-185516000.0,-209984000.0,-366064000.0,102.37
2016-06-30,1442227000.0,459711000.0,982516100.0,138234000.0,432806000.0,160768000.0,0.38,830571000.0,432806000.0,424909000.0,553299000.0,285422000.0,1648008000.0,29092190000.0,30740200000.0,314063000.0,1203725000.0,18403010000.0,22696250000.0,23899970000.0,6840225000.0,397765000.0,747804000.0,-165205000.0,-1357885000.0,-216580000.0,696323000.0,113.61
2016-09-30,1514845000.0,491237000.0,1023608000.0,131537000.0,479074000.0,237728000.0,0.56,877072900.0,479074000.0,425517000.0,681013000.0,273907000.0,1768851000.0,28886680000.0,30655530000.0,242992000.0,1028609000.0,18436140000.0,22852640000.0,23881240000.0,6774281000.0,397999000.0,667115000.0,-155747000.0,-242801000.0,-225402000.0,-303532000.0,113.33
2016-12-31,1539581000.0,488007100.0,1051574000.0,138314000.0,489267500.0,202426000.0,0.48,895169400.0,489267200.0,425143000.0,940500000.0,308400000.0,2090400000.0,28788800000.0,30879200000.0,238800000.0,1135300000.0,18294700000.0,22767700000.0,23903000000.0,6976200000.0,405902000.0,723269000.0,-207326000.0,-316098000.0,-234134000.0,-126027000.0,105.68
2017-03-31,1616200000.0,492700000.0,1123500000.0,164800000.0,531399900.0,289300000.0,0.68,952499900.0,531399900.0,427279000.0,863550000.0,369972000.0,2096875000.0,29960510000.0,32057390000.0,1707330000.0,2657474000.0,17182750000.0,22015070000.0,24672550000.0,7384840000.0,421100000.0,678200000.0,-168100000.0,-920300000.0,-250400000.0,157900000.0,121.54
2017-06-30,1662500000.0,517200000.0,1145300000.0,153100000.0,576900000.0,344200000.0,0.81,973300000.0,576900000.0,427298000.0,914313000.0,322060000.0,2125226000.0,30012980000.0,32138210000.0,1732035000.0,2717653000.0,17509940000.0,22375440000.0,25093100000.0,7045115000.0,396400000.0,794600000.0,-203400000.0,-294200000.0,-264500000.0,-448500000.0,132.32
2017-09-30,1680700000.0,519800000.0,1160900000.0,148000000.0,561100000.0,298400000.0,0.7000000000000001,993400000.0,561100000.0,429281000.0,955707000.0,508626000.0,2395816000.0,29923510000.0,32319330000.0,687382000.0,1684441000.0,18581380000.0,23525250000.0,25209690000.0,7109633000.0,432300000.0,663800000.0,-183500000.0,-296000000.0,-274600000.0,-323300000.0,136.68
2017-12-31,1704500000.0,526900000.0,1177600000.0,171100000.0,329000500.0,219600000.0,0.51,815100500.0,329000000.0,428181000.0,955900000.0,513600000.0,2419600000.0,30794700000.0,33214300000.0,774800000.0,1938900000.0,19430300000.0,24447300000.0,26386200000.0,6828100000.0,486100000.0,789000000.0,-248600000.0,-1290400000.0,-283500000.0,500900000.0,142.67
2018-03-31,1741800000.0,519900000.0,1221900000.0,204900000.0,402900000.0,275800000.0,0.63,849200000.0,402900000.0,435124000.0,1668300000.0,557900000.0,3216500000.0,31156200000.0,34372700000.0,2803200000.0,3878300000.0,18568800000.0,23553100000.0,27431400000.0,6941300000.0,446300000.0,791800000.0,-198500000.0,-1280600000.0,-304300000.0,817300000.0,145.34
2018-06-30,1780900000.0,560300000.0,1220600000.0,157900000.0,546000000.0,306700000.0,0.6900000000000001,995700000.0,546000000.0,441497000.0,1050900000.0,506900000.0,2582300000.0,30623400000.0,33205700000.0,2791800000.0,3889400000.0,18322000000.0,23189700000.0,27079100000.0,6126600000.0,449700000.0,940000000.0,-226400000.0,-562400000.0,-331300000.0,-628900000.0,144.17
