,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,197732000.0,36234000.0,161498000.0,50013000.0,69549000.0,51023000.0,0.55,90232000.0,69549000.0,92908000.0,651481000.0,264097000.0,931608000.0,1668092000.0,2599700000.0,26574000.0,419306000.0,0.0,174506000.0,593812000.0,2005888000.0,20683000.0,95434000.0,-4087000.0,-4117000.0,0.0,-11883000.0,81.42
2013-06-30,214850000.0,36680000.0,178170000.0,55262000.0,78425000.0,55945000.0,0.6000000000000001,99127000.0,78425000.0,92860000.0,659864000.0,235147000.0,915484000.0,1660552000.0,2576036000.0,26574000.0,425666000.0,6258000.0,152535000.0,578201000.0,1997835000.0,20702000.0,87148000.0,-4593000.0,-8835000.0,0.0,-67513000.0,73.1
2013-09-30,212658000.0,35169000.0,177489000.0,51345000.0,81637000.0,62430000.0,0.67,101515000.0,81637000.0,92541000.0,707774000.0,228564000.0,959956000.0,1658323000.0,2618279000.0,0.0,386956000.0,11222000.0,143025000.0,529981000.0,2088298000.0,19878000.0,65440000.0,-5467000.0,-5469000.0,0.0,-16294000.0,86.52
2013-12-31,236020000.0,38609000.0,197411000.0,62287000.0,92252000.0,75929000.0,0.8200000000000001,111690000.0,92252000.0,92691000.0,742986000.0,298579000.0,1067596000.0,1654786000.0,2722382000.0,0.0,440431000.0,18136000.0,145705000.0,586136000.0,2136246000.0,19438000.0,84961000.0,-14701000.0,-14756000.0,0.0,-34069000.0,87.2
2014-03-31,215271000.0,37745000.0,177526000.0,53550000.0,79062000.0,56542000.0,0.61,98520000.0,79062000.0,92483000.0,858243000.0,252551000.0,1132262000.0,1660967000.0,2793229000.0,33000.0,441747000.0,23787000.0,142769000.0,584516000.0,2208713000.0,19458000.0,131639000.0,-4092000.0,-22533000.0,0.0,5501000.0,77.02
2014-06-30,232375000.0,38678000.0,193697000.0,62280000.0,83532000.0,63036000.0,0.68,103946000.0,83532000.0,92314000.0,783559000.0,256765000.0,1064657000.0,1734539000.0,2799196000.0,20000.0,447037000.0,29575000.0,132387000.0,579424000.0,2219772000.0,20414000.0,79833000.0,-7831000.0,-92035000.0,0.0,-64199000.0,75.82
2014-09-30,234000000.0,37194000.0,196806000.0,58172000.0,90808000.0,65479000.0,0.71,112159000.0,90808000.0,91875000.0,817470000.0,231322000.0,1075020000.0,1714018000.0,2789038000.0,0.0,407280000.0,32009000.0,126041000.0,533321000.0,2255717000.0,21351000.0,81562000.0,-8705000.0,-8746000.0,0.0,-23271000.0,75.67
2014-12-31,254375000.0,39769000.0,214606000.0,72374000.0,94048000.0,69633000.0,0.76,114749000.0,94048000.0,92067000.0,788778000.0,293537000.0,1082315000.0,1670564000.0,2752879000.0,0.0,465075000.0,0.0,70303000.0,535378000.0,2217501000.0,20701000.0,92273000.0,-5395000.0,-5956000.0,0.0,-103673000.0,82.0
2015-03-31,217781000.0,35888000.0,181893000.0,56749000.0,80058000.0,56132000.0,0.62,99486000.0,80058000.0,90059000.0,761183000.0,248805000.0,1029288000.0,1651806000.0,2681094000.0,0.0,444111000.0,0.0,85718000.0,529829000.0,2151265000.0,19428000.0,114120000.0,-3622000.0,-14166000.0,0.0,-111523000.0,88.19
2015-06-30,235485000.0,37785000.0,197700000.0,63524000.0,86495000.0,62335000.0,0.6900000000000001,106202000.0,86495000.0,89866000.0,841170000.0,246900000.0,1110355000.0,1635675000.0,2746030000.0,0.0,430310000.0,0.0,74415000.0,504725000.0,2241305000.0,19707000.0,66412000.0,-4060000.0,-4003000.0,0.0,12620000.0,91.24
2015-09-30,237840000.0,36581000.0,201259000.0,61367000.0,90183000.0,66033000.0,0.74,109830000.0,90183000.0,89694000.0,776923000.0,239630000.0,1045264000.0,1656302000.0,2701566000.0,0.0,411957000.0,0.0,78013000.0,489970000.0,2211596000.0,19647000.0,77795000.0,-3083000.0,-33490000.0,0.0,-106535000.0,88.14
2015-12-31,251647000.0,36992000.0,214655000.0,71963000.0,96943000.0,68021000.0,0.77,115831000.0,96943000.0,89561000.0,784614000.0,291812000.0,1076426000.0,1653478000.0,2729904000.0,0.0,484146000.0,0.0,51331000.0,535477000.0,2194427000.0,18888000.0,117372000.0,-5380000.0,-10373000.0,0.0,-94489000.0,92.5
2016-03-31,225906000.0,35285000.0,190621000.0,57769000.0,85022000.0,56468000.0,0.64,102454000.0,85022000.0,88114000.0,863877000.0,254802000.0,1118679000.0,1640149000.0,2758828000.0,0.0,474824000.0,0.0,50101000.0,524925000.0,2233903000.0,17432000.0,110723000.0,-2695000.0,-2691000.0,0.0,-38349000.0,89.46
2016-06-30,246069000.0,37011000.0,209058000.0,64259000.0,94155000.0,69628000.0,0.79,111599000.0,94155000.0,87638000.0,843765000.0,265977000.0,1109742000.0,1637919000.0,2747661000.0,0.0,467710000.0,0.0,44091000.0,511801000.0,2235860000.0,17444000.0,71649000.0,-3373000.0,-13633000.0,0.0,-79045000.0,90.75
2016-09-30,245862000.0,35586000.0,210276000.0,61537000.0,100099000.0,69557000.0,0.8,117543000.0,100099000.0,86959000.0,838272000.0,261879000.0,1100151000.0,1630206000.0,2730357000.0,0.0,454437000.0,0.0,46155000.0,500592000.0,2229765000.0,17444000.0,84399000.0,-2151000.0,-3250000.0,0.0,-88640000.0,92.61
2016-12-31,270628000.0,38978000.0,231650000.0,85950000.0,96966000.0,69983000.0,0.81,114233000.0,96966000.0,87227000.0,822860000.0,346541000.0,1169401000.0,1631125000.0,2800526000.0,0.0,539100000.0,0.0,53021000.0,592121000.0,2208405000.0,17267000.0,99209000.0,-4224000.0,-12599000.0,0.0,-82596000.0,92.49
2017-03-31,253405000.0,37031000.0,216374000.0,73417000.0,85472000.0,63306000.0,0.74,102063000.0,85472000.0,85456000.0,866556000.0,315513000.0,1182069000.0,1612624000.0,2794693000.0,0.0,528726000.0,0.0,54522000.0,583248000.0,2211445000.0,16591000.0,125893000.0,-4057000.0,-10885000.0,0.0,-78334000.0,106.87
2017-06-30,263924000.0,36338000.0,227586000.0,77051000.0,98394000.0,69730000.0,0.8200000000000001,114812000.0,98394000.0,85167000.0,863482000.0,282198000.0,1145680000.0,1615285000.0,2760965000.0,0.0,514787000.0,0.0,56763000.0,571550000.0,2189415000.0,16418000.0,112182000.0,-3445000.0,-14365000.0,0.0,-112368000.0,121.68
2017-09-30,275585000.0,35983000.0,239602000.0,80015000.0,106183000.0,73630000.0,0.87,123113000.0,106183000.0,84774000.0,926635000.0,275039000.0,1201674000.0,1644339000.0,2846013000.0,0.0,496352000.0,0.0,62407000.0,558759000.0,2287254000.0,16930000.0,88885000.0,-7313000.0,-36373000.0,0.0,5328000.0,122.73
2017-12-31,302336000.0,40812000.0,261524000.0,108157000.0,100679000.0,52585000.0,0.62,118418000.0,100679000.0,84988000.0,881787000.0,388479000.0,1270266000.0,1671357000.0,2941623000.0,0.0,608553000.0,0.0,87239000.0,695792000.0,2245831000.0,17739000.0,100700000.0,-4334000.0,-33042000.0,0.0,-109277000.0,147.59
2018-03-31,282873000.0,39038000.0,243835000.0,87809000.0,95061000.0,84280000.0,1.0,111674000.0,95061000.0,83931000.0,889768000.0,437561000.0,1327329000.0,1631837000.0,2959166000.0,0.0,442092000.0,0.0,109714000.0,551806000.0,2407360000.0,16613000.0,132421000.0,-2933000.0,-7236000.0,0.0,-129405000.0,156.69
2018-06-30,305913000.0,40450000.0,265463000.0,95058000.0,108553000.0,92596000.0,1.1,125678000.0,108553000.0,84105000.0,696163000.0,446822000.0,1142985000.0,1915265000.0,3058250000.0,0.0,435001000.0,0.0,115770000.0,550771000.0,2507479000.0,17125000.0,111121000.0,-3818000.0,-288017000.0,0.0,8196000.0,174.18
2018-09-30,289418000.0,36308000.0,253110000.0,97576000.0,93024000.0,89336000.0,1.06,106627000.0,93024000.0,84158000.0,729391000.0,398176000.0,1127567000.0,1928544000.0,3056111000.0,0.0,415439000.0,0.0,92126000.0,507565000.0,2548546000.0,13603000.0,109961000.0,-6326000.0,-6360000.0,0.0,-66074000.0,186.68
2018-12-31,415432100.0,40089000.0,375343100.0,133137000.0,179936000.0,153163000.0,1.83,191850000.0,179936000.0,83973000.0,777364000.0,533813000.0,1311177000.0,1954787000.0,3265964000.0,0.0,524767000.0,0.0,91650000.0,616417000.0,2649547000.0,11914000.0,131485000.0,-8685000.0,-10618000.0,0.0,-75392000.0,142.94
