,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2915000000.0,1725000000.0,1190000000.0,780000000.0,410000000.0,261000000.0,0.8200000000000001,568000000.0,410000000.0,316400000.0,408000000.0,2884000000.0,3292000000.0,26737000000.0,30029000000.0,802000000.0,2242000000.0,3770000000.0,20154000000.0,22396000000.0,7633000000.0,158000000.0,54000000.0,-60000000.0,-62000000.0,-50000000.0,120000000.0,61.5
2013-06-30,2897000000.0,1712000000.0,1185000000.0,803000000.0,382000000.0,241000000.0,0.77,540000000.0,382000000.0,313700000.0,266000000.0,2838000000.0,3104000000.0,26958000000.0,30062000000.0,427000000.0,1850000000.0,4012000000.0,20594000000.0,22444000000.0,7618000000.0,158000000.0,333000000.0,-62000000.0,-36000000.0,-61000000.0,-392000000.0,64.35
2013-09-30,2794000000.0,1666000000.0,1128000000.0,764000000.0,364000000.0,256000000.0,0.8300000000000001,521000000.0,364000000.0,309500000.0,369000000.0,2666000000.0,3035000000.0,26270000000.0,29305000000.0,1206000000.0,2729000000.0,3352000000.0,18986000000.0,21715000000.0,7590000000.0,157000000.0,597000000.0,-52000000.0,-41000000.0,-61000000.0,-447000000.0,74.44
2013-12-31,3209000000.0,1842000000.0,1367000000.0,852000000.0,515000000.0,355000000.0,1.16,677000000.0,515000000.0,311400000.0,477000000.0,2896000000.0,3373000000.0,26878000000.0,30251000000.0,703000000.0,2634000000.0,3686000000.0,19422000000.0,22056000000.0,8195000000.0,162000000.0,769000000.0,-55000000.0,-200000000.0,-40000000.0,-417000000.0,83.89
2014-03-31,2947000000.0,1751000000.0,1196000000.0,727000000.0,469000000.0,325000000.0,1.07,615000000.0,469000000.0,303500000.0,338000000.0,2880000000.0,3218000000.0,26859000000.0,30077000000.0,1077000000.0,2576000000.0,3669000000.0,19495000000.0,22071000000.0,8006000000.0,146000000.0,-11000000.0,-55000000.0,156000000.0,-53000000.0,-260000000.0,84.28
2014-06-30,2919000000.0,1708000000.0,1211000000.0,766000000.0,445000000.0,304000000.0,1.02,594000000.0,445000000.0,298500000.0,418000000.0,2803000000.0,3221000000.0,28555000000.0,31776000000.0,799000000.0,2297000000.0,5155000000.0,21720000000.0,24017000000.0,7759000000.0,149000000.0,344000000.0,-60000000.0,-102000000.0,-85000000.0,-189000000.0,90.09
2014-09-30,2880000000.0,1707000000.0,1173000000.0,756000000.0,417000000.0,309000000.0,1.06,568000000.0,417000000.0,292300000.0,382000000.0,2630000000.0,3012000000.0,25815000000.0,28827000000.0,660000000.0,2188000000.0,4840000000.0,19367000000.0,21555000000.0,7272000000.0,151000000.0,550000000.0,-64000000.0,-316000000.0,-81000000.0,-254000000.0,87.67
2014-12-31,3299000000.0,1848000000.0,1451000000.0,816000000.0,635000000.0,459000000.0,1.6,783000000.0,635000000.0,295500000.0,374000000.0,2815000000.0,3189000000.0,26583000000.0,29772000000.0,783000000.0,2588000000.0,4799000000.0,20553000000.0,23141000000.0,6631000000.0,148000000.0,929000000.0,-77000000.0,-283000000.0,-54000000.0,-600000000.0,94.83
2015-03-31,2847000000.0,1683000000.0,1164000000.0,723000000.0,441000000.0,328000000.0,1.15,577000000.0,441000000.0,284200000.0,378000000.0,2672000000.0,3050000000.0,25339000000.0,28389000000.0,966000000.0,2357000000.0,4710000000.0,19601000000.0,21958000000.0,6431000000.0,136000000.0,298000000.0,-62000000.0,2000000.0,-71000000.0,-257000000.0,96.12
2015-06-30,2805000000.0,1653000000.0,1152000000.0,875000000.0,277000000.0,178000000.0,0.63,413000000.0,277000000.0,284500000.0,367000000.0,2684000000.0,3051000000.0,26152000000.0,29203000000.0,1237000000.0,2605000000.0,4824000000.0,20142000000.0,22747000000.0,6456000000.0,136000000.0,280000000.0,-80000000.0,-203000000.0,-85000000.0,-84000000.0,99.68
2015-09-30,2742000000.0,1644000000.0,1098000000.0,685000000.0,413000000.0,295000000.0,1.05,547000000.0,413000000.0,280900000.0,398000000.0,2453000000.0,2851000000.0,24355000000.0,27206000000.0,1327000000.0,2774000000.0,4799000000.0,18490000000.0,21264000000.0,5942000000.0,134000000.0,717000000.0,-83000000.0,15000000.0,-84000000.0,-589000000.0,88.61
2015-12-31,1086000000.0,625000000.0,461000000.0,-1083000000.0,456000000.0,584000000.0,2.12,388000000.0,456000000.0,280800000.0,384000000.0,2564000000.0,2948000000.0,23935000000.0,26883000000.0,562000000.0,2334000000.0,5138000000.0,18490000000.0,20824000000.0,6059000000.0,-68000000.0,714000000.0,25000000.0,48000000.0,-83000000.0,-759000000.0,92.21
2016-03-31,2276000000.0,1345000000.0,931000000.0,271000000.0,420000000.0,325000000.0,1.16,495000000.0,420000000.0,271700000.0,465000000.0,2591000000.0,3056000000.0,23757000000.0,26813000000.0,695000000.0,2115000000.0,5902000000.0,19351000000.0,21466000000.0,5347000000.0,75000000.0,273000000.0,-37000000.0,-199000000.0,-82000000.0,-4000000.0,104.45
2016-06-30,2282000000.0,1396000000.0,886000000.0,232000000.0,387000000.0,300000000.0,1.01,466000000.0,387000000.0,268000000.0,438000000.0,2516000000.0,2954000000.0,23739000000.0,26693000000.0,251000000.0,1624000000.0,5907000000.0,19508000000.0,21132000000.0,5561000000.0,79000000.0,491000000.0,-31000000.0,115000000.0,-87000000.0,-640000000.0,109.23
2016-09-30,2201000000.0,1300000000.0,901000000.0,267000000.0,368000000.0,319000000.0,1.15,449000000.0,368000000.0,267500000.0,483000000.0,2391000000.0,2874000000.0,22378000000.0,25252000000.0,250000000.0,1727000000.0,5910000000.0,18031000000.0,19758000000.0,5494000000.0,81000000.0,711000000.0,-39000000.0,-287000000.0,-89000000.0,-371000000.0,112.49
2016-12-31,2650000000.0,1473000000.0,1177000000.0,266000000.0,636000000.0,452000000.0,1.8900000000000001,720000000.0,636000000.0,268100000.0,426000000.0,2106000000.0,2532000000.0,24083000000.0,26615000000.0,336000000.0,1940000000.0,5869000000.0,19143000000.0,21083000000.0,5532000000.0,84000000.0,851000000.0,-49000000.0,-583000000.0,-87000000.0,-271000000.0,111.53
