,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,509600000.0,330300000.0,179300000.0,120000000.0,59300000.0,39000000.0,0.21,73400000.0,59300000.0,185102000.0,451400000.0,423700000.0,169800000.0,1105800000.0,1161300000.0,2267100000.0,18600000.0,477100000.0,210500000.0,554300000.0,1031400000.0,1235700000.0,14100000.0,33300000.0,-18400000.0,29300000.0,-9400000.0,-22600000.0,18.39
2013-06-30,549100000.0,351100000.0,198000000.0,131600000.0,66400000.0,42100000.0,0.225,80300000.0,66400000.0,185312000.0,463900000.0,422600000.0,178900000.0,1125600000.0,1169600000.0,2295200000.0,8600000.0,490100000.0,200700000.0,548600000.0,1038700000.0,1256500000.0,13900000.0,71700000.0,-19800000.0,26900000.0,-11100000.0,-39400000.0,18.14
2013-09-30,536200000.0,339600000.0,196600000.0,133700000.0,62900000.0,46200000.0,0.25,77100000.0,62900000.0,184102000.0,476800000.0,436000000.0,189500000.0,1165000000.0,1183900000.0,2348900000.0,14400000.0,535200000.0,213400000.0,561100000.0,1096300000.0,1252600000.0,14200000.0,83000000.0,-27500000.0,-31300000.0,-11100000.0,-43700000.0,22.6
2013-12-31,558900100.0,359000100.0,199900100.0,139200000.0,60700200.0,42400000.0,0.23,78200200.0,60700000.0,184236000.0,486000000.0,458700000.0,193400000.0,1205600000.0,1185900000.0,2391500000.0,14200000.0,590900000.0,177700000.0,471900000.0,1062800000.0,1328700000.0,17500000.0,91600000.0,-32000000.0,-33100000.0,-11000000.0,-51900000.0,26.97
2014-03-31,552200000.0,356300000.0,195900000.0,130900000.0,65000000.0,46700000.0,0.255,79800000.0,65000000.0,182462000.0,472500000.0,455600000.0,197400000.0,1198200000.0,1183000000.0,2381200000.0,14000000.0,536500000.0,213000000.0,501300000.0,1037800000.0,1343400000.0,14800000.0,11800000.0,-25300000.0,-25400000.0,-13800000.0,2700000.0,23.01
2014-06-30,595400000.0,379200000.0,216200000.0,137400000.0,78800100.0,57300000.0,0.315,93600100.0,78800100.0,181018000.0,496600000.0,457000000.0,206800000.0,1233900000.0,1196800000.0,2430700000.0,14200000.0,550000000.0,236200000.0,524000000.0,1074000000.0,1356700000.0,14800000.0,78000000.0,-25500000.0,-25300000.0,-13600000.0,-28800000.0,24.79
2014-09-30,581600000.0,366300000.0,215300000.0,145500000.0,69800000.0,50600000.0,0.28,84600000.0,69800000.0,179890000.0,523700000.0,474300000.0,218500000.0,1294800000.0,1192000000.0,2486800000.0,13800000.0,587300000.0,240700000.0,524300000.0,1111600000.0,1375200000.0,14800000.0,74000000.0,-15200000.0,-34700000.0,-13600000.0,-32500000.0,23.64
2014-12-31,626800000.0,394899900.0,231900100.0,158300000.0,73600200.0,53200000.0,0.295,89000200.0,73600100.0,180587000.0,541900000.0,475400000.0,208300000.0,1319000000.0,1196300000.0,2515300000.0,13700000.0,605200000.0,210100000.0,528800000.0,1134000000.0,1381300000.0,15400000.0,100200000.0,-20100000.0,-120600000.0,-13400000.0,-60700000.0,28.2
2015-03-31,618500000.0,389300000.0,229200000.0,147200000.0,82000000.0,58400000.0,0.325,97600000.0,82000000.0,178872000.0,574900000.0,495900000.0,218800000.0,1376300000.0,1189000000.0,2565300000.0,48600000.0,595800000.0,255300000.0,564400000.0,1160200000.0,1405100000.0,15600000.0,-400000.0,-14900000.0,-82800000.0,-17100000.0,47900000.0,32.83
2015-06-30,653500000.0,391100000.0,262400000.0,159400000.0,103000000.0,71100000.0,0.395,119000000.0,103000000.0,178278000.0,552400000.0,528500000.0,233400000.0,1400000000.0,1189800000.0,2589800000.0,13400000.0,579100000.0,266200000.0,574200000.0,1153300000.0,1436500000.0,16000000.0,61600000.0,-16100000.0,-29800000.0,-16900000.0,-67800000.0,35.99
2015-09-30,625100000.0,369500000.0,255600000.0,149000000.0,106600000.0,73600000.0,0.41000000000000003,122300000.0,106600000.0,177396000.0,606400000.0,479000000.0,239000000.0,1413800000.0,1186400000.0,2600200000.0,13100000.0,624100000.0,247700000.0,553700000.0,1177800000.0,1422400000.0,15700000.0,175900000.0,-22100000.0,-48900000.0,-16900000.0,-92200000.0,32.6
2015-12-31,639400000.0,376800000.0,262600000.0,155100000.0,107500100.0,79800000.0,0.45,123200100.0,107500100.0,177622000.0,645200000.0,501400000.0,222900000.0,1403300000.0,1225900000.0,2629200000.0,12900000.0,653200000.0,236100000.0,533700000.0,1186900000.0,1442300000.0,15700000.0,114600000.0,-19600000.0,-24600000.0,-16900000.0,-49300000.0,38.31
2016-03-31,636900000.0,374200000.0,262700000.0,159400000.0,103300000.0,73500000.0,0.41500000000000004,119500000.0,103300000.0,175694000.0,640800000.0,506900000.0,230200000.0,1425900000.0,1224700000.0,2650600000.0,13200000.0,602000000.0,274100000.0,570100000.0,1172100000.0,1478500000.0,16200000.0,26500000.0,-19400000.0,-30500000.0,-21200000.0,-14100000.0,38.15
2016-06-30,667000000.0,383300000.0,283700000.0,160000000.0,123700000.0,87100000.0,0.49,139600000.0,123700000.0,174962000.0,667200000.0,493900000.0,237800000.0,1449000000.0,1223200000.0,2672200000.0,7400000.0,615600000.0,274600000.0,575900000.0,1191500000.0,1480700000.0,15900000.0,128600000.0,-18300000.0,-73100000.0,-21000000.0,-73600000.0,44.06
2016-09-30,683900000.0,400600000.0,283300000.0,164700000.0,118600000.0,83200000.0,0.47000000000000003,135200000.0,118600000.0,174410000.0,678800000.0,517300000.0,258600000.0,1507600000.0,1316800000.0,2824400000.0,7300000.0,682100000.0,328900000.0,616700000.0,1298800000.0,1525600000.0,16600000.0,108500000.0,-21000000.0,-142900000.0,-21000000.0,16300000.0,49.4
2016-12-31,698099900.0,413600000.0,284499900.0,178400000.0,106100000.0,82700000.0,0.47000000000000003,122500000.0,106099900.0,174713000.0,754600000.0,518700000.0,251100000.0,1562000000.0,1329000000.0,2891000000.0,7200000.0,765600000.0,316400000.0,610100000.0,1375700000.0,1515300000.0,16400000.0,183000000.0,-22000000.0,-53700000.0,-21000000.0,-68200000.0,47.35
2017-03-31,740000000.0,439100000.0,300900000.0,183200000.0,117700000.0,87700000.0,0.5,134600000.0,117700000.0,173380000.0,722300000.0,584100000.0,257100000.0,1605500000.0,1334700000.0,2940200000.0,7200000.0,720500000.0,362200000.0,653300000.0,1373800000.0,1566400000.0,16900000.0,-11500000.0,-16800000.0,-17900000.0,-24400000.0,-7600000.0,51.16
2017-06-30,738200000.0,434000000.0,304200000.0,178300000.0,125900000.0,92400000.0,0.53,143300000.0,125900000.0,172992000.0,740900000.0,566800000.0,287000000.0,1640300000.0,1343700000.0,2984000000.0,7400000.0,705800000.0,367700000.0,664500000.0,1370300000.0,1613700000.0,17400000.0,84700000.0,-19500000.0,-18300000.0,-24200000.0,-53200000.0,56.33
2017-09-30,749900000.0,444900000.0,305000000.0,176800000.0,128200000.0,93700000.0,0.54,145800000.0,128200000.0,172447000.0,767900000.0,587100000.0,292100000.0,1698100000.0,1406500000.0,3104600000.0,7500000.0,731700000.0,442200000.0,707000000.0,1438700000.0,1665900000.0,17600000.0,77000000.0,-30100000.0,-75300000.0,-24200000.0,13600000.0,59.43
2017-12-31,768599900.0,446300000.0,322299800.0,184500000.0,137799700.0,22700000.0,0.13,155999700.0,137799800.0,172666000.0,820000000.0,592700000.0,297000000.0,1766900000.0,1430500000.0,3197400000.0,7500000.0,793800000.0,402900000.0,758700000.0,1552500000.0,1644900000.0,18200000.0,176200000.0,-27800000.0,-46600000.0,-24100000.0,-104900000.0,61.28
2018-03-31,788000000.0,466500000.0,321500000.0,192900000.0,128600000.0,98800000.0,0.5700000000000001,146500000.0,128600000.0,171532000.0,679700000.0,638800000.0,287100000.0,1669100000.0,1437800000.0,3106900000.0,7400000.0,766900000.0,285800000.0,631600000.0,1398500000.0,1708400000.0,17900000.0,43200000.0,-17300000.0,34900000.0,-31000000.0,-182800000.0,63.59
