,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3946000000.0,73000000.0,3873000000.0,1063000000.0,1380000000.0,698000000.0,1.78,2692000000.0,1380000000.0,392000000.0,248000000.0,3106000000.0,885000000.0,4848000000.0,56944000000.0,61792000000.0,994000000.0,5562000000.0,11485000000.0,24243000000.0,29805000000.0,31987000000.0,1312000000.0,2621000000.0,-2765000000.0,-2592000000.0,-86000000.0,59000000.0,77.16
2013-06-30,4268000000.0,77000000.0,4191000000.0,1077000000.0,1648000000.0,1016000000.0,2.59,2998000000.0,1648000000.0,392000000.0,184000000.0,2914000000.0,973000000.0,4758000000.0,58592000000.0,63350000000.0,478000000.0,5158000000.0,12297000000.0,25471000000.0,30629000000.0,32721000000.0,1350000000.0,2759000000.0,-2776000000.0,-2772000000.0,-97000000.0,-51000000.0,83.83
2013-09-30,3900000000.0,81000000.0,3819000000.0,1068000000.0,641000000.0,300000000.0,0.75,2636000000.0,641000000.0,399000000.0,1251000000.0,3086000000.0,889000000.0,6016000000.0,54223000000.0,60239000000.0,57000000.0,4523000000.0,10868000000.0,22735000000.0,27258000000.0,32981000000.0,1995000000.0,1978000000.0,-2611000000.0,1030000000.0,-97000000.0,-1941000000.0,85.14
2013-12-31,2324000000.0,57000000.0,2267000000.0,695000000.0,239000000.0,174000000.0,0.44,1448000000.0,239000000.0,395000000.0,1906000000.0,2952000000.0,891000000.0,6366000000.0,55271000000.0,61637000000.0,53000000.0,4700000000.0,9672000000.0,21544000000.0,26244000000.0,35393000000.0,1209000000.0,2477000000.0,-1097000000.0,-2782000000.0,-80000000.0,960000000.0,85.94
2014-03-31,3675000000.0,70000000.0,3605000000.0,881000000.0,1429000000.0,236000000.0,0.6000000000000001,2635000000.0,1429000000.0,394000000.0,1643000000.0,2479000000.0,727000000.0,5463000000.0,55658000000.0,61121000000.0,0.0,4356000000.0,9673000000.0,21588000000.0,25944000000.0,35177000000.0,1206000000.0,2293000000.0,-2706000000.0,-1949000000.0,-79000000.0,-607000000.0,82.95
2014-06-30,3289000000.0,66000000.0,3223000000.0,850000000.0,911000000.0,505000000.0,1.31,2163000000.0,911000000.0,385000000.0,1302000000.0,2407000000.0,794000000.0,5126000000.0,56045000000.0,61171000000.0,1000000.0,4570000000.0,9674000000.0,21709000000.0,26279000000.0,34892000000.0,1252000000.0,2339000000.0,-372000000.0,-2542000000.0,-163000000.0,-916000000.0,100.62
2014-09-30,3441000000.0,67000000.0,3374000000.0,823000000.0,-317000000.0,-1330000000.0,-3.5,2418000000.0,-317000000.0,381000000.0,584000000.0,2287000000.0,713000000.0,4426000000.0,56564000000.0,60990000000.0,20000000.0,4307000000.0,10902000000.0,23697000000.0,28004000000.0,32986000000.0,2735000000.0,1896000000.0,-2891000000.0,-2450000000.0,-153000000.0,540000000.0,93.87
2014-12-31,1067000000.0,70000000.0,997000000.0,714000000.0,-8853000000.0,-7771000000.0,-12.78,-9520000000.0,-8853000000.0,384000000.0,769000000.0,2024000000.0,708000000.0,6415000000.0,49537000000.0,55952000000.0,0.0,3664000000.0,11245000000.0,24151000000.0,27815000000.0,28137000000.0,-667000000.0,1429000000.0,-4525000000.0,-1449000000.0,-110000000.0,189000000.0,62.67
2015-03-31,1630000000.0,56000000.0,1574000000.0,156000000.0,-7524000000.0,-4651000000.0,-12.34,778000000.0,-7524000000.0,377000000.0,229000000.0,1767000000.0,666000000.0,5906000000.0,42744000000.0,48650000000.0,2598000000.0,5493000000.0,9675000000.0,19752000000.0,25245000000.0,23405000000.0,8302000000.0,650000000.0,-1781000000.0,-2118000000.0,-115000000.0,928000000.0,60.33
2015-06-30,2246000000.0,49000000.0,2197000000.0,633000000.0,-186000000.0,-860000000.0,-14.83,-6868000000.0,-186000000.0,378000000.0,2950000000.0,1589000000.0,629000000.0,5493000000.0,29819000000.0,35312000000.0,0.0,2383000000.0,9676000000.0,15174000000.0,17557000000.0,17755000000.0,-6682000000.0,1132000000.0,-1105000000.0,4391000000.0,-114000000.0,-2712000000.0,57.63
