,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2484200000.0,1813600000.0,670600000.0,266600000.0,389700000.0,290400000.0,1.3900000000000001,615900000.0,389700000.0,208400000.0,401600000.0,1907000000.0,728100000.0,3379200000.0,13842000000.0,17221200000.0,96700000.0,3221600000.0,4644700000.0,7482200000.0,10703800000.0,6517400000.0,226200000.0,319800000.0,-346700000.0,-346400000.0,-132900000.0,-114400000.0,80.59
2013-06-30,2547300000.0,1875500000.0,671800000.0,271300000.0,383100100.0,288400000.0,1.38,612800100.0,383100100.0,209400000.0,418800000.0,2044300000.0,705900000.0,3480700000.0,14010600000.0,17491300000.0,76100000.0,3357700000.0,4648200000.0,7442200000.0,10799900000.0,6691400000.0,229700000.0,453000000.0,-389100000.0,-516000000.0,-147900000.0,82400000.0,84.71
2013-09-30,2586500000.0,1882900000.0,703600500.0,260200000.0,179199700.0,137100100.0,0.65,411799700.0,179199500.0,209700000.0,450400000.0,1976700000.0,706100000.0,3439100000.0,14411000000.0,17850100000.0,507400000.0,3227600000.0,5056300000.0,7423600000.0,10651200000.0,7198900000.0,232600000.0,501900000.0,-381400000.0,-478800000.0,-148800000.0,-9700000.0,98.58
2013-12-31,2545500000.0,1865900000.0,679600000.0,280900000.0,385599900.0,290200000.0,1.37,619799900.0,385599900.0,211800000.0,387600000.0,1977400000.0,693400000.0,3330100000.0,14585100000.0,17915200000.0,117000000.0,3145200000.0,5020800000.0,7347300000.0,10492500000.0,7422700000.0,234200000.0,546200000.0,-385600000.0,-385600000.0,-149900000.0,-238200000.0,103.4
2014-03-31,2581900000.0,1917600000.0,664299900.0,263400000.0,384700000.0,283500000.0,1.33,613799900.0,384700000.0,212400000.0,356900000.0,2044900000.0,665300000.0,3299900000.0,14663100000.0,17963000000.0,112400000.0,3110300000.0,4993200000.0,7324900000.0,10435200000.0,7527800000.0,229100000.0,478500000.0,-405400000.0,-405800000.0,-150300000.0,-99500000.0,110.12
2014-06-30,2634600000.0,1918700000.0,715900100.0,272000000.0,413800000.0,314000000.0,1.47,652800000.0,413800000.0,212900000.0,337600000.0,2038900000.0,690200000.0,3339800000.0,14976400000.0,18316200000.0,69800000.0,3156100000.0,4951000000.0,7303899000.0,10460000000.0,7856200000.0,239000000.0,559300000.0,-439900000.0,-438700000.0,-163500000.0,-145000000.0,118.98
2014-09-30,2677000000.0,1927700000.0,749299900.0,238399900.0,154999800.0,104000000.0,0.49,409599800.0,154999800.0,212700000.0,336600000.0,2009000000.0,706000000.0,3294800000.0,14484300000.0,17779100000.0,65300000.0,2963000000.0,4824500000.0,7294700000.0,10257700000.0,7521400000.0,254600000.0,606100000.0,-86200000.0,-86400000.0,-164000000.0,-21600000.0,120.43
2014-12-31,2560800000.0,1831000000.0,729800000.0,258200000.0,430000000.0,324600000.0,1.52,665500000.0,430000000.0,214200000.0,238800000.0,1969300000.0,709700000.0,3137200000.0,14498200000.0,17635400000.0,54200000.0,3001900000.0,4751300000.0,7130200000.0,10132100000.0,7503300000.0,235500000.0,486600000.0,-442800000.0,-463200000.0,-164400000.0,-111900000.0,133.42
2015-03-31,2414500000.0,1698200000.0,716300000.0,240300000.0,376899900.0,290000000.0,1.35,610199900.0,376899900.0,214900000.0,195700000.0,1951300000.0,693300000.0,3114500000.0,14379300000.0,17493800000.0,157700000.0,3081300000.0,4511500000.0,6936200000.0,10017500000.0,7476300000.0,233300000.0,500500000.0,-174900000.0,-187500000.0,-165000000.0,-144700000.0,139.94
2015-06-30,2470200000.0,1715200000.0,755000000.0,241500000.0,424800000.0,318800000.0,1.48,657800000.0,424800000.0,215200000.0,215300000.0,1992700000.0,681900000.0,3102300000.0,14569200000.0,17671500000.0,84900000.0,2918900000.0,4690500000.0,7021300000.0,9940200000.0,7731300000.0,233000000.0,687400000.0,-315800000.0,-322200000.0,-174000000.0,-272100000.0,126.58
2015-09-30,378799600.0,353800300.0,24999300.0,33000000.0,1499500.0,344500000.0,1.6,158199500.0,1499800.0,214900000.0,206400000.0,1749700000.0,657800000.0,2793500000.0,14541000000.0,17334500000.0,435600000.0,3644400000.0,3949100000.0,6309000000.0,9953400000.0,7381100000.0,156700000.0,372500000.0,-173600000.0,-173800000.0,-174100000.0,-431700000.0,118.02
2015-12-31,1866300000.0,1295900000.0,570400000.0,173900000.0,372500000.0,363600000.0,1.6800000000000002,587200000.0,372500000.0,215800000.0,279100000.0,1646000000.0,665600000.0,2779000000.0,14481300000.0,17260300000.0,407900000.0,3572400000.0,3870500000.0,6188900000.0,9761300000.0,7499000000.0,214700000.0,397200000.0,-217600000.0,-215700000.0,-174400000.0,-200200000.0,120.36
2016-03-31,1777400000.0,1213000000.0,564400000.0,167800000.0,371600100.0,-473300000.0,-2.19,585500100.0,371600100.0,216100000.0,313100000.0,1818200000.0,649800000.0,3031200000.0,13779600000.0,16810800000.0,763900000.0,3839100000.0,3573200000.0,5918600000.0,9757700000.0,7053100000.0,213900000.0,492800000.0,-216300000.0,-220700000.0,-174700000.0,-201600000.0,133.26
2016-06-30,1914500000.0,1320200000.0,594300000.0,168400000.0,394600100.0,346800000.0,1.6,608100100.0,394600100.0,216600000.0,514800000.0,2042900000.0,611100000.0,3378800000.0,13704700000.0,17083500000.0,715100000.0,3658900000.0,3925600000.0,6244400000.0,9903300000.0,7180200000.0,213500000.0,632200000.0,-222900000.0,-222100000.0,-185800000.0,-254100000.0,131.4
2016-09-30,1945500000.0,1348200000.0,597300400.0,173700000.0,396400400.0,394000000.0,1.81,608900400.0,396400400.0,216400000.0,1293200000.0,1684400000.0,255000000.0,4317300000.0,13711300000.0,18028600000.0,365400000.0,3283100000.0,3909700000.0,7532100000.0,10815200000.0,7213400000.0,212500000.0,736600000.0,-206300000.0,-206300000.0,-186300000.0,-204300000.0,139.07
2016-12-31,1882500000.0,1316700000.0,565800000.0,164700000.0,328300000.0,299800000.0,1.38,534400000.0,328300000.0,217700000.0,655500000.0,1063300000.0,330700000.0,3548800000.0,12407400000.0,15956200000.0,873300000.0,2929800000.0,3289000000.0,5765300000.0,8695100000.0,7261100000.0,206100000.0,574300000.0,-227800000.0,-238100000.0,-186900000.0,-974500000.0,143.82
2017-03-31,1980100000.0,1403800000.0,576299900.0,177600000.0,395599900.0,2130000000.0,9.78,607399800.0,395599900.0,217900000.0,3292500000.0,1538300000.0,322800000.0,5294100000.0,12577400000.0,17871500000.0,420500000.0,2602300000.0,3300400000.0,5849000000.0,8451300000.0,9420200000.0,211800000.0,286900000.0,-290900000.0,-1714300000.0,-187100000.0,-687300000.0,135.29
2017-06-30,2121900000.0,1486000000.0,635899900.0,184100000.0,258700100.0,101900000.0,0.47000000000000003,475600100.0,258700100.0,218100000.0,3348700000.0,1532900000.0,293300000.0,5347000000.0,12506800000.0,17853800000.0,416000000.0,2433200000.0,3366600000.0,5910700000.0,8343900000.0,9509900000.0,216900000.0,752200000.0,-267400000.0,141600000.0,-206900000.0,-192600000.0,143.06
2017-09-30,2203100000.0,1545000000.0,658100100.0,187100000.0,457399700.0,468700000.0,2.15,688399700.0,457400000.0,218000000.0,3677600000.0,1577300000.0,335400000.0,5876700000.0,12590500000.0,18467200000.0,416400000.0,2489000000.0,3402400000.0,5792700000.0,8281700000.0,10185500000.0,231000000.0,915000000.0,-211100000.0,398800000.0,-207000000.0,-186500000.0,151.22
2017-12-31,2216600000.0,1571800000.0,644800000.0,191600000.0,460700100.0,154600000.0,0.71,688600100.0,460700100.0,218900000.0,3129700000.0,1605100000.0,347400000.0,5355500000.0,12853300000.0,18208800000.0,11300000.0,1831600000.0,3414900000.0,6056000000.0,7887600000.0,10321200000.0,227900000.0,560000000.0,-246000000.0,-480800000.0,-207500000.0,-641100000.0,164.08
2018-03-31,2155700000.0,1506500000.0,649200000.0,194600000.0,455400000.0,416400000.0,1.9,695400000.0,455400000.0,219400000.0,3203900000.0,1622800000.0,339900000.0,5396300000.0,13114800000.0,18511100000.0,11600000.0,1752300000.0,3442400000.0,6065600000.0,7817900000.0,10693200000.0,240000000.0,546000000.0,-292100000.0,-60000000.0,-208000000.0,-174500000.0,159.03
2018-06-30,2259000000.0,1545400000.0,713600000.0,188600000.0,515800000.0,473900000.0,2.16,761400000.0,515800000.0,219500000.0,2993800000.0,1541600000.0,322100000.0,5055500000.0,14150500000.0,19206000000.0,5000000.0,2109800000.0,3775800000.0,6286200000.0,8396000000.0,10810000000.0,245600000.0,750200000.0,-574200000.0,-491000000.0,-241100000.0,-282200000.0,155.73
2018-09-30,2298900000.0,1565800000.0,733099900.0,185999900.0,533700300.0,452900000.0,2.06,790900300.0,533700400.0,219300000.0,2976000000.0,1580500000.0,396100000.0,5082200000.0,14096100000.0,19178300000.0,406600000.0,2338300000.0,3351700000.0,5663700000.0,8002000000.0,11176300000.0,257200000.0,691000000.0,-407300000.0,-609800000.0,-241200000.0,-262000000.0,167.05
2018-12-31,2224000000.0,1544000000.0,680000000.0,189600000.0,455000000.0,347500000.0,1.58,713000000.0,455000000.0,219900000.0,2935600000.0,1676000000.0,403400000.0,5089900000.0,14052100000.0,19142000000.0,430300000.0,2303500000.0,3314600000.0,5635100000.0,7938600000.0,11203400000.0,258000000.0,655200000.0,-402300000.0,-226500000.0,-241500000.0,-289800000.0,160.05
2019-03-31,2187700000.0,1474700000.0,713000000.0,190000000.0,516500000.0,421300000.0,1.9100000000000001,778600000.0,516500000.0,220200000.0,2738500000.0,1646000000.0,408300000.0,4895200000.0,14349300000.0,19244500000.0,434500000.0,2073000000.0,3302200000.0,5668100000.0,7741100000.0,11503400000.0,262100000.0,630600000.0,-557400000.0,-655600000.0,-241600000.0,-170000000.0,190.96
2019-06-30,2224000000.0,1466000000.0,758000000.0,188500000.0,569700100.0,488000000.0,2.21,838800100.0,569700100.0,220600000.0,2696800000.0,1712900000.0,408300000.0,4915200000.0,14616700000.0,19531900000.0,466500000.0,2155200000.0,3273300000.0,5650100000.0,7805300000.0,11726600000.0,269100000.0,717600000.0,-547900000.0,-553400000.0,-255300000.0,-201000000.0,226.37
2019-09-30,2283200000.0,1490800000.0,792400100.0,181900000.0,603000200.0,503200000.0,2.2800000000000002,896600300.0,603000600.0,220300000.0,2414700000.0,1737900000.0,388300000.0,4618300000.0,14324500000.0,18942800000.0,40400000.0,1820900000.0,3227400000.0,5733600000.0,7554500000.0,11388300000.0,293600000.0,966500000.0,-471000000.0,-677900000.0,-255600000.0,-709700000.0,221.86
2019-12-31,2254700000.0,1486600000.0,768100000.0,201700000.0,561000100.0,475600000.0,2.15,850200100.0,561000100.0,220900000.0,2406100000.0,1814700000.0,400600000.0,4719700000.0,14931900000.0,19651600000.0,39100000.0,1819000000.0,3265600000.0,5902800000.0,7721800000.0,11929800000.0,289200000.0,667000000.0,-432500000.0,-260700000.0,-255700000.0,-270300000.0,234.99
2020-03-31,2216300000.0,1460100000.0,756200100.0,201700000.0,577200200.0,477800000.0,2.16,871900200.0,577200200.0,221200000.0,2220100000.0,1939100000.0,399700000.0,4688500000.0,14812700000.0,19501200000.0,38400000.0,1806900000.0,3245200000.0,5970600000.0,7777500000.0,11723700000.0,294700000.0,571500000.0,-430100000.0,-445700000.0,-256000000.0,-267500000.0,199.61
