,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1079805000.0,741913000.0,337892000.0,130935000.0,206957000.0,153007000.0,0.24,239549000.0,206957000.0,638952000.0,1021902000.0,861598000.0,711581000.0,2725671000.0,2488290000.0,5213961000.0,92190000.0,815014000.0,1596050000.0,1881880000.0,2696894000.0,2517067000.0,32592000.0,180254000.0,-28883000.0,-63938000.0,0.0,-65060000.0,18.66
2013-06-30,1136067000.0,776279000.0,359788000.0,135775000.0,224013100.0,153988000.0,0.24,258183100.0,224013100.0,638820000.0,1142552000.0,905823000.0,703489000.0,2874470000.0,2529831000.0,5404301000.0,83599000.0,815559000.0,1698951000.0,1991482000.0,2807041000.0,2597260000.0,34170000.0,180552000.0,-35742000.0,-211963000.0,-16756000.0,22428000.0,19.49
2013-09-30,1153062000.0,789214000.0,363848000.0,136828000.0,224483000.0,160798000.0,0.2525,259252000.0,224483000.0,634662000.0,1283581000.0,926194000.0,732724000.0,3077535000.0,2563146000.0,5640681000.0,84987000.0,893201000.0,1784539000.0,2080960000.0,2974161000.0,2666520000.0,34769000.0,196918000.0,-39031000.0,-14353000.0,-16716000.0,-32699000.0,19.34
2013-12-31,1245766000.0,856494000.0,389272300.0,144462000.0,241347400.0,167907000.0,0.265,276316400.0,241347200.0,636400000.0,1192200000.0,1001000000.0,792600000.0,3157600000.0,3010400000.0,6168000000.0,701400000.0,1609900000.0,1431400000.0,1678000000.0,3287900000.0,2880100000.0,34969000.0,211376000.0,-51044000.0,-403046000.0,-63328000.0,183831000.0,22.3
2014-03-31,1246100000.0,857200000.0,388900000.0,154800000.0,232100000.0,158500000.0,0.2525,272000000.0,232100000.0,630114000.0,1299453000.0,971576000.0,772710000.0,3204467000.0,3025736000.0,6230203000.0,701045000.0,1556204000.0,1522570000.0,1778137000.0,3334341000.0,2895862000.0,39900000.0,202700000.0,-53700000.0,-38400000.0,0.0,-21000000.0,22.91
2014-06-30,1314200000.0,897400000.0,416799900.0,161000000.0,255799900.0,174900000.0,0.2775,293499900.0,255799900.0,628458000.0,1443900000.0,1031071000.0,805452000.0,3462385000.0,3054915000.0,6517300000.0,800670000.0,1711793000.0,1542891000.0,1806918000.0,3518711000.0,2998589000.0,37700000.0,180600000.0,-50800000.0,-148200000.0,-31400000.0,18700000.0,24.08
2014-09-30,1358700000.0,927100000.0,431600000.0,161300000.0,267799900.0,182200000.0,0.29,308199900.0,267799900.0,626568000.0,1244617000.0,1092424000.0,848072000.0,3372572000.0,3479197000.0,6851769000.0,600803000.0,1555397000.0,2023178000.0,2298712000.0,3854109000.0,2997660000.0,40400000.0,224100000.0,-56000000.0,-510300000.0,-70500000.0,94600000.0,24.97
2014-12-31,1426500000.0,970000100.0,456500100.0,168000000.0,278900000.0,193500000.0,0.31,329000000.0,278900300.0,626200000.0,1329600000.0,1123700000.0,865600000.0,3452200000.0,3533700000.0,6985900000.0,1600000.0,1045600000.0,2654600000.0,3002400000.0,4048000000.0,2937900000.0,50100000.0,273500000.0,-43000000.0,-85000000.0,0.0,-78200000.0,26.91
2015-03-31,1327100000.0,902500000.0,424600000.0,164400000.0,260200000.0,179800000.0,0.29,300300000.0,260200000.0,620000000.0,1351100000.0,1091800000.0,871400000.0,3533800000.0,3491800000.0,7025600000.0,1600000.0,925700000.0,2757000000.0,3120700000.0,4046400000.0,2979200000.0,40100000.0,188300000.0,-39700000.0,-136300000.0,-77500000.0,-37700000.0,29.47
2015-06-30,1351500000.0,919000000.0,432500000.0,166100000.0,260700100.0,179000000.0,0.29,304100100.0,260700100.0,617800000.0,1397200000.0,1089500000.0,893000000.0,3592800000.0,3635900000.0,7228700000.0,400000.0,984700000.0,2759200000.0,3141200000.0,4125900000.0,3102800000.0,43400000.0,234500000.0,-43200000.0,87800000.0,0.0,-52000000.0,28.99
2015-09-30,1459600000.0,995600000.0,464000000.0,169200000.0,294800000.0,204500000.0,0.33,339400100.0,294800000.0,617800000.0,1597700000.0,1163300000.0,887700000.0,3862300000.0,3623300000.0,7485600000.0,400000.0,1081300000.0,2853000000.0,3222900000.0,4304200000.0,3181400000.0,44600000.0,285400000.0,-41200000.0,62200000.0,-38600000.0,7200000.0,25.48
2015-12-31,1430500000.0,972100100.0,458400000.0,169400000.0,288999800.0,200200000.0,0.325,332499800.0,289000100.0,618200000.0,1760400000.0,1104600000.0,851800000.0,3850000000.0,3608400000.0,7458400000.0,300000.0,1008400000.0,2813200000.0,3171600000.0,4180000000.0,3278400000.0,43500000.0,322300000.0,-39300000.0,-41000000.0,-43200000.0,-97600000.0,26.11
2016-03-31,1451200000.0,992000000.0,459200000.0,189500000.0,239399900.0,156600000.0,0.255,301299900.0,239399900.0,615200000.0,713600000.0,1201900000.0,933500000.0,2989600000.0,4900400000.0,7890000000.0,300000.0,1069600000.0,2866200000.0,3396200000.0,4465800000.0,3424200000.0,61900000.0,194200000.0,-38300000.0,-1227100000.0,-43200000.0,-29800000.0,28.91
2016-06-30,1548200000.0,1050900000.0,497299900.0,197000000.0,300299900.0,206500000.0,0.335,350799900.0,300299900.0,616400000.0,824700000.0,1257300000.0,926600000.0,3158100000.0,4868900000.0,8027000000.0,300000.0,1100000000.0,2834600000.0,3353100000.0,4453100000.0,3573900000.0,50500000.0,243600000.0,-47400000.0,-52200000.0,-43100000.0,-69600000.0,28.67
2016-09-30,1635900000.0,1098600000.0,537300000.0,204700000.0,326300000.0,224300000.0,0.365,377500100.0,326300000.0,617800000.0,1016900000.0,1319400000.0,926600000.0,3405200000.0,4964600000.0,8369800000.0,374500000.0,1513500000.0,2598000000.0,3101600000.0,4615100000.0,3754700000.0,51200000.0,290900000.0,-46600000.0,-265600000.0,-43100000.0,31400000.0,32.46
2016-12-31,1651100000.0,1104900000.0,546200200.0,207000000.0,339200000.0,235500000.0,0.38,392599900.0,339199800.0,616600000.0,1173200000.0,1349300000.0,928900000.0,3591200000.0,4907500000.0,8498700000.0,375200000.0,1635200000.0,2635500000.0,3140400000.0,4775600000.0,3723100000.0,53400000.0,348900000.0,-51400000.0,-67800000.0,-43300000.0,-65500000.0,33.6
2017-03-31,1560100000.0,1044200000.0,515900000.0,201800000.0,314100000.0,224900000.0,0.365,368200000.0,314100000.0,613200000.0,1279700000.0,1318300000.0,962300000.0,3722400000.0,4985000000.0,8707400000.0,375100000.0,1583300000.0,2862100000.0,3373000000.0,4956300000.0,3751100000.0,54100000.0,237800000.0,-48400000.0,8900000.0,-49300000.0,-53700000.0,35.58
