,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,4024000000.0,3339000000.0,685000000.0,230000000.0,397000000.0,276000000.0,0.88,531000000.0,397000000.0,314680000.0,834000000.0,2795000000.0,1148000000.0,5387000000.0,4886000000.0,10273000000.0,103000000.0,3674000000.0,2375000000.0,3702000000.0,7376000000.0,2897000000.0,134000000.0,149000000.0,-211000000.0,-205000000.0,-61000000.0,-216000000.0,37.22
2013-06-30,4240000000.0,3464000000.0,776000000.0,241000000.0,483000000.0,367000000.0,1.18,618000000.0,483000000.0,311930000.0,1006000000.0,2868000000.0,1162000000.0,5633000000.0,4918000000.0,10551000000.0,59000000.0,3809000000.0,2367000000.0,3700000000.0,7509000000.0,3042000000.0,135000000.0,523000000.0,-121000000.0,-122000000.0,-53000000.0,-224000000.0,42.49
2013-09-30,4017000000.0,3338000000.0,679000000.0,228000000.0,387000000.0,271000000.0,0.88,527000000.0,387000000.0,309680000.0,1058000000.0,2856000000.0,1233000000.0,5787000000.0,5024000000.0,10811000000.0,59000000.0,3857000000.0,2359000000.0,3731000000.0,7588000000.0,3223000000.0,140000000.0,398000000.0,-156000000.0,-168000000.0,-71000000.0,-192000000.0,48.97
2013-12-31,2770000000.0,2133000000.0,637000000.0,217000000.0,360000000.0,298000000.0,0.97,461000000.0,360000000.0,310820000.0,1393000000.0,2662000000.0,1093000000.0,5752000000.0,5295000000.0,11047000000.0,61000000.0,3894000000.0,2351000000.0,3719000000.0,7613000000.0,3434000000.0,101000000.0,680000000.0,-84000000.0,-160000000.0,-81000000.0,-190000000.0,50.4
2014-03-31,3897000000.0,3164000000.0,733000000.0,248000000.0,440000000.0,320000000.0,1.05,576000000.0,440000000.0,305850000.0,985000000.0,3066000000.0,1235000000.0,5880000000.0,5302000000.0,11182000000.0,31000000.0,3930000000.0,2418000000.0,3758000000.0,7688000000.0,3494000000.0,136000000.0,136000000.0,-271000000.0,-300000000.0,-84000000.0,-241000000.0,56.88
2014-06-30,4062000000.0,3262000000.0,800000000.0,261000000.0,462000000.0,382000000.0,1.26,600000000.0,462000000.0,302680000.0,1171000000.0,3049000000.0,1262000000.0,6082000000.0,5370000000.0,11452000000.0,32000000.0,3998000000.0,2420000000.0,3770000000.0,7768000000.0,3684000000.0,138000000.0,627000000.0,-141000000.0,-166000000.0,-76000000.0,-278000000.0,57.62
2014-09-30,3762000000.0,3041000000.0,721000000.0,259000000.0,392000000.0,305000000.0,1.02,531000000.0,392000000.0,298590000.0,1028000000.0,2839000000.0,1227000000.0,5682000000.0,5241000000.0,10923000000.0,37000000.0,3844000000.0,2417000000.0,3700000000.0,7544000000.0,3379000000.0,139000000.0,499000000.0,-182000000.0,-191000000.0,-129000000.0,-430000000.0,51.42
2014-12-31,3778000000.0,3004000000.0,774000000.0,268000000.0,464000000.0,344000000.0,1.17,600000000.0,464000000.0,294110000.0,860000000.0,2400000000.0,1013000000.0,5224000000.0,5497000000.0,10721000000.0,34000000.0,3889000000.0,2392000000.0,3819000000.0,7708000000.0,3013000000.0,136000000.0,873000000.0,-170000000.0,-529000000.0,-85000000.0,-449000000.0,60.96
2015-03-31,3797000000.0,3056000000.0,741000000.0,255000000.0,446000000.0,209000000.0,0.72,576000000.0,446000000.0,290900000.0,559000000.0,2677000000.0,1081000000.0,5687000000.0,4777000000.0,10464000000.0,44000000.0,3818000000.0,2673000000.0,3983000000.0,7801000000.0,2663000000.0,130000000.0,135000000.0,-213000000.0,-250000000.0,-86000000.0,-167000000.0,66.84
2015-06-30,3858000000.0,3076000000.0,782000000.0,261000000.0,481000000.0,645000000.0,2.23,619000000.0,481000000.0,287770000.0,1172000000.0,2700000000.0,1150000000.0,5934000000.0,4875000000.0,10809000000.0,43000000.0,3772000000.0,2693000000.0,4016000000.0,7788000000.0,3021000000.0,138000000.0,534000000.0,-144000000.0,458000000.0,-72000000.0,-377000000.0,71.32
2015-09-30,3631000000.0,2862000000.0,769000000.0,249000000.0,461000000.0,404000000.0,1.43,595000000.0,461000000.0,282970000.0,436000000.0,2615000000.0,1187000000.0,5054000000.0,5738000000.0,10792000000.0,424000000.0,4028000000.0,2698000000.0,3990000000.0,8018000000.0,2774000000.0,134000000.0,339000000.0,-175000000.0,-943000000.0,-121000000.0,-133000000.0,63.74
2015-12-31,3879000000.0,3161000000.0,718000000.0,252000000.0,335000000.0,192000000.0,0.6900000000000001,288000000.0,335000000.0,279290000.0,536000000.0,2750000000.0,1181000000.0,5121000000.0,6852000000.0,11973000000.0,52000000.0,3927000000.0,3956000000.0,5313000000.0,9240000000.0,2733000000.0,-47000000.0,695000000.0,36000000.0,-964000000.0,-70000000.0,393000000.0,71.86
2016-03-31,4051000000.0,3262000000.0,789000000.0,277000000.0,444000000.0,425000000.0,1.53,609000000.0,444000000.0,276620000.0,464000000.0,2934000000.0,1287000000.0,5082000000.0,6989000000.0,12071000000.0,368000000.0,4061000000.0,3985000000.0,5366000000.0,9427000000.0,2644000000.0,165000000.0,268000000.0,-239000000.0,-224000000.0,-92000000.0,-166000000.0,62.88
2016-06-30,4206000000.0,3346000000.0,860000000.0,278000000.0,394000000.0,258000000.0,0.9400000000000001,586000000.0,394000000.0,272920000.0,438000000.0,2900000000.0,1318000000.0,5051000000.0,6906000000.0,11957000000.0,97000000.0,3899000000.0,3969000000.0,5288000000.0,9187000000.0,2770000000.0,192000000.0,575000000.0,-165000000.0,-166000000.0,-79000000.0,-429000000.0,52.47
2016-09-30,4091000000.0,3253000000.0,838000000.0,278000000.0,463000000.0,293000000.0,1.08,639000000.0,463000000.0,272190000.0,397000000.0,2983000000.0,1375000000.0,5147000000.0,6975000000.0,12122000000.0,36000000.0,3841000000.0,4038000000.0,5360000000.0,9201000000.0,2921000000.0,176000000.0,415000000.0,-196000000.0,-197000000.0,-91000000.0,-265000000.0,59.78
