,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,150083000.0,45186000.0,104897000.0,11648000.0,47420000.0,22442000.0,0.36,96086000.0,47420000.0,63161000.0,117009000.0,9261000.0,126270000.0,6964649000.0,7090919000.0,0.0,367153000.0,3184530000.0,3243019000.0,3610172000.0,3480747000.0,48666000.0,47241000.0,-59042000.0,-69524000.0,-35687000.0,-31509000.0,70.98
2013-06-30,153930000.0,46277000.0,107653000.0,12455000.0,48854000.0,25483000.0,0.38,97153000.0,48854000.0,66973000.0,333119000.0,7577000.0,340696000.0,7038593000.0,7379289000.0,0.0,368249000.0,2959424000.0,3026070000.0,3394319000.0,3984970000.0,48299000.0,96900000.0,-138070000.0,-146948000.0,-38245000.0,267034000.0,65.72
2013-09-30,158315000.0,47684000.0,110631000.0,11666000.0,50099000.0,24579000.0,0.35000000000000003,101004000.0,50099000.0,70900000.0,84493000.0,8671000.0,93164000.0,7265205000.0,7358369000.0,0.0,452139000.0,2870843000.0,2939731000.0,3391870000.0,3966499000.0,50905000.0,92235000.0,-175750000.0,-174645000.0,-46435000.0,-168668000.0,63.85
2013-12-31,168823000.0,49892000.0,118931000.0,12751000.0,58096100.0,36247000.0,0.51,108153100.0,58096100.0,68038000.0,85405000.0,9918000.0,95323000.0,7434441000.0,7529764000.0,0.0,435342000.0,3061061000.0,3129925000.0,3565267000.0,3964497000.0,50057000.0,76351000.0,-188628000.0,-200258000.0,-48709000.0,130713000.0,63.62
2014-03-31,176186000.0,52507000.0,123679000.0,13224000.0,60034000.0,32709000.0,0.46,112405000.0,60034000.0,71073000.0,105424000.0,10619000.0,116043000.0,7639996000.0,7756039000.0,0.0,443893000.0,3251781000.0,3322054000.0,3765947000.0,3990092000.0,52371000.0,73259000.0,-153925000.0,-162719000.0,-48714000.0,106474000.0,72.56
2014-06-30,176402000.0,52353000.0,124049000.0,13836000.0,52899000.0,27932000.0,0.39,112269000.0,52899000.0,71126000.0,86220000.0,10654000.0,96874000.0,7718775000.0,7815649000.0,0.0,434528000.0,3334861000.0,3406619000.0,3841147000.0,3974502000.0,59370000.0,71232000.0,-136784000.0,-110458000.0,-50153000.0,25380000.0,77.64
2014-09-30,185615000.0,57423000.0,128192000.0,12609000.0,57195000.0,27626000.0,0.39,117576000.0,57195000.0,71195000.0,91268000.0,10830000.0,102098000.0,7918216000.0,8020314000.0,0.0,504535000.0,3501115000.0,3573012000.0,4077547000.0,3942767000.0,60381000.0,110633000.0,-123772000.0,-201162000.0,-51673000.0,98126000.0,73.75
2014-12-31,188674000.0,56881000.0,131793000.0,13861000.0,59959100.0,-16154000.0,-0.23,120114000.0,59959000.0,71170000.0,112895000.0,10548000.0,123443000.0,8012593000.0,8136036000.0,0.0,489085000.0,3678579000.0,3751708000.0,4240793000.0,3895243000.0,60155000.0,79201000.0,-129599000.0,-160490000.0,-51846000.0,101332000.0,88.74
2015-03-31,196753000.0,61223000.0,135530000.0,14387000.0,62223000.0,17786000.0,0.25,122962000.0,62223000.0,71366000.0,147345000.0,10627000.0,157972000.0,8247249000.0,8405221000.0,0.0,645619000.0,3903926000.0,3977032000.0,4622651000.0,3782570000.0,60739000.0,106841000.0,-130954000.0,-170052000.0,-53295000.0,67671000.0,98.04
2015-06-30,204156000.0,62250000.0,141906000.0,14989000.0,64746000.0,31291000.0,0.44,128700000.0,64746000.0,71412000.0,112808000.0,9279000.0,122087000.0,8402805000.0,8524891000.0,0.0,531612000.0,4092966000.0,4168408000.0,4700020000.0,3824871000.0,63954000.0,44559000.0,-140386000.0,-145988000.0,-53308000.0,79448000.0,87.46
