,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1308996000.0,876245000.0,432751000.0,165393000.0,210178000.0,116425000.0,1.28,268286000.0,210178000.0,90530000.0,65547000.0,485601000.0,197356000.0,1002420000.0,6951310000.0,7953730000.0,0.0,926766000.0,2455514000.0,4483494000.0,5410260000.0,2543470000.0,58108000.0,346483000.0,-199090000.0,-201517000.0,-32016000.0,-204020000.0,42.69
2013-06-30,857935000.0,541438000.0,316496900.0,171972000.0,86395900.0,38768000.0,0.43,144524900.0,86395900.0,90603000.0,31979000.0,350237000.0,209101000.0,682253000.0,7120545000.0,7802798000.0,0.0,720580000.0,2455593000.0,4500774000.0,5221354000.0,2581444000.0,58129000.0,133234000.0,-193356000.0,-39772000.0,-32052000.0,-127030000.0,41.06
2013-09-30,674373900.0,373933900.0,300440000.0,189866000.0,50382900.0,7536000.0,0.08,110573900.0,50382900.0,90533000.0,66199000.0,301992000.0,244741000.0,677133000.0,7257135000.0,7934268000.0,0.0,978486000.0,2455671000.0,4375373000.0,5353859000.0,2580409000.0,60191000.0,103552000.0,-109537000.0,-264325000.0,-32055000.0,194993000.0,42.59
2013-12-31,1243858000.0,854900900.0,388957100.0,157768000.0,170720100.0,86784000.0,0.96,231189100.0,170720100.0,91841000.0,194563000.0,661213000.0,286542000.0,1299570000.0,7316521000.0,8616091000.0,500000000.0,2013501000.0,1955750000.0,3941276000.0,5954777000.0,2661314000.0,60469000.0,34300000.0,-180567000.0,-186434000.0,-33984000.0,280498000.0,45.42
2014-03-31,1964854000.0,1468577000.0,496277100.0,184890000.0,250080100.0,133033000.0,1.4,311387100.0,250080100.0,96174000.0,136740000.0,671021000.0,124950000.0,1059161000.0,7428455000.0,8487616000.0,500000000.0,1363392000.0,1955829000.0,3999463000.0,5362855000.0,3124761000.0,61307000.0,456681000.0,-178442000.0,-177479000.0,-37396000.0,-337025000.0,47.13
2014-06-30,943170000.0,583637000.0,359533000.0,188973000.0,106605000.0,45615000.0,0.45,170560000.0,106605000.0,101162000.0,51421000.0,388874000.0,207458000.0,774643000.0,7582546000.0,8357189000.0,500000000.0,1155697000.0,1955907000.0,4084807000.0,5240504000.0,3116685000.0,63955000.0,139229000.0,-193591000.0,-189307000.0,-37426000.0,-35241000.0,53.4
2014-09-30,789034100.0,451375200.0,337658900.0,185459000.0,83944000.0,23674000.0,0.24,152200000.0,83944000.0,97606000.0,42258000.0,343400000.0,278917000.0,775840000.0,7818864000.0,8594704000.0,0.0,910650000.0,2455986000.0,4597822000.0,5508472000.0,3086232000.0,68256000.0,102603000.0,-271841000.0,-271759000.0,-37442000.0,159993000.0,47.7
2014-12-31,1258765000.0,835480000.0,423285000.0,167967000.0,187725000.0,97595000.0,0.96,255318000.0,187725000.0,101581000.0,123832000.0,607421000.0,277916000.0,1118764000.0,7996329000.0,9115093000.0,0.0,1420611000.0,2455131000.0,4630557000.0,6051168000.0,3063925000.0,67593000.0,27415000.0,-261313000.0,-262052000.0,-39592000.0,316211000.0,55.74
2015-03-31,1540068000.0,1019330000.0,520738000.0,202506000.0,250210100.0,137684000.0,1.35,318232100.0,250210100.0,101746000.0,95525000.0,511830000.0,143154000.0,817637000.0,8109007000.0,8926644000.0,0.0,1018502000.0,2455217000.0,4768448000.0,5786950000.0,3139694000.0,68022000.0,513433000.0,-180331000.0,-180938000.0,-38482000.0,-360802000.0,55.3
2015-06-30,686401000.0,304728000.0,381673000.0,195622000.0,117607000.0,56170000.0,0.55,186051000.0,117607000.0,102000000.0,43153000.0,301743000.0,213151000.0,616649000.0,8267840000.0,8884489000.0,0.0,916577000.0,2455303000.0,4729657000.0,5646234000.0,3238255000.0,68444000.0,176734000.0,-225839000.0,-225612000.0,-38571000.0,-3494000.0,51.28
2015-09-30,656902000.0,-863863000.0,1520765000.0,180575000.0,1271841000.0,23515000.0,0.23,1342578000.0,656902000.0,102239100.0,28653000.0,295160000.0,236603000.0,626306000.0,8448767000.0,9075072000.0,0.0,1154823000.0,2437515000.0,4725452000.0,5880275000.0,3194797000.0,70737000.0,94332000.0,-296138000.0,-288000000.0,-43373000.0,179168000.0,58.18
2015-12-31,674753000.0,240326000.0,434427000.0,171042000.0,192729000.0,102861000.0,1.0,263968000.0,192729000.0,102713000.0,78903000.0,456904000.0,236017000.0,863270000.0,8691383000.0,9554653000.0,0.0,1515056000.0,2455474000.0,4767488000.0,6282544000.0,3272109000.0,71239000.0,70141000.0,-290412000.0,-290293000.0,-43636000.0,270402000.0,63.04
