,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,576000000.0,300000000.0,276000000.0,53000000.0,124000000.0,125000000.0,0.51,165000000.0,124000000.0,246000000.0,1151000000.0,266000000.0,208000000.0,1713000000.0,1179000000.0,2892000000.0,0.0,277000000.0,2000000.0,97000000.0,374000000.0,2518000000.0,41000000.0,185000000.0,-67000000.0,-76000000.0,-42000000.0,-42000000.0,35.77
2013-04-30,562000000.0,290000000.0,272000000.0,52000000.0,118000000.0,113000000.0,0.46,160000000.0,118000000.0,246000000.0,1219000000.0,271000000.0,229000000.0,1818000000.0,1221000000.0,3039000000.0,0.0,330000000.0,2000000.0,98000000.0,428000000.0,2611000000.0,42000000.0,188000000.0,-47000000.0,-84000000.0,-47000000.0,-36000000.0,31.96
2013-07-31,644000000.0,340000000.0,304000000.0,57000000.0,140000000.0,142000000.0,0.5700000000000001,186000000.0,140000000.0,248000000.0,863000000.0,365000000.0,284000000.0,1641000000.0,1563000000.0,3204000000.0,0.0,380000000.0,1000000.0,98000000.0,478000000.0,2726000000.0,46000000.0,137000000.0,-65000000.0,-438000000.0,-52000000.0,-55000000.0,36.68
2013-10-31,738000000.0,392000000.0,346000000.0,60000000.0,170000000.0,172000000.0,0.6900000000000001,229000000.0,170000000.0,247000000.0,985000000.0,418000000.0,285000000.0,1818000000.0,1597000000.0,3415000000.0,0.0,414000000.0,0.0,115000000.0,529000000.0,2886000000.0,59000000.0,212000000.0,-57000000.0,-54000000.0,-57000000.0,-36000000.0,45.43
2014-01-31,709000000.0,370000000.0,339000000.0,74000000.0,139000000.0,134000000.0,0.54,196000000.0,139000000.0,249000000.0,1112000000.0,323000000.0,286000000.0,1859000000.0,1613000000.0,3472000000.0,0.0,364000000.0,1000000.0,116000000.0,480000000.0,2992000000.0,57000000.0,229000000.0,-52000000.0,-52000000.0,-62000000.0,-50000000.0,54.64
2014-04-30,701000000.0,344000000.0,357000000.0,67000000.0,160000000.0,158000000.0,0.63,221000000.0,160000000.0,251000000.0,1278000000.0,319000000.0,301000000.0,2034000000.0,1637000000.0,3671000000.0,0.0,416000000.0,0.0,101000000.0,517000000.0,3154000000.0,61000000.0,251000000.0,-73000000.0,-59000000.0,-68000000.0,-26000000.0,63.5
2014-07-31,1269000000.0,876000000.0,393000000.0,137000000.0,-162000000.0,-164000000.0,-0.65,102000000.0,-162000000.0,252000000.0,1277000000.0,590000000.0,482000000.0,3840000000.0,6422000000.0,10262000000.0,46000000.0,940000000.0,5472000000.0,6224000000.0,7164000000.0,3098000000.0,264000000.0,314000000.0,-95000000.0,-5739000000.0,-73000000.0,5424000000.0,69.38
2014-10-31,1590000000.0,802000000.0,788000000.0,129000000.0,301000000.0,135000000.0,0.53,558000000.0,301000000.0,251000000.0,1604000000.0,782000000.0,519000000.0,3835000000.0,6656000000.0,10491000000.0,46000000.0,1016000000.0,5463000000.0,6232000000.0,7248000000.0,3243000000.0,257000000.0,381000000.0,-189000000.0,-35000000.0,-81000000.0,-19000000.0,86.25
2015-01-31,1635000000.0,809000000.0,826000000.0,117000000.0,401000000.0,351000000.0,1.38,634000000.0,401000000.0,255000000.0,2569000000.0,718000000.0,500000000.0,4098000000.0,6599000000.0,10697000000.0,46000000.0,845000000.0,5454000000.0,6224000000.0,7069000000.0,3628000000.0,233000000.0,481000000.0,-136000000.0,514000000.0,-89000000.0,-30000000.0,102.88
2015-04-30,1614000000.0,768000000.0,846000000.0,108000000.0,418000000.0,344000000.0,1.33,655000000.0,418000000.0,258000000.0,2508000000.0,758000000.0,490000000.0,4076000000.0,6456000000.0,10532000000.0,46000000.0,906000000.0,4852000000.0,5565000000.0,6471000000.0,4061000000.0,237000000.0,663000000.0,-140000000.0,-149000000.0,-99000000.0,-575000000.0,116.88
2015-07-31,1735000000.0,851000000.0,884000000.0,143000000.0,299000000.0,240000000.0,0.91,559000000.0,299000000.0,265000000.0,1354000000.0,809000000.0,507000000.0,3169000000.0,6819000000.0,9988000000.0,46000000.0,952000000.0,3915000000.0,4755000000.0,5707000000.0,4281000000.0,260000000.0,592000000.0,-148000000.0,-542000000.0,-104000000.0,-1204000000.0,125.14
2015-10-31,1840000000.0,843000000.0,997000000.0,118000000.0,514000000.0,429000000.0,1.55,768000000.0,514000000.0,264000000.0,1822000000.0,1019000000.0,524000000.0,3759000000.0,6756000000.0,10515000000.0,46000000.0,1119000000.0,3826000000.0,4682000000.0,5801000000.0,4714000000.0,254000000.0,582000000.0,-59000000.0,-64000000.0,-116000000.0,-50000000.0,123.13
2016-01-31,1771000000.0,830000000.0,941000000.0,114000000.0,475000000.0,377000000.0,1.3599999999999999,723000000.0,475000000.0,277000000.0,2169000000.0,1060000000.0,490000000.0,3971000000.0,6806000000.0,10777000000.0,46000000.0,862000000.0,3892000000.0,4794000000.0,5656000000.0,5121000000.0,248000000.0,474000000.0,-140000000.0,-85000000.0,-122000000.0,-42000000.0,133.71
2016-04-30,3541000000.0,2495000000.0,1046000000.0,238000000.0,-1001000000.0,-1186000000.0,-3.02,52000000.0,-1001000000.0,392000000.0,2041000000.0,1857000000.0,1467000000.0,6687000000.0,44720000000.0,51407000000.0,344000000.0,2651000000.0,14664000000.0,25994000000.0,28645000000.0,22762000000.0,1053000000.0,622000000.0,-158000000.0,-10207000000.0,-204000000.0,9457000000.0,145.75
2016-07-31,3792000000.0,2010000000.0,1782000000.0,230000000.0,-264000000.0,-298000000.0,-0.75,804000000.0,-264000000.0,396000000.0,1961000000.0,2181000000.0,1306000000.0,6048000000.0,43704000000.0,49752000000.0,334000000.0,2728000000.0,13381000000.0,24520000000.0,27248000000.0,22504000000.0,1068000000.0,963000000.0,-227000000.0,426000000.0,-211000000.0,-1469000000.0,161.98
2016-10-31,4136000000.0,1965000000.0,2171000000.0,224000000.0,381000000.0,-632000000.0,-1.5899999999999999,1090000000.0,381000000.0,366000000.0,3097000000.0,2181000000.0,1400000000.0,7125000000.0,42841000000.0,49966000000.0,454000000.0,3078000000.0,13188000000.0,25012000000.0,28090000000.0,21876000000.0,709000000.0,1352000000.0,-193000000.0,26000000.0,-213000000.0,-242000000.0,170.28
2017-01-31,4139000000.0,2138000000.0,2001000000.0,201000000.0,506000000.0,239000000.0,0.6000000000000001,1628000000.0,506000000.0,399000000.0,3536000000.0,1947000000.0,1336000000.0,7350000000.0,42267000000.0,49617000000.0,0.0,2122000000.0,13562000000.0,25485000000.0,27607000000.0,22010000000.0,1122000000.0,1353000000.0,-325000000.0,-319000000.0,-431000000.0,-595000000.0,199.5
2017-04-30,4190000000.0,2214000000.0,1976000000.0,204000000.0,474000000.0,440000000.0,1.09,1673000000.0,474000000.0,403000000.0,4454000000.0,2073000000.0,1311000000.0,8468000000.0,41381000000.0,49849000000.0,0.0,2052000000.0,13567000000.0,25454000000.0,27506000000.0,22343000000.0,1199000000.0,1583000000.0,-256000000.0,-493000000.0,-437000000.0,-372000000.0,220.81
2017-07-31,4463000000.0,2314000000.0,2149000000.0,200000000.0,648000000.0,481000000.0,1.18,1864000000.0,648000000.0,407000000.0,5449000000.0,2417000000.0,1431000000.0,9943000000.0,39999000000.0,49942000000.0,0.0,2218000000.0,13572000000.0,25020000000.0,27238000000.0,22704000000.0,1216000000.0,1656000000.0,-254000000.0,-258000000.0,-438000000.0,-403000000.0,246.66
