,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,636137000.0,0.0,636137000.0,372349000.0,164233000.0,57643000.0,0.32,263882000.0,164233000.0,177327000.0,52804000.0,195988000.0,31150000.0,491850000.0,14277360000.0,14769220000.0,115924000.0,958332000.0,5202595000.0,9301222000.0,10259550000.0,4509662000.0,99649000.0,149625000.0,-212806000.0,-227710000.0,0.0,74833000.0,41.44
2013-06-30,724265000.0,0.0,724265000.0,381126000.0,241887000.0,101263000.0,0.5700000000000001,342502000.0,241887000.0,177716000.0,40086000.0,244674000.0,33819000.0,545840000.0,14431540000.0,14977380000.0,113864000.0,1049306000.0,5198326000.0,9355945000.0,10405250000.0,4572126000.0,100615000.0,140572000.0,-216444000.0,-231677000.0,-49744000.0,90290000.0,41.23
2013-09-30,822190000.0,0.0,822190000.0,395761000.0,323166000.0,150665000.0,0.85,424778000.0,323166000.0,177965000.0,57883000.0,271654000.0,35053000.0,613220000.0,14615230000.0,15228450000.0,113661000.0,1141473000.0,5191712000.0,9454041000.0,10595510000.0,4632932000.0,101612000.0,398479000.0,-234976000.0,-259980000.0,-49810000.0,-126411000.0,41.28
2013-12-31,696408000.0,0.0,696408000.0,373764000.0,218714100.0,59429000.0,0.33,323838000.0,218713900.0,178000000.0,55469000.0,213881000.0,32973000.0,571807000.0,14516330000.0,15088140000.0,14174000.0,1235533000.0,5230058000.0,9124805000.0,10360340000.0,4727804000.0,105124000.0,207324000.0,-314774000.0,-333633000.0,-49446000.0,121288000.0,42.26
2014-03-31,679003000.0,0.0,679003000.0,385847000.0,187442000.0,68123000.0,0.38,293171000.0,187442000.0,178539000.0,59340000.0,233706000.0,35242000.0,687994000.0,14586830000.0,15274820000.0,14901000.0,1197699000.0,5224639000.0,9276035000.0,10473730000.0,4801087000.0,105729000.0,244874000.0,-192223000.0,-205200000.0,-49968000.0,-35883000.0,45.4
2014-06-30,754778000.0,0.0,754778000.0,394651000.0,254787000.0,109299000.0,0.61,360998000.0,254787000.0,178863000.0,53670000.0,246202000.0,36845000.0,707635000.0,14718810000.0,15426450000.0,15030000.0,1234911000.0,5233508000.0,9318410000.0,10553320000.0,4873126000.0,106211000.0,205741000.0,-208893000.0,-232974000.0,-55422000.0,28611000.0,49.45
2014-09-30,846169000.0,0.0,846169000.0,402155000.0,337285000.0,152185000.0,0.85,444395000.0,337285000.0,178992000.0,94168000.0,259302000.0,37203000.0,756961000.0,14958690000.0,15715650000.0,55581000.0,1058935000.0,5556606000.0,9737061000.0,10796000000.0,4919652000.0,107110000.0,389647000.0,-263755000.0,-283167000.0,-55458000.0,-64485000.0,48.23
2014-12-31,731050000.0,0.0,731050000.0,403347000.0,223486000.0,93393000.0,0.52,328436000.0,223486000.0,179000000.0,23000000.0,232000000.0,37000000.0,575000000.0,15463000000.0,16038000000.0,61000000.0,1241000000.0,5442000000.0,9882000000.0,11123000000.0,4915000000.0,104950000.0,256738000.0,-277129000.0,-292659000.0,-55152000.0,-15243000.0,53.3
2015-03-31,698000000.0,0.0,698000000.0,388000000.0,204000000.0,80000000.0,0.45,311000000.0,204000000.0,179000000.0,45321000.0,239733000.0,38622000.0,729019000.0,15534510000.0,16263530000.0,61149000.0,1227548000.0,5443197000.0,10043040000.0,11270590000.0,4992938000.0,107000000.0,198000000.0,-225000000.0,-246000000.0,-56000000.0,49000000.0,54.21
2015-06-30,782000000.0,0.0,782000000.0,396000000.0,278000000.0,123000000.0,0.6900000000000001,387000000.0,278000000.0,180000000.0,165590000.0,249143000.0,38332000.0,890085000.0,15842250000.0,16732330000.0,61962000.0,1512188000.0,5447530000.0,10166750000.0,11678940000.0,5053390000.0,109000000.0,220000000.0,-249000000.0,-321000000.0,-61000000.0,222000000.0,48.63
