,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-02-28,1855198000.0,893217000.0,961981000.0,644410000.0,317571000.0,176247000.0,4.86,371879000.0,317571000.0,36258000.0,115548000.0,160420000.0,2758543000.0,3123368000.0,3538820000.0,6662188000.0,484533000.0,4231808000.0,3513273000.0,3980489000.0,8212297000.0,-1550109000.0,54308000.0,192590000.0,-88737000.0,-204190000.0,0.0,26792000.0,380.15
2013-05-31,2205878000.0,1063165000.0,1142713000.0,686683000.0,456029900.0,265583000.0,7.39,510869900.0,456029900.0,35922000.0,133685000.0,155550000.0,2796782000.0,3178323000.0,3604718000.0,6783041000.0,0.0,3836049000.0,4001100000.0,4479334000.0,8315383000.0,-1532342000.0,54840000.0,385021000.0,-82800000.0,-84326000.0,0.0,-283745000.0,408.83
2013-08-31,3095414000.0,1491039000.0,1604375000.0,968153900.0,636221200.0,371198000.0,10.59,709922200.0,636221200.0,35943000.0,142191000.0,171638000.0,2861014000.0,3278013000.0,3614076000.0,6892089000.0,173733000.0,4169150000.0,4013267000.0,4410258000.0,8579408000.0,-1687319000.0,73701000.0,519147000.0,-153181000.0,-153188000.0,0.0,-354210000.0,419.94
2013-11-30,2093578000.0,1007881000.0,1085697000.0,701971000.0,383725800.0,218087000.0,6.39,441208800.0,383725800.0,34111000.0,125852000.0,173114000.0,2947556000.0,3370235000.0,3653188000.0,7023423000.0,160256000.0,4332825000.0,4013244000.0,4411818000.0,8744643000.0,-1721220000.0,57483000.0,357343000.0,-83302000.0,-83570000.0,0.0,-290787000.0,461.6
2014-02-28,1990494000.0,953459000.0,1037035000.0,699691000.0,337344100.0,192830000.0,5.73,397273100.0,337344100.0,33647000.0,139755000.0,191115000.0,3089245000.0,3538498000.0,3724394000.0,7262892000.0,158440000.0,4399310000.0,4163244000.0,4573844000.0,8973154000.0,-1710262000.0,59929000.0,150629000.0,-77530000.0,-90225000.0,0.0,-45941000.0,538.44
2014-05-31,2341545000.0,1124587000.0,1216958000.0,738006000.0,478951900.0,285157000.0,8.62,538720900.0,478951900.0,33073000.0,145349000.0,190848000.0,3133350000.0,3587844000.0,3783958000.0,7371802000.0,215156000.0,4603952000.0,4163244000.0,4576080000.0,9180032000.0,-1808230000.0,59769000.0,463146000.0,-99421000.0,-101173000.0,0.0,-357243000.0,532.5
2014-08-31,3049697000.0,1454479000.0,1595218000.0,965016300.0,630201400.0,373670000.0,11.5,711143400.0,630201800.0,33267000.0,124485000.0,200899000.0,3140100000.0,3580612000.0,3916551000.0,7497163000.0,180910000.0,4541094000.0,4142196000.0,4577926000.0,9119020000.0,-1621857000.0,80942000.0,370116000.0,-173663000.0,-173000000.0,0.0,-217586000.0,538.84
2014-11-30,2260264000.0,1083603000.0,1176661000.0,768099000.0,408561900.0,238310000.0,7.42,471127900.0,408561900.0,32132000.0,117192000.0,195521000.0,3280228000.0,3707581000.0,4009520000.0,7717101000.0,559235000.0,5090964000.0,3862865000.0,4288947000.0,9379911000.0,-1662810000.0,62566000.0,375228000.0,-92449000.0,-180807000.0,0.0,-201164000.0,577.71
2015-02-28,2143651000.0,1023618000.0,1120033000.0,758764000.0,361268900.0,211723000.0,6.64,422532900.0,361268900.0,31903000.0,151539000.0,196650000.0,3456812000.0,3913863000.0,4036102000.0,7949965000.0,87156000.0,4623323000.0,4361144000.0,4795321000.0,9418644000.0,-1468679000.0,61264000.0,101310000.0,-91175000.0,-90645000.0,0.0,26470000.0,642.68
2015-05-31,2493021000.0,1190232000.0,1302789000.0,788840000.0,513949000.0,309071000.0,9.77,577604000.0,513949000.0,31643000.0,153288000.0,212068000.0,3468249000.0,3950490000.0,4081950000.0,8032440000.0,0.0,4693102000.0,4533329000.0,4982583000.0,9675685000.0,-1643245000.0,63655000.0,522574000.0,-112268000.0,-113272000.0,0.0,-409216000.0,673.62
