,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3448000000.0,1692000000.0,1756000000.0,795000000.0,715000000.0,552000000.0,1.01,898000000.0,715000000.0,545000000.0,2689000000.0,2319000000.0,2963000000.0,8814000000.0,11504000000.0,20318000000.0,710000000.0,4778000000.0,5157000000.0,8539000000.0,13317000000.0,7001000000.0,183000000.0,386000000.0,-292000000.0,-349000000.0,-246000000.0,-600000000.0,39.46
2013-06-30,3669000000.0,1730000000.0,1939000000.0,838000000.0,828000000.0,590000000.0,1.09,1011000000.0,828000000.0,543000000.0,5989000000.0,2342000000.0,3069000000.0,12185000000.0,11566000000.0,23751000000.0,411000000.0,4516000000.0,8624000000.0,11920000000.0,16436000000.0,7315000000.0,183000000.0,763000000.0,-347000000.0,-367000000.0,-244000000.0,2895000000.0,37.63
2013-09-30,3710000000.0,1804000000.0,1906000000.0,975000000.0,654000000.0,544000000.0,1.0,861000000.0,654000000.0,543000000.0,2376000000.0,2766000000.0,3581000000.0,9597000000.0,15653000000.0,25250000000.0,414000000.0,4996000000.0,8652000000.0,12508000000.0,17504000000.0,7746000000.0,207000000.0,966000000.0,-398000000.0,-4079000000.0,-267000000.0,-500000000.0,35.68
2013-12-31,4322000000.0,2326000000.0,1996000000.0,1054000000.0,546000000.0,326000000.0,0.6000000000000001,608000000.0,546000000.0,543000000.0,2733000000.0,2911000000.0,3499000000.0,10195000000.0,15029000000.0,25224000000.0,1040000000.0,5248000000.0,8126000000.0,11490000000.0,16738000000.0,8486000000.0,62000000.0,1083000000.0,331000000.0,-567000000.0,-266000000.0,-150000000.0,37.78
2014-03-31,3848000000.0,1957000000.0,1891000000.0,910000000.0,672000000.0,556000000.0,1.02,908000000.0,672000000.0,542000000.0,2049000000.0,2708000000.0,3748000000.0,9388000000.0,15873000000.0,25261000000.0,1177000000.0,5645000000.0,7517000000.0,10923000000.0,16568000000.0,8693000000.0,236000000.0,559000000.0,-421000000.0,-384000000.0,-266000000.0,-852000000.0,39.97
2014-06-30,4154000000.0,2185000000.0,1969000000.0,988000000.0,659000000.0,520000000.0,0.96,912000000.0,659000000.0,542000000.0,1866000000.0,2914000000.0,3836000000.0,9487000000.0,16142000000.0,25629000000.0,1311000000.0,5795000000.0,7528000000.0,11147000000.0,16942000000.0,8687000000.0,253000000.0,599000000.0,-423000000.0,-542000000.0,-265000000.0,-220000000.0,39.27
2014-09-30,2709000000.0,1516000000.0,1193000000.0,827000000.0,217000000.0,468000000.0,0.86,320000000.0,217000000.0,542000000.0,2078000000.0,2842000000.0,3704000000.0,9631000000.0,15932000000.0,25563000000.0,1515000000.0,5990000000.0,7753000000.0,11147000000.0,17137000000.0,8426000000.0,103000000.0,914000000.0,220000000.0,-619000000.0,-282000000.0,-55000000.0,38.98
2014-12-31,2789000000.0,1582000000.0,1207000000.0,860000000.0,191000000.0,953000000.0,1.76,391000000.0,191000000.0,542000000.0,2925000000.0,1884000000.0,1577000000.0,10162000000.0,15976000000.0,26138000000.0,1698000000.0,6037000000.0,7331000000.0,11945000000.0,17982000000.0,8156000000.0,200000000.0,1143000000.0,-301000000.0,3000000.0,-282000000.0,-275000000.0,39.81
2015-03-31,2403000000.0,1384000000.0,1019000000.0,784000000.0,92000000.0,430000000.0,0.79,279000000.0,92000000.0,543000000.0,2530000000.0,2599000000.0,3501000000.0,9734000000.0,15127000000.0,24861000000.0,2325000000.0,6074000000.0,7680000000.0,11499000000.0,17573000000.0,7288000000.0,187000000.0,96000000.0,-214000000.0,-770000000.0,-282000000.0,384000000.0,37.21
2015-06-30,2475000000.0,1454000000.0,1021000000.0,783000000.0,87000000.0,332000000.0,0.61,277000000.0,87000000.0,544000000.0,6680000000.0,2852000000.0,3842000000.0,14497000000.0,15518000000.0,30015000000.0,2164000000.0,6312000000.0,12054000000.0,15682000000.0,21994000000.0,8021000000.0,190000000.0,696000000.0,-210000000.0,-590000000.0,-282000000.0,4072000000.0,37.98
2015-09-30,2487000000.0,1453000000.0,1034000000.0,794000000.0,92000000.0,1000000.0,0.0,308000000.0,92000000.0,546000000.0,6126000000.0,1772000000.0,1696000000.0,11138000000.0,9034000000.0,20172000000.0,2938000000.0,5981000000.0,3791000000.0,6346000000.0,12327000000.0,7845000000.0,216000000.0,255000000.0,-234000000.0,-215000000.0,-283000000.0,-4709000000.0,32.85
2015-12-31,2603000000.0,1531000000.0,1072000000.0,733000000.0,178000000.0,205000000.0,0.37,344000000.0,178000000.0,547000000.0,7361000000.0,1731000000.0,1604000000.0,11796000000.0,9166000000.0,20962000000.0,2585000000.0,5750000000.0,3922000000.0,6347000000.0,12097000000.0,8865000000.0,166000000.0,724000000.0,-253000000.0,-232000000.0,-63000000.0,-228000000.0,38.15
2016-03-31,2375000000.0,1410000000.0,965000000.0,641000000.0,188000000.0,3380000000.0,6.16,377000000.0,188000000.0,549000000.0,3443000000.0,1830000000.0,1682000000.0,8017000000.0,9333000000.0,17350000000.0,1289000000.0,3823000000.0,2068000000.0,4507000000.0,8330000000.0,9020000000.0,189000000.0,-333000000.0,-184000000.0,-201000000.0,-63000000.0,510000000.0,41.08
