,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,18893000000.0,15737000000.0,3156000000.0,971000000.0,1528000000.0,1103000000.0,1.45,1976000000.0,1547000000.0,761200000.0,11853000000.0,6811000000.0,40797000000.0,59490000000.0,30957000000.0,90447000000.0,917000000.0,45666000000.0,8254000000.0,37221000000.0,82887000000.0,7560000000.0,429000000.0,524000000.0,-488000000.0,-814000000.0,-367000000.0,-1705000000.0,85.85
2013-06-30,21815000000.0,18432000000.0,3383000000.0,929000000.0,1716000000.0,1087000000.0,1.43,2170000000.0,1734000000.0,761400000.0,14325000000.0,6726000000.0,40234000000.0,61310000000.0,30781000000.0,92091000000.0,883000000.0,46949000000.0,8695000000.0,37510000000.0,84459000000.0,7632000000.0,436000000.0,3467000000.0,-444000000.0,-2557000000.0,-368000000.0,-525000000.0,102.44
2013-09-30,22130000000.0,18656000000.0,3474000000.0,956000000.0,1803000000.0,1156000000.0,1.51,2279000000.0,1821000000.0,757600000.0,15911000000.0,6968000000.0,41240000000.0,64162000000.0,30471000000.0,94633000000.0,919000000.0,49680000000.0,8677000000.0,35886000000.0,85566000000.0,9067000000.0,458000000.0,2808000000.0,-481000000.0,-711000000.0,-367000000.0,-763000000.0,117.5
2013-12-31,23785000000.0,20368000000.0,3417000000.0,1100000000.0,1515000000.0,1232000000.0,1.63,2056000000.0,1535000000.0,758900000.0,15258000000.0,6890000000.0,42912000000.0,65074000000.0,27589000000.0,92663000000.0,1563000000.0,51486000000.0,8072000000.0,26180000000.0,77666000000.0,14997000000.0,521000000.0,1380000000.0,-634000000.0,-1072000000.0,-365000000.0,-1256000000.0,136.49
2014-03-31,20465000000.0,17278000000.0,3187000000.0,877000000.0,1542000000.0,963000000.0,1.3,2008000000.0,1560000000.0,743400000.0,12224000000.0,7597000000.0,44941000000.0,64777000000.0,26798000000.0,91575000000.0,1660000000.0,52502000000.0,7275000000.0,24440000000.0,76942000000.0,14633000000.0,448000000.0,1112000000.0,-482000000.0,406000000.0,-540000000.0,-3668000000.0,125.49
2014-06-30,22045000000.0,18653000000.0,3392000000.0,918000000.0,1787000000.0,1652000000.0,2.24,2256000000.0,1804000000.0,729800000.0,11330000000.0,7931000000.0,46251000000.0,65527000000.0,27210000000.0,92737000000.0,1591000000.0,53339000000.0,7292000000.0,25214000000.0,78553000000.0,14184000000.0,452000000.0,1809000000.0,-447000000.0,875000000.0,-531000000.0,-2096000000.0,127.23
2014-09-30,23784000000.0,20057000000.0,3727000000.0,932000000.0,2119000000.0,1360000000.0,1.88,2615000000.0,2137000000.0,721500000.0,10077000000.0,8056000000.0,47058000000.0,65218000000.0,27435000000.0,92653000000.0,1579000000.0,53204000000.0,7301000000.0,24812000000.0,78016000000.0,14637000000.0,478000000.0,939000000.0,-612000000.0,-247000000.0,-525000000.0,-1530000000.0,127.38
2014-12-31,24468000000.0,20695000000.0,3773000000.0,1040000000.0,2025000000.0,1465000000.0,2.05,2569000000.0,2041000000.0,727600000.0,13092000000.0,7919000000.0,46756000000.0,67767000000.0,25154000000.0,92921000000.0,929000000.0,48233000000.0,8141000000.0,35898000000.0,84131000000.0,8790000000.0,528000000.0,4998000000.0,-661000000.0,1433000000.0,-519000000.0,-1299000000.0,129.98
2015-03-31,22149000000.0,18480000000.0,3669000000.0,945000000.0,2019000000.0,1334000000.0,1.8900000000000001,2494000000.0,2035000000.0,704600000.0,9631000000.0,8271000000.0,48502000000.0,66421000000.0,31354000000.0,97775000000.0,133000000.0,55256000000.0,8905000000.0,34489000000.0,89745000000.0,8030000000.0,459000000.0,88000000.0,-574000000.0,-214000000.0,-639000000.0,-2935000000.0,150.08
2015-06-30,24543000000.0,21333000000.0,3210000000.0,760000000.0,1683000000.0,1110000000.0,1.6099999999999999,2153000000.0,1700000000.0,690100000.0,9625000000.0,8136000000.0,49028000000.0,66806000000.0,31296000000.0,98102000000.0,112000000.0,57136000000.0,8904000000.0,34659000000.0,91795000000.0,6307000000.0,453000000.0,3297000000.0,-672000000.0,-198000000.0,-625000000.0,-2605000000.0,138.72
2015-09-30,25849000000.0,21584000000.0,4265000000.0,889000000.0,2580000000.0,1701000000.0,2.5,3033000000.0,2596000000.0,680100000.0,9857000000.0,9081000000.0,48624000000.0,67576000000.0,31422000000.0,98998000000.0,614000000.0,57808000000.0,8402000000.0,34404000000.0,92212000000.0,6786000000.0,437000000.0,2859000000.0,-557000000.0,-553000000.0,-618000000.0,-2069000000.0,130.95
2015-12-31,23573000000.0,20627000000.0,2946000000.0,931000000.0,1161000000.0,1027000000.0,1.52,1660000000.0,1176000000.0,686900000.0,12052000000.0,8925000000.0,47257000000.0,68234000000.0,26174000000.0,94408000000.0,1234000000.0,50412000000.0,8730000000.0,37599000000.0,88011000000.0,6397000000.0,484000000.0,3119000000.0,-605000000.0,-881000000.0,-608000000.0,-311000000.0,144.59
2016-03-31,22632000000.0,19081000000.0,3551000000.0,888000000.0,1788000000.0,1217000000.0,1.85,2247000000.0,1804000000.0,658600000.0,8352000000.0,9969000000.0,47266000000.0,65587000000.0,25960000000.0,91547000000.0,1243000000.0,49517000000.0,8721000000.0,37924000000.0,87441000000.0,4106000000.0,443000000.0,1275000000.0,-737000000.0,-438000000.0,-717000000.0,-4265000000.0,126.94
