,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,3856000000.0,2139000000.0,1717000000.0,836000000.0,788000000.0,411000000.0,1.3900000000000001,974000000.0,788000000.0,290000000.0,773000000.0,203000000.0,1004000000.0,2205000000.0,3814000000.0,6019000000.0,0.0,1538000000.0,4477000000.0,5495000000.0,7033000000.0,-1014000000.0,186000000.0,1276000000.0,-97000000.0,-60000000.0,-942000000.0,-989000000.0,38.82
2013-04-30,2268000000.0,1327000000.0,941000000.0,630000000.0,311000000.0,143000000.0,0.48,402000000.0,311000000.0,289000000.0,382000000.0,175000000.0,1115000000.0,1904000000.0,3872000000.0,5776000000.0,0.0,1270000000.0,4475000000.0,5500000000.0,6770000000.0,-994000000.0,91000000.0,-120000000.0,-149000000.0,-158000000.0,-87000000.0,-112000000.0,40.75
2013-07-31,2516000000.0,1527000000.0,989000000.0,631000000.0,358000000.0,178000000.0,0.61,450000000.0,358000000.0,290000000.0,551000000.0,197000000.0,1127000000.0,2098000000.0,3974000000.0,6072000000.0,0.0,1485000000.0,4475000000.0,5448000000.0,6933000000.0,-861000000.0,92000000.0,474000000.0,-234000000.0,-223000000.0,-87000000.0,-82000000.0,45.08
2013-10-31,2171000000.0,1314000000.0,857000000.0,646000000.0,211000000.0,92000000.0,0.31,298000000.0,211000000.0,290000000.0,425000000.0,245000000.0,1643000000.0,2580000000.0,4056000000.0,6636000000.0,216000000.0,1734000000.0,4762000000.0,5722000000.0,7456000000.0,-820000000.0,87000000.0,-385000000.0,-215000000.0,-168000000.0,-87000000.0,426000000.0,50.61
2014-01-31,3818000000.0,2176000000.0,1642000000.0,779000000.0,863000000.0,490000000.0,1.65,961000000.0,863000000.0,290000000.0,1519000000.0,244000000.0,1165000000.0,3150000000.0,4048000000.0,7198000000.0,215000000.0,1826000000.0,4761000000.0,5741000000.0,7567000000.0,-369000000.0,98000000.0,1279000000.0,-93000000.0,-106000000.0,-88000000.0,-78000000.0,42.33
2014-04-30,2391000000.0,1409000000.0,982000000.0,646000000.0,336000000.0,157000000.0,0.53,436000000.0,336000000.0,291000000.0,912000000.0,216000000.0,1219000000.0,2585000000.0,4078000000.0,6663000000.0,214000000.0,1515000000.0,4758000000.0,5757000000.0,7272000000.0,-609000000.0,100000000.0,-89000000.0,-150000000.0,-135000000.0,-392000000.0,-383000000.0,43.82
2014-07-31,2675000000.0,1631000000.0,1044000000.0,668000000.0,376000000.0,188000000.0,0.63,475000000.0,376000000.0,292000000.0,1147000000.0,233000000.0,1075000000.0,2699000000.0,4171000000.0,6870000000.0,214000000.0,1580000000.0,4758000000.0,5793000000.0,7373000000.0,-503000000.0,99000000.0,535000000.0,-199000000.0,-199000000.0,-99000000.0,-102000000.0,46.86
2014-10-31,2319000000.0,1372000000.0,947000000.0,663000000.0,284000000.0,132000000.0,0.44,382000000.0,284000000.0,292000000.0,745000000.0,274000000.0,1485000000.0,2849000000.0,4300000000.0,7149000000.0,213000000.0,1799000000.0,4759000000.0,5783000000.0,7582000000.0,-433000000.0,98000000.0,-76000000.0,-236000000.0,-236000000.0,-100000000.0,-90000000.0,58.3
2015-01-31,4069000000.0,2234000000.0,1835000000.0,878000000.0,957000000.0,565000000.0,1.8900000000000001,1058000000.0,957000000.0,292000000.0,1681000000.0,252000000.0,1036000000.0,3199000000.0,4277000000.0,7476000000.0,0.0,1679000000.0,4722000000.0,5778000000.0,7457000000.0,19000000.0,101000000.0,1416000000.0,-130000000.0,-129000000.0,-100000000.0,-344000000.0,68.42
2015-04-30,2512000000.0,1456000000.0,1056000000.0,684000000.0,372000000.0,250000000.0,0.84,473000000.0,372000000.0,293000000.0,649000000.0,239000000.0,1139000000.0,2285000000.0,4287000000.0,6572000000.0,0.0,1391000000.0,4719000000.0,5787000000.0,7178000000.0,-606000000.0,101000000.0,-156000000.0,-132000000.0,-96000000.0,-734000000.0,-781000000.0,72.24
