,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2000000000.0,982000000.0,1018000000.0,515000000.0,381000000.0,276000000.0,1.42,517000000.0,381000000.0,194609000.0,2420705000.0,1220014000.0,1391825000.0,5499998000.0,6129925000.0,11629920000.0,0.0,1878039000.0,3762077000.0,5163102000.0,7041141000.0,4588782000.0,136000000.0,317000000.0,-134000000.0,24000000.0,-96000000.0,-121000000.0,93.28
2013-06-30,2053000000.0,993000000.0,1060000000.0,534000000.0,405000000.0,302000000.0,1.55,544000000.0,405000000.0,194879000.0,2299204000.0,1254595000.0,1409108000.0,5434511000.0,6152536000.0,11587050000.0,0.0,1692817000.0,3762567000.0,5177710000.0,6870527000.0,4716520000.0,139000000.0,446000000.0,-159000000.0,-119000000.0,-97000000.0,-330000000.0,96.42
2013-09-30,2101000000.0,1014000000.0,1087000000.0,877000000.0,77000000.0,90000000.0,0.47000000000000003,219000000.0,77000000.0,195157000.0,2608000000.0,1240000000.0,1402000000.0,5873000000.0,6277000000.0,12149000000.0,0.0,2130000000.0,3763000000.0,4976000000.0,7106000000.0,5043000000.0,142000000.0,728000000.0,-200000000.0,-607000000.0,-96000000.0,-138000000.0,97.58
2013-12-31,2015000000.0,980000000.0,1035000000.0,531000000.0,378000000.0,271000000.0,1.4,520000000.0,378000000.0,194203000.0,2513000000.0,1113000000.0,1467000000.0,5743000000.0,6291000000.0,12035000000.0,0.0,1997000000.0,3764000000.0,4960000000.0,6957000000.0,5078000000.0,142000000.0,355000000.0,-118000000.0,-267000000.0,-106000000.0,-298000000.0,107.8
2014-03-31,2072000000.0,1019000000.0,1053000000.0,525000000.0,381000000.0,287000000.0,1.48,511000000.0,381000000.0,193609000.0,2626000000.0,1130000000.0,1512000000.0,5946000000.0,6304000000.0,12250000000.0,0.0,2016000000.0,3764000000.0,4919000000.0,6935000000.0,5315000000.0,130000000.0,413000000.0,-127000000.0,-231000000.0,-105000000.0,-124000000.0,114.22
2014-06-30,2157000000.0,1046000000.0,1111000000.0,528000000.0,446000000.0,326000000.0,1.69,587000000.0,446000000.0,193054000.0,2639000000.0,1204000000.0,1553000000.0,6045000000.0,6329000000.0,12374000000.0,0.0,2093000000.0,3768000000.0,4903000000.0,6996000000.0,5378000000.0,141000000.0,439000000.0,-135000000.0,-232000000.0,-105000000.0,-279000000.0,115.41
2014-09-30,2202000000.0,1100000000.0,1102000000.0,561000000.0,401000000.0,301000000.0,1.56,550000000.0,401000000.0,193299000.0,2750000000.0,1187000000.0,1495000000.0,6131000000.0,6317000000.0,12447000000.0,0.0,2235000000.0,3768000000.0,5160000000.0,7394000000.0,5053000000.0,149000000.0,539000000.0,-273000000.0,-218000000.0,-105000000.0,-106000000.0,111.03
2014-12-31,2051000000.0,1006000000.0,1045000000.0,544000000.0,349000000.0,236000000.0,1.22,488000000.0,349000000.0,192844000.0,8784000000.0,1031000000.0,1512000000.0,12111000000.0,6392000000.0,18503000000.0,0.0,2081000000.0,9940000000.0,11355000000.0,13435000000.0,5068000000.0,139000000.0,286000000.0,-114000000.0,368000000.0,-116000000.0,6033000000.0,135.77
2015-03-31,2051000000.0,1005000000.0,1046000000.0,511000000.0,293000000.0,216000000.0,1.1,431000000.0,293000000.0,196085000.0,2129000000.0,1572000000.0,2278000000.0,6996000000.0,21298000000.0,28293000000.0,0.0,4497000000.0,12128000000.0,16637000000.0,21134000000.0,7159000000.0,138000000.0,228000000.0,-155000000.0,-8197000000.0,-116000000.0,1359000000.0,140.09
2015-06-30,3120000000.0,1946000000.0,1174000000.0,751000000.0,137000000.0,62000000.0,0.30000000000000004,436000000.0,137000000.0,210175000.0,1718000000.0,1645000000.0,2020000000.0,6303000000.0,20776000000.0,27079000000.0,0.0,4517000000.0,11367000000.0,15310000000.0,19826000000.0,7253000000.0,299000000.0,538000000.0,-144000000.0,-174000000.0,-126000000.0,-725000000.0,138.2
