,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1302012000.0,292347000.0,1009665000.0,680746000.0,309839000.0,244271000.0,4.89,341471000.0,309839000.0,49939000.0,5188639000.0,471807000.0,6030452000.0,824675000.0,6855127000.0,526231000.0,1605339000.0,935997000.0,1258953000.0,2864292000.0,3990835000.0,31632000.0,183117000.0,-15051000.0,-16002000.0,0.0,-70972000.0,688.16
2013-06-30,1680238000.0,296383000.0,1383855000.0,802997000.0,554831100.0,437326000.0,8.62,595417100.0,554831100.0,50760000.0,5952807000.0,649250000.0,6926150000.0,2941221000.0,9867371000.0,532206000.0,1771437000.0,1762890000.0,2238274000.0,4009711000.0,5857660000.0,40586000.0,593382000.0,-21430000.0,-969965000.0,0.0,524514000.0,826.67
2013-09-30,2269903000.0,280838000.0,1989065000.0,906421000.0,1046897000.0,832989000.0,16.22,1101110000.0,1046897000.0,51363000.0,6592654000.0,706234000.0,7489047000.0,2956608000.0,10445660000.0,538266000.0,1825844000.0,1767757000.0,2223189000.0,4049033000.0,6396622000.0,54213000.0,970464000.0,-20477000.0,-1215426000.0,0.0,-451561000.0,1010.95
2013-12-31,1541153000.0,207852100.0,1333301000.0,795332900.0,500847500.0,378077000.0,7.32,556007600.0,500847400.0,50924000.0,6763190000.0,535962000.0,7480941000.0,2963519000.0,10444460000.0,151931000.0,1381745000.0,1750580000.0,2152986000.0,3534731000.0,6909729000.0,55160000.0,554473000.0,-27487000.0,39126000.0,0.0,-405492000.0,1162.4
2014-03-31,1641802000.0,235331000.0,1406471000.0,929369000.0,438726000.0,331218000.0,6.35,490860000.0,438726000.0,52153000.0,6726124000.0,627160000.0,7855940000.0,2957744000.0,10813680000.0,97707000.0,1430989000.0,1757478000.0,2173286000.0,3604275000.0,7209409000.0,52134000.0,177004000.0,-29731000.0,-40855000.0,0.0,-141917000.0,1191.89
2014-06-30,2123575000.0,240579000.0,1882996000.0,1109695000.0,733013900.0,576451000.0,11.0,786386900.0,733013900.0,52397000.0,7180336000.0,841133000.0,8508759000.0,3091564000.0,11600320000.0,41316000.0,1507245000.0,1765699000.0,2269046000.0,3776291000.0,7824032000.0,53373000.0,689981000.0,-32255000.0,1576166000.0,0.0,-51331000.0,1203.0
2014-09-30,2836497000.0,216519000.0,2619978000.0,1239674000.0,1322705000.0,1062253000.0,20.27,1396357000.0,1322705000.0,52405000.0,6237980000.0,843560000.0,7303865000.0,7880515000.0,15184380000.0,37781000.0,1589145000.0,3888019000.0,4862124000.0,6451269000.0,8733111000.0,73652000.0,1292132000.0,-28739000.0,-1817721000.0,0.0,2118416000.0,1158.58
2014-12-31,1840097000.0,165412000.0,1674685000.0,1024260000.0,578867100.0,451830900.0,8.65,667488000.0,578867100.0,52301000.0,4291676000.0,643894000.0,5113620000.0,9657357000.0,14770980000.0,37150000.0,1378703000.0,3824199000.0,4825581000.0,6204286000.0,8566694000.0,88621000.0,755280000.0,-40779000.0,-2075481000.0,0.0,-496174000.0,1140.21
2015-03-31,1840694000.0,168458000.0,1672236000.0,1173265000.0,433969100.0,333327000.0,6.42,517205100.0,433969100.0,51909000.0,4636318000.0,706776000.0,5967481000.0,10875010000.0,16842490000.0,0.0,1703234000.0,5304108000.0,6509133000.0,8212365000.0,8630125000.0,83236000.0,208983000.0,-31263000.0,-1140820000.0,0.0,1214248000.0,1164.15
2015-06-30,2280397000.0,187491000.0,2092906000.0,1346901000.0,678330900.0,517032000.0,10.02,765200000.0,678330900.0,51589000.0,3189128000.0,889868000.0,4693471000.0,12333880000.0,17027350000.0,0.0,1931134000.0,5399966000.0,6538247000.0,8469381000.0,8557965000.0,86869000.0,702376000.0,-53088000.0,-1439096000.0,0.0,-660713000.0,1151.37
2015-09-30,3102901000.0,155619000.0,2947282000.0,1389521000.0,1488707000.0,1196732000.0,23.67,1576113000.0,1488707000.0,50550000.0,3053669000.0,890532000.0,4298957000.0,12315810000.0,16614770000.0,0.0,1582807000.0,5421328000.0,6505190000.0,8087997000.0,8526773000.0,87406000.0,1309800000.0,-42286000.0,-94123000.0,0.0,-1262730000.0,1236.86
2015-12-31,1999995000.0,120612000.0,1879384000.0,1150719000.0,657900000.0,504269100.0,10.14,747148000.0,657900300.0,50940000.0,2648511000.0,645169000.0,3553237000.0,13867340000.0,17420570000.0,0.0,1439310000.0,6158443000.0,7185796000.0,8625106000.0,8795469000.0,89248000.0,982364000.0,-47278000.0,-1220488000.0,0.0,-122093000.0,1274.95
2016-03-31,2148119000.0,128669000.0,2019450000.0,1396261000.0,550317900.0,374424000.0,7.54,642034900.0,550317900.0,49630000.0,3383637000.0,857140000.0,4864763000.0,13469780000.0,18334550000.0,0.0,1987574000.0,6321202000.0,7294605000.0,9282179000.0,9052367000.0,91717000.0,344758000.0,-53256000.0,147279000.0,0.0,-134404000.0,1288.96
2016-06-30,2555902000.0,126084000.0,2429818000.0,1619699000.0,732407100.0,580638000.0,11.71,829197100.0,732407100.0,49604000.0,4371783000.0,982993000.0,5914467000.0,13772700000.0,19687170000.0,0.0,2209651000.0,7255205000.0,8202814000.0,10412460000.0,9274705000.0,96790000.0,1022468000.0,-60443000.0,-786567000.0,0.0,618309000.0,1248.41
2016-09-30,3690552000.0,101489000.0,3589063000.0,1736391000.0,833227100.0,506017000.0,10.24,1872007000.0,833227100.0,49420000.0,4379173000.0,1105086000.0,5833582000.0,14200200000.0,20033780000.0,960984000.0,2905976000.0,6381709000.0,7325238000.0,10231210000.0,9802570000.0,1038780000.0,1519943000.0,-54377000.0,-1563260000.0,0.0,-230280000.0,1471.49
2016-12-31,2348427000.0,58758000.0,2289669000.0,1419649000.0,790048300.0,673921000.0,13.66,889761400.0,790048000.0,49491000.0,4299955000.0,860115000.0,5401519000.0,14437450000.0,19838970000.0,967734000.0,2858670000.0,6199060000.0,7160161000.0,10018830000.0,9820142000.0,99713000.0,1096831000.0,-51924000.0,-1130452000.0,0.0,-254625000.0,1466.06
2017-03-31,2419404000.0,80401000.0,2339003000.0,1699111000.0,556462200.0,455623000.0,9.26,659584200.0,556462200.0,49192000.0,5370178000.0,934254000.0,6987882000.0,15006370000.0,21994250000.0,974538000.0,3248199000.0,7308623000.0,7935034000.0,11183230000.0,10811020000.0,103122000.0,380618000.0,605915000.0,-892814000.0,0.0,843400000.0,1779.97
